,dates,nzd0060-0000,nzd0060-0001,nzd0060-0002,nzd0060-0003,nzd0060-0004,nzd0060-0005,nzd0060-0006,nzd0060-0007
41,2005-04-19 22:04:43+00:00,193.0979005345265,215.08670938784718,215.80970266184966,225.57757713308578,216.82497730160497,212.5492561922617,223.39249802924212,223.749308150381
42,2005-06-06 22:05:05+00:00,,,,,,,,
43,2005-06-14 22:07:02+00:00,207.1671584179316,233.67149037562007,224.6848437247521,243.13639790771575,224.27818650340384,212.90521610047062,220.80627500545327,209.09538697696442
44,2005-08-25 22:05:41+00:00,189.11601109714715,217.6102991257418,229.10186171742077,228.52715919951154,209.1385715632379,197.26883001608508,205.2404199429943,201.48914546487626
45,2005-09-02 22:06:46+00:00,171.18540593795785,176.3566427412632,182.9222835610934,187.89325714731706,185.28286073178367,182.49854652631174,185.8552488236073,178.51203701685512
46,2005-09-18 22:06:39+00:00,142.7163744023211,147.80776180271195,148.8341501883364,157.8844740231199,162.1425357877634,158.34671020746094,158.4987075308191,148.54646904562216
47,2005-11-05 22:06:59+00:00,,,,,194.38263171036888,186.40209066320577,191.89171125066048,181.73773577833578
48,2005-11-13 22:05:57+00:00,159.974678934488,159.91504610407287,163.52808173876716,174.30842475987512,179.6870768979963,169.11245548371468,175.23404547241228,170.84251108754822
49,2005-11-21 22:07:07+00:00,188.69702085186867,,193.68327019622404,,,,,189.5601764906567
50,2005-12-23 22:07:15+00:00,,,,,207.58982319920455,194.39822828220773,201.39143928047804,201.96476397523003
51,2006-01-08 22:07:25+00:00,217.20898897765284,,,232.04487229386814,228.95684796429603,222.05809837736598,235.90119954495776,231.4270664474083
52,2006-02-09 22:07:38+00:00,166.8930510302937,179.32189133088661,,,,,,
53,2006-02-17 22:08:11+00:00,178.44758725279343,187.62951839258398,184.26160965289154,195.30430493020592,194.4738511411149,187.47650464272513,196.29413455233902,189.49971921319235
54,2006-03-13 22:07:41+00:00,166.14928815184516,170.0667584055031,,,,,,180.7373502027419
55,2006-04-06 22:09:08+00:00,188.23527999464554,213.38323203137406,201.19537675314615,206.36102412523576,200.4382422563564,195.4231611913372,203.8882585173364,200.28419659771941
56,2006-04-30 22:07:38+00:00,177.21748981627073,181.21402189345778,180.48824479844603,190.64642212787695,180.56832270369065,181.9428864224965,187.92031907578257,179.85713421618635
57,2006-05-16 22:07:40+00:00,178.44362641179208,176.1433703953052,177.28038672426436,184.87539264615464,181.84132641275824,177.54823698732872,188.90696530683437,183.08348364810536
58,2006-06-01 22:07:38+00:00,201.72563934756494,,214.70497552157644,,,,,203.56476083271684
59,2006-07-27 22:10:47+00:00,173.6699590888909,180.07894650869056,175.23852896907871,186.82553173335424,183.3869552325903,182.69142999664416,185.7498542663008,184.02732322712305
60,2006-08-28 22:11:11+00:00,181.01076514233927,195.09855610512048,192.22177202000856,198.7786856311647,189.1696545549774,184.5996213956112,190.9067131460532,190.39165212762327
61,2006-09-05 22:07:11+00:00,176.62488779167714,183.8999792662528,187.9948594012473,188.93080540541837,185.01736591390716,177.46692101746726,185.89859379657395,178.77816181375348
62,2006-09-13 22:11:23+00:00,206.04491707584756,234.56117637109764,236.93303104597157,227.8254622607702,215.932559638221,209.75517420688334,220.86206259836317,219.65895186415486
63,2006-09-29 22:11:34+00:00,193.95839193109583,217.90781925677155,211.76125375917803,212.9962329694723,201.84930033051864,197.20851289688966,202.01169665213843,197.46724010023578
64,2006-10-07 22:06:56+00:00,,,179.44257607268815,162.65430279404507,163.5255528514691,160.73705699346564,183.1406976842601,
65,2006-11-08 22:07:27+00:00,154.01533902684088,,,,,,170.5207788968446,160.69441306993764
66,2006-11-24 22:07:37+00:00,177.78651732902642,179.55406133682047,181.45745554934342,187.8768186443695,182.26875184179173,172.99373922176966,185.77763446833768,176.52307891314808
67,2006-12-10 22:07:44+00:00,186.9547252762306,212.74885617924252,201.1693093596308,202.50890673010363,193.6668059784162,185.57573633041306,190.90170082935484,192.97587925871053
68,2007-01-03 22:12:49+00:00,145.70929237113128,147.68862514520836,161.8529705042888,170.6527747070387,186.93305822739293,191.36871011263807,205.77274716094206,223.96209415054514
