dates,nzd0499-0000,nzd0499-0001,nzd0499-0002,nzd0499-0003,nzd0499-0004,nzd0499-0005,nzd0499-0006,nzd0499-0007,nzd0499-0008,nzd0499-0009,nzd0499-0010,nzd0499-0011,nzd0499-0012,nzd0499-0013,nzd0499-0014,nzd0499-0015,nzd0499-0016,nzd0499-0017,nzd0499-0018,nzd0499-0019,nzd0499-0020,nzd0499-0021,nzd0499-0022,nzd0499-0023,nzd0499-0024,nzd0499-0025,nzd0499-0026,nzd0499-0027,nzd0499-0028,nzd0499-0029,nzd0499-0030,nzd0499-0031,nzd0499-0032,nzd0499-0033,satname
2005-08-17 22:10:06+00:00,,,,,,316.11,316.31,315.81,319.40,320.89,324.62,327.32,333.65,339.12,345.93,350.16,,,,,,,,,,,,364.97,362.26,358.65,354.64,349.31,348.80,353.42,L7
2005-08-25 22:08:52+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330.91,343.87,L5
2005-08-26 22:03:51+00:00,327.89,330.80,329.66,333.65,326.09,327.82,322.31,325.64,,,,,339.66,349.60,351.31,358.37,363.02,362.45,364.88,361.67,356.37,361.86,361.51,363.82,362.79,371.89,373.27,372.21,376.33,368.76,372.34,363.31,,,L7
2005-09-19 22:02:44+00:00,338.17,331.68,332.01,318.74,320.87,322.50,322.55,312.18,319.86,316.56,314.35,315.79,310.98,327.60,334.35,330.80,312.67,332.77,328.15,343.07,344.72,334.48,336.02,344.13,349.90,353.13,346.58,343.31,346.67,,,,,,L5
2005-10-05 22:02:41+00:00,321.72,318.81,319.42,318.48,333.17,327.30,328.39,325.73,331.05,334.32,331.67,336.87,340.06,345.11,354.37,360.46,349.68,368.86,363.57,358.99,358.29,353.21,353.10,355.18,363.00,378.29,370.57,365.97,363.00,365.86,360.62,355.63,355.64,365.11,L5
2006-01-08 22:10:37+00:00,299.91,300.60,302.08,,,,,,,,,,,,,,,330.95,343.23,330.52,326.81,333.61,330.55,340.95,336.27,,349.95,,,,,,,,L7
2006-01-24 22:10:44+00:00,344.70,338.40,335.54,337.96,333.94,331.79,328.78,,,,,,,,,,361.93,364.80,364.55,358.34,358.72,,,,,,,,,,,,,,L7
2006-02-01 22:11:01+00:00,321.09,317.15,315.16,319.83,323.79,311.41,315.92,313.20,317.22,317.77,321.60,,,,,,,,,,,,,,,,,,,,341.50,341.84,345.99,352.54,L5
2006-02-26 22:05:22+00:00,330.76,329.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L5
2006-03-13 22:10:53+00:00,334.11,332.53,338.18,330.11,332.13,328.06,329.85,329.98,331.41,,,,,,,,,,378.19,368.57,365.06,362.74,362.23,362.45,371.49,379.17,379.85,380.69,377.50,385.77,383.17,381.39,379.84,401.00,L7
2006-03-14 22:05:42+00:00,334.08,324.29,327.04,325.27,326.35,318.40,320.89,321.94,324.91,325.42,325.48,330.16,338.26,341.75,346.33,350.83,344.78,,,356.75,359.81,357.81,354.35,358.02,363.36,,,,,380.41,375.57,375.44,372.85,388.85,L5
