,dates,usa_HI_0014-0000,usa_HI_0014-0001,usa_HI_0014-0002,usa_HI_0014-0003,usa_HI_0014-0004,usa_HI_0014-0005,usa_HI_0014-0006,usa_HI_0014-0007,usa_HI_0014-0008,usa_HI_0014-0009,usa_HI_0014-0010,usa_HI_0014-0011,usa_HI_0014-0012,usa_HI_0014-0013,usa_HI_0014-0014,usa_HI_0014-0015,usa_HI_0014-0016,usa_HI_0014-0017,usa_HI_0014-0018,usa_HI_0014-0019,usa_HI_0014-0020,usa_HI_0014-0021,usa_HI_0014-0022,usa_HI_0014-0023,usa_HI_0014-0024,usa_HI_0014-0025,usa_HI_0014-0026,usa_HI_0014-0027,usa_HI_0014-0028,usa_HI_0014-0029,usa_HI_0014-0030,usa_HI_0014-0031,usa_HI_0014-0032,usa_HI_0014-0033,usa_HI_0014-0034,usa_HI_0014-0035,usa_HI_0014-0036,usa_HI_0014-0037,usa_HI_0014-0038,usa_HI_0014-0039,usa_HI_0014-0040
150,2017-05-01 20:56:30+00:00,,,176.21989819560122,180.03437377017895,165.27282941483082,172.36485332117618,182.28803824931353,175.73029382097695,184.92119976601737,,,,177.37920765777034,184.7200276994478,179.5668362629428,181.30515081251562,188.22582536604088,191.82146313779106,208.07854473482257,203.33580193534456,193.30538429153836,,,,,188.6241056556794,191.6042566465155,186.78913482240222,194.3633315343298,192.65239003527867,192.37324279003252,179.01196633366078,191.98626957478206,185.8297536953332,186.85128833102254,202.36167290636507,195.5603023014485,200.4098262412176,205.76295363522706,219.6656457416182,212.83288892226494
151,2017-05-09 20:53:25+00:00,210.04635190659735,159.29858204539465,172.66592302687607,169.2431636879513,160.38043336491606,160.93216318681908,163.8591039136468,166.6630660964263,172.48307404667182,181.06949477376506,181.9849217799357,181.68605011587624,173.70968712914194,179.06338855679562,171.75203876834033,183.45562210013077,184.00477648524372,184.52990257640153,201.89640202569845,197.55573153252342,192.49154489575324,180.15515795661116,175.36302539470577,180.18747623344467,182.37584457709835,177.32892591955357,185.8545423005379,175.42474862661612,190.02716026951467,189.75948438133116,181.3524403615217,175.36853065356786,179.20705809902697,189.88882704563764,178.07692162813484,190.26410995760244,191.81636978885894,196.2253037269432,201.43770401943428,219.57695121846385,206.43551700439116
152,2017-06-26 20:53:49+00:00,221.23621652315344,176.6638340503012,180.1451029386301,182.09275208439556,175.9894152865272,179.99969823603465,179.1699199373316,170.90564691291175,179.79416089568699,189.524094184362,189.4223603195333,188.82937817087932,182.73741024011875,186.9159906965332,181.08256524341778,186.3598547106688,190.0005789603529,189.55720919354738,207.33054469623465,205.85541533656334,194.5745786862177,188.36020570104023,181.00528968236614,182.66292728339226,189.65771647854402,188.1153984523109,195.1097897193045,182.7710696021237,197.17491824149548,201.84936688291072,,,,,,,,,,,
153,2017-08-05 20:56:41+00:00,206.33259661281835,176.99755475641774,182.31078259712825,188.3463812323438,174.51636306855204,,,,171.0158583538611,179.59013582229227,170.9058273962309,175.11905580022358,176.82966370729855,178.9591387893224,176.2796232653519,,,,,191.06130191765496,180.61970165120857,175.62735224016208,171.5801458701318,168.37993192733538,179.9667367902092,176.508167295639,184.01551592281214,179.90289583124846,189.23230595029153,191.2923369596985,181.4240571408853,181.60102342481835,178.62369689251568,188.72004567589505,,,,,,,
154,2017-08-13 20:54:06+00:00,206.69443173052963,175.05595866829975,177.31634448878577,175.00294971595434,174.2579293564865,170.43083585441326,170.0212639574068,168.02991281263226,174.3989901192693,184.74441807163151,177.73371655779312,180.45311992835684,176.52424374337193,179.34172908115426,172.89914212602446,181.81562815579227,178.5785865704415,181.6836660069227,198.35974694877416,198.2087081550253,188.03277352758474,180.5097218157356,175.22916978839248,172.8349875699327,177.70737601444233,179.55920406594413,184.7810890527581,177.17154187556093,192.74635130961352,186.56236645669696,183.86104894629764,172.87710646615437,179.88123176848265,189.50241249400392,178.08469387088908,197.33523583590414,204.35952239832199,196.85625144892185,199.6937839928103,206.01504017919407,189.02883036455617
155,2017-09-06 20:56:40+00:00,221.67816053344475,186.00278955926836,188.25665055767126,,,,180.19506755609837,172.78960567244798,177.67760005510655,186.45247082379322,188.19203516703675,193.22203982988447,185.32937036021013,185.7846214157202,,,,,196.45212924351753,198.12503094504814,,,,,,,,,192.07512249807422,,,,,,,,,,,215.77532006438744,187.15724499081963
156,2017-09-14 20:54:10+00:00,221.2233566608845,177.7741823354181,179.20767649749092,188.99717331752018,181.5914899067057,181.742171892367,171.93941707477964,175.9054510814666,178.7360306893065,187.68091390720826,184.07096200359922,189.0805592188218,178.16672658411193,185.18361613505945,177.21706970954023,180.1808857443608,178.48452983891715,184.14300926395202,201.0124495036591,203.11074107890406,192.9140865422163,185.58030923109197,182.32641335437333,178.6976290137373,187.71977635469412,182.54864025468078,188.84786503576453,180.66670021390942,192.35039568263613,191.29383764858795,183.93530384964401,175.75755348794618,178.0980686046414,182.1257271734214,178.45519602994716,188.9233697087684,201.82864623040606,193.28582402523838,201.07355126985067,194.9733853021549,192.88661109836775
157,2017-10-08 20:56:40+00:00,,,,174.6448713287523,169.96596782773918,165.41676672847584,165.3056347433917,175.20842717719506,179.07596937732504,184.70605270849285,,,,172.51302966954927,170.57617340079207,172.68095309447128,174.32734939954338,175.283951464469,196.5984104074821,196.7993545877907,185.64592683627396,178.42709791289963,,,,,,178.29042685525846,181.96163938957037,186.48480510673386,176.6909395230482,172.84103041444985,177.34008285398193,176.9451253832612,175.00079472650359,191.17389423286704,189.17989939319253,184.2031949865791,189.6127174411901,190.80334019184104,188.66230459996066
158,2017-10-16 20:54:21+00:00,200.3687630151887,178.28749687704902,181.0022143520937,189.12927602158288,179.6699438070519,172.73101642284462,172.07676097148808,181.47305674910862,183.68861291656145,189.21253548339718,189.6685474377774,184.9156842427323,181.00659932253734,184.5323536645808,179.9864713333683,180.23133002399814,187.10680006239457,185.98516034290319,201.15690046052572,199.76311465029613,194.62021087976234,185.00911168905043,179.44834470290027,180.8446368977244,182.32820921460865,185.20578463404803,187.11080218946466,188.87542196279637,194.62763198697908,194.6866881597164,183.61403923669346,178.32453771193164,183.4594476544398,182.861895164376,181.5706780118064,193.25585995290953,202.81296151047488,198.98181179053913,204.06072655751274,201.11337612608344,194.67842765260838
159,2018-01-12 20:56:03+00:00,221.62001186290385,166.45082056370572,179.09033509602253,180.01002771660671,165.72598602411665,,,,180.56903103215623,191.4944320274385,189.44944972211536,191.92045906541534,193.5494312937355,193.53451735813792,189.34900588899234,194.8268696451246,,,,201.64006969226264,188.95209597380466,183.07079271031117,179.98274972011313,177.63696473928167,187.96442748983787,188.49275044308567,192.19187670177467,189.58578290685728,194.61860977223716,191.4544245805441,179.86160508108995,175.00814182159195,174.7267894778645,179.71253592080856,176.69137169032794,188.92895114684973,,,,,
160,2018-03-17 20:55:14+00:00,,167.71560817215718,172.0999372011401,174.12001159936608,159.83116854906774,169.39861351988145,174.26238920684352,177.26291608552646,,,,195.33754818225685,184.54186767174428,183.7237068782289,179.91873101483574,184.88566293105427,186.315261596084,185.56614462271313,200.64283261626235,197.66917485702928,,,,,185.73238214715838,184.91816973034383,191.86917473051216,189.22998516245056,192.940747067348,199.90580858975767,187.46914203217744,192.04211285870213,189.03817642335827,196.01942596901006,185.8299328320765,,,,,,
