dates,satname,nzd0093-0000,nzd0093-0001,nzd0093-0002,nzd0093-0003,nzd0093-0004,nzd0093-0005,nzd0093-0006,nzd0093-0007
2013-12-22 22:08:11+00:00,L7,367.11,370.70,359.70,346.19,339.44,340.42,346.25,348.64
2014-01-31 22:12:52+00:00,L8,344.76,353.93,352.94,345.02,337.46,333.64,343.68,343.83
2014-03-04 22:12:23+00:00,L8,,,345.16,334.20,330.74,338.30,352.20,
2014-03-20 22:12:13+00:00,L8,352.63,358.03,343.33,330.85,329.86,335.76,348.64,354.92
2014-04-05 22:11:58+00:00,L8,354.68,356.23,347.87,338.39,337.39,334.01,342.59,341.90
2014-04-29 22:09:01+00:00,L7,383.79,375.86,,,,,,
2014-05-15 22:09:08+00:00,L7,,,364.83,365.51,359.89,358.64,364.60,
2014-05-23 22:11:18+00:00,L8,444.43,384.34,373.07,356.16,365.31,363.39,360.20,367.56
2014-05-31 22:09:12+00:00,L7,364.82,350.57,346.78,340.53,334.15,333.19,346.83,338.98
2014-06-16 22:09:12+00:00,L7,350.43,343.76,342.78,328.80,332.66,,,342.32
2014-07-02 22:09:19+00:00,L7,382.56,360.68,360.25,352.59,341.51,351.29,354.59,351.82
2014-07-26 22:11:43+00:00,L8,424.21,373.03,366.19,360.99,345.93,354.84,366.61,370.80
2014-10-14 22:12:02+00:00,L8,369.16,357.74,364.42,352.52,357.37,354.07,359.17,363.86
2014-10-30 22:11:58+00:00,L8,325.70,,370.70,369.94,367.42,363.02,375.88,370.52
2014-12-01 22:12:00+00:00,L8,478.69,386.44,387.11,380.09,371.96,367.53,377.48,380.06
2015-01-26 22:10:26+00:00,L7,361.61,,,,349.52,344.07,351.77,362.76
2015-02-27 22:10:40+00:00,L7,469.89,378.61,378.75,371.68,364.80,364.56,375.82,378.70
2015-03-31 22:10:52+00:00,L7,467.33,383.25,,,,,,
2015-04-24 22:11:08+00:00,L8,372.84,362.67,355.01,343.95,338.33,341.93,350.98,353.11
2015-05-02 22:11:08+00:00,L7,458.01,,,366.43,364.95,,,
2015-05-10 22:10:52+00:00,L8,377.83,366.40,357.69,346.55,345.54,345.38,361.16,354.43
2015-05-18 22:11:16+00:00,L7,391.26,348.99,357.14,339.49,343.44,352.84,351.98,354.72
2015-06-03 22:11:21+00:00,L7,409.71,371.63,362.99,353.12,355.83,353.36,356.55,356.07
2015-06-11 22:11:04+00:00,L8,467.92,384.98,380.53,375.87,367.72,366.70,377.24,377.58
2015-07-05 22:11:30+00:00,L7,665.03,,,,,,,
2015-07-29 22:11:25+00:00,L8,478.48,387.80,386.35,377.16,370.47,366.67,378.80,378.00
2015-08-06 22:11:37+00:00,L7,395.01,363.67,354.47,345.75,333.08,336.81,352.57,350.54
2015-08-14 22:11:31+00:00,L8,379.06,374.61,359.96,357.61,353.49,354.33,361.41,355.06
2015-08-22 22:11:39+00:00,L7,448.47,377.89,372.75,372.24,367.30,364.45,378.39,376.19
2015-12-20 22:11:57+00:00,L8,475.52,381.97,378.29,374.53,365.60,361.37,374.85,371.56
2016-01-29 22:13:36+00:00,L7,359.92,370.54,361.13,,,,339.94,355.09
2016-02-22 22:11:42+00:00,L8,435.52,378.98,368.51,359.01,354.39,355.13,355.74,365.40
2016-03-09 22:11:40+00:00,L8,376.08,374.70,368.15,360.91,361.30,357.06,360.05,366.65
2016-03-25 22:11:32+00:00,L8,361.50,367.41,357.32,350.22,345.88,338.72,352.27,360.46
2016-05-12 22:11:20+00:00,L8,409.00,377.32,375.76,364.63,360.51,359.99,374.88,376.79
2016-05-20 22:14:14+00:00,L7,445.07,,,,,,,
2016-06-13 22:11:30+00:00,L8,475.53,383.86,383.13,376.62,361.16,361.86,378.00,379.00
2016-06-29 22:11:39+00:00,L8,489.31,384.26,378.85,379.31,395.04,,380.40,381.03
2016-07-15 22:11:46+00:00,L8,476.03,386.30,380.73,370.39,366.23,365.00,377.08,368.24
2016-08-16 22:11:53+00:00,L8,470.66,386.18,381.11,371.83,365.89,361.67,374.18,372.62
2016-09-01 22:12:00+00:00,L8,459.48,374.47,372.54,361.71,364.09,360.53,368.91,365.26
2016-09-09 22:14:31+00:00,L7,372.53,373.09,362.97,357.73,344.22,349.67,351.56,350.87
2016-09-25 22:14:33+00:00,L7,471.84,380.82,378.82,370.80,366.48,366.52,375.96,370.02
2016-11-04 22:12:09+00:00,L8,,,364.63,355.93,359.49,356.47,356.38,365.62
2016-11-20 22:12:09+00:00,L8,379.82,371.30,370.76,360.95,363.70,357.31,362.87,366.81
2016-12-14 22:14:15+00:00,L7,360.43,366.48,358.74,354.81,347.54,349.82,351.21,356.23
2016-12-22 22:12:03+00:00,L8,,,,373.62,363.11,,,
2016-12-30 22:14:08+00:00,L7,367.69,,,,,,,
2017-01-31 22:13:49+00:00,L7,371.02,,,351.93,,,,
2017-04-29 22:11:06+00:00,L8,312.81,335.30,346.89,355.76,345.87,354.15,340.60,345.78
2017-05-23 22:14:19+00:00,L7,475.90,379.37,381.80,371.37,360.17,365.04,377.83,384.84
2017-05-31 22:11:25+00:00,L8,410.10,362.12,369.38,355.74,345.93,356.43,363.68,363.21
2017-06-08 22:14:24+00:00,L7,459.43,369.36,370.73,357.00,359.45,358.50,365.10,374.31
2017-06-16 22:11:31+00:00,L8,444.63,368.47,368.57,352.87,345.79,356.78,361.15,365.60
2017-07-02 22:11:35+00:00,L8,466.38,379.62,371.04,364.86,360.02,356.43,367.07,367.06
2017-07-10 22:14:28+00:00,L7,450.27,366.92,357.43,346.04,,353.92,364.38,349.80
2017-07-26 22:14:27+00:00,L7,333.86,353.05,352.24,346.16,345.61,349.52,354.77,350.20
2017-08-03 22:11:47+00:00,L8,478.82,378.64,372.45,361.06,350.42,352.39,371.57,372.10
2017-09-20 22:11:58+00:00,L8,448.97,379.61,370.71,360.24,361.11,356.13,360.11,365.82
2018-01-10 22:11:54+00:00,L8,470.04,382.25,380.49,371.97,367.24,361.24,374.20,376.02
2018-01-26 22:11:45+00:00,L8,471.25,383.61,378.52,374.87,366.14,362.78,376.45,373.50
2018-03-07 22:13:06+00:00,L7,677.13,,,439.89,435.07,,,
2018-04-08 22:12:39+00:00,L7,456.45,377.59,366.79,353.34,352.73,340.57,360.46,360.70
2018-04-24 22:12:23+00:00,L7,481.06,,,,,,,
2018-05-18 22:10:46+00:00,L8,339.70,364.00,360.46,354.35,341.54,355.19,359.82,365.39
2018-05-26 22:11:51+00:00,L7,,385.49,385.07,373.23,365.39,367.56,377.49,386.43
2018-06-27 22:11:16+00:00,L7,462.04,368.26,375.94,370.80,357.79,,,372.19
2018-07-05 22:10:54+00:00,L8,408.62,363.35,374.41,365.69,351.65,359.44,366.21,370.88
2018-08-06 22:11:10+00:00,L8,475.94,381.74,375.18,373.88,360.52,360.41,374.54,371.16
2018-08-14 22:10:23+00:00,L7,335.56,335.65,355.46,,,,,
2018-08-30 22:10:04+00:00,L7,352.43,358.45,355.81,348.37,338.18,352.18,350.40,351.84
2018-09-07 22:11:24+00:00,L8,476.71,381.23,376.40,371.24,363.13,361.05,368.76,370.61
2018-09-15 22:09:43+00:00,L7,445.31,372.45,370.35,358.80,363.44,360.42,369.02,371.01
2019-01-05 22:06:53+00:00,L7,372.97,371.58,361.61,351.92,352.08,342.13,351.78,359.03
2019-02-14 22:11:33+00:00,L8,474.04,381.83,377.82,370.86,365.00,360.29,376.11,369.87
2019-03-02 22:11:29+00:00,L8,468.79,381.22,375.58,374.08,362.77,358.98,371.13,369.71
2019-04-11 22:03:48+00:00,L7,382.77,377.97,371.82,360.95,363.75,362.88,369.29,374.72
2019-05-29 22:02:00+00:00,L7,468.13,381.57,387.01,379.93,367.46,375.83,378.87,383.44
2019-06-14 22:01:26+00:00,L7,510.15,382.69,,,,,,
2019-06-22 22:11:40+00:00,L8,392.62,366.80,368.12,369.56,345.68,355.90,360.40,363.44
2019-07-08 22:11:44+00:00,L8,446.12,373.07,372.02,357.77,353.97,356.60,365.81,366.97
2019-07-16 22:00:13+00:00,L7,,,375.07,356.62,359.03,357.65,356.18,
2019-07-24 22:11:48+00:00,L8,365.81,362.02,350.36,338.56,337.92,335.14,343.66,341.66
2019-08-09 22:11:55+00:00,L8,472.61,386.58,385.39,377.59,372.37,369.00,378.55,369.47
2019-08-25 22:11:59+00:00,L8,381.17,385.66,383.98,375.98,350.61,348.01,341.02,340.59
2019-11-21 21:54:43+00:00,L7,462.16,381.06,374.61,371.24,363.66,360.07,369.94,368.60
2019-12-07 21:53:57+00:00,L7,465.08,385.30,380.90,378.12,370.92,367.78,377.95,375.84
