dates,nzd0550-0000,nzd0550-0001,nzd0550-0002,nzd0550-0003,nzd0550-0004,nzd0550-0005,nzd0550-0006,nzd0550-0007,nzd0550-0008,nzd0550-0009,nzd0550-0010,nzd0550-0011,nzd0550-0012,nzd0550-0013,nzd0550-0014,nzd0550-0015,satname
2014-04-12 22:21:13+00:00,301.85842105263157,310.31,309.7184210526316,309.53761904761905,305.84153846153845,305.61,304.58,294.807619047619,291.02666666666664,281.1526086956522,276.01421052631576,271.06260869565216,264.31909090909096,266.757619047619,277.62666666666667,293.8933333333333,L8
2014-04-19 22:26:52+00:00,292.69736842105266,292.45,307.1173684210527,303.3695238095238,302.6146153846154,299.10999999999996,294.21999999999997,290.4295238095238,270.09333333333336,272.7817391304348,273.7136842105263,268.1317391304348,264.2318181818182,245.21952380952382,271.9533333333334,274.3566666666667,L8
2014-04-28 22:20:58+00:00,313.0305263157895,306.5,301.79052631578946,303.12142857142857,300.1307692307692,296.79999999999995,297.26,,,,,,,,263.02,261.26,L8
2014-05-05 22:26:35+00:00,285.4731578947368,270.43,297.0931578947368,303.49333333333334,298.83153846153846,294.1,288.2,283.8233333333333,271.89666666666665,269.3113043478261,261.88157894736844,262.8713043478261,254.85363636363638,258.6933333333333,261.64666666666665,268.7033333333333,L8
2014-05-21 22:26:28+00:00,283.3573684210527,260.41,241.60736842105263,300.0961904761905,300.2653846153846,294.90999999999997,294.71999999999997,229.0961904761905,226.29666666666668,,273.5136842105263,269.13695652173914,260.90272727272725,260.5861904761905,268.2966666666666,274.0133333333333,L8
2014-06-07 22:18:11+00:00,281.5494736842105,256.09999999999997,242.25947368421052,310.077619047619,300.4123076923077,,306.88,227.25761904761904,221.24666666666667,,,,,,,,L7
2014-07-01 22:20:34+00:00,,,,,,,332.71,,,,,,,,,,L8
2014-07-16 22:24:29+00:00,266.3321052631579,240.83,215.4921052631579,318.9142857142857,311.10769230769233,306.40000000000003,308.3,,199.51000000000002,,295.70105263157893,274.5147826086956,277.22090909090906,274.0442857142857,291.84,294.0,L7
2014-07-17 22:20:39+00:00,274.06684210526316,244.75,225.46684210526314,305.01761904761906,303.28538461538466,304.4,299.39,221.89761904761903,213.65666666666667,,283.99842105263156,279.5043478260869,280.0918181818182,273.937619047619,282.75666666666666,291.4033333333333,L8
2014-08-02 22:20:46+00:00,283.13105263157894,262.29,277.901052631579,296.07142857142856,296.60615384615386,294.28,292.84,,,267.01565217391305,263.4505263157895,263.2956521739131,260.9463636363636,268.16142857142853,278.34,272.7,L8
2014-08-18 22:21:15+00:00,297.85526315789474,272.44,265.1352631578947,297.5133333333333,295.6030769230769,295.53999999999996,292.81,277.6933333333333,280.89666666666665,280.00565217391306,273.35263157894735,266.94565217391306,260.87,267.1733333333333,277.96666666666664,282.2933333333333,L8
2014-09-10 22:27:07+00:00,291.6842105263158,295.97,300.1042105263158,300.97714285714284,299.64,299.53000000000003,293.85,289.85714285714283,282.53999999999996,285.4160869565217,285.6621052631579,281.3560869565217,277.38363636363636,287.1971428571428,296.09999999999997,293.97,L8
2014-09-19 22:20:54+00:00,300.4357894736842,292.65,304.5257894736842,303.12380952380954,303.2769230769231,299.79999999999995,295.62,294.06380952380954,290.3833333333334,286.84956521739133,282.60789473684207,281.6995652173913,275.6218181818182,281.63380952380953,290.60333333333335,300.68666666666667,L8
