,dates,mex0023-0000,mex0023-0001,mex0023-0002,mex0023-0003,mex0023-0004,mex0023-0005,mex0023-0006,mex0023-0007,mex0023-0008,mex0023-0009,mex0023-0010,mex0023-0011,mex0023-0012,mex0023-0013,mex0023-0014
69,1997-05-26 16:17:12+00:00,176.1455911456437,192.67151550955714,184.6720061940714,184.49578460148408,184.02841199996908,190.00660101690147,186.45961959302306,183.23635339265263,179.2314686463048,171.34946268338004,158.37539475017778,165.00657832361134,180.52304473445648,176.0505969308125,160.0046326642608
70,1997-06-11 16:17:45+00:00,171.5185194002059,190.73842886259314,182.04771953857798,183.3163204371303,182.21729616900427,188.10220369420628,178.0479433224254,175.09004663074685,167.97530464374447,161.81978875302713,152.01303869689187,161.5433522030212,166.26062207051723,148.87951910663196,146.55605186010902
71,1997-07-13 16:18:52+00:00,158.36392463020047,166.6935068537541,168.1269545478108,170.8672746712365,175.12689968381594,170.978803656347,171.99898508846167,171.04659919443162,168.11439463802094,160.7436342650641,155.21819514125536,152.9337522480695,168.29093659845955,174.28110368807535,178.4994059063438
72,1997-08-14 16:19:55+00:00,159.06272722077964,169.27314949334468,154.6181402926204,164.6188904543849,173.10517165809807,174.60414120082106,169.2256838639763,173.8988102191181,165.9902605149599,154.6787574193019,146.6777012017119,137.84950358291775,156.5656237963914,167.2217899799458,164.89585631610598
73,1997-08-30 16:20:24+00:00,180.05388183205247,177.63303403512344,182.96176354781923,171.91196919543503,175.74073763782297,180.51656539154544,191.09091748858526,190.13938480565568,168.4647241575286,172.50204210117047,161.79153010916113,159.79495529901195,187.31155351015929,176.35377673875007,167.2023624881246
74,1997-09-15 16:20:51+00:00,168.96172695753808,178.63280396021605,173.63466893490542,184.31643584326832,186.71093961032648,182.1185088646255,183.4716133353208,176.68282186005527,172.01181816336987,157.95781129877815,156.58048561259812,152.695543675369,167.2667873379508,176.27045002760764,164.13280822358183
75,1997-11-02 16:22:11+00:00,190.688531090305,188.21110244243187,184.42316281233855,185.78361162539633,185.43947019113187,193.51395435674797,189.22245488635318,183.09595280033295,175.9556614319493,170.64144073105965,161.12406283909291,182.75115178888518,186.95081954990178,185.3114886476099,198.37588622842054
76,1997-11-18 16:22:32+00:00,193.35514071694166,192.2145202562352,177.936132559498,186.9398476260402,182.92798335780293,187.53673970399515,186.25288098835077,184.24081517664328,174.417833593348,170.3934371543327,155.85943565193438,159.15251351450542,170.17488123367278,178.52964643667855,187.47734585297377
77,1997-12-04 16:22:57+00:00,173.57999237532448,186.53323648698915,183.46283708057948,179.143932366366,185.536508351801,185.22628259493422,183.28001003640614,181.16138043864888,174.07944984503337,165.32692106385977,160.4648170249223,160.98063661501072,169.87047064030855,176.09341749965807,189.78284405608497
78,1997-12-20 16:23:19+00:00,184.62588879908895,173.12180244459768,166.5667005548494,175.70216856636117,178.35579310083776,188.8822869308635,187.16272314897338,179.13414055147118,171.65655638631847,173.60939420419305,162.23715596552114,173.3171148506248,178.1061026575588,186.71147966522443,199.6911400415419
79,1998-01-05 16:23:43+00:00,184.04747197028908,179.76377146674076,168.8061722722506,175.00928124143368,178.93766334333935,186.09999076257168,181.56315213004663,182.73191703378677,175.85240079007977,175.8875529660424,179.28011073821546,187.54409661452985,200.72683810188215,197.40236394836043,219.11573935275769
80,1998-01-21 16:24:03+00:00,170.97804467297055,171.32517220043667,155.79096169458154,173.7130213797995,175.84995836041196,180.13129736399327,182.4703773961236,177.4563736276886,173.9531961054881,171.7072435843521,163.68027395132867,164.6119460845947,193.04772083862582,203.7952639620915,215.0462354399078
81,1998-02-06 16:24:24+00:00,182.56692728343882,170.6333364291744,169.57321392889287,161.03328206749364,175.60745013235356,180.13049084110827,189.51274756378388,186.6978730224601,178.13583129088795,174.1010400222305,168.72969847811456,182.18024913018422,192.24957987064246,205.36867819587286,216.37263821918074
82,1998-02-22 16:24:42+00:00,161.3027773609026,171.48110375495781,161.758237980096,165.20805790131428,171.7139257493826,172.7366269829874,176.79553055385784,175.2491452687101,170.57809270671194,157.97173772904782,158.52185338624378,167.5340238755242,187.99176079822698,193.31876261638925,192.17794740275892
83,1998-03-10 16:24:58+00:00,187.0847875265328,186.35182610846857,173.96021262749764,175.49584761917936,180.62656494892147,189.45091627620627,191.29982561924123,191.10692010731583,179.46262191012397,174.59441327490737,165.5513163802185,165.04122809794094,181.86404879487515,187.06952441466396,179.0864623631932
84,1998-03-26 16:25:11+00:00,174.70067659400127,179.01948775196436,177.02628382924055,184.10110648791294,182.38831316645826,183.15330015008115,184.8211373948476,188.75683623390165,181.7039262530121,171.3368628286994,159.96115392029708,182.53593302846568,187.01316714540505,167.32098476960795,172.48622670049988
85,1998-04-27 16:25:35+00:00,172.24297122017737,173.3201326050081,165.64591110499737,164.33020142699894,177.23946342256738,184.31893180118848,180.15844351786205,176.1641777631043,170.02276784518162,159.209905465804,152.73933344253345,156.9582264011422,179.799656715198,182.00219039053113,167.90256265400393
86,1998-05-13 16:25:51+00:00,185.21775925327398,188.82636605274595,178.87740770385804,171.91366581924808,169.33368171226385,170.5002726831319,177.51641285603685,176.7843915441507,179.25001735260238,171.49077799314807,157.13505522042078,178.12812881755684,193.62233320589831,193.16583933464594,187.32734507060124
87,1998-08-01 16:26:47+00:00,159.8141610166444,175.06653597741962,168.39039476138572,163.2439886881252,168.50707552595895,169.14875536584634,165.20906282726745,162.4450097978201,155.46272871165223,152.03889848230213,143.84768340879933,140.3028778391716,162.70181804018026,170.22786942792646,162.748286258862
88,1998-10-04 16:27:17+00:00,171.61333186634977,191.0816648490637,179.5054476771217,170.90224746612233,167.3316315205035,173.6112849829122,170.84308154897099,167.7176087865754,156.86051556573275,147.77354501060626,148.80688592149116,151.44035346277795,158.35991995278889,153.54833584159167,158.04907781437927
89,1998-10-20 16:27:16+00:00,184.8927506670202,195.93836827155744,186.16399392585575,182.32685716577572,181.79536986552512,182.7051897565185,183.97836851233274,176.29119102129255,170.8374984738543,156.62496084634637,151.21091033794815,158.72897494812608,175.382437237025,176.7471803501755,173.6349737052348
90,1998-11-05 16:27:22+00:00,190.55852311594433,200.17665090505943,193.71370686352927,186.32149401775038,190.34551111616327,189.7441233135605,188.95128569861006,188.67117903743218,177.164632658397,167.74465236699336,153.27862554059433,156.70540734069706,173.61248907511595,169.48660276597315,164.6176731652151
91,1998-11-21 16:27:28+00:00,186.98188767714373,206.75997877526396,187.66507621812036,184.42739061596927,180.85562889959118,181.8118521532351,181.80342031172137,191.26238549193155,180.97964608098982,179.97554450158242,164.99912764066127,165.7311719077819,172.01206595164666,177.0525211914656,169.23622326763444
92,1998-12-07 16:27:24+00:00,198.08266210530638,199.69912450394253,189.86686936399465,189.43124797397292,193.2285135004396,192.6011784215012,194.48261815446708,192.21952323286538,181.45412560914355,175.5439529613355,158.0056438816864,169.43020058939027,169.93756980314643,171.86190168595414,167.49352977063177
93,1998-12-23 16:27:30+00:00,197.1208911869769,201.4358354090907,200.9106460307306,203.17963276916467,205.06528382022952,200.5578878716551,198.00175044224875,211.03823539688727,198.06075700992014,183.61485797999262,169.69970500570963,182.92908873140516,179.3701535680473,170.98461554726708,177.1791102735953
94,1999-01-08 16:27:29+00:00,196.1991170300104,197.34384247561286,196.7021983794611,192.21573430491122,194.39799187110302,197.20584978992747,190.78161010430316,199.14075277744092,180.10679752473146,177.70020182744787,169.39678202542578,175.2306252177239,180.29724434710977,182.38882010865257,186.94954355086702
