dates,nzd0367-0000,nzd0367-0001,nzd0367-0002,nzd0367-0003,nzd0367-0004,nzd0367-0005,nzd0367-0006,nzd0367-0007,nzd0367-0008,nzd0367-0009,nzd0367-0010,nzd0367-0011,nzd0367-0012,nzd0367-0013,nzd0367-0014,nzd0367-0015,nzd0367-0016,nzd0367-0017,nzd0367-0018,nzd0367-0019,nzd0367-0020,nzd0367-0021,nzd0367-0022,nzd0367-0023,nzd0367-0024,nzd0367-0025,nzd0367-0026,nzd0367-0027,nzd0367-0028,nzd0367-0029,nzd0367-0030,nzd0367-0031,nzd0367-0032,nzd0367-0033,nzd0367-0034,nzd0367-0035,nzd0367-0036,nzd0367-0037,nzd0367-0038,nzd0367-0039,nzd0367-0040,nzd0367-0041,nzd0367-0042,nzd0367-0043,nzd0367-0044,nzd0367-0045,nzd0367-0046,nzd0367-0047,nzd0367-0048,nzd0367-0049,nzd0367-0050,nzd0367-0051,nzd0367-0052,nzd0367-0053,nzd0367-0054,nzd0367-0055,nzd0367-0056,nzd0367-0057,nzd0367-0058,nzd0367-0059,nzd0367-0060,nzd0367-0061,nzd0367-0062,nzd0367-0063,nzd0367-0064,nzd0367-0065,nzd0367-0066,nzd0367-0067,nzd0367-0068,nzd0367-0069,nzd0367-0070,nzd0367-0071,nzd0367-0072,nzd0367-0073,nzd0367-0074,nzd0367-0075,nzd0367-0076,nzd0367-0077,nzd0367-0078,nzd0367-0079,nzd0367-0080,nzd0367-0081,satname
2000-11-07 22:09:53+00:00,457.73,448.14,444.54,430.45,419.83,404.58,383.75,366.35,349.48,336.30,325.00,320.19,316.58,316.32,313.57,312.66,307.98,300.08,292.82,296.31,294.03,303.29,308.29,318.48,293.22,291.35,275.81,290.72,290.50,303.77,281.23,278.42,264.81,251.10,225.03,196.98,170.77,153.48,141.43,123.53,90.55,94.06,132.66,80.79,75.33,72.38,47.74,59.74,67.78,71.35,66.52,61.12,59.23,75.83,143.45,59.83,94.37,104.36,127.07,134.64,141.08,156.27,165.66,181.24,184.01,187.02,201.74,215.08,225.19,226.40,228.72,237.17,248.91,268.41,287.38,307.07,327.02,348.91,382.54,425.94,462.19,489.65,L7
2001-01-10 22:10:03+00:00,440.86,433.59,440.09,426.46,417.61,402.42,383.98,363.86,343.46,327.59,317.36,313.32,310.78,313.69,313.73,315.80,312.24,307.41,300.78,298.62,291.98,298.24,298.51,307.79,294.35,292.14,279.06,289.65,291.62,303.80,278.90,276.79,262.24,245.54,216.64,189.22,160.62,143.03,130.25,107.71,94.77,94.06,113.35,68.12,67.38,72.02,37.66,52.44,85.71,94.42,73.72,78.78,48.88,56.00,155.43,59.83,82.07,99.58,119.88,127.27,137.82,147.04,165.74,173.53,179.61,190.32,206.32,220.26,233.31,237.28,242.18,251.84,257.54,271.70,291.72,311.31,331.10,355.42,383.36,427.45,468.17,496.46,L7
2001-02-20 22:03:48+00:00,421.70,415.09,435.38,428.23,423.57,405.25,380.81,360.18,341.44,326.56,313.36,306.20,298.12,300.35,305.17,309.58,312.85,313.91,308.65,303.63,297.38,297.25,296.71,297.16,292.22,287.22,284.63,286.77,287.30,285.13,269.27,266.84,257.91,243.94,213.75,183.03,153.59,132.85,119.55,106.66,93.88,82.25,,43.35,44.48,47.17,37.66,52.44,85.71,94.42,88.73,78.78,41.43,,155.43,50.73,86.01,101.24,115.48,124.92,135.37,146.31,161.98,173.87,182.44,194.00,210.14,225.31,240.41,243.64,251.50,262.42,268.66,280.65,297.58,315.22,335.81,359.51,388.57,430.80,472.95,502.35,L7
2001-03-08 22:03:44+00:00,418.25,414.42,438.34,430.17,426.28,408.53,381.90,362.19,343.36,329.66,315.95,307.59,300.30,302.59,306.57,311.98,317.21,317.61,312.84,308.22,301.64,301.60,301.43,302.33,296.59,290.47,287.39,289.44,289.07,289.02,271.09,268.29,259.16,244.81,215.03,185.93,156.89,135.22,123.04,110.21,99.31,82.25,,43.35,44.48,47.17,37.66,52.44,85.71,94.42,88.73,78.78,41.43,,155.43,50.73,86.01,101.24,116.90,128.27,137.88,148.86,164.29,176.58,184.62,197.78,212.17,227.45,243.40,250.18,257.11,269.08,274.16,284.03,304.11,320.57,340.69,365.83,393.61,436.74,480.05,510.33,L7
2001-03-15 22:09:51+00:00,418.25,421.02,438.45,431.23,429.85,411.08,384.19,363.44,342.11,327.87,314.90,303.69,295.02,294.03,298.87,310.91,323.26,325.43,324.54,322.93,306.85,313.65,309.78,300.38,295.52,290.05,289.13,291.79,290.52,288.12,277.11,270.89,264.92,250.46,222.89,195.42,165.67,144.38,128.47,105.51,98.81,90.46,96.37,50.05,60.27,65.99,49.79,72.62,93.63,101.28,102.49,101.73,91.09,145.87,154.20,102.18,103.45,98.78,117.76,129.60,144.39,158.39,175.10,187.15,194.40,207.47,220.35,235.75,252.78,257.78,268.67,280.40,286.77,285.99,313.96,320.08,341.90,367.53,395.09,438.33,483.64,512.02,L7
2001-03-31 22:09:43+00:00,404.68,421.02,442.49,429.70,429.23,414.24,387.76,366.65,341.99,326.81,314.01,306.66,299.06,294.96,297.64,311.43,325.28,330.87,333.06,337.85,312.52,330.12,326.82,307.63,300.00,292.72,290.08,291.39,287.68,288.12,280.69,273.43,264.55,247.54,222.04,206.15,181.30,156.21,136.45,109.33,101.49,96.92,92.25,72.75,90.39,96.63,70.95,76.13,97.40,108.39,115.91,119.98,141.44,151.04,164.24,165.03,103.45,115.89,122.16,130.39,152.10,168.52,185.29,198.92,207.07,216.96,225.98,239.70,260.56,273.25,284.47,297.15,306.17,292.97,331.21,339.80,358.58,387.92,399.80,446.87,494.49,522.05,L7
2001-06-19 22:09:05+00:00,403.99,424.50,447.88,436.74,437.70,421.77,394.47,373.18,348.60,331.49,319.94,311.51,303.89,298.34,299.68,310.04,325.33,331.24,335.54,341.51,321.67,339.39,338.17,323.15,316.38,306.68,302.98,307.00,303.95,302.88,289.44,282.13,273.41,258.07,232.68,216.87,192.76,166.46,146.53,114.39,105.74,96.92,92.25,72.75,90.39,96.63,70.95,76.13,97.40,108.39,115.91,119.01,134.32,144.58,155.59,156.28,126.39,130.51,132.84,143.28,163.62,178.14,194.71,210.42,218.77,228.27,234.12,244.68,263.53,276.44,291.08,305.89,316.28,310.97,344.58,353.00,368.61,397.98,410.49,457.87,503.92,537.56,L7
2001-07-05 22:08:57+00:00,406.02,425.99,449.85,441.22,441.04,429.87,404.93,382.22,358.20,339.08,325.95,314.20,303.10,296.74,295.92,305.15,319.49,324.78,330.04,335.12,317.76,336.97,338.27,327.24,320.90,311.17,305.70,309.66,306.44,306.23,291.03,283.31,272.63,257.90,232.88,216.16,192.24,166.46,148.12,116.03,105.29,96.92,92.25,72.75,90.39,96.63,70.95,76.13,97.40,108.39,115.91,119.01,134.32,137.29,144.14,147.61,123.85,131.37,133.50,144.99,163.65,177.84,193.82,209.12,217.47,226.75,234.60,244.17,263.53,276.44,291.08,305.89,316.28,310.97,344.58,353.00,368.61,397.98,410.49,457.87,503.92,537.56,L7
2001-07-14 22:02:45+00:00,407.72,428.71,452.20,445.73,443.99,432.93,405.18,382.36,361.38,342.55,329.77,316.93,305.38,299.74,287.47,295.43,318.87,318.62,328.08,330.96,322.21,336.41,346.18,339.73,326.41,315.15,318.26,313.62,311.05,310.13,294.35,284.38,273.48,261.58,242.31,223.16,199.51,169.17,150.77,121.81,110.60,103.55,85.48,70.61,84.03,86.55,68.06,78.79,99.66,112.13,117.07,120.62,137.38,137.29,144.14,147.61,123.85,145.67,136.99,154.83,171.26,184.53,197.70,212.34,223.77,233.54,238.22,248.52,263.08,275.56,290.09,304.96,321.11,319.67,351.68,359.19,372.85,402.11,412.56,459.02,502.89,539.93,L7
2001-08-15 22:02:14+00:00,409.00,428.98,451.33,449.42,449.01,438.49,413.48,390.99,369.78,349.64,334.27,319.89,307.83,299.45,286.84,290.77,310.76,311.50,321.80,326.29,318.44,332.28,342.07,335.82,325.42,314.29,318.57,313.84,312.64,310.72,295.56,284.75,273.63,260.46,240.81,221.56,196.94,168.23,150.26,122.55,110.06,99.66,85.48,70.61,84.03,86.55,68.06,78.79,99.66,112.13,117.07,112.87,129.02,133.15,141.42,144.97,128.72,146.23,138.56,155.55,170.62,182.89,194.73,208.27,220.40,230.81,236.06,246.61,259.60,271.82,285.65,299.19,312.61,313.45,346.17,353.64,368.93,396.18,408.76,452.06,496.37,530.66,L7
2001-08-31 22:02:05+00:00,407.02,429.45,453.55,451.00,452.42,445.79,423.94,397.77,374.61,352.81,336.87,321.07,308.15,299.47,284.21,286.53,301.98,301.55,312.11,318.73,311.29,328.86,340.85,334.74,326.00,314.52,318.69,313.32,313.84,313.14,298.82,286.94,273.85,258.58,238.67,220.18,196.96,170.31,151.53,121.70,108.92,99.45,85.48,70.61,84.03,86.55,68.06,78.79,99.66,112.13,117.07,112.87,129.02,133.15,141.42,140.78,132.58,147.43,140.76,156.30,171.18,182.81,192.61,206.06,219.59,229.75,233.95,244.55,256.16,267.17,280.37,291.96,307.26,304.72,344.94,351.61,365.75,393.89,404.21,447.96,488.23,523.15,L7
2001-09-23 22:08:02+00:00,407.88,428.17,457.61,454.70,456.63,452.75,436.13,418.97,394.65,362.34,344.09,327.44,311.81,300.75,279.90,280.78,288.51,289.02,298.09,301.68,308.96,324.04,330.39,336.06,327.89,321.00,325.13,318.60,319.78,315.08,302.17,291.98,276.54,262.81,240.00,220.80,198.24,169.42,151.60,126.85,109.84,94.56,72.99,66.15,73.77,75.27,55.29,71.78,87.25,108.14,112.55,104.36,122.52,132.87,138.53,138.21,131.14,156.76,148.13,161.84,175.01,186.12,190.18,202.98,219.04,220.76,228.58,240.70,241.60,254.68,272.53,283.09,301.15,292.48,326.40,340.03,359.62,381.90,397.07,443.85,476.40,510.49,L7
2001-11-03 22:01:46+00:00,405.38,424.94,448.02,448.98,452.98,450.76,436.24,419.99,395.66,372.42,348.67,327.19,312.12,303.91,282.57,278.97,281.54,278.07,283.65,283.76,299.36,307.44,316.56,326.89,320.85,317.10,322.01,316.18,317.46,312.28,299.15,288.40,274.29,259.07,240.00,211.51,189.34,162.52,150.20,127.75,113.72,94.58,65.42,54.85,58.29,58.67,42.94,84.10,84.25,107.90,111.04,101.62,108.78,120.23,121.86,126.83,130.19,147.93,142.56,164.64,170.70,177.73,177.41,188.29,203.50,209.91,218.61,229.84,225.42,239.57,257.80,266.88,276.66,286.64,308.67,322.62,342.61,364.92,394.57,437.23,469.93,504.47,L7
2001-12-21 22:02:05+00:00,405.38,424.94,448.02,448.98,452.98,450.76,436.24,419.99,395.66,372.42,361.21,340.53,325.85,304.38,289.13,278.14,278.46,272.73,277.93,277.54,294.07,305.95,310.47,324.22,320.11,319.47,321.97,318.56,319.80,318.44,297.68,287.69,271.92,270.56,238.60,207.89,188.74,163.92,151.06,128.34,114.78,94.58,65.42,63.41,59.51,54.18,38.17,84.10,72.12,91.26,100.42,94.25,106.43,117.40,123.66,133.52,127.49,147.66,139.92,169.37,170.72,175.64,174.56,184.16,199.91,207.63,213.78,225.93,225.09,233.97,254.02,253.08,265.97,281.15,300.20,314.86,332.96,359.45,391.78,431.94,467.98,498.55,L7
2002-02-14 22:08:29+00:00,404.35,422.96,441.24,439.73,446.80,448.91,439.62,420.84,397.48,375.47,373.10,354.03,339.77,310.14,305.02,294.36,285.63,276.40,270.54,272.31,283.59,309.69,285.02,299.72,312.50,316.03,311.01,315.49,319.38,320.15,300.54,295.46,286.24,287.91,233.12,201.70,185.74,164.12,146.42,122.22,121.20,95.75,58.90,61.95,53.61,48.09,26.11,,56.08,77.09,90.94,81.24,95.68,117.39,131.66,139.75,127.69,139.14,146.63,174.49,167.71,171.03,164.00,171.93,185.24,192.26,200.12,210.83,221.36,224.89,245.50,248.33,268.06,277.57,295.46,312.23,334.78,360.67,393.11,430.62,467.02,499.72,L7
2002-04-12 22:02:13+00:00,415.99,429.77,447.35,443.05,449.18,454.91,446.25,431.21,413.94,394.90,389.70,371.03,355.59,325.06,309.76,308.35,301.74,284.98,278.51,282.48,288.03,314.79,270.64,306.23,314.58,315.73,311.80,323.44,326.56,331.36,308.65,302.67,302.76,308.34,,220.33,194.74,171.23,152.83,129.64,127.93,106.81,,80.54,61.94,45.21,28.63,,47.84,57.99,79.18,88.85,97.74,108.37,131.66,146.38,131.97,152.26,155.89,185.94,175.60,171.79,170.70,175.48,187.88,201.57,209.02,208.96,226.03,216.90,241.06,235.18,263.61,280.40,297.89,322.47,345.49,369.67,402.73,431.39,475.56,505.52,L7
2002-05-30 22:02:01+00:00,425.05,437.04,454.82,448.66,452.76,459.96,451.09,435.29,421.56,410.33,408.75,389.76,370.01,328.56,307.52,310.28,307.51,295.29,294.15,298.43,306.37,329.66,,318.81,321.87,324.75,318.45,334.64,336.07,342.36,326.39,318.73,333.23,330.96,,236.67,204.64,179.49,178.83,160.27,138.66,118.48,,80.54,61.94,45.21,72.13,98.47,47.84,57.99,79.18,88.85,105.84,116.05,125.72,151.33,137.55,178.16,168.07,198.83,184.21,180.13,178.68,181.67,193.93,208.13,216.73,222.31,241.90,216.81,245.11,233.08,269.76,288.96,304.42,331.06,352.86,377.21,413.25,441.73,486.07,513.89,L7
2002-07-17 22:01:44+00:00,425.05,448.70,453.58,456.58,456.79,467.36,460.96,434.87,429.82,410.33,392.24,378.30,359.47,344.65,293.11,325.18,307.51,303.79,294.15,298.43,306.37,327.73,277.37,318.81,317.46,307.84,317.60,336.84,332.97,324.18,324.98,313.96,326.65,326.16,271.89,236.67,203.68,174.47,180.85,160.27,135.51,118.48,,,,,127.18,98.47,137.02,,149.16,112.43,117.47,120.22,118.86,133.95,143.12,172.83,172.50,194.73,202.73,184.50,178.80,177.48,201.89,214.08,221.53,218.39,223.55,216.81,245.11,246.54,278.47,276.87,294.88,333.31,363.60,382.44,413.60,441.73,487.67,521.58,L7
2002-08-18 22:01:33+00:00,436.38,457.52,462.29,464.06,462.47,473.60,466.16,439.02,431.17,402.11,380.91,371.83,360.06,354.37,331.35,338.71,318.19,307.66,303.25,309.83,314.01,325.35,300.49,325.47,320.13,307.21,317.57,334.09,327.27,317.38,322.24,305.54,318.35,315.28,277.22,255.67,230.37,196.84,201.70,174.18,138.14,124.33,104.66,88.28,87.45,,127.18,98.47,137.02,,149.16,131.63,129.86,125.83,107.97,116.24,125.94,163.35,162.85,180.65,203.42,196.66,201.39,208.68,220.86,231.67,235.12,226.77,223.59,221.71,246.26,242.03,250.17,262.72,,348.37,368.75,386.31,426.99,457.53,503.34,528.01,L7
2002-08-25 22:07:36+00:00,441.70,457.86,463.59,465.10,464.31,473.71,465.34,439.68,426.85,398.63,379.07,366.78,357.24,350.40,332.73,335.01,318.67,309.69,307.43,312.64,317.25,326.30,308.37,324.76,318.73,307.21,317.57,334.09,327.27,317.38,322.24,305.54,318.35,315.28,277.22,255.67,230.37,196.84,201.70,174.18,138.14,124.33,104.66,88.28,87.45,79.27,127.18,98.47,137.02,,149.16,131.63,129.86,125.83,107.97,116.24,125.94,163.35,162.85,180.65,203.42,196.66,201.39,208.68,220.86,231.67,244.43,236.76,228.78,221.32,241.04,239.92,251.13,262.72,,348.37,368.75,386.31,426.99,457.53,503.34,528.01,L7
2002-10-05 22:01:07+00:00,440.23,456.95,468.63,468.35,466.46,476.07,464.86,442.94,427.49,402.38,380.17,366.26,354.28,347.44,333.65,334.16,319.68,310.38,308.36,311.75,314.82,325.56,311.53,327.04,324.36,310.94,319.85,331.40,324.69,315.52,316.62,301.63,312.51,308.23,272.18,252.13,231.24,201.88,201.91,177.45,144.62,127.57,104.66,88.28,87.45,79.27,127.18,98.47,137.02,,149.16,131.63,129.86,125.83,107.97,116.24,125.94,155.46,158.10,175.10,196.13,192.77,201.54,207.71,218.68,230.42,241.85,239.64,236.29,235.82,248.30,249.20,259.84,276.54,318.76,334.06,354.20,377.04,412.50,442.02,484.61,518.92,L7
2002-11-22 22:01:33+00:00,448.67,463.64,471.51,474.33,471.75,480.59,469.09,447.69,429.96,405.25,379.97,366.79,353.95,346.15,335.31,334.62,321.12,316.30,311.79,313.10,313.26,322.86,313.53,325.56,321.52,306.73,311.18,321.66,316.82,308.54,313.38,300.52,310.46,301.83,269.93,247.17,233.32,210.98,209.60,187.89,154.89,139.95,125.12,104.69,102.01,91.96,118.28,91.23,137.02,,149.16,158.34,143.21,125.83,107.97,109.55,117.58,142.67,146.61,164.50,184.52,182.76,200.31,213.08,224.50,232.56,240.37,235.33,235.10,238.69,249.14,255.11,265.39,276.43,304.98,310.23,336.83,365.00,393.66,421.49,452.30,506.62,L7
2003-02-01 22:08:09+00:00,446.16,461.93,479.54,477.45,475.48,483.47,470.11,455.74,431.63,412.50,390.50,375.66,361.78,348.32,338.78,331.64,323.35,314.76,310.53,312.18,312.78,324.01,324.01,327.07,322.06,310.07,306.45,303.04,304.13,303.75,301.51,298.81,297.90,292.65,269.69,247.39,233.62,212.19,203.30,183.36,165.01,142.25,128.19,111.19,106.04,91.96,100.48,84.00,,,,,,,,91.88,102.20,117.54,133.37,152.15,164.62,182.56,196.48,209.66,218.52,228.31,238.56,235.29,234.36,238.69,249.14,255.11,265.39,276.43,304.98,310.23,336.83,365.00,393.66,421.49,452.30,495.86,L7
