dates,satname,nzd0367-0000,nzd0367-0001,nzd0367-0002,nzd0367-0003,nzd0367-0004,nzd0367-0005,nzd0367-0006,nzd0367-0007,nzd0367-0008,nzd0367-0009,nzd0367-0010,nzd0367-0011,nzd0367-0012,nzd0367-0013,nzd0367-0014,nzd0367-0015,nzd0367-0016,nzd0367-0017,nzd0367-0018,nzd0367-0019,nzd0367-0020,nzd0367-0021,nzd0367-0022,nzd0367-0023,nzd0367-0024,nzd0367-0025,nzd0367-0026,nzd0367-0027,nzd0367-0028,nzd0367-0029,nzd0367-0030,nzd0367-0031,nzd0367-0032,nzd0367-0033,nzd0367-0034,nzd0367-0035,nzd0367-0036,nzd0367-0037,nzd0367-0038,nzd0367-0039,nzd0367-0040,nzd0367-0041,nzd0367-0042,nzd0367-0043,nzd0367-0044,nzd0367-0045,nzd0367-0046,nzd0367-0047,nzd0367-0048,nzd0367-0049,nzd0367-0050,nzd0367-0051,nzd0367-0052,nzd0367-0053,nzd0367-0054,nzd0367-0055,nzd0367-0056,nzd0367-0057,nzd0367-0058,nzd0367-0059,nzd0367-0060,nzd0367-0061,nzd0367-0062,nzd0367-0063,nzd0367-0064,nzd0367-0065,nzd0367-0066,nzd0367-0067,nzd0367-0068,nzd0367-0069,nzd0367-0070,nzd0367-0071,nzd0367-0072,nzd0367-0073,nzd0367-0074,nzd0367-0075,nzd0367-0076,nzd0367-0077,nzd0367-0078,nzd0367-0079,nzd0367-0080,nzd0367-0081
2000-08-03 22:10:43+00:00,L7,480.00,479.70,471.17,452.76,439.03,435.80,426.48,404.39,379.38,360.69,361.59,359.67,372.04,368.91,348.97,339.29,336.27,324.74,325.73,339.22,374.61,349.62,334.78,372.29,385.71,385.66,401.21,398.58,362.67,341.99,,333.92,310.70,282.64,256.52,237.79,216.78,190.76,198.77,,,,,,,,,,,,,,,,,,,128.31,160.06,172.79,179.19,177.88,192.34,198.25,,,,,,,,,,,,,,,,,,
2000-08-19 22:10:38+00:00,L7,457.69,463.11,459.35,430.18,412.58,394.86,387.92,379.69,356.63,339.27,332.23,336.41,339.71,337.93,339.43,339.82,321.28,308.01,299.22,296.65,316.66,313.99,320.98,333.35,337.26,338.62,334.22,330.79,332.53,352.39,332.48,,255.99,250.42,232.77,210.72,181.18,165.88,150.89,136.34,132.26,133.23,122.49,103.56,100.95,107.54,112.27,124.47,162.81,157.86,71.51,,66.99,68.80,74.43,79.59,101.12,115.63,127.43,140.88,149.36,167.35,202.86,193.67,189.65,199.85,210.77,221.71,230.87,252.73,253.43,264.65,270.73,297.63,314.72,333.57,352.48,377.32,408.01,448.30,489.42,518.23
2000-09-13 22:04:02+00:00,L7,378.30,389.79,386.26,382.56,366.09,353.45,328.08,309.88,301.33,290.69,279.86,283.16,279.79,287.76,280.28,275.42,256.46,247.05,235.34,234.12,233.27,240.28,261.26,261.28,251.14,250.23,236.36,235.35,239.48,250.26,238.46,239.39,212.86,192.25,165.38,136.92,117.86,100.72,78.83,73.52,,,,,,,,,,,,,,,,,,,,,82.79,93.93,108.25,126.25,137.52,136.97,144.26,142.40,159.32,172.32,178.39,189.95,210.81,223.42,241.21,272.22,289.81,306.54,335.42,377.96,411.29,451.10
2000-09-20 22:10:03+00:00,L7,493.32,493.80,488.13,472.01,466.98,433.08,404.60,382.08,377.37,364.80,354.28,332.75,321.58,327.87,342.94,348.65,354.56,343.01,331.89,321.19,318.80,312.48,306.85,312.98,319.22,314.05,320.01,328.05,336.54,,288.91,287.91,296.51,299.71,261.86,213.65,159.29,144.63,130.91,122.03,101.79,93.73,84.92,78.02,79.15,81.84,79.26,94.04,127.31,136.02,130.33,120.38,76.10,,190.10,85.40,181.16,196.91,167.65,164.54,175.25,186.30,203.83,216.00,228.57,242.53,263.42,276.17,270.09,241.33,253.37,261.48,274.52,299.68,322.00,326.80,349.90,371.59,401.67,445.79,481.83,513.49
2000-11-07 22:09:53+00:00,L7,401.33,401.11,404.74,399.57,394.82,382.65,358.62,331.51,306.56,294.39,275.36,273.42,265.86,269.08,278.44,283.31,287.62,298.94,294.07,290.09,280.25,276.01,274.21,267.35,258.05,256.51,254.39,254.26,255.58,255.08,255.04,240.74,234.13,214.75,184.83,156.36,132.44,112.04,97.15,84.83,73.95,,,,,,,,,,,,,,,,64.44,67.17,80.06,89.19,101.33,117.46,128.22,135.13,146.72,161.54,181.31,212.85,233.27,232.02,222.50,225.39,232.36,245.70,262.59,288.51,308.69,332.98,362.29,403.58,444.07,461.82
2001-01-10 22:10:03+00:00,L7,375.94,387.34,388.08,386.03,390.52,379.01,362.50,339.98,303.82,280.04,265.17,258.87,250.04,254.96,256.64,272.63,281.58,287.04,282.75,274.80,263.24,254.27,250.19,256.71,248.88,253.61,247.17,252.13,246.30,248.96,238.73,242.27,232.70,197.83,162.80,144.22,120.53,108.51,82.16,74.18,65.75,,,,,,,,,,,,,,,,,59.21,70.89,76.97,96.18,96.54,116.12,129.08,138.39,153.50,174.66,190.98,215.80,230.82,246.01,260.51,242.10,234.89,246.56,278.26,297.43,331.49,352.21,404.41,457.02,480.45
2001-02-20 22:03:48+00:00,L7,386.00,397.24,398.48,408.31,406.79,385.41,357.58,344.79,325.47,310.21,299.45,290.13,280.67,269.41,274.87,275.22,291.38,300.83,306.55,305.27,298.68,292.03,279.82,276.29,272.63,269.06,272.58,271.42,265.96,258.91,245.76,244.45,233.93,222.49,201.23,171.36,145.15,105.71,97.50,86.06,83.68,71.05,,,,,,,,,,,,,,,70.44,92.33,92.98,108.57,110.12,126.14,142.26,151.69,149.80,164.27,175.86,192.94,212.36,230.49,246.04,263.56,272.29,288.36,276.52,299.13,322.03,343.75,380.07,411.04,459.35,493.67
2001-03-08 22:03:44+00:00,L7,370.64,374.19,385.55,383.55,383.47,368.57,331.01,315.89,296.61,288.84,272.61,258.19,254.86,257.47,257.25,267.68,282.67,279.82,277.46,274.86,266.60,255.75,257.46,260.56,250.83,250.35,244.86,246.44,241.56,248.22,231.90,227.23,217.11,192.86,165.08,144.07,117.10,90.69,72.91,71.66,64.70,,,,,,,,,,,,,,,,,,66.27,74.07,82.81,93.97,108.24,122.51,127.95,149.05,154.71,170.55,190.77,215.32,217.54,234.81,234.05,233.32,252.28,279.72,297.48,329.82,351.19,398.85,447.93,482.65
2001-03-15 22:09:51+00:00,L7,502.57,470.33,472.54,,517.96,527.78,,388.74,365.16,351.28,344.88,331.15,319.46,307.75,305.39,340.31,364.12,365.28,376.86,393.70,405.64,398.13,396.96,409.33,406.93,404.67,402.07,389.34,383.19,,335.74,316.19,308.59,297.44,283.91,265.23,241.84,227.04,197.01,116.65,125.34,131.73,121.23,85.76,105.07,113.81,96.72,127.59,136.35,142.95,151.05,159.48,169.74,180.67,181.98,182.62,163.19,120.43,151.06,171.08,207.46,236.71,258.72,275.27,281.77,280.73,278.94,277.78,301.18,303.48,333.38,343.45,372.12,,407.34,324.96,382.67,373.86,410.94,440.18,489.23,521.27
2001-03-31 22:09:43+00:00,L7,545.18,516.07,507.93,570.19,599.09,611.83,630.38,,,354.75,345.25,346.86,342.11,329.78,331.91,348.12,363.00,371.99,379.31,407.04,420.80,406.95,404.68,418.72,427.04,427.22,423.78,416.90,407.45,401.89,382.51,363.35,370.53,375.08,,274.35,249.42,211.94,174.35,141.25,114.21,109.97,114.70,119.74,135.72,139.46,117.19,96.67,130.45,145.83,152.77,152.48,173.15,193.41,206.49,207.43,217.19,215.31,190.38,164.85,217.11,242.73,260.56,282.26,300.17,295.06,292.81,295.52,312.37,329.77,343.78,357.58,386.49,,419.96,420.99,445.59,469.14,420.86,447.94,489.58,527.00
2001-06-19 22:09:05+00:00,L7,,,,,,,,,,,,,,,,240.30,253.25,266.48,274.30,277.37,282.16,290.03,300.70,287.84,281.99,277.69,271.32,282.01,285.97,279.44,269.05,254.53,248.70,232.74,203.36,185.97,166.50,138.88,116.04,80.52,64.73,,,,,,,,,,,64.68,76.41,79.26,94.63,95.13,103.54,105.61,109.48,124.91,128.83,133.58,143.18,162.48,175.33,187.78,188.56,201.14,209.50,209.55,220.51,236.22,251.42,276.12,290.81,312.92,327.28,341.71,374.10,405.97,440.19,482.27
2001-07-05 22:08:57+00:00,L7,388.12,405.28,411.70,414.66,411.06,414.15,396.30,378.35,356.62,337.01,316.01,287.66,259.13,248.76,237.13,235.77,244.44,246.02,257.06,256.83,262.14,274.42,290.90,295.59,290.99,289.16,276.56,280.29,276.39,279.64,264.73,254.92,234.47,217.04,193.91,171.90,149.17,126.44,109.64,85.91,62.61,,,,,,,,,,,,,67.42,69.78,81.58,81.95,95.64,97.44,107.26,115.87,128.02,140.43,153.32,161.67,169.68,189.45,193.09,,,,,,,,,,,,,,
2001-07-14 22:02:45+00:00,L7,,,,,,,,,,,,,,335.95,268.95,267.58,,306.93,332.02,308.62,348.47,325.96,381.15,394.78,405.01,392.88,372.96,391.06,420.83,403.33,394.67,374.39,354.33,,282.39,256.27,234.42,233.21,224.50,177.65,165.92,141.75,90.23,87.66,92.63,87.71,87.87,109.70,129.79,145.21,144.98,151.03,167.89,185.16,202.21,207.54,210.59,208.04,214.91,221.46,225.05,218.98,218.90,227.25,258.11,276.61,275.60,297.02,,,,,,,,,,,,,,
2001-08-15 22:02:14+00:00,L7,402.63,418.72,426.61,443.50,447.05,438.16,421.37,408.53,386.37,368.10,339.75,317.67,303.10,280.70,266.05,241.18,245.12,244.68,260.80,276.65,282.59,282.95,292.89,295.88,301.08,293.87,303.14,297.70,301.99,296.04,287.06,272.02,259.81,237.89,214.76,193.35,161.94,145.59,126.75,110.70,89.29,69.50,,,,,,,,,,61.48,78.56,96.19,113.54,117.42,133.64,132.61,130.97,140.20,145.72,151.03,153.52,159.38,176.38,191.28,200.51,212.86,221.82,232.74,243.04,249.92,249.68,274.39,293.10,311.03,328.95,352.10,373.17,410.79,456.40,482.45
2001-08-31 22:02:05+00:00,L7,376.10,397.41,407.79,411.27,417.11,411.28,396.06,375.35,346.30,325.85,311.70,293.91,279.23,266.23,253.12,237.93,226.57,217.86,225.70,241.44,252.45,260.71,266.03,265.79,271.50,266.87,269.99,265.49,268.63,267.69,262.43,254.75,232.39,207.86,182.94,156.93,141.97,116.92,102.41,75.95,,,,,,,,,,,,,,,,82.17,86.85,97.35,105.06,110.54,110.62,121.45,121.29,130.02,139.36,151.79,155.05,172.46,187.72,198.55,210.34,216.18,236.22,249.45,264.16,285.00,298.92,328.30,353.32,390.64,422.80,459.65
2001-09-23 22:08:02+00:00,L7,,,,,,,,,,,,,,,,339.87,322.67,314.50,302.79,289.11,,,310.80,,,370.39,371.12,360.50,358.92,345.60,335.85,331.94,315.59,311.52,276.97,,264.65,261.42,,161.30,145.26,114.17,85.76,74.70,76.61,82.29,61.20,69.20,101.92,133.78,140.31,119.71,139.60,182.06,213.85,209.37,223.36,218.25,229.31,198.07,216.28,241.45,266.90,278.45,,207.50,232.45,247.22,233.39,259.60,301.76,312.33,,289.57,309.95,327.01,354.17,375.06,420.70,487.61,505.83,537.18
2001-11-03 22:01:46+00:00,L7,388.47,404.80,413.60,416.14,426.35,429.13,420.90,407.38,383.03,348.37,316.87,299.16,296.68,298.92,298.57,288.81,274.51,248.69,231.55,234.92,235.69,251.37,251.84,262.28,273.91,281.94,287.66,288.39,290.18,282.58,270.62,257.11,249.60,224.67,189.26,171.99,149.36,130.78,111.34,100.87,90.81,70.03,,,,,,,,,,,57.76,74.21,93.14,103.82,112.96,115.65,115.86,128.46,130.95,127.99,127.97,138.12,150.96,163.12,167.08,163.47,175.48,198.19,214.16,220.57,232.52,244.49,261.33,277.92,304.55,328.25,352.37,391.92,425.21,461.60
2001-12-21 22:02:05+00:00,L7,547.28,556.72,563.16,,,,,,569.81,,440.03,422.59,409.43,335.37,350.61,375.88,391.99,392.46,384.09,382.41,380.54,367.92,,,365.08,364.24,343.34,368.62,372.33,388.74,388.20,396.54,395.85,374.04,358.64,,235.24,218.20,207.17,229.87,230.70,210.88,183.99,109.21,90.61,73.88,63.03,68.43,82.24,92.39,113.58,121.99,137.01,151.90,174.17,200.93,233.05,250.62,254.68,244.78,215.77,205.79,212.83,224.44,240.61,258.65,241.54,260.62,294.66,313.73,,254.02,295.44,335.45,356.96,360.94,365.79,401.15,446.94,500.95,517.28,539.47
2002-02-14 22:08:29+00:00,L7,408.67,422.46,422.73,425.43,430.61,439.97,435.57,413.45,396.76,385.84,386.14,362.81,336.09,302.39,280.11,275.80,283.77,289.53,287.11,288.75,296.28,313.57,299.16,291.50,294.33,290.38,276.60,288.13,300.49,309.78,303.25,308.06,317.37,315.11,,209.83,178.73,152.92,119.56,115.74,130.19,105.33,,,,,,,,,,58.43,79.68,99.00,127.66,134.40,126.41,138.08,152.63,183.02,157.35,150.86,148.71,149.93,164.83,172.63,196.90,202.79,207.95,201.21,213.74,230.94,262.87,261.27,275.38,302.66,342.85,362.98,384.61,410.32,456.40,493.11
2002-04-12 22:02:13+00:00,L7,410.02,416.73,424.11,419.57,422.59,427.62,414.28,404.81,394.03,382.50,376.43,360.22,340.85,324.25,299.12,292.43,278.93,248.71,248.87,255.78,264.13,279.09,277.30,283.31,277.80,287.02,300.28,309.31,303.91,305.00,293.79,284.55,283.03,280.19,246.79,211.18,176.29,143.70,126.05,104.32,94.80,86.78,65.28,,,,,,,,,57.73,77.18,,153.88,172.06,150.42,135.04,131.18,140.28,151.12,155.33,146.09,142.23,147.94,164.70,183.35,212.64,221.28,215.15,213.67,,,,302.53,301.17,321.55,339.11,379.79,410.33,456.14,480.69
2002-05-30 22:02:01+00:00,L7,,,,,,,,,,,,,,,,,,,,,,,,,,350.37,346.57,365.52,360.57,358.91,351.58,375.57,368.73,347.52,332.49,,321.83,293.57,254.13,225.09,222.79,213.88,219.33,213.60,226.59,134.08,135.64,118.47,,,,,,75.23,107.68,150.99,216.00,225.69,245.52,270.40,283.61,268.10,291.65,318.97,325.83,308.17,,,,,,,,,,,,,,,,
2002-07-17 22:01:44+00:00,L7,218.50,493.35,489.49,504.40,496.83,514.16,512.70,466.03,478.34,,393.82,391.54,381.13,386.97,415.49,386.99,,352.79,,457.16,,,315.77,297.82,298.14,299.94,343.30,380.75,363.25,319.38,348.18,331.85,334.33,,303.89,,,359.52,,,161.21,229.33,229.94,207.69,199.67,184.23,177.12,184.72,175.42,180.60,187.56,196.74,175.21,164.23,156.92,152.12,176.13,188.85,213.37,236.49,275.33,301.09,290.06,312.42,268.50,280.51,,319.87,,,,,,,,,,,,,,566.54
2002-08-18 22:01:33+00:00,L7,430.54,448.03,447.26,446.55,446.32,457.36,449.84,424.57,399.48,368.06,350.81,342.07,336.53,330.23,317.02,315.05,303.78,299.82,303.97,310.22,310.24,307.20,306.40,303.22,298.06,286.52,275.14,275.79,276.35,281.24,291.13,281.64,283.02,281.13,268.21,246.51,230.78,196.33,180.51,156.14,136.74,115.87,92.37,73.95,73.12,,,,,,,,,,,79.95,90.89,98.84,122.33,139.18,157.82,173.59,192.30,210.72,220.13,223.79,222.50,209.57,206.39,204.51,214.46,224.83,232.97,245.52,,,,,,,,
2002-08-25 22:07:36+00:00,L7,444.34,450.00,451.51,454.89,456.50,460.69,449.54,428.32,400.55,378.33,360.22,338.32,335.45,325.17,320.78,310.60,306.30,302.43,302.46,304.93,310.40,312.21,308.14,307.36,299.92,,,,,,,,,,,,,,,,,,,,,65.94,,,,,,,,,,,,,,,,,,,,,247.05,230.75,217.98,204.93,214.59,221.80,236.09,,,,,,,,,
2002-10-05 22:01:07+00:00,L7,400.60,414.20,418.37,422.70,416.39,426.85,404.29,397.32,371.40,354.96,325.92,305.50,283.77,276.91,276.81,272.09,264.06,254.49,252.46,250.40,248.87,252.92,250.60,263.48,270.84,267.19,270.32,261.96,255.73,249.39,243.84,239.63,238.85,228.40,203.43,186.36,174.31,153.28,132.14,128.59,105.41,83.77,,,,,,,,,,,,,,,,65.20,85.18,88.05,103.84,114.58,131.42,135.37,141.73,156.27,163.71,175.01,180.91,194.43,199.68,197.37,206.85,219.96,230.76,249.35,269.25,297.38,327.62,356.11,395.47,430.32
2002-11-22 22:01:33+00:00,L7,460.98,469.28,472.93,478.11,477.71,478.88,464.07,457.21,435.03,422.66,404.06,391.53,367.89,346.48,329.63,323.37,313.35,306.96,291.26,289.86,286.52,302.70,308.75,311.76,300.86,294.65,285.57,289.26,293.18,298.80,302.19,304.66,297.37,283.29,252.52,224.97,211.21,199.67,191.21,174.74,164.51,148.48,136.45,110.43,105.90,93.98,87.68,71.20,,,,,,,,78.81,91.73,99.76,113.89,132.27,139.08,159.72,176.82,192.74,205.63,207.66,211.80,209.60,218.74,234.50,251.45,260.04,269.24,263.42,275.19,287.90,321.22,349.41,376.51,403.67,425.93,478.21
2003-02-01 22:08:09+00:00,L7,413.15,437.90,445.21,449.65,445.14,458.24,447.49,435.96,416.36,403.14,376.17,365.55,349.94,327.50,314.35,301.74,293.94,274.77,267.16,270.16,272.56,282.61,283.77,287.12,278.20,269.92,272.78,263.13,269.25,263.56,264.31,264.74,267.79,255.80,232.59,209.74,196.17,177.50,162.95,151.98,131.37,116.32,101.47,85.85,75.77,,,,,,,,,,,,69.68,84.37,90.08,102.68,111.32,135.93,138.97,153.41,160.20,179.10,185.36,189.12,185.38,,,,,,,,,,,,,
2003-02-26 22:02:04+00:00,L7,460.77,467.80,475.34,478.47,485.16,487.52,475.64,450.70,441.75,431.63,423.33,394.54,379.54,363.31,350.97,341.07,324.51,306.51,298.15,284.85,292.74,290.63,303.63,311.72,312.77,315.63,314.18,308.10,296.86,291.11,297.46,300.06,302.48,301.59,284.21,265.37,237.36,236.95,202.94,196.28,180.52,156.09,136.82,126.25,115.55,117.55,118.11,104.56,99.91,73.30,,,,,,78.23,105.14,118.98,127.74,133.63,135.88,154.48,174.90,192.31,206.43,222.89,228.67,233.36,234.77,241.24,247.05,259.24,253.39,261.49,290.93,308.54,328.20,339.23,351.47,383.14,438.36,482.86
2003-03-05 22:08:19+00:00,L7,457.07,467.80,477.58,479.31,479.43,492.45,481.75,464.98,438.47,436.66,426.24,400.45,379.38,366.29,355.43,351.41,341.20,327.82,314.69,301.02,298.22,296.73,306.87,316.44,320.69,320.54,323.21,311.44,294.49,290.35,300.69,306.45,312.26,300.37,282.02,271.03,236.39,223.45,223.36,200.27,189.30,161.36,131.71,123.47,130.43,145.36,153.24,153.80,134.67,87.68,,,,,,73.80,94.88,119.84,131.75,145.41,149.19,153.71,168.93,187.93,205.22,222.60,229.03,243.67,245.53,246.79,245.81,256.38,261.99,264.26,281.78,304.49,333.80,351.22,373.97,388.41,439.58,480.95
2003-03-21 22:08:15+00:00,L7,522.75,540.53,513.05,510.57,527.83,532.87,521.84,505.81,480.41,486.40,470.20,440.70,431.08,436.45,414.44,421.41,417.87,398.61,383.22,359.30,356.03,354.66,382.47,369.35,375.26,379.19,375.20,364.32,347.58,332.04,336.89,365.96,375.16,378.39,364.52,343.99,325.60,,238.47,265.39,274.45,262.84,205.86,177.46,172.58,174.64,185.69,198.90,204.65,206.08,188.90,127.49,84.41,98.29,108.25,104.88,130.87,159.44,179.40,199.95,220.10,219.06,244.83,241.83,279.72,266.58,267.96,301.53,303.30,291.65,284.00,282.91,312.89,297.41,304.19,339.57,381.74,395.09,431.03,441.42,461.25,523.31
2003-05-24 22:08:16+00:00,L7,,,,,,,,,,,,,410.27,400.74,384.44,363.05,351.23,365.85,367.90,360.53,355.51,332.74,334.45,347.84,362.79,379.46,391.62,,,356.69,338.82,335.42,333.61,327.61,315.36,315.67,311.11,308.06,297.38,,225.80,208.62,207.61,209.16,180.05,185.79,197.30,180.53,163.64,166.19,174.75,175.75,177.39,173.05,155.68,115.11,111.83,115.16,137.59,151.14,181.28,195.07,220.40,204.41,217.44,252.32,271.60,292.55,306.32,305.39,302.73,298.45,297.70,301.34,308.95,309.66,347.73,378.60,416.58,440.51,477.89,509.50
