,dates,jap0190-0000,jap0190-0001,jap0190-0002,jap0190-0003,jap0190-0004,jap0190-0005,jap0190-0006,jap0190-0007,jap0190-0008,jap0190-0009,jap0190-0010,jap0190-0011
11,1988-04-05 00:46:18+00:00,175.5462755218117,174.99224377909107,,,,,,,144.6081101268339,147.23450077063956,143.95981677231742,138.63986275801972
12,1988-11-15 00:46:49+00:00,163.24992402542657,166.7282026824421,165.54933832543534,164.3456710219658,153.14112458436603,151.6025281785669,157.01556805477068,155.93226474099606,148.0704103151939,142.11884403512778,139.17641113166783,149.17253716489455
13,1988-12-01 00:46:24+00:00,163.74768816915739,164.60406484858342,160.33275703886747,156.98977424269566,159.26812811321247,161.1984134488153,158.47948936297635,154.41119277870155,143.9448510545122,139.5759270946237,133.70531638624092,136.44453611502067
14,1988-12-17 00:46:33+00:00,163.18995709080056,163.612197024981,164.89867744461594,155.80177021353097,158.11557425865936,158.25689279256466,156.0648765996275,156.90432036115487,146.4310760000888,142.46607484261563,141.0779290736996,147.66016828503788
15,1989-03-23 00:45:09+00:00,181.67659890300985,181.2793540124742,178.530391226461,173.22153593863885,172.13361207332753,171.59661704017708,168.557041933745,166.33432267833527,153.84047035175627,158.29495719552347,154.2419672312855,152.36659537071927
16,1989-04-24 00:44:41+00:00,,194.77834649085412,155.0610568806229,157.73992984404512,155.68610211620307,151.45619438386217,151.9977049954678,124.26777958765281,129.99942756666704,132.11906605178447,136.43476810026914,133.49162540543028
17,1989-08-14 00:42:57+00:00,176.21347450137125,178.0924145610333,170.36533156769536,168.11593708386857,162.94009909409135,166.77735213313335,164.6093412094629,155.589331300811,145.31838788409215,144.51641351749163,144.92890822173783,144.23966707522845
18,1989-08-30 00:42:13+00:00,,174.20799935202723,171.16861014538657,164.1500114552931,160.37099904783884,158.8757281941318,161.72857408661548,158.55994631624955,148.54895034946452,148.8815202106813,140.0710639199154,140.11898919994937
19,1989-11-02 00:40:56+00:00,169.4663887282363,167.49735027193225,169.68090430483937,164.1859137531206,160.75756487684984,159.5675676424056,159.93789577948914,158.01733362874126,152.50524091232006,145.5748390747165,146.75784179304173,147.83831596395171
20,1989-11-18 00:40:18+00:00,157.73034695636744,161.1308367945752,165.90638686300895,158.99771357865583,156.3548829145769,155.2978454333582,157.06967147706064,155.96376167636168,145.24522799327013,136.3251250809261,136.4748609647474,141.88112159934244
21,1989-12-04 00:40:00+00:00,153.963010667436,145.8306666917384,149.40278110213862,150.84499568685348,148.25178090321342,148.13161860527032,147.80418469722358,144.4089660901006,142.38789130473762,129.70761577674926,135.54485890491446,138.50692488618986
22,1989-12-20 00:39:32+00:00,165.6316895817538,162.90749849940147,167.78304200638846,161.8837168889388,160.27121412559956,163.01913574860333,164.00637029340285,157.33555895880795,152.9362267810929,142.83753257798634,146.3353853149068,149.87835327258983
23,1990-01-05 00:38:57+00:00,172.35340407007016,177.52109961811948,175.2960209484136,172.07469272033023,166.81454506285047,169.92273819914786,168.55566898036687,161.15640559907143,153.05501181773462,159.75780919833116,159.0456686796316,156.72744726123594
24,1990-02-22 00:37:31+00:00,177.6469287589739,176.77546589730463,172.17109020900813,171.2897245425546,166.04860532336917,167.1076511167154,165.31933440647677,158.58900038461655,158.75522754247584,156.0257392674029,151.0491060417922,156.3666734698948
25,1990-03-26 00:36:26+00:00,,,,,,,,,,,140.613983137024,135.83023306991987
26,1990-04-11 00:36:00+00:00,177.34655168251126,173.6730545919634,172.95066815357703,169.05399053991394,163.92911878602183,165.08841935359533,162.87558770591272,157.00460460389075,144.2985256762619,144.36490715050581,148.78053727207487,150.89581435037283
27,1990-05-29 00:36:24+00:00,,,,,,,,,146.5407235370401,147.9091132580731,144.61164259143902,142.4927432574877
