,dates,chi0057-0000,chi0057-0001
79,1992-06-19 14:06:08+00:00,192.24901311923531,197.21685699981367
80,1992-07-05 14:05:34+00:00,200.86578902576818,206.27268331112938
81,1992-07-14 13:59:40+00:00,,
82,1992-08-06 14:05:33+00:00,203.25917534810068,213.33042564753498
83,1992-08-22 14:05:16+00:00,202.87827397175752,206.69434190820033
84,1992-09-23 14:04:46+00:00,195.61585576304418,203.51503542122765
85,1992-10-25 14:03:51+00:00,192.3164250880041,202.0369177000253
86,1992-11-03 13:57:55+00:00,,
87,1992-11-10 14:03:31+00:00,208.19545713425126,215.38915771594216
88,1992-11-26 14:03:53+00:00,203.41710348461456,215.2081994988293
89,1992-12-05 13:57:51+00:00,198.87483730628813,204.70325463257635
90,1992-12-12 14:04:06+00:00,198.91810201334758,210.30976888158764
91,1992-12-21 13:58:01+00:00,186.11530022795154,196.00549983314778
92,1992-12-28 14:04:15+00:00,193.05684556186736,202.35677674424966
93,1993-01-06 13:58:11+00:00,179.68670294870313,179.46197969577156
94,1993-01-22 13:58:23+00:00,193.8112428055756,204.21369463222166
