,dates,chi0508-0000,chi0508-0001,chi0508-0002,chi0508-0003,chi0508-0004,chi0508-0005,chi0508-0006
252,2010-01-21 14:32:39+00:00,227.23214101965084,186.31064782099133,149.49894172760375,176.13661812723137,171.98498893231425,175.75807052124213,185.43800303356136
253,2010-01-22 14:27:17+00:00,205.22238989259094,200.93817938677017,206.84596889072532,203.05457770637048,193.94490793049147,193.55694523682874,184.80247419279345
254,2010-02-14 14:33:45+00:00,206.9892743719628,211.43665489522473,207.31427991043273,178.1363955887104,190.51774209579804,187.9834624497367,
255,2010-02-23 14:27:39+00:00,249.42636468700184,210.4126857697268,214.9620878697615,,,,
256,2010-03-11 14:27:46+00:00,220.17772965328894,210.60056651469,189.79019016986848,205.45555984624812,,,
257,2010-03-19 14:26:37+00:00,,206.67084786534045,204.112150650587,199.56869078039693,196.44695268109834,197.67436904084826,176.3305791236281
258,2010-03-27 14:27:51+00:00,205.27498412364076,190.15392644633994,197.69340396409723,169.4205260058754,191.66916820925348,,
259,2010-04-03 14:34:03+00:00,249.93144848181558,207.5222706045891,198.14350563455753,,,,
260,2010-05-14 14:27:47+00:00,234.5318257398042,178.98632519528746,172.33057423339457,195.1325413441584,189.8765212709559,192.17450513743512,169.1691488851249
261,2010-05-30 14:27:48+00:00,,,,191.80435590525096,193.89136336203381,197.1130992149205,150.42032818437718
262,2010-07-17 14:27:53+00:00,,,,,180.75877417011554,171.81724213801428,186.9984309299707
263,2010-08-02 14:27:53+00:00,282.0773301820123,208.43886082077017,187.19440170564383,168.27359769395056,153.0180519719874,161.26022001092156,
264,2010-08-09 14:34:03+00:00,249.89590211871038,179.87725303493826,153.95920780780307,139.0157499935461,,,
265,2010-10-05 14:27:56+00:00,,,,,,124.42113382293628,185.68236741234696
266,2010-10-21 14:28:06+00:00,,,146.28215217747422,145.25313801730246,,130.24985443547084,179.47160085691283
267,2010-11-13 14:34:33+00:00,234.4491028977861,182.9588040384773,183.54567245953496,175.63994657807814,149.32915932615572,168.3675002980654,194.88715288554363
268,2010-11-14 14:25:27+00:00,259.1012622076001,206.5412373262858,185.63111831707556,182.10513271232819,153.3191424568485,169.37382012165105,200.61160263824084
269,2010-11-30 14:25:28+00:00,227.12942729139527,190.1107209042648,190.47743576189228,184.9347478860978,170.8135729265617,164.45544983506113,158.875080720038
270,2010-12-15 14:34:52+00:00,234.746627873305,184.02929297375516,186.99835271313015,185.64289583966016,152.34254070593812,180.17720950747335,178.06108076146728
271,2010-12-31 14:35:01+00:00,,,180.6977799117896,182.6825830103559,146.94045285088708,186.8255691204052,181.95780191158758
272,2011-01-08 14:31:46+00:00,234.09877450469074,184.78493889236626,183.39647557822502,183.05501724409012,185.90909564578135,186.2118150882235,184.97726887759947
273,2011-01-09 14:28:55+00:00,249.19609672377993,190.4336939618109,189.68291702922576,,,,
