dates,satname,nzd0509-0000,nzd0509-0001,nzd0509-0002,nzd0509-0003,nzd0509-0004,nzd0509-0005,nzd0509-0006,nzd0509-0007,nzd0509-0008,nzd0509-0009,nzd0509-0010,nzd0509-0011,nzd0509-0012,nzd0509-0013,nzd0509-0014
2012-09-21 22:16:17+00:00,L7,389.63,,,,,,,,,,,,,,
2012-11-08 22:16:39+00:00,L7,387.57,322.54,310.05,326.24,324.23,319.13,317.57,313.00,324.07,326.81,328.67,331.92,331.45,335.21,315.74
2013-01-04 22:10:46+00:00,L7,370.30,313.91,,,,,,,,,,,,,
2013-01-27 22:16:59+00:00,L7,,,,,,,,,,,,,,,
2013-02-21 22:10:46+00:00,L7,371.48,328.32,,,,,,,,,,,,,
2013-04-01 22:16:50+00:00,L7,370.39,314.73,324.33,309.13,304.70,304.56,281.89,310.36,308.56,301.52,302.90,311.46,318.00,299.48,
2013-04-17 22:16:45+00:00,L7,372.75,315.73,313.73,329.52,328.73,322.96,314.19,306.74,328.68,338.01,345.93,338.10,337.35,329.50,327.08
2013-05-03 22:16:41+00:00,L7,,,,,312.70,304.33,292.47,284.18,314.84,322.62,312.93,316.29,320.05,303.12,
2013-05-11 22:22:42+00:00,L8,392.03,342.61,327.22,342.92,347.07,326.87,308.26,292.88,343.13,356.88,351.86,359.16,358.59,352.81,349.68
2013-05-19 22:16:39+00:00,L7,373.22,327.02,326.57,,,,,,,,,,,,
2013-06-04 22:16:28+00:00,L7,359.61,313.88,295.06,305.86,313.97,304.27,297.11,279.93,323.24,277.51,285.60,326.99,311.55,323.32,336.37
2013-06-05 22:16:38+00:00,L8,,299.00,319.97,314.15,321.24,316.60,315.16,277.62,233.09,,,254.10,293.94,325.38,328.07
2013-06-12 22:22:47+00:00,L8,468.63,422.09,361.93,322.43,352.36,473.85,524.69,531.91,523.55,537.49,603.59,400.04,508.09,604.19,
2013-06-13 22:10:16+00:00,L7,369.72,344.22,327.34,332.57,347.15,317.73,322.78,328.60,514.74,613.97,581.97,612.18,622.90,467.68,
2013-06-28 22:22:44+00:00,L8,372.10,306.71,291.16,312.94,313.22,308.89,312.89,283.79,265.84,280.47,287.05,312.69,314.20,329.02,327.22
2013-07-06 22:16:14+00:00,L7,377.50,,,,,,,,,,,,,,
2013-07-07 22:16:35+00:00,L8,386.52,311.68,298.19,315.50,311.66,316.89,299.68,285.26,282.23,281.89,289.97,322.31,322.95,336.93,328.02
2013-07-22 22:16:07+00:00,L7,390.82,317.65,310.44,328.52,337.10,345.56,330.22,293.35,326.99,287.70,319.47,340.57,346.03,356.03,348.97
2013-07-23 22:16:34+00:00,L8,,,,,,,,283.25,313.27,279.48,292.04,331.07,337.64,354.39,350.43
2013-08-08 22:16:37+00:00,L8,390.02,327.02,321.58,337.63,344.82,341.95,343.87,314.44,334.39,322.74,352.87,358.61,339.53,354.83,346.01
2013-08-31 22:22:50+00:00,L8,390.60,333.09,328.40,338.24,343.29,336.69,341.86,350.24,347.92,344.43,349.66,344.85,320.32,328.73,326.83
2013-09-08 22:16:22+00:00,L7,,,,,,,,,,,,,,,
2013-09-17 22:10:16+00:00,L7,369.51,325.07,321.04,305.07,299.60,295.66,269.82,305.17,293.93,297.44,302.06,296.20,307.47,249.94,
2013-10-02 22:22:40+00:00,L8,407.18,343.36,334.97,342.64,346.81,355.18,356.71,353.44,358.75,347.77,352.37,353.90,335.20,345.25,332.67
2013-10-10 22:16:44+00:00,L7,,333.12,326.03,336.65,340.55,335.05,344.23,337.74,336.54,340.04,342.92,329.94,317.69,327.40,316.92
2013-10-11 22:16:29+00:00,L8,388.71,319.78,317.88,326.41,339.74,335.78,329.57,335.69,330.52,338.81,338.26,330.60,315.06,320.80,314.52
