,dates,usa_CA_0204-0000,usa_CA_0204-0001,usa_CA_0204-0002,usa_CA_0204-0003,usa_CA_0204-0004,usa_CA_0204-0005,usa_CA_0204-0006,usa_CA_0204-0007,usa_CA_0204-0008,usa_CA_0204-0009,usa_CA_0204-0010,usa_CA_0204-0011,usa_CA_0204-0012,usa_CA_0204-0013,usa_CA_0204-0014,usa_CA_0204-0015
10,1986-07-11 18:08:57+00:00,266.70378615961374,271.13323274026624,278.80044595402495,268.8998726741994,281.8485191218244,279.8401517772524,279.92605606728614,283.01679396556136,278.02120902728274,294.5839073747267,281.86710547534716,275.8002441568074,275.27639594901706,238.2189995602337,200.52035088320358,183.78853640105197
11,1986-09-13 18:06:40+00:00,,,,298.6991956965936,294.6370578343825,261.0899199434372,283.4519101773304,318.11713210544957,308.2134651349694,310.8321592370619,310.0610397739483,304.16583016125935,302.7087074049984,271.09868542494917,232.95176831795388,185.32111114449793
12,1986-10-31 18:05:05+00:00,227.60191044939342,248.10187259594485,,230.15963720110355,256.08072409551863,244.73066603585517,261.9773857740413,283.73484789359946,,,191.7397815455556,247.1462689396061,235.9191765781802,217.65147295334768,208.24451062939758,192.9781826999697
13,1986-12-02 18:04:29+00:00,220.19357883199555,222.87688554075572,,227.53039528230386,233.62626045398835,225.19796751655178,235.87095095093767,256.6033256359091,,,192.24913491790448,222.25899189493043,217.64500619697645,212.1872722657074,204.19446666170109,203.90859890833528
14,1987-01-19 18:05:54+00:00,,231.13460498848445,237.3595209473249,222.39361394119663,234.95620607741543,225.32049540369744,247.73292042484405,266.46169048696646,258.68562344407843,,218.0510852966222,213.97227516057717,213.24165848267364,192.0926626989493,192.30451289683185,193.41031045256605
15,1987-02-04 18:06:27+00:00,205.6357051747219,230.46740612218105,232.81485256807971,233.2075457341646,242.44556527652492,230.65895501619354,246.4964826830026,270.8864890194264,258.23951975517065,,227.36230298595447,212.4489847500705,209.80794948750824,192.49501809657136,179.9750524275378,181.65291848253068
16,1987-02-20 18:07:05+00:00,239.0643723859198,241.4091433802657,243.68589330730518,242.06373343390268,248.0967719305311,257.82640315511964,,304.97638365654024,272.7896843648311,,257.0058098171094,242.96209705827673,231.7466431484164,203.75495267977223,184.7725255413772,188.14863290088346
17,1987-04-09 18:08:50+00:00,237.03688744490785,232.9631537311212,232.65422421950933,232.3645915757313,243.35720334110613,235.23634810134925,253.98354540375743,275.73974531200776,268.9334352428403,,242.6447412234166,238.61763473758558,238.40524177654785,204.84550611495496,174.71181726357318,177.86578333920545
18,1987-07-30 18:11:39+00:00,282.22643068026474,278.98043354780253,294.51150604971417,285.0321384026897,281.602720797471,264.81010184831916,278.66348017165024,,,322.4738127091826,303.28415034318573,290.0373187668155,294.3824020801093,268.84255729423705,234.5707812540372,193.03610992491014
19,1987-08-15 18:12:08+00:00,290.7788322099456,292.4347009089118,300.66559726842075,282.0625854404441,279.4654383407869,276.98736068811564,294.28911541377516,311.91833018373603,305.48028547109874,304.3871562791527,291.85844782978484,290.9955126128569,293.51804841556134,265.6453778182773,234.7635152993019,192.3101512176439
20,1987-09-16 18:12:57+00:00,283.64369331798304,275.9035812058309,281.9806678955828,274.06865522935874,276.61513114028173,270.7718238549829,287.49580071744685,300.4757552080565,299.71687938139365,287.01124481090284,305.81663806161583,297.0843685956958,296.8537033752787,262.6264803959525,235.49784099091616,193.98283092831196
21,1988-03-26 18:16:06+00:00,259.77812880446663,240.61357609118366,249.40054661180872,258.0686407932654,253.37267230162448,235.9770214815654,258.53448213186846,285.85062843908685,293.63001903180265,301.4980736665311,310.7801787258321,289.95624222734926,266.82440973108305,223.3655951714869,201.72859311954284,187.48505557720318
