,dates,nzd0302-0000,nzd0302-0001,nzd0302-0002,nzd0302-0003,nzd0302-0004,nzd0302-0005,nzd0302-0006,nzd0302-0007,nzd0302-0008,nzd0302-0009,nzd0302-0010,nzd0302-0011,nzd0302-0012,nzd0302-0013,nzd0302-0014,nzd0302-0015,nzd0302-0016,nzd0302-0017,nzd0302-0018,nzd0302-0019,nzd0302-0020,nzd0302-0021,nzd0302-0022,nzd0302-0023,nzd0302-0024,nzd0302-0025,nzd0302-0026,nzd0302-0027,nzd0302-0028,nzd0302-0029,nzd0302-0030,nzd0302-0031,nzd0302-0032,nzd0302-0033,nzd0302-0034,nzd0302-0035,nzd0302-0036,nzd0302-0037,nzd0302-0038,nzd0302-0039,nzd0302-0040,nzd0302-0041
494,2018-07-31 21:59:29+00:00,208.3091827069276,220.40988472202707,236.1563573380341,238.01599266020378,,,,,,201.93784490367625,192.4741280165444,203.40017612232347,210.10064052553565,203.3994001944922,172.03259825899335,169.6243009116239,176.18990750886667,187.63192993417408,,,,,,,226.1959745372095,223.65374356022346,232.79773321753288,231.87311956477555,251.55866952209578,243.76233996647693,226.3564377975884,,,,,,263.87417456920895,253.82672079646775,238.14441250244678,246.61544855545978,,
495,2018-08-01 21:53:46+00:00,233.93810088368178,247.440802514589,273.66879787443145,259.67850442907223,258.22014704742173,250.1142963201317,249.45710334790988,263.714896949827,250.07067436579683,219.21209364320737,201.3596205083428,216.30420213393393,221.90744933404505,210.30565187438037,191.4883288674751,196.1590139030286,199.43443769768498,211.54875478640787,222.13419835430437,236.68266223534485,259.36611296629997,269.4707059369438,259.4864523960868,238.4080965732357,232.6055478240417,238.07215288282876,236.844918333885,249.59174096329784,262.6970302218307,261.57958055213317,244.8836966892689,244.0844483884183,254.49767651368882,256.5594270793975,243.96815730389991,257.5153226429218,265.6046164131566,252.22481558079062,245.85623398096598,256.15630978758236,272.564953000332,
496,2018-08-09 21:53:08+00:00,,,,,,,,,,,,,,,,195.56126969676944,,,204.26337922650114,217.6297039992686,,,,,,,,,,,,249.3995147448146,,,255.1236058253482,,,271.73844896076736,,,,
497,2018-08-24 22:00:09+00:00,,228.14895779044178,237.0009429610341,233.76649636766294,234.28458440689388,232.12383315617194,226.50832791997195,230.04792348949837,216.32960290368186,181.40360987124416,174.18740573730943,194.47566989299798,202.66721846693707,170.66886755851874,158.56348142196452,170.3403330866213,174.18757938661307,178.70978610734238,183.95684165143265,207.3752037987502,240.17764363510412,245.58241116477936,235.4976545706653,219.90766797501874,215.68606062031165,215.4177923764242,216.71946188624133,229.29678247450966,246.04516503021054,239.95030824404463,220.78132090732976,221.76153346945142,230.5629590387873,228.120427610895,225.81888849144025,232.00024254392267,239.92547899385005,242.4925927755816,228.5927304711913,225.78066883962526,237.23713585150801,220.08820270489718
498,2018-08-25 21:52:49+00:00,,,,,,242.49966044437778,246.39967725818823,252.68182259614565,227.4444134384467,195.69367183507663,188.47916383360612,215.71597325981372,224.88953294800203,190.45700769473098,,,,,,212.12438116796037,255.96344540883362,267.1180555375492,255.41765601573556,234.98791946401158,235.84538441211018,233.5878839318066,230.9785017855066,240.7785836954412,,,,,238.0596400669979,231.41170040209363,229.8127108079975,239.76688303962922,250.1183397818121,251.60292904651666,245.54986218092628,240.30393551681007,247.99046908902307,244.91074232858819
499,2018-09-02 21:54:02+00:00,219.83532289328767,234.36689011384007,257.7479088688307,245.27412215084445,244.45584248254886,236.27749266322277,236.84827271226425,,237.74254842789884,202.34191822965914,186.91794803916733,,,196.84865943696548,167.75825829144202,173.00511438506487,179.42161125603633,194.38563428444075,205.07368477759508,,,,,219.64736991376182,210.75932207285157,,,231.97631111859985,,247.20534958780814,230.7013505105873,230.2873099773229,239.72575297105132,234.90722854589444,228.49585465078474,242.74287783710395,,,,,,221.3957931119998
500,2018-09-09 22:00:15+00:00,173.7943607536585,198.33635607960338,190.19436097439592,191.30056194595255,201.28477912737668,205.76082534860888,194.84916938815445,,159.04343587809493,160.1353713034893,151.7996760860587,,,134.74215498027857,131.40472760460858,131.38425467018482,132.12553765504555,134.02859505530228,152.68224780086217,,,,,191.45445131313232,179.15087678465613,,,189.7421721732833,,184.49310109283408,160.18118234418927,186.18737707526972,174.8197181563669,178.37912294145116,173.24164299176076,177.97025619680028,209.06591744183828,227.66561785806618,217.6276292396315,195.39474035481422,,180.01018249914472
501,2018-09-25 22:00:20+00:00,,239.9109412653662,247.2638891740742,233.61679309985144,236.18996176823094,229.0331395485127,235.01082202921276,243.1516404159048,233.37997211840832,198.07443443035467,193.10481131589364,214.56957179861087,225.16440928501714,204.66510235433833,190.06196486626578,192.08979832413783,209.74563651257566,206.92197884455166,193.31479829670383,215.58979427628304,248.7119248205746,263.91209954718727,253.11207249446915,239.81522632287584,227.28631483022326,233.3497645305311,231.3530952775123,247.37794120699687,261.2452067464287,254.63670805075614,228.6930064632982,,249.67253359261812,237.78354389320734,237.12821940127327,,295.56196263572406,274.2829002515036,256.92715583304715,267.779569037098,,232.90944330034125
502,2018-10-04 21:54:14+00:00,241.18162201960277,260.62632872733514,297.3674865680062,258.1732323491318,251.42033414985585,241.19510782033728,250.72828225765005,272.4301199481103,241.20742697909682,213.93240894899742,201.65562059814002,223.57374361035417,226.55563714897514,209.94673025025523,188.8378001947143,214.1487388841187,213.70797938163864,213.9003076297695,203.45496257046332,228.4665866301919,252.67108824392162,262.5533903459213,258.78119906052007,238.30262613318342,232.3789293708657,243.78980058672713,240.84372581880663,252.4175236815004,271.0423676608113,267.4787774170366,240.3068785698237,253.77318410665512,258.81620025906795,247.69923531214613,240.6782195982494,,281.14301081855723,260.3020442114197,253.47349885132633,261.68744056032426,,245.2333319384082
503,2018-10-19 21:57:44+00:00,226.4518155145735,252.73730158772398,277.0346058631642,259.69498198926186,252.24831973887206,257.563576630545,254.352672485297,,,,,,200.34230088701392,189.164384736789,182.73168711548144,183.5142892877116,176.88959322660688,197.93597335748595,213.62623977447166,225.93573812107758,251.79197700524048,,,,,240.60509263409995,237.92880934469204,242.4241822619749,258.0434106687939,251.4713257847067,235.76496109226755,232.82918752039564,243.7427697905363,240.89897189265605,241.70227026663596,,,,,244.39602112959173,247.42909999907894,242.0121519049023
