,dates,per0156-0000,per0156-0001,per0156-0002,per0156-0003,per0156-0004,per0156-0005,per0156-0006,per0156-0007,per0156-0008,per0156-0009,per0156-0010,per0156-0011,per0156-0012,per0156-0013,per0156-0014,per0156-0015,per0156-0016,per0156-0017,per0156-0018,per0156-0019,per0156-0020,per0156-0021,per0156-0022,per0156-0023,per0156-0024,per0156-0025,per0156-0026,per0156-0027,per0156-0028,per0156-0029,per0156-0030,per0156-0031,per0156-0032,per0156-0033,per0156-0034,per0156-0035,per0156-0036,per0156-0037,per0156-0038,per0156-0039,per0156-0040,per0156-0041,per0156-0042,per0156-0043,per0156-0044,per0156-0045,per0156-0046,per0156-0047,per0156-0048,per0156-0049,per0156-0050,per0156-0051,per0156-0052,per0156-0053,per0156-0054,per0156-0055,per0156-0056,per0156-0057,per0156-0058,per0156-0059,per0156-0060,per0156-0061,per0156-0062,per0156-0063,per0156-0064,per0156-0065,per0156-0066,per0156-0067,per0156-0068,per0156-0069,per0156-0070,per0156-0071,per0156-0072,per0156-0073,per0156-0074,per0156-0075,per0156-0076,per0156-0077,per0156-0078,per0156-0079,per0156-0080,per0156-0081,per0156-0082,per0156-0083,per0156-0084,per0156-0085,per0156-0086,per0156-0087,per0156-0088,per0156-0089,per0156-0090,per0156-0091,per0156-0092,per0156-0093,per0156-0094,per0156-0095,per0156-0096,per0156-0097,per0156-0098,per0156-0099,per0156-0100,per0156-0101,per0156-0102,per0156-0103,per0156-0104,per0156-0105,per0156-0106,per0156-0107,per0156-0108,per0156-0109
10,1986-12-15 14:29:44+00:00,,66.9845420250428,27.86223622719624,,,,,,,105.61114513414053,96.94175465548709,83.85911273880647,85.3250738400476,98.1241657968146,,126.71126212244972,126.37622630891116,,141.29948251406606,125.2416640191983,147.92977412692906,148.1017691113562,153.9528033153199,153.19287183126724,156.4906863401012,146.58827841270005,116.62330721092567,133.0290335900223,138.01231558597414,129.37723592625093,,,165.73526506625333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228.16602032262796,,,,,184.43134282704017,,,,192.62438890634257,179.12314195329031,189.95216986557773,176.3070934529919,207.66793909810383,,,,,155.3352968560655,162.9428945552202,152.89791500568836,155.3340658535571,146.54365752959723,137.81259378118932,135.16143553854485
11,1986-12-31 14:30:37+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,173.1821861769139,170.28517271564542,152.96159927569636,162.15908381275506,163.1882519732278,156.44354921548012,148.40250256092395,130.48643092053385,141.54721191945663,136.59734086352162,135.10116659400563,,,,,,,,,123.64498020372065,,131.52324438559788,143.01209395061227,121.4682934469846,156.4645077585093,166.9555259490599,168.4835665987792,155.27948698125323,,,,,132.7244723939815,156.56591795500458,126.0171952616487,144.42052004879946,156.90420521622377,151.17667137835303,139.08396866197933,131.8365880279885,,137.99009198027903,132.87345507179873,,,,,,179.99296929277983,190.80479430255872,190.8868714422489,195.78894222427684,195.79591086369078,201.3364290354006,204.93782808533646,202.76841675319076,205.36725535001284,204.55657124670861,205.08801738320415,197.43551654736916,203.0880009167658,203.40996073488657,205.38721552157745,207.11952099690842,207.190564752054,206.51829427436155,200.8383194968756,204.08404406386842,201.4536773981776,202.20614604584574,201.9422158903208,207.83280910391287,208.8165578109436,210.55453259254074,204.75325302942406,203.11532151803533,201.36474015254754,202.85485998502338,196.94561932642085,197.63238613276883,195.99720528895028,188.81777425272054,179.95896379548262,168.66753242813496,165.41998731280432
12,1987-03-05 14:32:27+00:00,77.02767065741153,86.68356541026651,86.11261058516398,93.60547709262933,97.02167790341088,116.02083941145429,117.63896320826858,121.71392843892465,130.95786403067817,137.0561753390998,145.00356566342256,146.44443799508971,146.8504793564549,154.39786867022463,162.4453307974767,159.61712035208834,164.1396485695173,163.3916078299617,169.6341798704908,173.49282096759944,174.72984229612,173.65795251815393,177.3329553215071,170.46921098712738,158.94370692401088,163.16940843951406,158.50244724591997,162.10061242879203,148.94888984048228,144.81416095890643,148.33651577376796,144.74302216605102,133.61063882504843,132.42125742577895,136.01135492656599,132.2626250853323,138.59735406628306,138.16643934656423,141.0942646282706,143.81350400583773,151.49725927804604,149.47227904011677,156.735606160394,163.08179435871426,166.91438402905993,165.41193302890315,172.23880466713928,176.52462314974468,175.2524213928091,176.44940045442473,175.0366421440877,173.51310843007616,176.10495417742408,179.6725590430378,175.82818374918799,175.8062938375311,176.24172445722212,183.0228982998625,180.5446074964828,173.02197081679122,174.72762078957086,174.78891938917138,174.3375796753065,175.4735119691333,177.89641822273418,175.46486178376566,179.61757743854332,179.3882834181009,180.08028960699133,180.03594532790964,172.706804572967,180.1312156933862,177.700448269868,190.43782402231756,189.32901785575922,187.28006705957873,187.31898231650248,190.2024756539605,191.9173480987172,192.15715659632968,188.59481884420651,186.7345501617902,188.51143707899354,187.83075437411642,191.0277336542692,192.95080082363856,192.71453698635864,189.49679194175374,190.8461402140515,192.8063569478554,190.8326311487752,192.69146728905352,194.3101209109352,192.23869659582823,188.52745595680463,191.09075203044767,187.24355570389486,194.72192794816317,193.8123354548365,195.51231470836328,189.31603026206935,190.9082907678513,185.908508100733,182.44703269090326,183.2770114555687,181.55675255508265,177.88814693882864,165.50161829445707,159.40146860062373,150.78552330295827
13,1987-04-06 14:33:59+00:00,79.40147503116108,81.30084779243789,76.64851196476845,87.25242196286487,93.35208277310723,99.55105622899211,107.92758451089257,110.78306026644961,115.79057796431908,121.32742815665654,130.70265327846317,135.6021047659494,138.90386177742158,139.21770463135692,143.1525113138785,149.82782949158042,158.91880893990816,154.84915305510467,163.1153370972931,162.2620959684204,165.95562380510736,173.54613867702196,159.24090476659796,166.10339511693633,152.11300247376738,148.02199472005614,145.9577741448178,140.46006423557347,141.4308473410111,140.09747489986364,133.23009249861371,137.11098962799548,132.92174580876213,130.98259195381138,122.4170930102708,127.34899899508734,126.90089140431924,121.69681294162002,124.70713402473112,127.57612901699859,132.8272873483293,137.08514849465325,147.85118181298697,146.41670747770644,148.50090424115524,156.80146529453884,153.11038135975576,159.78327117786364,159.32991950466374,167.0627174915312,162.16408947740894,169.2342385519579,167.81219796379992,167.58822359888293,163.7982061855841,166.07016261287947,173.29349574686694,159.78844620305165,171.25372965355334,162.9856256195236,164.3479761015812,160.86781891099338,171.09764019262994,166.980930998565,167.0500750068965,167.04218994767672,160.26128061642936,170.15017411621466,172.38260041143002,171.99184948816975,170.0796861823029,171.96536028957513,170.44584854799706,176.31640189123155,171.16755555202946,167.24684519212119,173.59745082779156,174.9214258456127,173.46768885110157,177.83174039592896,172.9898053571445,179.52595556515485,179.9464465517632,176.1037211868789,177.1939853255398,173.00386180445173,175.45666729035807,182.4526593731301,183.03313736374955,185.09719917592355,186.49470397023342,182.752292279681,183.8182454936689,186.26337887437262,184.9714261502811,181.8350582944027,180.50909878118495,182.15731298715014,183.88278845708865,184.81786147656408,185.7088137751977,186.56407619923172,179.6099235058202,178.33084084923365,175.89790380363274,173.2280340123798,171.2990234629895,164.26051999453486,156.87095162585666,143.9717949014797
14,1987-05-24 14:35:00+00:00,65.37426802733468,60.72374999086868,88.47005513494176,84.04546909727787,76.7363255046375,69.77338029855215,96.78241110832462,109.63537263585916,114.68732137757837,118.2066938380763,109.4030841267341,138.41163718926526,142.5490727312307,143.75830408975173,142.93139314164068,133.620786662431,134.03860481360022,158.9132905292302,148.03149314947558,160.54261217047107,154.44025971634244,162.87884577325718,174.37031133378517,162.51484143444844,156.49955538222764,160.66584658226864,126.45755143850783,119.22504984829845,149.92129179735338,146.02715266177742,136.98765034863771,135.86018304426278,128.63020409793356,120.23201307702958,117.62105897048072,124.08362820053385,124.26712325662218,116.78389493517895,117.598565036357,125.36897333866267,134.9742780480885,136.764988695209,144.41844885402347,152.96380394503814,148.26662973481126,157.4967100158074,144.39770863473763,160.43424496950536,154.59531045989814,164.387866995684,163.58760246024158,161.71079718961784,168.68618378878455,159.90847239539767,160.53779214204317,161.45726639262955,159.1429356640785,153.72903812954166,167.11079929245307,162.43871927904115,169.41354671840335,167.1863457117556,165.5100224467131,157.9127193755308,165.3958592442068,170.3941915528988,162.2624369573017,164.24397641039945,166.70753079255343,163.69343097580003,173.04618181151258,174.05305836258398,176.47309785013056,163.30556627121413,171.2167861837524,166.0502708093407,179.17438141874817,172.0427200119197,174.90727111945642,183.3006625104578,181.19736266747447,187.74923612218078,194.92784337408023,180.8332551213863,,,,,,,,,,,,,,193.19461143387784,191.93408793999978,183.93448565878592,191.75802399772613,186.0480997477006,184.36930574435655,186.15923051481712,185.5419606969038,183.93993196772166,179.11944582804716,173.49626163767218,161.9464624698304,151.231672069427
15,1987-06-09 14:35:23+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1987-12-18 14:39:56+00:00,78.4492766598204,69.81637212908277,,65.55609644888477,87.07084625794312,99.41305685761878,103.32956174189,108.79874329331025,113.9700218661895,118.87470800365006,109.47572816681199,118.3017933796933,138.07676388807695,141.83236217208878,155.2542903358567,150.25332951005265,151.36605637265345,148.58913359425944,136.21869198838883,143.8738746720375,149.80461422486434,170.71309869307538,159.47634302713874,149.0795134064435,156.2338021473902,156.14769400950706,151.37756285260448,141.4605722817769,126.78880476919649,133.7546208925496,134.3724515630606,134.96292541838443,139.47891840776305,126.69313153447895,122.00845477364231,109.9219632547981,106.5632264580603,117.73199665624165,126.65297891054533,131.6309844121472,136.2375020656507,130.2531163986305,132.4939286266586,156.63396840996887,163.1220338917675,165.71710252241306,164.31994419461938,161.41560127918586,160.15077845555786,159.70736714049542,149.8574898041125,158.2095586512167,171.06656883946067,162.1204063401164,173.63522553834753,161.82920445870386,155.96034845916472,159.90478016189996,165.94708557701233,169.48895114756692,179.9957649291894,175.3739753121592,175.41042910339766,168.763083812984,173.99618594507513,179.72687374384532,167.41320625945383,174.47107917904896,176.79847113361484,176.74371188712166,177.25876293425063,181.10584871693996,172.81089472845127,179.50247881786987,179.32868466178525,175.62850458939403,180.43557771107015,175.46474675951305,182.16954814883084,178.8348414462661,189.03439814005958,190.04401443553974,187.9893589898736,182.91172365866916,184.67943133858856,187.26726993058583,187.24985261477354,189.45984952004198,190.74345027920492,190.4582217407191,186.7076257095834,190.4950252325881,183.7111440827338,186.30899159002124,180.6309094559711,182.11280812661505,181.54698648315227,187.6133632099539,192.59850886705732,194.9315499050811,194.9089677662901,188.72745076216933,185.16099801736107,178.92791525961553,180.3358915899775,178.76853442571155,179.36474944831235,167.07402357891092,159.85157583464166,150.43520370125307
17,1988-01-03 14:39:48+00:00,90.02760669148708,92.77382629196279,88.69683010544459,83.50798638828252,138.96659754391737,,124.1451506017379,124.09075421626773,139.0218940840897,137.61744043991825,123.12475738107344,113.03877332978601,143.8552588324438,153.7297895428098,163.62178639249998,162.31449625763506,167.29406674685129,146.59055605792042,168.2018181500273,152.76072438109207,150.10562962488214,166.37809247190012,176.52301794586862,169.91379616524432,148.08883657575245,159.71387833801288,157.97629232244321,162.67388183408713,149.57439291359736,127.3431471437101,145.4232152528801,152.12585676657642,144.69253411308574,152.4932451972001,135.01853680009887,145.8501129426553,113.40489008082032,104.90414748852987,138.56383948655196,140.16267294919817,143.0181617143122,145.85371546735342,132.63553472899642,153.42946708146934,161.38565017329995,160.62480657800091,165.71611418159557,165.3060947221977,166.73959170128515,172.67592398820483,166.28868746649513,152.79809306674446,177.72743048981243,167.1849656405769,182.69027694957114,172.89601876722622,181.08109880379686,169.60790409941285,166.2287262014255,176.07813159514936,172.66727569571088,185.49179503197456,179.15218050922954,,,,,,,,,,,,226.64952487269267,,,,,192.77786460452916,174.00041720881694,,,,,,,223.3040497082726,186.51029439994124,187.5507383820236,182.8335599566464,182.53837889370195,186.3232728979972,210.46564420081927,,,,,,,,,,,,173.64648577396318,169.54152605692352,177.75272914001602,167.15890497829326,159.7063943937353
18,1988-02-04 14:40:24+00:00,96.49163804876338,80.5039355450779,76.4340618986135,89.94800047921973,112.95171956866108,115.78274877929793,132.2159615297962,133.127035386197,132.85896140832148,139.554666021542,148.04323415025385,144.110876134773,143.63204330121812,154.06000794715482,164.3146303792002,158.9010037839699,156.92991669299323,158.4688592601186,154.3774293047033,164.91954757524974,178.5274731199763,177.86227881801932,181.27144181126607,161.119191857663,175.97379584027098,171.28733529201054,161.0454963268397,158.9371843868937,152.85404580424222,149.88017471115032,142.34370565660754,153.89961944824938,142.94298956470135,150.5693863936808,143.99881978734726,127.44115626688662,132.7815695766925,133.70619978456776,148.279409278651,146.6304147946613,153.087895316975,157.76035140377803,154.65458287339226,157.397364486191,166.63921296506385,162.8350381583047,180.60274144698127,176.83793797021985,166.84366904786373,183.65873485393575,170.78863820849318,182.34538106086492,175.77286240978196,175.57314939384474,181.4009918282173,182.79684428019726,170.70342070037606,187.4682027252593,190.93942203991077,187.77512282182386,184.28004114384356,180.35911673842057,190.21179345484882,181.22674275181652,189.28704593413477,177.9177516793385,192.59440947412241,186.5978527949585,187.5987396579725,183.3563718552222,185.16904106139555,186.03575140471207,191.30187654063707,195.50537512466616,198.793502733969,200.08648635657855,197.21729549981552,194.69598873926134,194.04780640341494,187.8396584278156,183.26790755748877,197.14270963288072,190.56936958184752,197.139051926334,190.42791298826558,198.14381474036313,191.97463870947823,191.92505231162988,192.75292703825494,192.0942538900212,193.00168734727808,189.36034698729512,191.37774776238768,192.19944465073885,193.43707461958667,194.07721091316284,197.23345009526804,193.81283360769947,194.94292234033054,197.65211658560312,196.69838894555159,196.11332958539685,193.3571962428784,195.61556751998467,185.44132931100904,189.44357617407013,181.4333962576003,176.81021774089143,165.25762468696456,153.1286135577451
19,1988-03-07 14:41:12+00:00,85.53853543358399,81.96347680026369,65.98615950151566,87.64634705942939,101.43167083423376,91.02566171166893,103.76324318601154,112.23727653228542,121.48022467160723,122.34185346053584,144.35104617100092,142.95612024416744,151.42878530982898,156.85491793681103,168.08643484276263,175.84968116126683,162.95666704249504,164.1613123269073,153.1661938038043,155.00453345583315,168.31487826771016,172.0832617907585,177.38550404667177,187.40586850559208,162.37025170585292,161.10550485576658,159.71826530481678,148.5798763256839,133.42725031662025,137.41928688404263,147.3674750955372,132.06365345295796,120.99959423106074,124.80455784452735,123.95881682956133,130.86725197845033,119.8944414228174,119.69918947440833,142.2825958735291,156.01885022623134,148.3438343314999,164.52764748388682,166.3068818869909,180.60911978017015,169.71607050122196,167.37879955247143,186.0897961190663,169.8222061831635,166.62782370945047,163.29363324781792,169.72626917273644,173.6975442367753,169.80143731556595,175.77144276606268,180.53088597558934,195.66559232881247,186.68929349476096,189.51903033441016,201.30394654790257,182.5493906768553,183.17624927178275,185.1908390552896,184.9528627641705,195.50559659097144,182.13919072380938,179.77040965704165,179.04102932580597,175.72705246579113,172.8455847614422,172.6304463377233,165.47826879474775,183.36322292478576,185.83563209629864,183.3772210466611,177.85883700829226,183.35436457067448,190.7553744467579,195.85750032486135,189.7065034348422,185.48801798540273,195.6012467027419,196.17549568560617,196.72917033411107,201.86426987693926,194.14056939490456,196.18040740774222,212.07050286380553,200.2310639702242,197.39755916453055,196.29169604673547,194.9508393291054,192.019791850437,200.00085977655095,205.11861160848431,195.18488820820085,186.676546464603,195.87624188302792,,,,,,,,,,,,,
20,1988-03-23 14:41:20+00:00,58.42612725068696,58.329250507196576,58.77829218829346,72.34688420634146,78.97506433322332,86.38675850362901,85.18608328976595,88.9817005382686,98.84090591524648,101.95058909408543,115.58949970291718,122.57291980489299,134.74260972865002,128.03615045659316,130.1479225190376,134.21440023274874,140.05126293717018,135.46813481300293,141.49282500956872,145.37583918892926,147.90485971616644,150.45484629916874,154.16556454633752,149.13193140617847,143.87988662717305,142.85804691046226,136.79757387626194,135.04162494559182,134.64048266752292,132.33790621461185,127.9395477376965,128.78506070846868,127.31649324930007,109.90892039874603,108.53593990781263,112.52280863438395,119.28043370164804,119.82814803274758,117.60667215697697,128.37358289608517,132.59458688041684,141.1656423423816,137.69754333594403,135.23454451509656,145.45385214091635,150.54133885693182,151.8652795956649,160.1237416220095,151.2101920048039,159.59271511199273,153.87283963168682,155.5317824062767,158.3880713133359,159.68924641114927,167.37928290366273,150.05943712863626,165.7387001748362,162.57043503030053,167.71048309041677,160.36580179422964,161.49181498496966,161.33099304436098,156.69984561056785,162.26874515648754,170.08399925927569,167.1386043725216,159.07561287577772,168.24042772652984,169.92654025059437,164.15311061604692,168.56308468154657,170.1881443820551,168.36248727109574,166.69219368124013,172.98824632402255,163.1810749706203,176.12737466513636,170.3689875787452,175.99949414043758,169.90351234261865,167.409670498857,178.09458230503793,174.30777159875282,181.15499784158584,181.23036177979742,179.6737506839724,186.51443114456126,178.70808486510214,185.50937935705022,179.22580582636823,178.64399131388143,178.27426849687748,170.66067608844315,176.7859407598724,175.1389381830204,178.10820119368464,178.39937338713867,182.33554536604402,186.9429457746193,179.82341154171723,184.67722346241715,182.94038944050084,184.59967987449127,178.49814725627223,185.0942879608849,175.71169437567283,177.59905906869142,163.6066506788702,156.86468283558497,146.71613609166414
21,1988-04-08 14:41:02+00:00,63.34406263952882,68.8200164775266,85.53246585362558,93.22596679839893,92.70995421072892,94.55832639867805,100.64552006079845,93.3984098218334,108.24785246290742,130.1756778021428,131.90649561771613,121.40006454488788,142.34071277916917,149.71136623074258,145.75808014332955,132.43956506074642,146.81309125047852,146.15342587891877,152.71233786272768,160.40084226372622,168.56907346214305,162.06039436832174,152.1618013225538,167.54921594244342,156.25317065513593,143.94845634459665,147.39435489473126,138.96635196357934,145.31057332533925,135.61550312021035,139.30973521396098,128.127067426067,133.82744139427106,128.04635911404108,133.9233984952116,118.03481688995441,118.88242668776077,132.74824603981781,132.19439879709108,132.52041539511936,141.83852270250765,146.1382891163811,150.0551392302981,153.12049732832952,151.06322888912536,157.90920755302204,153.53898413275476,166.117233444181,166.98045222018732,159.55822536525523,163.47294368329733,158.62692158577957,161.83111670817354,163.87998021505675,176.26166087683967,170.26996572778336,177.5183612241678,169.26152364594446,179.45739514369447,174.68681736491382,173.88471513382945,171.28720066930532,175.51738407523584,171.3253151401595,168.28614241692088,177.80965187308328,172.0654529687917,165.38719686714438,175.49089114060288,178.61738693749072,176.28938374384248,175.5228164273839,178.39942475152156,172.23013663322308,175.58476655930838,181.6257518885928,184.26943889701812,180.21195905081663,180.7589967159036,186.65432501766406,187.45419912681865,182.82832267493873,186.57768450766412,183.2017596586586,180.5990954584705,185.73525099672,183.31148770356359,181.53975813378162,185.98611611010108,186.953746532595,184.80090518665543,189.49128761159167,185.90762214012076,188.92659921279414,186.7006455394573,189.85590842994492,184.4889630417004,186.0660208103886,189.20244359887965,190.43868726239998,192.8411023195123,189.18567806672553,191.50363690742313,181.06713302223815,182.9168620807318,178.5173652446495,177.72085540758894,174.44830428751007,156.94408350180547,151.3475430986191
