,dates,nzd0504-0000,nzd0504-0001,nzd0504-0002,nzd0504-0003,nzd0504-0004,nzd0504-0005,nzd0504-0006,nzd0504-0007
30,2004-10-10 22:03:07+00:00,,140.45959620304234,146.15019571504692,150.41076860641024,147.87404997307647,154.16298056244628,157.72560295608173,163.12722666821708
31,2004-10-18 21:59:11+00:00,141.00353047394526,148.1023940833727,152.71942861587058,154.3145582769671,154.64678895137553,158.91404206571022,163.5388724184954,170.63886722915686
32,2004-11-19 21:59:42+00:00,,,,,,,,
33,2005-01-14 22:04:00+00:00,143.60101029385427,145.398066115217,148.66137546856814,150.6494568629911,146.90920246197274,,,
34,2005-01-22 22:00:50+00:00,162.30719729486404,164.3291370939241,166.31637940250397,176.56389164983307,173.36637783071572,176.28607101065393,183.06936879044895,182.01222476065848
35,2005-02-07 22:01:03+00:00,152.1751560345977,151.787360043226,153.3571747186435,152.0235376588205,152.063244239499,150.57460737203812,151.841898817541,174.5652876287209
36,2005-03-03 22:04:17+00:00,,,,150.32322277686512,143.22103177848481,140.71499619611848,141.38495232053515,137.76978751197726
37,2005-04-04 22:04:14+00:00,141.3050726376448,142.8265085994219,146.2936561487146,150.0800516608351,147.09673864586196,,,
38,2005-04-20 22:04:08+00:00,147.47314373312693,145.01518868994637,149.4880736712027,154.26723698651853,157.61817210362778,161.79181496415666,159.0152026476822,157.3747494809747
39,2005-05-14 22:01:54+00:00,122.11976958311372,126.17240247549455,135.07627884428246,139.69676786206946,141.170536277258,144.38980717035338,145.9645936198138,140.01413592982317
40,2005-06-07 22:04:06+00:00,162.88255247377703,160.46140251528954,167.55256209800376,171.43551233457535,170.22664126275487,173.15187059389353,178.7432761211731,
41,2005-06-15 22:02:10+00:00,,,,,,,,
42,2005-06-23 22:04:01+00:00,154.86150794684468,150.6833684690148,157.2954330411644,165.5180187570672,,,,
43,2005-07-09 22:04:02+00:00,,,,171.2135987347616,163.44661605933277,166.71534185790773,174.19594838071384,179.28529033846291
44,2005-07-25 22:04:01+00:00,119.67234430614306,139.7974530647835,139.7468420137168,,,,130.61419952073913,
45,2005-08-26 22:03:51+00:00,,,127.5789989938352,128.9335778370396,123.32214553625852,126.68091015793695,127.75940567172822,124.1787606447642
46,2005-10-05 22:02:41+00:00,149.79362389593365,146.07925706831915,148.49158624353288,153.1382501052094,149.80830081203425,152.26245360666172,159.72160166317988,164.55582962013642
