dates,sar2117-0000,sar2117-0001,sar2117-0002,satname
2014-12-11 10:04:33+00:00,,205.94,208.38,L7
2015-01-12 10:04:42+00:00,,208.62,212.88,L7
2015-06-21 10:05:44+00:00,216.67,203.63,215.42,L7
2015-07-07 10:05:50+00:00,218.21,206.31,215.65,L7
2015-07-23 10:05:53+00:00,215.79,206.03,217.69,L7
2015-08-08 10:05:57+00:00,211.96,203.73,214.84,L7
2015-10-11 10:06:15+00:00,218.57,204.35,205.58,L7
2016-02-16 10:08:00+00:00,211.42,200.42,216.12,L7
2016-03-19 10:08:15+00:00,221.18,214.27,235.41,L7
2016-04-20 10:08:26+00:00,208.73,,219.59,L7
2016-06-07 10:08:39+00:00,210.25,205.01,213.03,L7
2016-06-23 10:08:42+00:00,212.42,204.02,212.27,L7
2016-07-09 10:08:41+00:00,210.07,202.59,215.73,L7
2016-07-25 10:08:44+00:00,217.79,206.37,216.87,L7
2016-08-10 10:08:45+00:00,222.52,201.60,213.18,L7
2016-08-26 10:08:48+00:00,213.55,205.52,220.06,L7
2016-09-11 10:08:50+00:00,217.52,201.88,217.42,L7
2016-09-27 10:08:53+00:00,221.06,214.21,220.39,L7
2016-10-29 10:08:49+00:00,217.69,204.63,215.36,L7
2016-11-30 10:08:38+00:00,220.96,222.51,219.56,L7
2016-12-24 10:06:22+00:00,,226.08,227.71,L8
2017-01-01 10:08:25+00:00,212.07,223.18,220.17,L7
2017-03-06 10:08:15+00:00,214.14,198.24,217.53,L7
2017-03-22 10:08:20+00:00,221.43,205.82,224.79,L7
2017-04-23 10:08:32+00:00,217.56,206.70,219.41,L7
2017-05-09 10:08:36+00:00,213.96,205.92,221.30,L7
2017-05-25 10:08:39+00:00,216.40,205.29,216.78,L7
2017-06-10 10:08:44+00:00,214.54,203.95,214.46,L7
2017-06-26 10:08:47+00:00,222.54,206.14,209.04,L7
2017-07-12 10:08:48+00:00,,238.61,,L7
2017-07-28 10:08:47+00:00,223.25,,212.59,L7
2017-08-29 10:08:45+00:00,207.79,202.29,216.11,L7
2017-09-14 10:08:43+00:00,220.85,207.76,218.79,L7
2017-09-30 10:08:44+00:00,216.65,203.60,218.80,L7
2017-10-16 10:08:46+00:00,213.90,230.23,219.54,L7
2017-11-01 10:08:46+00:00,206.97,204.33,211.41,L7
2017-12-03 10:08:36+00:00,229.58,240.30,,L7
2018-01-04 10:08:15+00:00,238.03,260.69,,L7
2018-02-21 10:07:35+00:00,208.66,201.78,217.69,L7
2018-03-09 10:07:24+00:00,216.07,204.60,218.44,L7
2018-05-12 10:06:23+00:00,208.92,206.20,215.90,L7
2018-06-13 10:05:52+00:00,211.73,193.41,215.66,L7
2018-06-29 10:05:34+00:00,221.79,202.32,216.31,L7
2018-07-15 10:05:15+00:00,206.74,198.39,210.89,L7
2018-07-31 10:04:59+00:00,221.82,207.81,218.84,L7
2018-10-19 10:03:14+00:00,224.36,203.07,216.25,L7
2018-11-12 10:06:04+00:00,212.18,,210.66,L8
2019-02-24 09:59:41+00:00,212.27,210.05,224.33,L7
2019-03-12 09:59:10+00:00,228.15,222.44,227.64,L7
2019-03-28 09:58:38+00:00,225.82,209.58,229.96,L7
2019-04-13 09:58:04+00:00,214.15,208.93,218.61,L7
2019-05-31 09:56:16+00:00,227.17,223.88,224.75,L7
2019-06-16 09:55:42+00:00,210.63,202.18,205.07,L7
2019-07-02 09:55:06+00:00,218.14,204.29,217.16,L7
2019-08-03 09:53:50+00:00,208.82,203.91,215.49,L7
2019-08-19 09:53:10+00:00,224.52,208.00,215.28,L7
2019-09-20 09:51:46+00:00,222.09,204.37,211.18,L7
2019-10-06 09:51:06+00:00,236.51,206.93,,L7
2019-10-22 09:50:26+00:00,206.32,201.66,226.36,L7
2019-12-09 09:48:11+00:00,215.00,202.55,,L7
2019-12-25 09:47:22+00:00,,,260.05,L7
2020-01-10 09:46:33+00:00,225.80,208.42,230.33,L7
