,dates,jap0336-0000,jap0336-0001,jap0336-0002,jap0336-0003,jap0336-0004,jap0336-0005
23,1989-06-07 01:09:31+00:00,124.44501400109367,123.97103622494414,130.48200385153464,138.5746605938317,142.11164584139456,147.5087924276691
24,1989-07-25 01:08:32+00:00,132.62036050863514,135.10261861415873,140.38530134576337,,173.6661996325206,
25,1989-10-13 01:06:36+00:00,150.83524395058632,133.1786738690683,130.2889709147258,129.44952917109325,116.9570988303902,121.4871620321862
26,1989-11-14 01:05:34+00:00,144.56353513619112,138.95916325357553,131.54301768799525,138.9939519372021,143.03315245359005,146.3407554440983
27,1989-12-16 01:04:47+00:00,158.85295588017172,155.56390734002338,151.5093854176371,162.25681093031136,155.502367711727,166.70773726717758
28,1990-01-17 01:03:46+00:00,156.69998156111546,,140.40668296842986,143.53714439932958,148.42389033078965,150.23307699450365
29,1990-02-02 01:03:15+00:00,,,135.12430037361943,137.3836657355159,141.50262778850296,147.81247872548437
30,1990-05-09 01:01:33+00:00,128.74643000395739,132.00635412043874,,,134.68451048825173,143.0921084667885
31,1990-05-25 01:01:30+00:00,158.6249641135865,164.12490511144807,148.98770050745895,153.56301986299613,150.9264570476855,158.0729720303519
32,1990-10-16 01:00:55+00:00,131.98945170101263,129.64608986358107,129.3211452720538,133.83640548037408,132.40548136552084,135.28736140269098
33,1990-12-03 01:00:31+00:00,153.19445507657662,141.5412968932015,141.09401510713295,144.37822524205478,142.9986235134821,148.3611142810992
34,1990-12-19 01:00:51+00:00,,,152.17753205402386,156.8494254284431,154.2276461038962,158.92306676635988
35,1991-01-04 01:01:16+00:00,,,133.80101831321713,139.45467012877117,138.18797909780181,142.7164436715938
36,1991-02-05 01:01:51+00:00,,,145.51346494940321,148.36547106355107,151.80472663113306,152.90495319138634
37,1991-09-01 01:05:04+00:00,141.28809744489917,140.9208095945217,139.8725018315083,150.40243120969745,155.15268826466078,159.36816419200295
38,1992-03-11 01:05:31+00:00,,,126.58916885306603,130.93947295596556,123.61275143728915,135.65040576038194
39,1992-10-21 01:02:47+00:00,141.6415389040024,136.63102287911875,136.418450738876,142.46797856404916,133.00028983027855,140.13439859309796
40,1992-11-22 01:02:20+00:00,140.55380058020344,137.9986899452829,135.8388989745974,143.91832247274795,143.61402834416373,141.36675485773966
41,1992-12-08 01:02:35+00:00,151.25549626191204,149.83584796282852,145.2301439339629,150.2429166472711,140.90165303812668,153.9135160931235
42,1993-03-30 01:03:33+00:00,135.43133803007058,134.17273834160306,,,132.43025650735999,132.71446833494778
43,1993-10-24 01:03:28+00:00,144.6921662844687,135.4138429202855,132.60912449128384,137.5211369755351,137.9930117304688,146.43109776376915
44,1993-11-09 01:03:21+00:00,,,,,,
45,1993-11-25 01:03:15+00:00,,,,,,
46,1993-12-27 01:03:01+00:00,151.32166903041727,133.16227931675016,120.52483515941852,,,
47,1994-02-13 01:02:24+00:00,,,142.7817329616787,141.88224681030573,145.93610009568243,144.85253752479753
48,1994-03-01 01:02:10+00:00,,,136.42525006350058,138.3851627445589,133.14360742836615,134.68359957768106
49,1994-05-04 01:01:04+00:00,127.26185100302074,129.7199613569368,,136.79662758054363,136.7512887891972,145.62561690174277
