dates,satname,nzd0244-0000,nzd0244-0001,nzd0244-0002,nzd0244-0003,nzd0244-0004,nzd0244-0005,nzd0244-0006,nzd0244-0007,nzd0244-0008,nzd0244-0009,nzd0244-0010,nzd0244-0011,nzd0244-0012,nzd0244-0013,nzd0244-0014,nzd0244-0015,nzd0244-0016,nzd0244-0017,nzd0244-0018,nzd0244-0019,nzd0244-0020,nzd0244-0021,nzd0244-0022,nzd0244-0023,nzd0244-0024,nzd0244-0025,nzd0244-0026,nzd0244-0027,nzd0244-0028,nzd0244-0029,nzd0244-0030,nzd0244-0031,nzd0244-0032,nzd0244-0033,nzd0244-0034,nzd0244-0035,nzd0244-0036,nzd0244-0037,nzd0244-0038,nzd0244-0039,nzd0244-0040,nzd0244-0041,nzd0244-0042,nzd0244-0043,nzd0244-0044,nzd0244-0045,nzd0244-0046,nzd0244-0047,nzd0244-0048,nzd0244-0049,nzd0244-0050,nzd0244-0051,nzd0244-0052,nzd0244-0053,nzd0244-0054,nzd0244-0055,nzd0244-0056,nzd0244-0057,nzd0244-0058,nzd0244-0059,nzd0244-0060,nzd0244-0061,nzd0244-0062,nzd0244-0063,nzd0244-0064,nzd0244-0065,nzd0244-0066,nzd0244-0067,nzd0244-0068,nzd0244-0069,nzd0244-0070,nzd0244-0071,nzd0244-0072,nzd0244-0073,nzd0244-0074,nzd0244-0075,nzd0244-0076,nzd0244-0077,nzd0244-0078,nzd0244-0079,nzd0244-0080,nzd0244-0081,nzd0244-0082,nzd0244-0083,nzd0244-0084,nzd0244-0085,nzd0244-0086,nzd0244-0087,nzd0244-0088,nzd0244-0089,nzd0244-0090,nzd0244-0091
2001-06-05 21:55:40+00:00,L7,259.40,260.36,261.19,269.38,253.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,308.65,,,,,,259.73,275.03,,,,,,,,153.85,
2001-09-09 21:54:36+00:00,L7,231.28,260.34,,,387.10,398.04,,489.98,500.94,512.37,,,,,538.68,538.87,548.65,568.48,552.64,,,,507.29,520.50,548.32,487.36,498.44,,478.15,500.37,498.30,461.68,451.29,415.04,390.68,379.01,392.43,432.85,444.31,436.59,418.46,410.92,428.62,435.82,436.89,453.98,460.01,468.73,472.27,458.54,457.49,448.66,457.86,459.18,452.40,453.91,467.11,474.53,477.63,469.99,484.28,474.18,457.28,441.05,435.19,444.92,468.43,485.82,481.68,473.10,453.51,420.00,,,411.04,435.97,469.88,,,,,437.84,,,,,,,,307.25,316.95,329.09
2001-09-25 21:54:28+00:00,L7,226.23,246.37,,322.51,348.61,,448.36,470.80,489.11,488.09,,,487.72,444.19,474.59,496.34,535.71,553.08,549.96,543.32,555.07,,518.63,531.54,536.90,489.87,483.71,463.95,490.41,493.05,455.29,443.48,423.24,396.94,389.07,397.34,423.12,430.49,430.01,422.09,419.24,418.29,432.89,433.84,437.66,440.45,461.12,461.00,464.82,463.21,459.05,457.84,455.86,465.62,472.70,471.91,477.31,478.31,472.27,470.10,473.86,469.90,457.78,462.51,452.78,455.26,472.77,477.00,460.19,447.95,442.87,411.71,400.72,397.24,405.61,410.94,428.27,,,,,398.92,,460.93,494.83,509.07,489.13,,,300.42,308.27,326.24
2001-10-11 21:54:09+00:00,L7,217.18,232.33,271.37,319.78,349.88,441.46,460.27,,,438.24,417.49,457.67,480.56,447.05,,520.53,531.52,571.53,545.31,563.50,571.36,552.74,,,,479.64,475.92,460.18,492.64,472.04,454.75,432.52,410.43,392.44,384.51,391.51,419.96,415.92,416.09,410.66,408.66,411.63,420.97,425.92,427.17,440.06,445.20,453.52,456.77,449.82,443.16,440.12,443.19,450.61,462.74,455.12,455.38,447.76,452.82,461.58,461.92,454.75,451.92,450.87,435.78,440.21,450.06,449.24,422.26,405.91,394.81,392.46,399.26,457.74,,402.38,416.74,,,,,,,,,,,,,,,
2002-02-16 21:54:54+00:00,L7,231.52,272.71,284.76,302.08,315.63,325.42,333.53,345.75,364.12,392.01,426.53,441.45,457.10,477.57,478.71,499.53,530.01,538.12,540.71,536.63,524.18,522.16,527.82,523.34,506.45,491.10,487.38,474.22,469.01,445.61,429.78,425.33,418.16,420.29,421.77,412.83,408.18,399.68,403.34,404.55,415.10,417.97,423.49,433.28,447.00,441.27,437.89,444.28,445.56,451.96,459.66,456.97,446.91,445.67,452.87,461.94,461.69,452.40,445.38,448.68,454.16,456.89,450.60,455.62,454.38,448.64,443.33,440.46,436.85,425.20,426.81,417.38,410.67,379.21,365.97,376.48,371.99,361.97,342.29,326.90,348.74,379.13,394.17,400.34,394.92,403.94,395.57,370.46,343.25,323.00,321.74,331.66
2002-06-24 21:54:52+00:00,L7,,78.75,98.98,,,,175.68,,,,,,391.18,395.85,410.46,426.58,,463.72,491.15,487.75,461.12,433.81,430.11,438.51,466.08,,442.73,440.99,406.94,393.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-08-27 21:54:00+00:00,L7,149.62,,223.51,251.81,323.26,354.29,377.11,395.90,404.73,408.56,404.38,419.00,427.50,444.09,480.29,493.03,513.21,539.58,559.89,564.50,555.30,558.58,533.64,505.53,497.03,466.36,457.19,437.00,438.08,434.81,427.24,415.17,394.72,384.76,383.23,383.72,376.12,356.39,361.41,359.85,366.18,373.42,390.21,404.88,404.18,394.90,407.34,417.93,418.84,418.21,421.58,422.71,422.47,419.45,423.24,423.30,425.40,428.60,430.96,431.45,430.21,430.19,420.90,417.80,412.48,413.53,413.30,416.22,414.72,411.57,399.99,389.63,385.80,364.34,357.18,365.10,364.22,354.91,335.95,307.32,307.13,303.53,307.38,323.51,341.19,349.73,332.01,304.15,290.48,296.32,317.88,353.03
2002-10-14 21:53:43+00:00,L7,258.76,304.82,336.71,358.46,372.91,375.43,391.12,,,485.73,,589.71,581.20,578.45,584.58,610.20,620.55,,,630.44,635.47,617.29,607.08,568.01,547.42,492.89,470.83,456.74,,509.14,,435.11,430.73,425.33,413.76,403.43,388.62,383.25,374.02,380.87,406.46,414.49,417.12,412.67,413.62,412.68,411.21,411.58,435.15,455.98,457.50,450.79,446.19,441.82,433.60,433.93,445.21,447.41,461.89,457.17,442.36,437.77,428.78,432.64,440.04,455.55,469.05,466.45,470.13,465.14,,422.18,446.34,,450.20,419.58,403.50,357.52,349.22,349.24,352.25,376.68,338.20,302.02,320.24,333.09,334.30,327.34,341.66,367.23,418.89,468.99
2002-12-01 21:54:16+00:00,L7,181.45,225.72,255.58,281.97,301.10,319.59,343.01,366.40,380.54,388.48,400.70,423.48,451.05,468.16,490.71,506.46,520.35,528.20,530.35,533.91,534.73,537.59,517.14,489.62,465.37,447.34,435.82,422.85,419.21,420.66,420.87,408.27,399.73,387.20,373.43,367.85,352.20,347.19,355.31,351.22,356.27,365.05,364.89,380.84,388.95,380.57,382.12,391.39,395.87,397.06,407.75,420.05,420.85,408.73,401.60,402.77,410.70,423.03,427.74,418.86,401.04,409.05,410.69,401.36,405.43,408.35,409.24,403.64,400.13,396.19,394.59,379.80,363.63,352.71,347.21,347.90,343.99,323.14,281.11,255.45,268.32,282.73,292.05,297.98,288.23,282.25,298.10,321.76,344.85,374.91,418.39,441.86
2003-01-18 21:54:30+00:00,L7,182.19,214.27,233.48,265.32,290.28,315.99,344.80,365.81,368.09,383.97,398.70,417.28,431.28,450.01,463.24,476.57,495.86,504.86,512.78,520.43,525.49,509.17,481.92,465.07,442.65,426.64,410.42,412.92,400.83,401.64,403.76,400.48,380.08,372.59,361.33,354.84,343.52,333.30,340.65,334.23,339.63,351.33,355.53,370.80,383.65,378.82,369.00,373.43,378.54,382.99,390.89,396.79,400.93,390.53,384.63,383.96,391.66,403.91,411.70,404.53,398.12,390.88,386.00,393.73,394.44,380.94,378.19,379.13,376.75,362.06,364.41,346.43,339.04,332.55,322.49,322.96,306.78,284.06,257.19,233.69,237.33,254.60,258.36,261.45,269.37,276.27,297.28,327.77,357.87,397.86,423.49,387.73
2003-04-08 21:54:47+00:00,L7,306.89,339.96,359.64,386.96,410.79,419.97,438.24,478.20,478.22,481.36,487.97,485.22,481.52,478.88,483.31,488.91,505.51,531.77,543.38,552.90,552.88,563.11,561.19,538.21,514.35,458.04,460.43,442.19,455.99,471.01,455.15,447.03,433.44,420.05,405.54,387.82,378.94,367.69,369.54,377.11,372.24,359.79,376.37,407.26,411.64,410.65,412.51,407.10,414.79,415.49,428.21,442.78,448.86,448.96,444.09,435.72,431.53,444.84,457.86,456.77,447.80,436.30,426.13,427.29,430.32,420.34,421.74,424.13,438.40,436.65,437.39,423.78,446.39,451.94,447.93,415.43,401.14,358.68,,,220.53,,289.70,288.63,312.51,340.46,362.75,399.37,413.12,414.53,430.30,441.48
2003-04-24 21:54:46+00:00,L7,,,,,,,,,,489.14,506.23,519.06,496.44,485.74,486.98,496.23,516.33,532.02,543.92,551.85,554.20,572.40,572.91,550.38,,511.12,461.88,442.68,463.88,478.31,455.23,447.37,442.66,428.93,412.92,401.69,386.54,371.40,377.25,383.34,381.65,375.01,393.10,405.82,412.65,413.31,414.02,417.20,410.74,424.40,436.80,446.91,458.89,454.88,447.05,445.90,434.94,443.89,452.72,453.91,447.89,438.80,439.35,436.24,435.66,432.60,435.55,425.93,440.03,449.79,452.72,429.54,424.70,431.39,455.09,435.80,391.50,366.50,332.84,,252.80,246.05,302.65,293.20,,358.56,374.66,393.57,415.77,411.70,430.32,450.55
2003-07-29 21:54:29+00:00,L7,185.44,202.26,246.09,272.63,298.54,336.19,,,398.57,416.23,431.13,433.91,436.82,432.86,434.20,435.80,444.00,462.98,484.18,,,,490.73,471.83,443.45,414.27,392.99,394.48,394.93,395.31,388.91,394.17,,,363.68,355.24,340.44,329.66,336.43,346.52,343.42,342.33,338.55,343.62,,,371.56,378.87,380.92,382.63,383.63,386.82,398.46,393.38,394.22,401.20,403.57,,,389.92,393.18,388.42,380.93,371.68,376.62,389.77,389.47,384.92,373.29,,,,341.18,330.09,317.80,324.29,319.84,298.33,264.07,231.29,225.32,226.40,229.85,,,,,,,,,
2003-10-17 21:54:15+00:00,L7,252.43,289.21,344.49,378.52,,,,,,,,,,,,482.97,496.73,521.30,,,,,,503.03,,,456.67,450.23,441.47,450.66,479.94,475.26,447.75,405.95,390.94,400.44,,,365.68,374.41,368.67,375.92,376.81,374.79,394.11,400.87,394.51,417.89,402.74,,,432.02,424.63,440.36,447.04,439.92,430.66,431.08,421.75,426.94,429.72,434.44,,425.89,412.28,398.13,395.69,406.03,426.45,426.07,433.95,436.48,454.03,455.04,,,485.28,,,322.52,359.73,345.61,339.26,366.92,390.10,415.55,429.33,,354.56,,,434.44
2003-10-25 21:44:04+00:00,L5,135.57,179.82,229.97,276.65,302.13,329.91,349.98,373.11,399.05,418.18,415.22,415.42,413.18,409.12,409.89,412.18,437.30,454.32,476.06,490.71,497.68,487.26,,425.90,405.85,389.17,372.58,371.03,377.22,394.73,396.28,381.99,376.16,363.06,357.46,340.90,332.63,322.64,318.87,321.13,325.14,335.68,334.19,340.31,351.82,357.96,363.08,353.08,356.01,362.43,370.42,371.38,371.23,387.32,393.84,389.04,384.60,382.36,380.59,372.90,369.06,370.68,379.32,371.69,359.60,358.83,364.06,364.83,366.28,362.25,355.29,352.05,331.53,322.91,315.70,319.19,313.25,293.50,265.58,254.30,266.44,267.47,277.62,295.42,328.33,363.33,353.36,319.06,316.94,340.31,376.33,404.85
2003-11-18 21:54:39+00:00,L7,259.07,280.98,352.59,,,465.00,491.88,512.40,500.58,,538.91,,503.85,479.49,477.71,478.79,490.57,511.78,532.96,543.56,551.66,552.08,538.28,,,459.08,438.54,438.22,453.43,463.70,462.91,447.17,420.97,419.73,416.94,,,369.56,370.41,369.21,373.67,378.56,392.72,398.32,394.10,384.59,393.33,393.29,,,425.06,432.26,439.13,449.09,,296.36,,,,,,,,,,,,,,426.82,431.50,423.39,425.22,,,,,,,,,,,,,,387.26,396.13,,,420.67,468.56
2003-12-04 21:54:43+00:00,L7,189.08,233.92,266.82,317.02,353.55,380.66,408.76,436.58,462.22,473.28,477.48,484.72,,,457.74,462.14,473.82,486.71,501.00,521.04,529.16,524.76,510.20,490.69,465.31,,,429.21,434.43,443.83,440.48,427.70,408.10,401.78,396.20,389.11,375.04,,,353.73,357.97,367.39,376.67,379.88,383.30,383.47,377.57,385.36,397.83,,,,412.84,421.05,426.44,416.81,404.44,403.75,411.58,416.59,426.03,426.32,,,391.12,384.61,385.58,392.92,396.94,398.08,403.05,402.50,395.35,383.25,373.62,,,359.45,334.75,301.87,286.38,282.06,289.11,299.82,331.02,368.10,377.42,368.60,375.48,390.17,,
2004-01-21 21:55:26+00:00,L7,,,230.35,269.68,,,357.13,381.04,399.20,421.60,432.10,439.20,446.88,445.05,437.74,431.20,439.23,,,,493.66,483.96,475.67,449.19,428.49,407.59,394.58,392.49,392.83,394.04,,,379.73,371.43,362.99,353.87,336.90,332.23,328.66,328.38,338.02,347.02,,,356.12,358.74,361.02,371.04,374.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-03-01 21:45:26+00:00,L5,164.65,225.06,261.55,300.91,344.03,388.34,410.37,430.33,448.41,461.88,471.36,479.34,483.62,483.94,472.96,470.47,468.37,475.16,492.64,508.48,526.58,531.98,528.32,513.09,481.19,460.95,431.53,431.30,428.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-03-09 21:55:15+00:00,L7,164.19,205.60,252.01,290.23,323.87,355.92,373.97,,,439.48,443.89,454.23,458.64,456.29,452.63,453.44,453.38,462.26,470.04,474.36,,,498.98,477.19,458.89,435.09,419.71,407.89,407.38,409.44,415.11,409.49,,,381.59,361.25,357.67,349.22,338.40,345.11,358.83,363.77,359.80,370.52,365.86,,,377.73,379.40,385.41,392.22,391.84,395.98,398.22,404.72,401.18,398.75,,,395.68,402.38,402.49,402.06,392.66,387.80,382.20,385.46,382.55,389.55,,,,372.86,364.25,353.87,355.73,345.08,316.33,280.31,257.31,279.32,312.51,336.37,348.64,,,,343.22,361.01,386.66,420.18,451.50
2004-03-17 21:45:08+00:00,L5,,,,,,,,,,,,,453.59,454.08,449.70,445.16,447.91,448.19,456.08,471.29,482.13,488.98,483.01,468.93,450.38,432.10,408.88,402.46,401.75,410.33,406.34,400.24,396.71,383.41,370.34,348.62,339.02,335.94,335.80,346.89,354.11,363.98,362.66,360.95,356.78,356.80,354.56,362.81,372.58,383.50,378.69,374.14,384.45,392.33,401.62,390.08,387.16,376.85,379.18,388.75,388.72,387.77,388.42,384.99,373.58,374.10,376.49,383.08,380.57,375.93,374.99,375.33,362.43,352.15,344.82,355.55,342.66,319.99,274.04,,,,,,,,,,,,201.47,125.04
2004-03-25 21:55:18+00:00,L7,164.24,,249.25,276.55,,,,415.50,429.90,436.13,442.35,451.41,460.62,465.00,462.26,460.62,448.78,,,,484.79,499.84,493.03,481.32,462.17,441.80,420.19,403.99,406.76,403.64,,,407.38,392.36,379.29,355.06,344.93,337.63,332.58,344.83,344.25,351.89,,,365.75,361.05,354.12,360.30,378.64,387.95,377.15,370.67,384.73,404.86,414.54,,,392.32,390.22,393.51,398.19,404.43,403.64,407.77,390.46,381.03,390.41,392.99,,,394.65,393.90,385.10,370.80,371.11,374.53,373.49,365.19,,249.89,262.26,289.33,,,355.59,335.36,325.04,334.82,350.79,378.56,404.93,431.56
2004-04-18 21:45:49+00:00,L5,138.15,167.34,226.22,264.31,294.94,324.36,350.93,373.23,399.49,416.75,431.85,446.20,450.51,455.37,450.56,442.24,435.82,437.96,442.49,461.55,471.51,480.14,477.26,468.17,449.61,423.50,404.25,393.71,389.77,389.00,389.01,386.80,379.04,376.63,357.42,339.34,341.09,329.31,331.61,337.60,339.02,340.90,344.09,348.49,355.54,357.06,365.26,376.04,377.19,381.13,378.58,373.60,374.59,379.30,390.81,390.42,385.70,380.92,388.40,389.06,394.20,400.46,398.13,389.82,378.76,371.45,368.60,371.10,371.81,372.03,375.01,371.80,361.43,344.48,334.25,345.78,333.12,314.85,284.08,249.29,243.67,253.42,285.55,304.09,335.58,351.35,344.22,337.18,354.14,376.29,406.38,423.26
2004-05-04 21:46:39+00:00,L5,,148.67,,,,,,,,,,,,,,,,,,,,,,,,374.27,,358.07,364.28,369.72,359.88,362.92,353.34,346.57,338.42,320.84,314.15,309.17,308.10,316.87,327.47,324.14,324.25,337.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-05-12 21:55:13+00:00,L7,,285.70,313.01,,369.63,394.83,433.73,434.36,455.40,474.23,514.69,,,,501.16,493.53,484.49,472.85,471.01,477.13,497.50,509.23,539.43,535.74,,,444.55,423.59,425.14,425.22,433.72,434.21,432.32,416.12,393.91,371.25,,,373.88,375.46,375.03,378.52,382.87,382.27,377.26,372.46,392.55,396.84,,,,391.41,403.88,422.90,426.90,423.02,415.61,411.68,413.49,404.68,409.75,,,431.19,431.26,411.14,405.84,407.48,420.70,426.67,436.38,437.08,425.00,415.01,,,406.68,393.08,370.57,341.98,352.02,336.54,298.94,327.74,347.97,338.79,356.65,366.48,370.12,,,467.86
2004-06-05 21:47:36+00:00,L5,,98.99,88.30,105.99,,178.08,182.23,179.27,,,,394.46,428.57,420.45,410.17,,,,,,,,,,,,,,,364.54,366.40,346.49,383.06,376.18,369.75,347.44,339.58,348.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-06-21 21:47:40+00:00,L5,222.64,206.24,,,,294.46,,,,,,,,443.44,447.78,,420.54,410.67,417.49,,419.25,461.32,454.97,482.42,437.36,401.94,397.56,304.66,374.25,351.44,334.14,,329.01,333.80,332.84,338.17,324.34,323.47,329.47,337.62,337.71,,318.47,365.47,364.13,359.90,357.90,366.34,,369.52,373.63,376.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-07-31 21:54:51+00:00,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,388.69,378.86,357.92,346.25,333.81,332.99,333.30,333.67,332.93,332.69,,,343.13,340.22,343.68,347.01,354.11,361.96,362.99,360.26,362.84,361.61,,,,385.48,387.52,383.26,369.49,364.24,363.55,379.38,384.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-08-24 21:49:18+00:00,L5,451.49,,,,,405.77,438.35,455.31,478.63,473.45,483.03,503.86,519.73,508.44,488.34,489.85,478.52,464.88,456.20,457.39,459.64,487.39,513.93,513.01,505.15,500.76,462.40,441.56,435.11,428.37,427.23,425.49,421.70,407.28,371.21,368.01,366.62,388.31,382.23,365.59,365.09,377.98,391.54,382.09,375.81,383.37,394.40,398.14,399.09,394.87,396.35,390.31,391.35,409.35,426.92,417.76,416.18,421.87,423.59,416.18,405.57,391.41,400.05,414.91,425.49,428.31,425.97,416.87,415.99,428.07,431.63,420.10,408.10,391.93,386.08,396.13,396.21,418.45,383.98,354.44,327.83,333.82,347.58,335.02,346.04,,,,,,,
2004-09-09 21:49:43+00:00,L5,,,,,,,,,458.32,466.92,,,,,,,,,,,,501.92,511.45,512.66,510.38,510.23,491.57,456.30,463.74,433.76,434.58,436.08,422.75,402.15,386.37,370.70,381.62,388.61,374.92,371.00,365.20,377.68,385.91,382.68,379.94,381.67,390.65,396.14,397.48,403.24,398.24,394.35,398.02,417.55,431.45,417.61,408.83,409.74,424.02,418.44,407.17,398.19,409.40,422.23,426.82,433.94,426.55,425.49,435.31,443.89,447.04,444.21,436.53,402.59,382.46,391.28,383.20,380.04,365.77,323.48,312.75,314.29,322.96,314.78,324.42,362.81,376.14,387.62,399.27,414.80,466.14,496.08
