,dates,per0141-0000,per0141-0001,per0141-0002,per0141-0003,per0141-0004,per0141-0005,per0141-0006,per0141-0007,per0141-0008,per0141-0009,per0141-0010,per0141-0011,per0141-0012,per0141-0013,per0141-0014,per0141-0015,per0141-0016,per0141-0017,per0141-0018,per0141-0019,per0141-0020,per0141-0021,per0141-0022,per0141-0023,per0141-0024,per0141-0025,per0141-0026,per0141-0027,per0141-0028,per0141-0029,per0141-0030,per0141-0031,per0141-0032,per0141-0033,per0141-0034,per0141-0035,per0141-0036,per0141-0037,per0141-0038,per0141-0039,per0141-0040,per0141-0041,per0141-0042,per0141-0043,per0141-0044,per0141-0045,per0141-0046,per0141-0047,per0141-0048,per0141-0049,per0141-0050,per0141-0051,per0141-0052,per0141-0053,per0141-0054,per0141-0055,per0141-0056,per0141-0057,per0141-0058,per0141-0059,per0141-0060,per0141-0061,per0141-0062,per0141-0063,per0141-0064,per0141-0065,per0141-0066,per0141-0067,per0141-0068,per0141-0069,per0141-0070,per0141-0071,per0141-0072,per0141-0073,per0141-0074
10,1987-03-05 14:32:27+00:00,158.5064615822224,148.9293429620529,96.36988060845239,,93.68685205620551,106.40807112266198,115.43854722155677,106.52022183958042,95.97861679976614,87.18207059875716,90.03115452720016,94.20282036158156,93.92756900809322,113.03793359798237,106.44031524409534,118.72507812422815,139.4666656042744,136.83757649437248,128.46144135779312,119.05466779837857,111.60702515824565,98.02650336416616,115.48959712751746,106.9825311722025,110.30799716671739,101.22079323180202,108.62375544977388,105.50456575267899,98.36283647203707,99.70592778156976,105.8945118067166,88.41415727562554,91.25785820696166,79.780682256021,75.5194752385797,85.34691415825958,84.65464923215768,83.7954150550566,73.81804014585495,74.71606140219552,80.11157627211469,69.23310184951606,62.175479058535025,49.9704746653884,61.78745616208408,57.13108472716737,66.37555599825167,64.42728466560636,59.99791581174095,53.008910029099766,42.91478579276088,43.11383175544293,50.005349314484974,49.9413105055899,44.40680071880134,28.874240373566717,28.161879981826456,39.048055527150794,44.08327564781567,33.077470563270914,26.426589200191405,13.480782058756155,1.9147282552729599,,,,,,,,,,,,5.166100262163613
11,1987-03-28 14:39:28+00:00,,,,,,,,70.03381211087157,45.58702913093058,60.48208977432968,65.49888483975613,82.73377307562222,97.86192519904819,88.94219013743418,105.18206627641814,117.6701045686415,99.65528806289,107.78472866137767,105.6578397835926,89.90094546699646,102.81217933314886,104.12227667732853,100.99602879282816,82.32876950786756,87.90082595056062,103.11564786941594,98.3542690894443,90.0108685209945,74.45947568166748,91.3093490119688,92.49684771516272,88.51934608869874,76.57140359715697,61.59814618404433,,,42.98879186351904,,61.55727573747344,,,,,,,,,,,,,30.517708866170324,22.990468822113044,25.585011813303076,30.416115960595327,37.2906657376454,38.84069660875771,65.61431628604252,18.24534023053443,10.486074458059992,,,,,,,,,,,,,,-1.0443803681247301,
12,1987-04-06 14:33:36+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1987-05-24 14:35:00+00:00,143.60357665740958,124.24602497504793,64.62062919832675,81.67628087733905,63.14110037871153,82.0131858371148,79.72526700607027,74.52386029070897,77.89269511468154,70.72718185884754,79.09374864153808,83.09715794667449,94.75286484139639,94.77723212303876,102.37176542517349,109.38545885552125,112.4060949570987,117.18751928106812,107.78405861267251,109.27249190931967,111.53536092139063,107.53880002059678,100.11834993910125,97.21183489159759,96.24451483450811,95.64556094481449,92.33572993816637,92.68982141981189,87.75274802413838,90.26874093832569,88.52608541754276,79.07212765980057,73.97442648620202,69.5049784021393,72.97059246369486,64.39353948201489,59.51905547618553,69.38146329581264,65.37414919715852,63.6900987442225,57.95650121347164,53.126112487706166,39.26913381923268,40.281828686929664,40.25368482465451,40.743988321077865,39.11279286756511,32.090792001516164,39.66628483280593,35.13873824317179,27.68704048066597,30.415171744144395,30.876559109906502,29.614686368993514,14.536083835273846,16.256922646271207,14.302491932942166,17.313682208397413,14.327652967826815,6.27258651460422,,,,,,,,,,,,,,,
14,1987-06-09 14:35:23+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1988-01-03 14:39:48+00:00,157.79268743012955,145.24232956078538,88.49238340480981,118.06195946341202,114.69883160595427,91.9166158286321,90.64401027956899,74.60401654600099,33.44862254104524,46.08666530579502,81.9294767428421,94.04809653296451,102.95876124344049,117.89210039585369,118.07141253377084,116.19270073884465,125.34520927038241,131.30965520371254,137.42869114263522,143.48484431717222,116.84330068107047,126.16358229686224,124.7421140816376,125.91780951428524,107.71804284435004,116.85434742336757,118.99134975316852,102.56556410549328,120.6507088757783,109.65568933174607,112.80842421468951,91.66270222638693,103.76142862031847,102.32950621565897,79.7541850866132,82.27766540221418,91.28937501438054,76.7632641415932,85.30051419886645,85.30725806199592,85.94232757535129,50.61785711703614,51.39824642891246,71.30333984239496,77.32192051123437,63.32986223980009,57.94332263925952,55.50502998534763,28.52432083705218,22.000567000869562,53.309364658067125,43.159173811986065,23.12610148641224,26.80878501304521,33.01686654064183,31.071314675888168,19.156363575257018,47.81418800097371,35.61040065765714,16.65814215956734,20.89228740012817,5.999459351254334,,,,,,,,,,,,7.540693866503734,5.137755932627863
16,1988-03-23 14:40:56+00:00,144.22748026208052,139.18281966409853,76.20944335740973,76.17556973783235,80.5040951918184,82.27859279864275,80.14042920543781,73.83481224957987,55.89501715682367,62.30381721241854,74.68844708107238,93.12100019093549,100.7382026735074,103.90301093225253,107.03533413393309,105.26923920828702,118.47926977013786,127.66316621674629,123.3614944045767,125.60934353801228,125.68729536491432,111.77001381801746,114.5406173063967,109.86645054959084,101.7384033681419,106.83431439785423,102.39548277937192,100.51988399490446,96.92047470535748,97.80424232670936,93.81492184854513,83.12858998371787,80.98609560625346,74.28819713135002,75.43980836721997,70.29549381884459,66.97014740223655,60.89852082491787,59.73698496263495,66.77573564948273,65.49099132553786,50.73318810437017,49.71241474613926,49.88573858389995,56.393987990525574,54.67210564400595,40.16747926345734,41.74038820766188,34.97567436325582,38.345300043317444,33.982713400930876,34.98452315562365,26.956978966996257,26.68025069972346,27.546645419991762,29.239888661056742,25.767049016989656,19.536393713881495,11.861103002811856,9.328087476910927,,,,,,,,,,,,,,,
17,1988-04-08 14:41:02+00:00,143.50495044140624,133.9274816667765,75.19878334061355,78.35600210668002,78.57486030338312,74.08721271169382,67.5302195864991,79.84723992388577,66.48905845442178,67.05446456726801,67.90009395004321,79.5467708893071,99.55319573407309,100.10061843132064,103.10005703320559,104.40700102394817,118.94287966429066,122.36054292845915,126.85541179612474,127.05176757171401,121.3391425864009,121.33304192067045,113.79065468422256,107.74961695227655,109.01352254899606,107.71741789461011,103.16068316072656,104.24177543427123,96.94753437816253,100.01097337444133,101.97213588191178,98.8758225390911,85.52635716394576,83.79554347830839,78.2202192946389,76.52030189176276,69.76510350641804,67.57184247069026,65.09268539797432,55.850974949333335,65.42780751196445,63.93882364391487,61.38010960956602,47.84915742298324,53.13146212473456,60.943654464513784,42.218204687424375,34.93478732256855,38.02804129159445,44.52075469913389,34.84593324397757,26.88902410560776,36.81623717754776,29.265264094461713,28.881500243412642,30.68930574822481,31.631676903219265,28.43757021675735,13.491733774539558,7.300359782581347,,,,,,,,,,,,,,,
18,1988-05-10 14:41:17+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,1988-06-11 14:41:30+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1988-06-27 14:41:35+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1988-09-15 14:41:41+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1988-11-02 14:41:33+00:00,158.60789431943752,145.99076382745238,102.81194791487955,106.64201685409674,85.1762253048354,96.08885084170056,102.8488188662418,91.93809009124246,92.29052212723599,90.01385799137584,91.74952912692129,99.78009976622657,105.24612125310915,111.61177560125181,112.54496374987175,115.6113585776616,127.16652458423854,129.5187582859329,122.93651904962488,122.74910432161592,123.65174395027552,124.13687234637666,124.01797625004049,123.98440563777123,123.90431597140939,121.98038996441704,119.41054662080428,110.53053739574425,104.2539568039703,97.17633294476843,103.29213335866532,94.85248053472152,95.54624352310239,93.15141927096283,91.14755668913199,87.21563483541897,86.83683197379675,85.95676938646479,75.72525655544409,83.08272609739787,74.27981202775621,73.54964217283305,68.91032038760741,65.17979101884136,65.99749843054647,61.556493071105194,51.651345582761515,58.88900842293032,50.932205830643724,52.954282447994345,49.73791768889843,43.33699880355523,33.61769538630783,28.989737962087062,38.588909339535405,34.55225002372104,27.735261378116494,30.589424857236708,24.073286567940492,10.222030462100498,3.5655525296401134,,,,,,,,,,,,,,
23,1989-03-10 14:40:26+00:00,132.57554438141077,129.7566920718357,79.78098957172887,84.50573929390984,79.84711822074446,72.3763203281011,70.61510144469105,83.37321601613388,69.73761995457663,69.38918143808966,84.29445116907117,83.97270098235262,94.43546926479189,101.75383499544836,117.17180090694464,113.66070545434893,108.88650949114417,119.06099991727372,113.51603206413856,120.60838464352578,126.82315048477503,120.45112433074746,121.51594843426867,109.73575506531881,109.35136604892432,110.93891528729918,100.66314739367061,99.88520762868032,99.1603526239517,87.89802465384429,95.47127661629114,91.95329194952372,90.88202194472217,81.71699379010309,68.17064087076403,79.22153012765224,73.52665414937627,62.90485354817311,71.4451170855429,72.84440417640172,57.84402926187148,55.634859408355084,62.88237878648698,56.151219683055814,52.63566272586455,43.97860270378105,47.52859428456536,44.36542156753926,53.49088789229579,48.017979771564924,38.31419700162376,33.82185160851265,31.8593996508952,24.5145940420798,34.79489545220108,26.39003798599849,16.185732387408507,25.373964554003102,19.772982693429014,-1.9521188745291584,,,,,,,,,,,,,,1.043423457668117,12.684615608964952
24,1989-04-27 14:39:44+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1989-05-13 14:39:30+00:00,143.39572976135494,132.6710674489708,72.5487081264971,84.96115656547963,80.26763442830439,79.89489728816089,81.5382998050109,73.71196366507405,72.80838183329422,77.99637118130339,83.92884692631498,98.55344598695747,113.0665989287564,112.2037363093183,106.55714943547635,105.49998519240441,114.8520999937462,123.23234618989575,128.29867794248037,124.95401484936329,126.81459840596935,122.12745931677595,112.87112704208643,118.19633827133566,112.41176479283632,99.57611584615222,99.19818249302409,96.39503675921347,102.95424249753647,92.5094259979676,86.89708382336754,83.85110374534196,89.20652884297189,81.86755582553965,80.66378849471025,73.6046420619542,65.01036535401705,60.44245755211728,66.39194865425787,66.96433705627771,54.459634454244664,54.63991819880261,51.35719611900953,50.437372326616654,50.127673973490175,48.73188324554873,46.15816403874956,46.11516764323572,48.34635263669291,37.66475566897356,33.014098265041284,34.494523158193864,28.94044217994363,28.458200628314877,26.7204269060326,27.42657472204661,21.29484546569865,18.830671954036205,15.956332381315729,12.473071547354932,1.038192795249317,,,,,,,,,,,,,,
26,1989-06-14 14:38:51+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1989-07-16 14:38:17+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1990-01-24 14:33:08+00:00,157.1731882501596,143.63234047288722,103.51876438351665,117.91412261431627,102.79425006778705,80.34208978254684,100.61411625086511,90.9241420858949,97.94381667927715,91.44720126341363,71.64501450712311,100.27537221064509,108.36051225299042,94.87023373267101,122.83473928112717,120.38421940048022,119.16141868266764,124.10950686813571,124.74709636631337,133.31454385363298,133.20588732363365,150.70243681693546,138.96215314251506,136.77420876269076,142.50846114100895,141.21166869338714,129.61092029016163,138.68234822341935,130.81782493036468,128.66717723917543,114.48668390254397,105.36980285169888,99.30787893109854,109.53266632329647,101.4753298002039,84.00488754232843,89.75774588281737,94.00806711132111,83.35727094631204,62.84973928512724,80.44332352824614,65.74272544298671,72.79095589113524,67.70207582009644,64.97872759067658,69.67443549355164,55.04575999940569,62.37867495204793,51.65259266065861,50.13734767301948,36.02921843968298,63.22800836661489,52.45581774476403,44.62177026481537,33.252351015915295,42.02696322888745,61.15688225250557,53.36333268923619,26.89766150082294,30.123520094334417,24.96224445321556,30.69081708677129,13.247217779201822,,,,,,,,,,,,
29,1990-02-09 14:32:37+00:00,145.51814842299035,135.44944363530766,91.46568190507267,111.55243651829795,95.66445910334498,73.3508164547311,89.93193159209616,79.16575023848674,93.95253740349078,85.29835136977415,68.34052475356835,95.988301598731,95.882003219368,105.3987970917726,120.21446647391396,116.20315729466564,118.86818764024954,121.7171091461338,125.59009069735438,128.50963140598287,142.83333227249796,139.41856136019302,142.9968121598934,135.01016460020273,139.46239431463803,132.72410627681046,134.16166820234184,126.20993407697497,120.14174680444575,117.39337235261732,116.68483240922217,109.4408964646831,101.74090265248955,100.58735258854931,93.60052080136829,89.80514833391916,94.51878658397258,89.71468058348059,81.19790824935455,79.91187952300497,75.32632473253037,75.99501515073719,71.53926989310385,74.70657766838633,67.0504673454767,74.55589060259544,61.28521384752722,64.18772843371707,62.82202287644998,54.727187289853276,61.63589810637647,65.52886028834554,52.88665861327963,54.27329825789457,44.174584474932004,62.78730298978863,64.19012725193893,50.637374118770715,44.3241407731276,41.49501464006394,34.8562271799272,32.86186009637993,16.712036033893316,,,,,,,,,,,,4.957794220106356
30,1990-02-25 14:32:08+00:00,,,88.0120564400437,101.13172823878598,84.68440125664189,73.61152335170192,85.49248144780508,93.79251915416786,112.486260033008,,,,,,,,,,,141.3562839788937,160.66364146187183,172.59711400703657,181.84761871939756,145.1407048860305,138.38643747456229,132.46247601739447,121.65811976029043,123.72039740925968,112.24011851870596,104.49026145150005,106.57583171162338,97.50052223237084,82.26905818285695,78.29494810871549,85.96559238024524,,,,,,,45.25730387350839,64.56252081915548,58.765424646901465,61.05904021816822,61.79634145973799,41.643549913227034,29.518176704489747,15.204653860095462,,27.134005776552353,41.78460405035478,15.422752581457072,11.134352897282643,5.530125733444668,24.456991712203646,35.90102149697485,46.55587529415776,,,,,,,,,,,,,,,,44.00981549368018,50.3599423881657
31,1990-03-13 14:31:33+00:00,134.53321053764745,130.76024975398877,59.31957126920569,97.10678958014238,80.19378839650827,83.98594294183943,88.52585832924757,84.82669016613326,88.22968144097676,83.80871430582442,85.47247228913136,98.96363433411348,94.13736044966177,104.85333108334896,107.26826585046445,113.01246784924592,121.9275674411673,120.74064343325892,133.83365742624483,129.70734739646406,127.12078757837662,123.47433167312039,134.4477603560489,130.67125692525903,128.3672960769009,129.61930000034081,126.82942080562049,125.28127707433565,117.85328946107586,114.4076362463721,110.60096228322118,98.24440835522014,88.05437209424295,93.00827800852085,85.22315890034261,78.18976413661585,70.15531252543269,82.92505656385293,80.52688493471297,66.86400370621212,64.28030660047025,69.86212721570108,65.05457933734212,57.865480208809245,61.29681677883704,52.83404062126294,51.20126181875476,59.199084825071566,49.62569176408189,55.67915685437378,53.74579265781806,41.34844510245853,38.11605249819986,47.282243680852375,41.271809131194274,31.15313246680383,40.696590203331695,35.36533429653905,22.18895669522415,31.15718403043035,26.35675856553744,19.659346520141582,2.8620446316038013,,,,,,,,,,,,
32,1990-03-29 14:31:02+00:00,149.8448509679185,138.18446243827702,74.68967007011666,110.76582866482305,94.9288018532504,74.85738674305483,93.45721099250042,88.67340326156776,81.21656915476481,82.72577204900989,71.94001526515028,94.73406514711917,100.41608661683831,98.88598380678664,106.93958638570025,112.0877166521961,123.39481602065834,124.32955987205975,123.64309921523514,130.9782766464923,128.25192427373526,121.83298356819373,133.1913744772824,125.72891112926136,126.56692614962637,126.09023727912555,125.12468741535804,121.8599957007431,122.85269159867335,124.59233996751267,112.93126264124736,99.3834655064185,96.90846923105292,86.56454598443715,86.53027185184831,85.08120430619672,78.69255427677078,78.83814003284533,75.22629350210497,73.84794780205732,62.27738681872879,62.251036433695894,69.19789986489288,59.52739078312825,62.02141900707043,52.29256166179783,48.04106066126104,53.355473996148035,52.40906635161114,51.750667146549176,46.4286218941874,42.75358188450074,37.70958415094578,38.899768444692114,51.99057052342653,41.59096954172625,34.209031591051286,35.34766415936183,20.618030820292127,28.057181290132476,26.55363913247925,20.35809144253905,1.2247833134067516,,,,,,,,,,,,
33,1990-04-14 14:31:10+00:00,149.79191728720332,139.27279616229228,79.25201644205555,102.93356763246425,93.42294727623894,83.5645118296757,91.71150363877624,103.00830700312781,79.29886080971008,79.29515890804757,87.19241228844376,83.83203032539453,96.58517476854598,111.47074976923811,111.5390577905456,113.99548943433231,120.1348408590984,126.59410760621003,130.89065408385653,133.29243862006604,130.5016051671385,122.75292151650554,129.33829872090973,123.8083091381793,128.5930052785717,120.90243325052393,120.51524320469578,106.48965005796956,117.25739368056453,119.32815392717072,108.50763274561028,101.11650314591606,94.13273410129756,89.01465594415114,91.88714203911175,84.04813100894069,83.78623222313072,81.57741053956497,77.20268875095147,75.0681758810845,71.87691655496157,62.98274030183544,64.52129615068804,62.994654326165666,61.06297124077968,60.149711432073445,48.16775587729203,50.988412942906535,51.15349185727111,49.677449894653016,49.414988765812105,50.74271025246014,43.826439954709926,33.687576686277744,42.674704556012806,45.07038555028774,39.303715057906246,34.877384174799744,28.290809509501315,21.952445563760364,17.7207039512152,10.600569983134273,,,,,,,,,,,,,
34,1990-04-30 14:31:01+00:00,157.89604217789372,143.0691845308774,90.13382957030692,107.65703810089249,91.0841333786823,92.59930005737246,89.17244119891805,109.60620645941907,84.6026998969712,74.12808431438265,99.99724937631083,91.4476723767973,91.28847016540234,112.12822702507167,110.13043814451136,111.20989644471783,118.72902708980469,125.93534298046961,131.37153380348644,135.08155016648686,128.31525867201708,131.78551519058985,125.40878547964886,125.53367033143793,127.50947128515801,125.76078686817185,120.8824409948883,114.01050983026089,113.84943111191677,120.45608527267686,115.70660624630872,100.23132406388251,106.03241524484693,90.82350017874106,91.29379185525995,79.17451593697558,89.42349903926853,87.7512114734391,80.00423504447618,71.21145934287671,74.73951679180385,65.87216443657243,51.75200840107881,73.85470765349945,63.01105628663904,61.96269511486714,49.55982333293052,48.2453220993155,50.62641580088717,45.3251353014455,38.310117107203766,53.04159663407629,51.570835589894145,24.57791261504343,38.016042252473,55.692923085048164,41.729733751986224,35.83652191529779,37.80446152234464,22.706321332052166,24.99622427607244,15.472050512675706,10.053744143075711,,,,,,,,,,,,
35,1990-05-16 14:31:13+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1990-06-17 14:31:06+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1990-07-03 14:31:05+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1990-07-19 14:31:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1990-08-04 14:30:57+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1990-08-20 14:30:53+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,1990-10-14 14:36:43+00:00,,122.26441593000429,101.27444078093782,98.99888714467762,100.76232150691763,94.85738169961554,88.5026710651656,98.04260442683994,89.50230885537637,74.4619548656867,75.94939401669919,95.02854869849276,102.03145020895847,103.81287092405267,115.4435435016646,119.29333933734884,126.53008228190312,122.34499472767229,128.5526067715109,127.14403238374337,130.033236758696,128.33448275321172,125.7844703637802,123.62187916235362,128.68466346682712,126.80545366914667,126.98282622445817,129.17565644424513,129.94936478532304,126.60290372775042,124.51407393936341,118.04025498825368,110.92433898986219,105.38864055277647,100.25971538284537,98.52139056833784,90.13175124430293,88.2222708686013,87.53569026748029,90.36312490610806,80.26097071155202,77.97653109297777,77.91027104007742,66.44718098180178,75.44854916761452,72.66978884490334,70.70539248068877,58.42803541567075,60.85930883568608,62.96714754768797,63.02781513432035,50.142545035314946,51.05263414956423,55.948398438471415,39.07018226591799,46.34770289566435,57.21283900845619,56.119723162902474,46.57903734965676,43.360846563826684,31.973737497228758,28.89834592242053,16.869509091991553,,,,,,,,,2.0940175606213147,10.45422595689292,19.112955548454412,17.09607749585932
