dates,satname,nzd0541-0000,nzd0541-0001,nzd0541-0002,nzd0541-0003,nzd0541-0004,nzd0541-0005,nzd0541-0006,nzd0541-0007,nzd0541-0008,nzd0541-0009,nzd0541-0010,nzd0541-0011,nzd0541-0012,nzd0541-0013,nzd0541-0014,nzd0541-0015,nzd0541-0016,nzd0541-0017,nzd0541-0018,nzd0541-0019,nzd0541-0020,nzd0541-0021,nzd0541-0022,nzd0541-0023,nzd0541-0024,nzd0541-0025,nzd0541-0026,nzd0541-0027,nzd0541-0028,nzd0541-0029,nzd0541-0030,nzd0541-0031,nzd0541-0032,nzd0541-0033,nzd0541-0034
2003-11-17 21:52:57+00:00,L5,355.79,359.27,355.19,358.42,361.64,360.19,362.82,362.95,358.55,357.82,359.33,361.77,364.37,360.34,357.50,352.37,355.68,364.70,368.73,371.38,370.25,368.27,359.73,346.16,331.07,320.74,315.24,322.94,328.80,332.46,330.80,344.77,359.35,375.11,385.43
2003-12-26 21:59:30+00:00,L5,,,,,,,,,,,384.48,385.05,385.51,377.83,378.10,372.66,360.05,336.55,329.31,357.55,384.21,384.01,368.19,345.38,279.56,321.14,334.62,346.89,358.66,369.73,366.09,369.36,381.93,404.71,423.09
2004-03-31 21:59:59+00:00,L5,374.64,379.75,373.45,377.32,374.70,374.07,370.93,375.22,369.91,367.56,370.30,363.65,366.61,365.73,366.22,378.72,382.13,374.74,372.29,368.58,369.06,362.18,362.49,363.22,356.25,352.62,347.11,351.05,354.92,345.90,341.67,364.11,380.16,381.62,383.99
2004-04-24 22:09:55+00:00,L7,383.30,391.84,381.97,391.63,393.68,390.17,392.75,393.73,384.05,378.49,392.46,393.28,392.60,388.74,393.83,399.22,401.49,402.45,397.27,392.99,391.09,380.24,374.99,,,,,,,,,372.84,390.71,406.80,414.13
2004-04-25 21:54:35+00:00,L5,226.40,255.85,266.65,266.94,233.79,254.23,,377.85,381.70,373.16,383.59,386.58,386.02,381.71,384.50,386.02,389.72,387.62,384.51,384.43,381.02,371.42,367.75,372.00,377.31,377.32,373.03,373.99,375.69,359.34,355.87,371.06,383.36,397.20,401.10
2004-05-02 22:00:57+00:00,L5,365.38,553.57,,370.10,374.85,371.20,379.24,374.92,370.23,368.78,371.60,380.13,359.22,335.88,372.35,381.66,371.98,370.16,362.50,,139.65,332.90,350.30,523.94,598.42,406.27,,,,555.85,339.83,356.49,368.63,383.69,389.92
2004-05-03 22:03:47+00:00,L7,381.53,391.64,373.46,,,,,,,,382.63,383.11,379.69,379.25,387.30,385.81,384.23,379.21,381.70,382.31,375.67,369.01,361.43,359.30,367.68,373.07,369.25,358.86,358.24,353.07,352.46,,,,
2004-05-18 22:01:26+00:00,L5,448.01,455.21,390.84,406.71,409.36,405.84,396.84,396.89,394.25,400.62,407.43,404.22,407.27,411.10,401.64,393.07,396.97,412.04,416.17,406.10,402.83,394.36,390.07,384.36,379.86,397.16,398.47,392.52,403.85,409.00,437.62,480.97,510.12,420.19,425.82
2004-05-26 22:09:57+00:00,L7,,373.13,358.43,363.04,379.90,372.65,361.69,363.62,372.63,371.99,372.99,384.07,379.26,,,,,,,,,363.70,361.58,355.14,360.41,359.77,353.67,355.35,355.38,351.20,348.56,364.03,383.09,384.48,391.85
2004-06-04 22:03:43+00:00,L7,433.49,384.37,340.14,,376.81,,,363.01,366.70,372.85,381.53,383.06,379.81,385.64,385.80,380.77,374.06,369.24,380.46,377.23,375.06,373.59,368.31,372.94,374.62,361.65,359.21,,,,,,,,
2004-06-12 21:55:59+00:00,L5,372.91,374.10,327.65,317.75,328.75,,330.53,330.40,,366.40,383.63,382.84,382.85,383.85,389.97,379.60,375.27,377.36,386.19,381.40,378.71,378.65,374.80,373.63,378.51,353.90,351.56,361.04,366.81,367.61,363.60,374.30,375.90,386.21,393.16
2004-06-27 22:09:48+00:00,L7,324.84,327.56,324.64,323.21,323.30,319.26,319.37,318.81,313.36,323.56,334.17,339.90,342.35,340.53,334.85,336.88,332.10,339.73,344.74,,335.76,333.92,334.32,331.59,140.80,,,,,,,342.87,339.65,341.62,348.12
2004-07-06 22:03:36+00:00,L7,,,,,,,,,,,,,,,,,,375.17,378.89,380.44,373.25,372.96,360.08,354.34,358.62,364.74,361.06,364.80,365.52,360.61,358.84,371.81,385.01,394.84,417.17
2004-07-22 22:03:32+00:00,L7,,,,,,,,,,,,,,,,,600.00,538.63,518.45,514.17,487.18,485.86,496.48,552.87,546.80,545.86,620.98,360.35,366.60,370.90,374.42,391.99,399.94,393.54,499.72
2004-07-29 22:09:38+00:00,L7,372.86,371.22,,,,,,,,,,,359.77,376.88,370.11,371.48,366.33,376.88,376.08,375.75,367.26,365.13,362.64,368.18,361.67,362.88,352.90,356.65,360.05,366.23,369.40,380.27,390.65,399.29,402.26
2004-07-30 21:57:15+00:00,L5,425.41,412.16,355.61,368.98,377.21,373.28,382.69,386.06,392.50,387.67,389.06,391.08,386.88,381.35,384.61,390.14,381.63,384.78,397.19,394.74,387.33,380.53,385.87,385.07,381.89,379.74,377.52,384.53,389.57,388.90,394.64,422.25,434.84,439.14,457.25
2004-08-15 21:57:37+00:00,L5,,279.82,,,,,,,,,,,,,,,376.83,374.68,,,386.86,395.05,377.43,381.65,369.60,369.16,362.83,,385.22,519.34,493.41,409.77,433.28,445.02,487.42
2004-09-08 22:03:17+00:00,L7,,,,,,,,,,,,,,,,,339.89,353.57,362.65,374.37,374.42,371.70,364.69,357.08,354.87,348.06,346.48,348.56,357.64,363.39,360.29,378.41,385.23,398.74,398.37
2004-11-19 21:59:42+00:00,L5,,,,,,,,,,,,590.84,,,,,606.77,404.32,,,282.40,,,,,,,,,,,,,,
2005-01-13 22:06:52+00:00,L5,443.14,444.72,378.70,374.83,394.70,390.59,384.19,387.11,382.07,376.68,377.30,378.98,376.51,376.31,377.31,378.98,383.27,401.81,417.21,409.23,389.75,381.80,381.36,382.13,388.14,378.14,374.37,377.27,390.24,410.04,407.63,420.64,437.93,430.55,412.68
2005-02-14 22:07:21+00:00,L5,373.54,383.58,370.23,374.54,376.00,376.19,377.64,379.96,377.65,371.32,372.98,368.31,366.75,361.22,364.03,371.03,380.99,383.03,385.29,381.78,380.56,378.61,378.38,375.97,366.86,363.03,364.48,373.50,383.64,386.26,380.38,394.00,400.29,396.20,395.27
2005-03-03 22:04:17+00:00,L7,,,,,,,,,,,,,,,,362.65,370.60,378.33,374.65,363.14,366.45,358.20,360.32,357.88,358.93,358.19,352.95,357.58,368.96,369.40,369.79,379.45,390.52,393.83,390.51
2005-03-10 22:10:29+00:00,L7,448.91,426.70,384.27,384.80,,100.11,,,,,395.27,398.19,,,,,441.85,438.96,,,371.93,327.25,380.29,409.07,411.56,406.26,403.21,,447.86,437.11,489.55,312.22,311.80,314.73,317.39
2005-04-04 22:04:14+00:00,L7,,,,,,,,,,,196.83,,,,,,,,,331.94,337.14,344.96,340.42,348.43,349.34,339.93,345.23,,355.57,345.67,344.84,358.40,374.10,371.92,372.30
2005-04-11 22:10:22+00:00,L7,365.18,370.59,364.32,367.75,373.45,366.91,365.18,373.46,373.12,372.38,,,,,,,357.65,375.28,,,370.09,348.23,,,,,,,,,,,,,
2005-04-20 22:04:08+00:00,L7,569.04,639.88,,,,,,,,,492.49,,,,,,444.72,396.90,412.24,,,,,,,,,,532.45,530.17,,,,394.09,408.59
2005-04-27 22:10:21+00:00,L7,414.92,385.64,367.36,366.16,378.14,373.69,375.70,373.49,,,380.11,386.51,389.47,395.23,397.78,,412.36,406.26,,387.36,382.04,386.32,386.71,385.83,391.35,389.06,392.13,388.80,63.40,96.30,74.83,68.12,198.41,209.26,207.18
2005-05-13 22:10:24+00:00,L7,358.14,355.26,342.07,338.09,335.18,339.37,335.10,337.33,332.47,338.58,359.14,367.36,368.16,373.81,371.19,376.06,373.32,377.92,373.91,,357.98,348.69,311.30,,,,232.27,,93.86,108.79,113.20,99.92,,,
2005-05-14 22:01:54+00:00,L5,537.02,495.40,352.95,349.73,343.44,346.00,345.65,355.99,340.36,341.00,355.71,369.69,369.21,351.97,358.51,352.65,352.31,344.56,348.39,345.90,343.24,343.30,350.01,342.32,336.72,568.61,625.68,,,,,,,,
2005-06-14 22:10:13+00:00,L7,,,,,,,,,,,,,,,,,389.13,383.62,388.46,386.82,371.53,372.47,362.03,372.29,355.94,355.48,362.63,359.62,365.34,371.28,372.44,388.37,399.22,399.28,407.46
2005-06-15 22:02:10+00:00,L5,357.54,345.48,329.30,331.19,344.90,327.41,337.71,332.79,342.75,370.77,373.53,374.81,369.79,363.41,367.68,372.64,377.62,373.08,374.48,376.22,376.58,367.76,362.15,363.15,351.94,355.47,358.08,354.31,355.73,362.37,357.31,377.04,387.66,395.11,394.43
2005-06-22 22:08:22+00:00,L5,431.91,411.77,334.31,323.56,,399.11,382.70,385.13,380.59,380.68,389.70,389.07,387.87,391.45,394.32,399.89,400.80,411.78,407.78,405.38,390.85,384.28,377.47,379.77,377.72,371.66,375.66,399.75,413.24,414.70,433.63,545.42,456.68,554.21,557.46
2005-07-08 22:08:27+00:00,L5,,,,,,,395.70,407.93,401.63,391.99,391.26,393.37,,406.33,413.66,423.44,440.26,432.33,406.09,404.60,384.55,379.11,376.64,374.92,367.01,376.62,369.34,369.67,380.98,402.21,412.31,424.16,426.38,433.81,435.98
2005-07-09 22:04:02+00:00,L7,,,,,,,,,,,,,,,,403.28,414.56,417.49,400.69,392.19,384.41,375.80,368.49,370.77,371.76,370.32,367.83,366.85,386.01,395.33,402.22,412.38,417.60,422.79,419.86
2005-07-16 22:10:12+00:00,L7,332.31,337.38,328.68,323.27,326.82,324.12,322.34,323.01,331.65,337.29,349.15,359.76,362.69,356.78,363.54,371.77,373.07,367.39,365.72,357.64,353.93,348.37,342.28,343.76,336.09,335.34,336.42,,,,,,,,128.84
2005-07-25 22:04:01+00:00,L7,,,,,,,,,,,,,,,,,,,,,359.63,352.26,354.20,351.87,355.82,347.19,356.52,358.28,365.16,369.21,372.70,393.75,406.88,415.50,416.08
2005-08-09 22:08:46+00:00,L5,381.84,391.39,373.53,384.61,382.83,387.34,390.65,388.65,385.83,377.09,382.40,387.81,388.11,392.11,396.39,401.41,398.73,402.76,398.00,387.70,378.73,368.09,364.73,363.36,361.85,361.88,364.02,373.76,382.50,387.17,390.32,411.14,425.21,431.93,422.06
2005-08-17 22:10:06+00:00,L7,363.27,367.15,352.83,355.07,359.45,360.50,362.83,368.93,363.08,362.32,373.81,381.81,379.68,378.91,384.20,389.83,385.71,382.93,,,,,,,,,,362.55,391.86,421.01,474.73,,,516.34,471.67
2005-08-25 22:08:52+00:00,L5,338.79,342.25,337.89,337.38,341.50,339.50,338.04,340.80,344.15,340.03,354.55,350.44,350.05,354.21,355.77,362.19,360.95,355.08,348.20,340.50,338.82,331.16,327.23,325.00,321.70,323.64,324.42,329.04,333.04,339.88,335.60,349.59,364.95,370.67,368.59
2005-08-26 22:03:51+00:00,L7,,,,,,,,,,,,,,,,350.08,361.50,350.96,,,326.36,325.38,329.82,323.71,,324.33,305.62,,335.53,338.00,307.22,344.76,354.40,344.75,352.78
2005-09-10 22:08:55+00:00,L5,359.33,366.68,358.48,365.37,374.97,370.84,370.78,372.73,366.06,367.62,369.44,374.21,375.20,374.64,379.64,381.68,392.73,385.10,374.72,367.13,363.73,358.65,356.25,351.39,349.01,355.09,353.42,356.09,361.90,361.68,363.82,379.83,395.63,403.87,399.54
