dates,satname,nzd0533-0000,nzd0533-0001,nzd0533-0002,nzd0533-0003,nzd0533-0004,nzd0533-0005,nzd0533-0006,nzd0533-0007,nzd0533-0008,nzd0533-0009,nzd0533-0010,nzd0533-0011,nzd0533-0012,nzd0533-0013,nzd0533-0014,nzd0533-0015,nzd0533-0016,nzd0533-0017,nzd0533-0018,nzd0533-0019,nzd0533-0020,nzd0533-0021,nzd0533-0022,nzd0533-0023,nzd0533-0024,nzd0533-0025,nzd0533-0026,nzd0533-0027,nzd0533-0028,nzd0533-0029,nzd0533-0030,nzd0533-0031,nzd0533-0032,nzd0533-0033,nzd0533-0034,nzd0533-0035,nzd0533-0036,nzd0533-0037,nzd0533-0038,nzd0533-0039,nzd0533-0040,nzd0533-0041,nzd0533-0042,nzd0533-0043,nzd0533-0044,nzd0533-0045,nzd0533-0046,nzd0533-0047,nzd0533-0048,nzd0533-0049,nzd0533-0050,nzd0533-0051,nzd0533-0052,nzd0533-0053,nzd0533-0054,nzd0533-0055,nzd0533-0056,nzd0533-0057,nzd0533-0058,nzd0533-0059,nzd0533-0060,nzd0533-0061,nzd0533-0062,nzd0533-0063
2002-11-29 22:09:01+00:00,L7,167.15,,,,,,139.14,148.08,165.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-12-06 22:15:13+00:00,L7,335.19,330.79,343.13,314.68,314.71,309.01,309.01,322.06,321.08,329.13,322.38,327.34,329.15,331.28,325.55,318.34,310.76,310.19,308.60,311.08,314.14,317.81,315.20,317.57,320.42,324.31,330.93,334.16,336.66,336.25,332.03,327.90,332.24,334.99,340.81,347.62,336.24,332.99,336.84,344.18,345.45,358.03,376.27,397.90,408.10,395.50,384.67,402.19,413.60,418.81,422.46,410.22,403.08,365.72,392.01,378.29,374.61,359.40,339.94,341.58,356.01,356.08,350.81,360.03
2003-04-13 22:15:43+00:00,L7,315.10,310.63,314.96,296.87,298.99,290.14,297.69,307.59,308.86,307.05,307.81,310.49,309.94,313.03,311.19,305.68,301.36,300.03,298.65,299.09,304.75,308.55,301.40,296.58,300.92,304.59,305.66,310.27,313.00,318.27,313.57,307.68,312.53,314.05,317.73,323.22,312.90,304.49,305.63,312.24,310.80,328.10,342.03,352.90,362.25,361.81,362.63,357.13,361.54,367.75,366.14,353.13,317.97,291.47,306.78,302.12,300.36,291.36,287.03,286.71,307.87,308.46,304.80,302.30
2003-05-15 22:15:40+00:00,L7,304.07,302.08,303.28,293.96,295.80,287.14,287.08,297.58,302.60,303.38,303.17,305.71,307.94,309.37,308.99,297.41,293.68,290.53,294.11,295.60,299.31,,295.58,289.72,289.45,294.61,291.90,302.77,308.19,314.61,311.05,306.95,304.40,305.71,312.73,319.07,302.03,304.25,312.55,315.55,329.72,335.39,,,,,,,359.84,365.90,363.37,354.41,338.02,317.58,316.03,313.65,311.67,297.79,289.83,286.27,306.69,307.42,302.70,298.05
2003-08-11 22:03:51+00:00,L5,324.89,315.86,320.39,308.64,314.00,303.99,305.95,320.12,315.61,319.69,316.18,324.18,321.20,323.32,317.09,311.03,305.50,302.66,297.29,315.32,309.52,310.41,304.99,306.12,303.92,307.44,312.82,317.89,324.26,321.06,318.61,325.14,322.64,327.88,331.80,336.71,328.92,326.53,323.04,329.46,335.64,355.35,369.63,373.42,379.74,375.98,377.76,376.07,381.39,383.95,375.70,364.19,359.42,358.73,346.57,335.63,331.14,315.51,310.32,313.27,317.62,321.74,317.97,318.56
2003-08-27 22:04:09+00:00,L5,326.05,319.35,330.09,307.98,307.58,304.09,308.03,317.54,325.47,326.78,324.10,322.21,321.79,317.35,310.56,308.01,303.29,298.61,298.36,305.05,302.49,307.20,302.02,297.96,294.86,292.97,300.24,301.38,311.06,307.13,307.12,301.76,,,,,,,,,,,,,,,,,,,,,,335.90,331.96,323.06,315.83,305.83,290.88,289.83,299.44,300.96,296.97,300.76
2003-10-14 22:04:51+00:00,L5,343.27,329.60,341.10,318.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,339.74,357.08,351.25,384.94,384.53,376.46,351.42,349.95,367.54,410.36,442.66,457.77,438.17,434.26,411.22,,,,,,,,,,
2003-10-31 22:09:12+00:00,L7,,,,,,,332.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-11-16 22:09:23+00:00,L7,332.41,314.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-12-10 21:59:17+00:00,L5,,,,,,,,,,,,,,53.99,82.80,107.92,129.75,154.05,173.81,202.01,218.93,244.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-12-25 22:15:51+00:00,L7,330.03,325.47,340.55,316.07,313.56,311.31,316.34,325.12,334.93,337.57,327.45,325.50,328.13,334.01,324.24,311.77,,,,,,315.35,313.34,316.99,318.30,319.78,321.56,328.70,337.20,334.11,334.31,328.24,331.21,333.22,341.17,345.95,335.94,,,,,373.06,378.84,396.36,412.61,410.94,399.58,416.83,426.15,428.06,430.11,419.93,,,388.10,382.48,380.41,357.21,340.08,337.54,349.96,,,
2004-01-27 21:59:38+00:00,L5,,,,,,,,,72.82,98.49,136.15,155.70,194.96,215.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-02-19 22:05:55+00:00,L5,312.85,303.84,300.12,290.87,292.91,285.93,291.85,309.02,312.57,313.30,313.41,310.19,310.51,302.96,300.85,295.00,286.24,290.53,287.76,292.29,293.61,295.51,284.69,290.19,292.38,288.08,,,,,,,,,,301.08,301.97,301.62,307.06,296.00,297.95,320.85,342.02,350.45,359.85,356.79,357.03,353.48,354.61,361.73,358.57,341.07,315.48,289.78,291.88,295.33,293.92,286.70,282.73,287.24,300.15,302.80,304.50,304.62
2004-03-15 21:59:53+00:00,L5,,,54.22,89.91,131.43,172.45,210.43,254.00,286.83,316.74,348.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-04-23 22:06:53+00:00,L5,349.53,337.78,354.59,317.28,319.11,316.12,320.79,333.51,344.04,336.81,335.53,333.21,338.48,335.95,325.18,313.43,307.76,306.61,311.01,310.37,317.40,319.45,316.77,313.77,317.69,318.31,319.86,329.70,338.51,340.86,338.60,338.83,341.98,339.41,351.43,351.51,343.38,349.74,346.36,350.86,382.30,389.41,393.89,393.35,412.87,406.59,393.47,386.79,400.75,404.49,406.85,396.43,385.88,396.41,,361.63,349.38,347.42,349.40,342.15,339.63,354.06,341.66,348.11
2004-05-09 22:07:21+00:00,L5,348.29,335.22,353.47,329.89,332.68,328.72,332.02,341.61,347.07,354.84,355.27,345.55,345.40,338.95,330.86,328.54,328.03,315.81,318.88,321.06,329.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,331.72,367.14,329.08,,345.27,356.36,,393.16
2004-06-10 22:08:17+00:00,L5,319.79,315.27,,316.18,317.92,,,,,,,,,,,,,,,,,,297.67,,,321.37,315.08,312.50,318.33,331.84,343.16,341.28,329.76,323.55,331.82,350.17,346.41,335.92,338.61,343.04,357.65,360.27,368.95,375.73,381.49,383.98,390.17,380.34,385.74,385.96,391.40,373.80,374.25,355.26,346.97,347.30,344.75,328.72,324.16,332.29,328.64,331.41,335.02,327.98
2004-07-12 22:09:13+00:00,L5,301.11,290.09,309.84,,,,,,,,,,,,,,,,,,309.98,,311.81,,,303.53,308.02,303.45,318.72,314.92,308.00,307.46,304.87,315.75,316.51,317.18,310.55,308.73,312.02,317.75,328.84,337.06,347.81,361.50,368.65,364.35,361.38,361.39,362.96,366.81,361.81,351.14,335.27,320.18,317.87,317.70,315.87,295.89,286.45,287.23,302.10,309.98,296.31,301.24
2004-07-20 22:15:54+00:00,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,326.50,313.43,321.01,313.44,,,,,,,,,352.03,349.17,354.51,353.36,347.44,349.94,351.91,,350.85,344.82,,,,,,308.19,297.45,297.12,284.48,,,311.41,
2004-07-21 22:03:15+00:00,L5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,327.08,,,,,,,513.67,461.80,419.91,373.84,,242.15,,110.43,,,,,,,,,
2004-08-29 22:10:22+00:00,L5,322.44,311.60,313.48,300.85,307.68,304.98,309.36,329.86,334.95,334.61,332.05,328.53,323.84,322.36,313.59,309.94,302.84,300.05,294.55,304.21,303.57,311.40,303.90,305.10,303.20,307.14,312.48,316.48,323.90,323.05,319.04,314.25,319.01,319.39,325.74,329.88,315.32,315.17,318.91,328.62,328.64,348.81,361.79,364.45,372.89,373.36,374.82,374.48,374.21,375.50,368.32,353.55,345.10,324.66,305.67,323.81,323.86,311.63,301.26,307.02,318.07,322.06,318.78,322.85
2004-09-06 22:15:40+00:00,L7,,322.19,343.02,314.81,314.16,313.78,319.19,324.69,339.80,339.53,338.12,331.78,330.35,325.91,322.13,315.17,310.44,308.93,309.85,305.41,317.62,316.94,313.34,310.29,307.93,311.52,313.96,319.11,328.84,330.06,323.72,324.96,326.80,329.33,340.46,344.03,334.59,331.22,333.34,341.04,356.09,371.39,378.40,385.27,394.51,393.59,392.32,386.05,398.99,403.41,401.31,386.71,386.42,385.47,,,355.05,340.34,331.62,330.35,336.69,337.97,341.80,348.06
2004-09-30 22:11:09+00:00,L5,250.64,244.69,217.65,,,,134.72,,,,,,,,,,162.60,,,,316.28,320.59,311.73,313.55,309.99,318.03,317.64,323.33,328.21,328.74,325.22,321.99,320.93,331.40,335.01,340.63,333.68,328.90,324.55,311.07,338.39,345.21,359.53,366.62,375.43,378.01,378.90,379.89,383.47,381.94,383.46,383.79,382.37,379.37,374.09,361.36,355.48,350.10,341.42,,,,,
2004-11-01 22:11:49+00:00,L5,335.81,327.98,348.67,329.20,332.42,331.14,333.38,342.74,354.84,362.48,350.00,343.07,335.33,333.55,327.62,321.46,319.70,315.80,314.76,322.92,329.32,332.23,328.68,325.52,326.90,325.84,331.68,341.96,345.16,350.99,343.48,343.30,341.49,349.18,349.76,355.48,347.99,350.55,351.21,336.17,362.05,374.04,386.99,404.04,423.18,427.29,422.59,416.92,435.38,442.53,442.75,444.79,431.55,393.54,407.01,,,,,,,,,
2005-01-28 22:16:23+00:00,L7,329.43,316.86,336.65,309.98,315.40,317.35,324.00,336.08,339.73,343.17,330.77,326.66,323.66,321.12,312.04,306.73,304.44,303.51,305.84,310.71,,,,,,,,,,,,,,,,,,,334.85,337.04,,354.80,366.56,372.21,387.33,389.64,372.91,363.66,,,437.48,427.78,415.82,,312.67,365.00,,358.96,,,,336.94,339.79,334.59
2005-04-03 22:07:51+00:00,L5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-05-12 22:14:14+00:00,L5,220.70,,277.76,274.64,281.01,278.58,280.72,313.68,314.34,323.25,,197.07,179.53,,,,,,,,,,309.45,,,309.64,313.83,314.59,321.96,325.89,316.76,317.39,317.99,320.82,331.59,333.72,322.17,333.35,325.10,331.38,340.10,357.62,369.10,372.02,393.21,391.31,384.90,382.27,399.41,394.11,392.62,384.12,379.94,387.33,369.79,343.09,340.85,330.79,323.04,319.74,340.19,343.26,343.11,353.12
2005-05-28 22:14:23+00:00,L5,315.66,298.81,,296.16,191.29,,,355.58,,,350.67,307.03,326.69,323.59,312.22,275.60,307.03,319.11,,,,379.94,398.27,,,,,462.74,,,,,,369.69,,,,411.10,,406.69,,,,,,,415.53,398.13,408.42,,,,,,341.59,,273.21,,262.37,,,279.62,,302.84
2005-06-21 22:16:23+00:00,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,331.46,,,,,,,,,,,,,,,,,,,,,,,
2005-07-15 22:14:43+00:00,L5,318.99,,,,,,,,,,,,,,,,,,,305.68,312.92,312.70,311.05,302.59,311.92,303.96,310.05,313.83,322.08,324.58,322.95,319.13,321.60,322.61,324.83,338.95,329.55,329.28,327.19,329.77,319.60,,367.32,368.15,380.34,368.79,368.30,363.37,360.74,366.59,359.37,355.87,346.84,320.46,326.32,328.50,330.08,309.93,304.42,307.92,327.89,328.00,322.43,320.31
2005-07-24 22:08:38+00:00,L5,,,,,,,,,342.35,346.23,338.53,321.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-09-01 22:15:05+00:00,L5,314.53,305.57,311.81,294.87,297.16,300.19,303.65,309.84,323.60,324.20,318.79,308.74,307.51,303.52,294.46,293.42,291.77,291.24,292.53,294.82,301.98,306.40,,,,,,,,,,302.53,304.03,310.01,310.18,324.88,312.08,305.86,305.88,,,,,,,,,,,,,,,293.49,298.44,293.92,291.20,280.27,275.70,273.27,296.48,295.65,295.59,292.51
2005-09-09 22:16:04+00:00,L7,339.76,328.65,355.29,327.21,328.02,327.81,333.79,342.98,355.57,357.68,347.04,342.34,336.42,332.84,326.39,320.05,316.95,318.37,319.72,321.64,328.08,329.09,326.51,323.94,321.66,326.59,332.77,335.50,342.43,341.24,342.30,337.00,342.84,346.68,348.02,351.33,342.12,335.89,337.52,340.56,361.54,381.22,387.54,408.60,428.88,420.03,408.09,398.30,430.66,442.01,446.84,441.23,435.26,425.38,,384.24,379.12,372.31,357.15,356.25,373.76,367.20,366.16,380.56
2005-09-25 22:16:02+00:00,L7,322.98,313.27,322.24,307.58,310.33,310.82,318.15,324.38,334.57,339.80,331.84,324.77,317.73,311.61,303.20,300.61,297.73,294.11,296.09,,,,,,,,,,,,,,,,,,,,307.42,314.70,328.10,337.12,351.58,362.29,369.33,368.60,371.29,370.75,371.84,375.50,374.20,368.78,360.61,350.76,343.65,331.42,329.79,314.30,301.37,303.50,,310.50,309.41,316.08
2005-10-28 22:08:48+00:00,L5,292.21,291.31,295.91,287.45,298.25,304.80,316.78,330.79,338.12,337.50,326.85,316.17,312.51,309.74,301.16,299.82,295.42,297.98,301.65,305.56,311.32,314.65,309.66,308.27,302.88,302.10,307.08,313.86,315.30,314.84,304.47,300.85,299.83,302.33,307.59,315.40,,,,,,,,,,,,,,,,,,,,,,,,306.97,,,,
2005-12-30 22:16:43+00:00,L7,,309.74,312.93,304.16,306.23,313.09,319.01,326.03,335.10,332.14,325.82,316.83,318.53,315.43,311.67,307.02,304.40,305.39,306.18,310.94,316.28,316.33,310.13,308.23,307.21,307.84,311.10,314.33,319.62,321.45,315.53,312.19,312.50,318.46,322.51,328.83,318.31,314.48,311.66,300.89,315.21,335.30,345.12,360.50,367.32,364.11,366.16,366.82,364.43,373.69,370.21,359.82,349.10,317.94,,,317.49,303.38,294.02,295.70,310.18,308.41,300.85,309.35
2006-01-23 22:16:59+00:00,L5,332.36,322.67,345.24,323.27,324.58,326.28,329.62,341.16,353.40,348.96,341.79,337.81,333.82,333.99,329.75,324.22,320.40,320.12,323.30,327.97,335.22,333.45,326.90,321.19,320.60,319.26,323.88,327.47,334.78,336.95,334.03,333.12,332.79,337.37,341.14,350.77,341.62,338.26,339.19,340.27,355.04,364.17,377.87,385.64,395.89,398.93,395.35,394.10,401.25,402.03,401.28,392.43,384.66,371.01,370.42,367.06,356.29,339.03,329.33,332.97,347.34,344.07,341.29,346.76
2006-02-01 22:11:01+00:00,L5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-02-08 22:17:21+00:00,L5,,,,,,,,,,,,,,,,,300.96,307.15,307.26,306.80,314.64,311.43,304.98,298.03,303.88,306.15,310.42,308.36,312.27,318.27,311.76,308.96,310.38,316.47,317.93,323.69,315.16,307.46,305.84,299.57,319.04,328.32,345.78,355.08,362.52,363.68,362.53,364.40,363.62,367.49,364.75,352.86,340.39,318.89,322.24,316.78,316.06,295.19,287.40,289.92,303.99,303.41,300.04,302.26
2006-02-17 22:11:22+00:00,L5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-03-12 22:18:01+00:00,L5,313.52,309.30,316.88,303.53,310.47,312.12,317.75,325.88,325.64,324.42,317.37,313.77,312.75,311.34,300.34,297.06,296.39,294.56,290.07,296.98,302.76,303.66,302.28,297.38,295.86,295.58,303.85,308.07,312.17,312.52,306.98,304.47,304.12,310.89,317.67,321.40,312.66,305.82,306.53,297.28,311.61,328.92,347.05,351.18,361.52,361.65,364.27,361.82,353.53,357.07,355.67,348.20,338.32,302.14,305.71,305.51,298.98,287.21,284.43,295.58,307.48,306.79,305.17,307.25
2006-05-23 22:17:02+00:00,L7,309.71,303.27,314.09,300.03,309.04,308.99,311.52,,,,,,312.11,315.21,303.03,303.99,294.39,,,,313.14,,309.59,,302.00,300.16,307.53,311.70,315.37,312.08,312.50,305.03,304.94,307.55,314.53,319.14,308.82,302.81,309.49,308.93,308.88,324.79,339.30,347.41,359.41,,,,361.31,364.60,359.67,342.42,318.95,269.36,296.23,300.20,301.09,291.39,280.56,284.31,293.82,300.83,294.88,295.23
2006-05-31 22:19:19+00:00,L5,,,,,,,,,,,,,,,,,,,,,,,,,325.71,318.83,330.15,341.72,346.94,349.02,345.44,344.26,340.89,343.56,347.61,359.03,343.89,355.16,371.79,363.74,384.46,378.38,394.84,403.23,424.14,422.47,414.47,413.85,,439.29,439.80,424.68,439.81,446.23,,375.66,364.25,385.54,357.22,364.12,383.70,371.26,381.23,395.16
2006-06-16 22:19:34+00:00,L5,125.04,112.27,148.86,,229.25,256.55,,,,,,,,,,,,,,,,,,309.64,315.68,312.99,323.99,326.49,334.62,337.41,332.60,322.16,330.55,326.58,336.93,337.24,336.32,324.21,343.85,342.01,331.74,363.57,377.29,384.03,402.42,395.82,391.90,,,,,,,,,,,,,,,,,
2006-06-24 22:16:54+00:00,L7,,294.00,311.33,298.37,299.46,308.65,310.04,324.42,326.79,325.49,319.10,314.39,304.55,311.01,,,,,,,,,311.26,,,299.03,309.16,308.74,311.78,308.59,310.94,,,,314.00,326.02,316.02,314.26,318.02,323.82,318.25,347.80,356.74,364.72,370.74,372.95,376.34,375.57,377.15,377.41,374.48,361.95,351.27,,,329.38,319.70,305.35,294.60,305.90,314.36,318.85,312.55,320.86
2006-06-25 22:13:31+00:00,L5,110.22,139.23,162.19,,266.06,300.96,320.39,346.15,343.04,364.11,343.59,330.28,325.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-07-11 22:13:45+00:00,L5,,,,,,,,,63.19,94.43,133.89,156.23,196.21,219.56,256.12,269.70,298.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-07-27 22:13:58+00:00,L5,,,,,,76.59,116.54,157.99,192.84,224.92,248.38,285.68,316.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-08-19 22:20:27+00:00,L5,297.90,293.93,300.93,295.81,301.18,308.59,312.93,317.88,326.53,321.59,318.66,308.95,306.62,305.07,304.30,301.41,295.95,296.01,300.98,299.52,309.24,311.80,310.22,305.36,307.41,300.32,300.96,309.05,313.19,310.37,305.50,300.43,303.75,308.91,310.57,316.61,306.32,297.32,294.42,300.49,308.29,321.78,342.73,348.99,358.95,358.83,354.59,352.22,350.05,357.70,354.70,347.60,331.10,288.16,292.91,292.40,286.98,282.24,283.04,288.44,293.30,296.10,294.27,298.01
2006-08-27 22:16:36+00:00,L7,330.16,313.84,349.36,320.55,325.08,327.40,334.87,344.19,346.46,344.00,338.10,331.46,327.96,319.79,318.57,314.62,314.73,316.31,314.31,314.58,324.18,321.63,318.59,312.85,309.04,,,,,,,,,,,336.84,331.60,326.57,327.58,338.68,342.21,365.53,370.34,378.65,389.72,392.36,379.98,385.63,402.22,405.68,412.04,396.19,407.36,392.07,380.18,356.19,349.66,357.11,,,343.27,344.76,345.60,361.84
2006-09-28 22:16:24+00:00,L7,318.35,309.98,331.59,312.99,318.33,321.71,324.49,330.29,331.65,338.40,326.64,319.66,316.63,314.18,307.04,302.83,300.65,303.25,305.03,309.56,314.05,308.55,,,,,,,,,,,,,,,,325.04,320.46,337.16,346.80,355.23,364.40,375.85,391.56,391.66,379.22,374.10,397.92,400.49,413.33,409.22,392.98,,363.55,338.75,334.39,334.51,318.92,,,317.58,324.56,337.83
2006-11-08 22:10:38+00:00,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-11-24 22:10:49+00:00,L7,332.17,327.87,352.92,336.73,339.22,343.26,348.51,,,,262.74,264.23,274.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-12-09 22:21:36+00:00,L5,335.55,326.48,350.94,337.17,338.23,343.46,344.39,348.22,347.78,352.14,339.91,339.70,338.04,340.89,336.80,338.38,329.67,324.28,329.42,327.61,334.57,343.46,336.22,330.12,327.06,325.07,327.74,329.40,336.13,340.93,336.53,336.11,336.51,339.19,341.06,343.27,334.22,336.31,345.71,344.95,348.38,376.36,384.40,,440.17,436.53,415.60,434.77,454.94,460.87,466.20,457.14,444.50,430.86,426.46,403.66,384.13,375.62,357.62,357.43,363.45,369.24,364.05,377.55
2006-12-10 22:10:56+00:00,L7,,,,,,,594.97,616.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
