dates,satname,nzd0578-0000
2003-02-26 22:01:40+00:00,L7,221.94
2003-03-07 21:55:58+00:00,L7,219.89
2003-03-14 22:02:08+00:00,L7,222.17
2003-03-23 21:55:52+00:00,L7,225.84
2003-04-08 21:55:59+00:00,L7,228.37
2003-04-15 22:02:09+00:00,L7,217.70
2003-04-24 21:55:58+00:00,L7,221.16
2003-07-20 22:01:32+00:00,L7,228.51
2003-07-21 21:43:45+00:00,L5,240.33
2003-07-29 21:55:41+00:00,L7,222.98
2003-08-13 21:49:56+00:00,L5,
2003-08-22 21:44:19+00:00,L5,
2003-08-30 21:55:34+00:00,L7,221.92
2003-09-22 22:01:36+00:00,L7,219.68
2003-09-30 21:50:42+00:00,L5,
2003-10-17 21:55:27+00:00,L7,222.41
2003-11-09 22:01:30+00:00,L7,210.43
2003-11-18 21:55:51+00:00,L7,220.43
2003-11-26 21:45:42+00:00,L5,
2003-12-04 21:55:54+00:00,L7,218.56
2004-02-13 22:02:31+00:00,L7,
2004-02-14 21:46:09+00:00,L5,
2004-03-09 21:56:27+00:00,L7,
2004-03-17 21:46:20+00:00,L5,
2004-03-25 21:56:30+00:00,L7,
2004-04-01 22:02:40+00:00,L7,
2004-04-10 21:56:26+00:00,L7,238.41
2004-04-18 21:47:01+00:00,L5,
2004-05-03 22:02:11+00:00,L7,210.89
2004-05-04 21:47:27+00:00,L5,
2004-05-19 22:02:11+00:00,L7,
2004-06-05 21:48:24+00:00,L5,229.68
2004-06-29 21:56:14+00:00,L7,
2004-07-07 21:49:21+00:00,L5,244.62
2004-07-22 22:01:56+00:00,L7,
2004-07-23 21:49:45+00:00,L5,237.11
2004-07-30 21:55:39+00:00,L5,
2004-07-31 21:56:03+00:00,L7,267.80
2004-08-07 22:02:12+00:00,L7,
2004-08-08 21:50:02+00:00,L5,
2004-08-16 21:56:01+00:00,L7,
2004-08-23 22:01:47+00:00,L7,237.06
2004-08-24 21:50:29+00:00,L5,
2004-09-17 21:55:51+00:00,L7,
2004-09-24 22:02:01+00:00,L7,
2004-09-25 21:51:19+00:00,L5,
2004-10-10 22:01:56+00:00,L7,220.04
2004-10-19 21:55:55+00:00,L7,237.65
2004-10-26 22:02:12+00:00,L7,214.32
2004-11-04 21:56:07+00:00,L7,
2004-11-20 21:56:13+00:00,L7,
2004-12-06 21:56:23+00:00,L7,221.53
2004-12-13 22:02:35+00:00,L7,231.87
2005-01-14 22:02:24+00:00,L7,217.01
2005-01-15 21:53:21+00:00,L5,
2005-01-23 21:56:37+00:00,L7,
2005-01-31 21:53:33+00:00,L5,
2005-02-08 21:56:46+00:00,L7,
2005-03-03 22:02:41+00:00,L7,221.18
2005-03-04 21:54:04+00:00,L5,
2005-03-12 21:56:56+00:00,L7,
2005-03-19 22:03:06+00:00,L7,235.07
2005-03-20 21:54:13+00:00,L5,
2005-03-28 21:56:54+00:00,L7,222.64
2005-04-04 22:03:03+00:00,L7,220.39
2005-04-05 21:54:19+00:00,L5,
2005-04-13 21:56:48+00:00,L7,223.21
2005-04-20 22:02:32+00:00,L7,222.36
2005-04-21 21:54:22+00:00,L5,
2005-05-06 22:03:01+00:00,L7,221.94
2005-05-23 21:54:36+00:00,L5,
2005-05-30 22:00:27+00:00,L5,228.40
2005-06-07 22:02:31+00:00,L7,225.56
2005-06-08 21:54:44+00:00,L5,243.00
2005-06-15 22:00:34+00:00,L5,229.35
2005-06-23 22:02:49+00:00,L7,221.74
2005-06-24 21:54:49+00:00,L5,
2005-07-01 22:00:38+00:00,L5,
2005-07-25 22:02:49+00:00,L7,
2005-08-26 22:02:15+00:00,L7,228.20
2005-08-27 21:55:20+00:00,L5,
2005-09-11 22:02:05+00:00,L7,233.46
2005-09-12 21:55:22+00:00,L5,
2005-09-20 21:56:18+00:00,L7,219.60
2005-09-28 21:55:20+00:00,L5,
2005-10-06 21:56:13+00:00,L7,
2005-10-13 22:02:06+00:00,L7,218.32
2005-10-30 21:55:15+00:00,L5,
2005-11-07 21:56:39+00:00,L7,232.93
2005-11-14 22:02:53+00:00,L7,207.85
2005-12-09 21:56:50+00:00,L7,218.37
2006-01-01 22:02:46+00:00,L7,197.50
2006-01-10 21:57:04+00:00,L7,
2006-01-26 21:57:12+00:00,L7,224.75
2006-02-03 21:57:30+00:00,L5,
2006-02-11 21:57:16+00:00,L7,216.60
2006-02-18 22:03:29+00:00,L7,223.86
2006-02-19 21:57:51+00:00,L5,
2006-02-27 21:57:19+00:00,L7,
2006-03-06 22:03:06+00:00,L7,222.16
2006-03-14 22:04:30+00:00,L5,
2006-03-15 21:57:19+00:00,L7,
2006-03-22 22:03:30+00:00,L7,220.99
2006-04-15 22:05:06+00:00,L5,
2006-05-02 21:57:17+00:00,L7,220.62
2006-05-09 22:03:04+00:00,L7,222.27
2006-05-18 21:57:18+00:00,L7,240.46
2006-06-19 21:57:12+00:00,L7,237.16
2006-06-26 22:03:20+00:00,L7,
2006-06-27 22:00:00+00:00,L5,
2006-07-12 22:03:13+00:00,L7,
2006-07-13 22:00:14+00:00,L5,
2006-07-21 21:56:57+00:00,L7,
2006-08-13 22:02:41+00:00,L7,227.92
2006-09-07 21:56:48+00:00,L7,
2006-09-15 22:01:03+00:00,L5,
2006-10-09 21:56:36+00:00,L7,
2006-10-16 22:02:31+00:00,L7,221.60
2006-10-25 21:56:53+00:00,L7,
2006-11-01 22:03:10+00:00,L7,
2006-11-02 22:01:32+00:00,L5,
2006-11-10 21:57:06+00:00,L7,
2006-11-17 22:02:58+00:00,L7,212.42
2006-11-26 21:57:16+00:00,L7,
2006-12-04 22:01:49+00:00,L5,
2006-12-11 22:08:04+00:00,L5,
2006-12-12 21:57:23+00:00,L7,213.77
2006-12-28 21:57:26+00:00,L7,
2007-01-05 22:02:04+00:00,L5,
2007-01-13 21:57:26+00:00,L7,218.59
2007-01-21 22:02:09+00:00,L5,
2007-02-05 22:03:23+00:00,L7,
2007-02-14 21:57:39+00:00,L7,217.37
2007-02-21 22:03:52+00:00,L7,220.38
2007-03-18 21:57:45+00:00,L7,
2007-03-25 22:03:32+00:00,L7,223.58
2007-04-19 21:57:43+00:00,L7,222.09
2007-05-12 22:03:47+00:00,L7,
2007-05-28 22:03:16+00:00,L7,236.24
2007-08-09 21:57:18+00:00,L7,
2007-08-25 21:57:11+00:00,L7,
2007-09-10 21:57:03+00:00,L7,
2007-09-26 21:56:59+00:00,L7,
2007-10-12 21:56:59+00:00,L7,
2007-10-28 21:57:10+00:00,L7,
2007-11-04 22:03:02+00:00,L7,216.57
2007-11-13 21:57:20+00:00,L7,219.71
2007-11-20 22:03:34+00:00,L7,216.02
2007-12-15 21:57:32+00:00,L7,
2007-12-22 22:03:44+00:00,L7,210.07
2007-12-31 21:57:34+00:00,L7,234.93
2008-01-16 21:57:35+00:00,L7,
2008-02-17 21:57:29+00:00,L7,
2008-02-25 21:57:37+00:00,L5,
2008-03-03 22:03:15+00:00,L5,
2008-03-04 21:57:24+00:00,L7,223.47
2008-03-11 22:03:08+00:00,L7,224.35
2008-04-05 21:57:22+00:00,L7,
2008-04-12 22:03:08+00:00,L7,
2008-04-21 21:57:20+00:00,L7,
2008-04-28 22:03:29+00:00,L7,235.26
2008-05-07 21:57:16+00:00,L7,
2008-05-14 22:03:00+00:00,L7,228.48
2008-05-30 22:02:53+00:00,L7,236.46
2008-06-15 22:02:44+00:00,L7,
2008-07-17 22:02:46+00:00,L7,
2008-08-02 22:02:39+00:00,L7,
2008-09-19 22:02:16+00:00,L7,
2008-10-05 22:01:42+00:00,L7,221.16
2008-10-14 21:55:54+00:00,L7,216.73
2008-11-06 22:02:27+00:00,L7,220.80
2008-12-01 21:56:35+00:00,L7,
2008-12-09 21:51:18+00:00,L5,
2008-12-16 21:57:17+00:00,L5,
2008-12-24 22:02:35+00:00,L7,212.81
2009-01-10 21:52:10+00:00,L5,
2009-01-17 21:58:08+00:00,L5,
2009-01-25 22:02:45+00:00,L7,
2009-01-26 21:52:36+00:00,L5,
2009-02-10 22:03:16+00:00,L7,216.96
2009-02-18 21:58:58+00:00,L5,
2009-02-26 22:03:01+00:00,L7,216.66
2009-03-07 21:57:19+00:00,L7,
2009-03-14 22:03:33+00:00,L7,219.87
2009-03-23 21:57:26+00:00,L7,
2009-04-08 21:57:32+00:00,L7,
2009-05-01 22:03:25+00:00,L7,236.31
2009-05-10 21:57:39+00:00,L7,228.56
2009-06-02 22:03:27+00:00,L7,236.86
2009-06-18 22:03:25+00:00,L7,236.74
2009-08-05 22:03:13+00:00,L7,222.55
2009-08-30 21:57:24+00:00,L7,220.58
2009-09-15 21:57:23+00:00,L7,217.67
2009-10-24 22:03:42+00:00,L7,235.61
2009-11-02 21:57:40+00:00,L7,
2009-11-18 21:57:53+00:00,L7,215.70
2009-11-25 22:03:45+00:00,L7,220.06
2009-12-04 21:58:04+00:00,L7,
2009-12-11 22:03:56+00:00,L7,221.97
2009-12-20 21:58:19+00:00,L7,
2010-01-13 21:58:01+00:00,L5,
2010-01-28 22:05:07+00:00,L7,212.94
2010-01-29 21:58:05+00:00,L5,
2010-02-05 22:03:53+00:00,L5,
2010-02-06 21:59:03+00:00,L7,
2010-03-10 21:59:20+00:00,L7,235.11
2010-04-18 22:05:37+00:00,L7,223.14
2010-05-04 22:05:11+00:00,L7,236.75
2010-06-14 21:59:22+00:00,L7,
2010-06-21 22:05:10+00:00,L7,236.25
2010-06-30 21:59:25+00:00,L7,
2010-07-07 22:05:37+00:00,L7,
2010-09-02 21:59:30+00:00,L7,
2010-09-09 22:05:42+00:00,L7,208.70
2010-09-25 22:05:17+00:00,L7,
2010-10-04 21:59:29+00:00,L7,
2010-10-11 22:05:45+00:00,L7,223.05
2010-10-12 21:57:13+00:00,L5,
2010-10-27 22:05:30+00:00,L7,211.47
2010-11-04 22:02:50+00:00,L5,
2010-11-21 22:00:02+00:00,L7,210.80
2010-11-28 22:06:17+00:00,L7,221.07
2010-12-14 22:06:01+00:00,L7,221.29
2010-12-30 22:06:10+00:00,L7,215.23
2010-12-31 21:57:08+00:00,L5,
2011-01-08 22:00:28+00:00,L7,221.04
2011-01-24 22:00:35+00:00,L7,
2011-01-31 22:06:24+00:00,L7,216.63
2011-02-01 21:57:11+00:00,L5,
2011-02-08 22:02:59+00:00,L5,
2011-02-09 22:00:39+00:00,L7,225.47
2011-02-16 22:06:51+00:00,L7,222.21
2011-03-04 22:06:57+00:00,L7,207.18
2011-03-13 22:00:47+00:00,L7,
2011-03-28 22:02:50+00:00,L5,
2011-03-29 22:00:49+00:00,L7,224.77
2011-04-05 22:07:02+00:00,L7,221.95
2011-05-16 22:00:47+00:00,L7,
2011-07-03 22:00:45+00:00,L7,
2011-07-19 22:00:44+00:00,L7,
2011-07-26 22:06:29+00:00,L7,230.92
2011-08-20 22:00:37+00:00,L7,240.42
2011-09-04 22:01:39+00:00,L5,
2011-09-05 22:00:33+00:00,L7,
2011-09-12 22:06:41+00:00,L7,208.15
2011-09-13 21:55:45+00:00,L5,
2011-09-21 22:00:29+00:00,L7,222.58
2011-10-07 22:00:26+00:00,L7,235.98
2011-10-23 22:00:35+00:00,L7,220.94
2011-10-30 22:06:22+00:00,L7,216.92
2011-11-08 22:00:43+00:00,L7,211.22
2011-11-15 22:06:34+00:00,L7,213.64
2011-11-24 22:00:55+00:00,L7,206.38
2011-12-17 22:07:15+00:00,L7,218.67
2012-01-27 22:01:14+00:00,L7,
2012-02-12 22:01:21+00:00,L7,
2012-03-22 22:07:32+00:00,L7,213.92
2012-04-23 22:07:16+00:00,L7,222.32
2012-05-02 22:01:43+00:00,L7,
2012-05-18 22:01:56+00:00,L7,230.29
2012-06-19 22:01:41+00:00,L7,
2012-06-26 22:07:30+00:00,L7,237.17
2012-07-05 22:01:52+00:00,L7,231.13
2012-10-09 22:02:52+00:00,L7,220.80
2012-10-25 22:03:03+00:00,L7,
2012-11-01 22:09:15+00:00,L7,214.29
2012-12-12 22:03:17+00:00,L7,
2012-12-19 22:09:08+00:00,L7,220.30
2013-01-04 22:09:34+00:00,L7,221.79
2013-01-20 22:09:35+00:00,L7,218.97
2013-01-29 22:03:26+00:00,L7,223.79
2013-02-14 22:03:25+00:00,L7,
2013-02-21 22:09:10+00:00,L7,213.46
2013-03-02 22:03:22+00:00,L7,223.83
2013-03-09 22:09:09+00:00,L7,220.02
2013-03-25 22:09:03+00:00,L7,
2013-04-03 22:03:16+00:00,L7,
2013-04-10 22:09:02+00:00,L7,219.19
2013-04-11 22:09:26+00:00,L8,
2013-05-12 22:09:17+00:00,L7,
2013-05-28 22:09:11+00:00,L7,226.40
2013-05-29 22:09:17+00:00,L8,233.86
2013-06-05 22:15:03+00:00,L8,233.50
2013-06-06 22:02:55+00:00,L7,
2013-06-13 22:08:40+00:00,L7,221.83
2013-06-22 22:02:50+00:00,L7,
2013-06-29 22:08:33+00:00,L7,237.63
2013-06-30 22:09:11+00:00,L8,
2013-07-07 22:15:24+00:00,L8,231.99
2013-07-08 22:02:39+00:00,L7,236.77
2013-07-15 22:08:47+00:00,L7,239.86
2013-07-23 22:14:58+00:00,L8,
2013-08-01 22:09:14+00:00,L8,
2013-08-09 22:02:25+00:00,L7,
2013-08-17 22:09:15+00:00,L8,
2013-08-25 22:02:37+00:00,L7,232.99
2013-09-02 22:09:16+00:00,L8,
2013-09-17 22:08:41+00:00,L7,217.79
2013-09-26 22:02:59+00:00,L7,222.26
2013-10-03 22:09:15+00:00,L7,
2013-10-19 22:09:03+00:00,L7,209.43
2013-10-28 22:03:18+00:00,L7,
2013-11-13 22:03:24+00:00,L7,
2013-11-20 22:09:35+00:00,L7,215.68
2013-12-06 22:09:21+00:00,L7,212.97
2014-01-07 22:09:51+00:00,L7,222.87
2014-01-16 22:03:50+00:00,L7,
2014-01-23 22:09:45+00:00,L7,221.65
2014-01-24 22:08:21+00:00,L8,
2014-02-01 22:04:06+00:00,L7,212.16
2014-02-09 22:08:09+00:00,L8,
2014-02-17 22:03:56+00:00,L7,
2014-02-25 22:07:56+00:00,L8,
2014-03-05 22:04:01+00:00,L7,
2014-03-13 22:07:45+00:00,L8,
2014-03-21 22:04:08+00:00,L7,
2014-03-29 22:07:27+00:00,L8,228.71
2014-04-22 22:04:24+00:00,L7,
2014-04-29 22:10:13+00:00,L7,
2014-04-30 22:06:58+00:00,L8,
2014-05-07 22:12:37+00:00,L8,233.28
2014-05-08 22:04:28+00:00,L7,
2014-05-15 22:10:20+00:00,L7,
2014-05-16 22:06:45+00:00,L8,222.59
2014-05-24 22:04:35+00:00,L7,
2014-05-31 22:10:48+00:00,L7,
2014-06-01 22:06:50+00:00,L8,
2014-06-17 22:06:56+00:00,L8,
2014-06-25 22:04:41+00:00,L7,
2014-07-03 22:07:01+00:00,L8,236.11
2014-07-18 22:10:33+00:00,L7,236.25
2014-07-27 22:04:50+00:00,L7,
2014-08-04 22:07:14+00:00,L8,
2014-08-12 22:04:53+00:00,L7,
2014-08-20 22:07:18+00:00,L8,
2014-08-28 22:04:51+00:00,L7,
2014-09-05 22:07:21+00:00,L8,
2014-09-13 22:04:52+00:00,L7,221.91
2014-09-20 22:10:44+00:00,L7,222.81
2014-09-21 22:07:20+00:00,L8,
2014-09-29 22:05:04+00:00,L7,
2014-10-07 22:07:25+00:00,L8,
2014-10-22 22:11:29+00:00,L7,206.28
2014-10-31 22:05:23+00:00,L7,
2014-11-08 22:07:28+00:00,L8,
2014-11-23 22:11:42+00:00,L7,205.34
2014-12-10 22:07:19+00:00,L8,
2014-12-25 22:11:56+00:00,L7,218.20
2014-12-26 22:07:18+00:00,L8,
2015-01-03 22:05:45+00:00,L7,
2015-01-10 22:11:58+00:00,L7,214.60
2015-01-11 22:07:16+00:00,L8,
2015-01-19 22:05:46+00:00,L7,
2015-01-26 22:11:38+00:00,L7,225.73
2015-01-27 22:07:11+00:00,L8,
2015-02-04 22:05:55+00:00,L7,
2015-02-11 22:11:40+00:00,L7,226.30
2015-02-12 22:07:03+00:00,L8,
2015-02-20 22:06:00+00:00,L7,
2015-02-27 22:11:51+00:00,L7,221.42
2015-02-28 22:07:00+00:00,L8,
2015-03-08 22:06:07+00:00,L7,
2015-03-15 22:11:58+00:00,L7,221.39
2015-03-24 22:06:16+00:00,L7,217.16
2015-03-31 22:12:04+00:00,L7,222.60
2015-04-01 22:06:37+00:00,L8,
2015-04-08 22:12:23+00:00,L8,
2015-04-16 22:12:14+00:00,L7,
2015-05-02 22:12:19+00:00,L7,222.94
2015-05-19 22:06:16+00:00,L8,222.60
2015-05-26 22:12:28+00:00,L8,236.99
2015-05-27 22:06:42+00:00,L7,241.69
2015-06-20 22:06:32+00:00,L8,234.16
2015-06-28 22:06:52+00:00,L7,235.56
2015-07-05 22:12:41+00:00,L7,
2015-07-21 22:12:45+00:00,L7,228.35
2015-07-22 22:06:49+00:00,L8,236.54
2015-07-29 22:13:01+00:00,L8,
2015-07-30 22:07:00+00:00,L7,
2015-08-06 22:13:13+00:00,L7,236.80
2015-08-07 22:06:52+00:00,L8,
2015-08-15 22:07:04+00:00,L7,222.43
2015-08-22 22:13:15+00:00,L7,224.44
2015-09-07 22:12:53+00:00,L7,229.96
2015-09-08 22:07:06+00:00,L8,
2015-09-24 22:07:13+00:00,L8,
2015-10-02 22:07:10+00:00,L7,232.80
2015-10-10 22:07:14+00:00,L8,
2015-10-18 22:07:30+00:00,L7,
2015-10-25 22:13:23+00:00,L7,217.56
2015-11-26 22:14:17+00:00,L7,205.88
2015-11-27 22:07:23+00:00,L8,
2015-12-13 22:07:21+00:00,L8,
2015-12-28 22:14:21+00:00,L7,210.75
2016-01-13 22:15:01+00:00,L7,
2016-01-14 22:07:18+00:00,L8,
2016-01-29 22:15:12+00:00,L7,223.18
2016-01-30 22:07:17+00:00,L8,
2016-02-07 22:09:05+00:00,L7,213.51
2016-02-15 22:07:09+00:00,L8,
2016-02-23 22:09:06+00:00,L7,
2016-03-01 22:14:58+00:00,L7,233.14
2016-03-02 22:07:07+00:00,L8,
2016-03-26 22:09:23+00:00,L7,
2016-04-02 22:15:34+00:00,L7,229.14
2016-04-11 22:09:28+00:00,L7,
2016-04-18 22:15:18+00:00,L7,222.73
2016-04-19 22:06:46+00:00,L8,
2016-04-27 22:09:35+00:00,L7,239.12
2016-05-04 22:15:23+00:00,L7,
2016-05-05 22:06:50+00:00,L8,
2016-05-13 22:09:37+00:00,L7,
2016-05-21 22:06:50+00:00,L8,
2016-05-28 22:12:39+00:00,L8,226.94
2016-06-05 22:15:56+00:00,L7,
2016-06-13 22:12:42+00:00,L8,236.59
2016-06-14 22:09:47+00:00,L7,237.90
2016-06-21 22:15:58+00:00,L7,
2016-06-30 22:09:47+00:00,L7,237.76
2016-07-08 22:07:08+00:00,L8,232.70
2016-07-15 22:12:58+00:00,L8,230.44
2016-07-16 22:09:48+00:00,L7,234.77
2016-07-24 22:07:13+00:00,L8,
2016-07-31 22:13:25+00:00,L8,221.91
2016-08-01 22:09:50+00:00,L7,
2016-08-08 22:15:38+00:00,L7,236.49
2016-08-09 22:07:15+00:00,L8,
2016-08-17 22:09:51+00:00,L7,
2016-09-02 22:09:55+00:00,L7,
2016-09-09 22:16:07+00:00,L7,224.70
2016-09-10 22:07:27+00:00,L8,
2016-10-04 22:09:59+00:00,L7,
2016-10-12 22:07:33+00:00,L8,
2016-10-27 22:15:42+00:00,L7,215.82
2016-12-15 22:07:29+00:00,L8,
2016-12-23 22:09:36+00:00,L7,
2016-12-30 22:15:43+00:00,L7,205.70
2017-03-04 22:15:31+00:00,L7,236.30
2017-03-05 22:07:02+00:00,L8,
2017-03-20 22:15:36+00:00,L7,
2017-03-21 22:06:52+00:00,L8,
2017-03-29 22:09:28+00:00,L7,
2017-04-06 22:06:45+00:00,L8,
2017-04-13 22:12:52+00:00,L8,
2017-04-14 22:09:34+00:00,L7,222.76
2017-04-22 22:06:36+00:00,L8,
2017-04-30 22:09:40+00:00,L7,
2017-05-07 22:15:28+00:00,L7,
2017-05-16 22:09:43+00:00,L7,
2017-05-23 22:15:55+00:00,L7,
2017-05-24 22:06:46+00:00,L8,227.84
2017-06-01 22:09:47+00:00,L7,236.86
2017-06-09 22:06:54+00:00,L8,226.60
2017-06-16 22:13:07+00:00,L8,
2017-06-17 22:09:51+00:00,L7,235.40
2017-06-24 22:16:03+00:00,L7,222.17
2017-06-25 22:06:59+00:00,L8,
2017-07-02 22:12:47+00:00,L8,235.92
2017-07-10 22:16:04+00:00,L7,
2017-07-11 22:07:02+00:00,L8,222.86
2017-07-27 22:07:09+00:00,L8,
2017-08-03 22:13:23+00:00,L8,223.21
2017-08-20 22:09:50+00:00,L7,
2017-08-28 22:07:19+00:00,L8,
2017-09-05 22:09:50+00:00,L7,
2017-09-12 22:15:36+00:00,L7,223.79
2017-09-13 22:07:20+00:00,L8,
2017-10-14 22:15:38+00:00,L7,218.01
2017-10-23 22:09:52+00:00,L7,211.85
2017-10-30 22:15:38+00:00,L7,219.24
2017-11-08 22:09:50+00:00,L7,217.83
2017-11-16 22:07:28+00:00,L8,
2017-12-01 22:15:30+00:00,L7,210.42
2017-12-02 22:07:22+00:00,L8,
2017-12-10 22:09:38+00:00,L7,219.97
2017-12-17 22:15:44+00:00,L7,
2017-12-26 22:09:27+00:00,L7,235.78
2018-01-18 22:14:55+00:00,L7,207.03
2018-01-27 22:08:59+00:00,L7,
2018-02-04 22:07:05+00:00,L8,
2018-02-12 22:08:46+00:00,L7,
2018-02-20 22:07:00+00:00,L8,
2018-03-08 22:06:51+00:00,L8,
2018-03-16 22:08:24+00:00,L7,223.73
2018-03-24 22:06:44+00:00,L8,
2018-04-08 22:14:15+00:00,L7,222.69
2018-04-24 22:13:35+00:00,L7,226.28
2018-04-25 22:06:26+00:00,L8,
2018-05-18 22:12:22+00:00,L8,229.01
2018-05-19 22:07:22+00:00,L7,236.24
2018-05-27 22:06:04+00:00,L8,232.95
2018-06-04 22:07:07+00:00,L7,
2018-06-19 22:12:21+00:00,L8,237.41
2018-06-20 22:06:49+00:00,L7,
2018-06-27 22:12:52+00:00,L7,
2018-06-28 22:06:16+00:00,L8,229.65
2018-07-22 22:06:13+00:00,L7,
2018-07-29 22:12:17+00:00,L7,
2018-08-23 22:05:37+00:00,L7,
2018-08-31 22:06:47+00:00,L8,
2018-09-08 22:05:17+00:00,L7,216.96
2018-09-24 22:04:55+00:00,L7,225.63
2018-10-02 22:06:59+00:00,L8,
2018-10-18 22:07:05+00:00,L8,
2018-11-03 22:07:09+00:00,L8,
2018-11-11 22:03:49+00:00,L7,
2018-11-18 22:09:49+00:00,L7,220.73
2018-11-19 22:07:10+00:00,L8,
2018-12-04 22:09:01+00:00,L7,205.05
2018-12-21 22:07:06+00:00,L8,
2018-12-29 22:02:31+00:00,L7,
2019-01-05 22:08:05+00:00,L7,209.51
2019-01-06 22:07:05+00:00,L8,
2019-01-14 22:02:01+00:00,L7,
2019-01-21 22:07:34+00:00,L7,
2019-01-22 22:07:02+00:00,L8,
2019-01-30 22:01:30+00:00,L7,
2019-02-06 22:07:29+00:00,L7,205.93
2019-02-07 22:06:59+00:00,L8,
2019-02-15 22:01:02+00:00,L7,236.08
2019-03-11 22:06:50+00:00,L8,
2019-03-27 22:06:47+00:00,L8,
2019-04-04 21:59:28+00:00,L7,
2019-04-12 22:06:42+00:00,L8,
2019-04-27 22:04:25+00:00,L7,236.58
2019-05-06 21:58:17+00:00,L7,
2019-05-21 22:12:39+00:00,L8,
2019-05-30 22:06:57+00:00,L8,229.05
2019-06-06 22:12:47+00:00,L8,229.75
2019-06-07 21:57:06+00:00,L7,226.79
2019-06-23 21:56:31+00:00,L7,
2019-06-30 22:02:26+00:00,L7,220.87
2019-07-16 22:01:49+00:00,L7,
2019-07-17 22:07:10+00:00,L8,225.63
2019-08-01 22:01:10+00:00,L7,
2019-08-02 22:07:17+00:00,L8,
2019-08-10 21:54:37+00:00,L7,
2019-08-17 22:00:06+00:00,L7,220.48
2019-08-18 22:07:23+00:00,L8,
2019-08-26 21:53:57+00:00,L7,
2019-09-02 21:59:49+00:00,L7,222.55
2019-09-18 21:58:43+00:00,L7,229.77
2019-09-19 22:07:32+00:00,L8,
2019-10-05 22:07:36+00:00,L8,
2019-10-13 21:51:53+00:00,L7,
