dates,nzd0578-0000,satname
2002-01-31 21:56:02+00:00,221.89,L7
2002-03-04 21:56:09+00:00,221.95,L7
2002-03-11 22:02:19+00:00,221.94,L7
2002-05-14 22:01:43+00:00,222.41,L7
2002-05-30 22:01:37+00:00,223.75,L7
2002-07-01 22:01:51+00:00,228.19,L7
2002-07-17 22:01:44+00:00,229.37,L7
2002-08-02 22:01:37+00:00,231.90,L7
2002-08-18 22:01:09+00:00,230.61,L7
2002-08-27 21:55:12+00:00,230.19,L7
2002-09-12 21:55:07+00:00,229.84,L7
2002-10-05 22:00:43+00:00,228.87,L7
2002-10-14 21:54:55+00:00,227.66,L7
2002-10-21 22:00:48+00:00,226.81,L7
2002-10-30 21:55:01+00:00,225.58,L7
2002-11-06 22:01:17+00:00,225.41,L7
2002-11-15 21:55:12+00:00,224.11,L7
2002-11-22 22:01:33+00:00,222.30,L7
2003-01-25 22:01:54+00:00,218.78,L7
2003-02-03 21:55:49+00:00,217.77,L7
2003-02-26 22:01:40+00:00,217.00,L7
2003-03-07 21:55:58+00:00,217.34,L7
2003-03-14 22:02:08+00:00,217.50,L7
2003-03-23 21:55:52+00:00,217.90,L7
2003-04-08 21:55:59+00:00,218.28,L7
2003-04-15 22:02:09+00:00,219.06,L7
2003-04-24 21:55:58+00:00,219.03,L7
2003-07-20 22:01:32+00:00,222.54,L7
2003-07-21 21:43:45+00:00,223.70,L5
2003-07-29 21:55:41+00:00,225.03,L7
2003-08-30 21:55:34+00:00,225.40,L7
2003-09-22 22:01:36+00:00,225.91,L7
2003-10-17 21:55:27+00:00,224.81,L7
2003-11-09 22:01:30+00:00,224.86,L7
2003-11-18 21:55:51+00:00,223.76,L7
2003-12-04 21:55:54+00:00,223.27,L7
2004-04-10 21:56:26+00:00,221.73,L7
2004-05-03 22:02:11+00:00,221.68,L7
2004-06-05 21:48:24+00:00,229.54,L5
2004-07-07 21:49:21+00:00,232.23,L5
2004-07-23 21:49:45+00:00,232.40,L5
2004-08-23 22:01:47+00:00,232.24,L7
2004-10-10 22:01:56+00:00,229.88,L7
2004-10-19 21:55:55+00:00,230.55,L7
2004-10-26 22:02:12+00:00,229.37,L7
2004-12-06 21:56:23+00:00,228.49,L7
2004-12-13 22:02:35+00:00,229.91,L7
2005-01-14 22:02:24+00:00,226.89,L7
2005-03-03 22:02:41+00:00,223.92,L7
2005-03-19 22:03:06+00:00,225.12,L7
2005-03-28 21:56:54+00:00,225.46,L7
2005-04-04 22:03:03+00:00,224.96,L7
2005-04-13 21:56:48+00:00,225.15,L7
2005-04-20 22:02:32+00:00,224.15,L7
2005-05-06 22:03:01+00:00,224.92,L7
2005-05-30 22:00:27+00:00,224.72,L5
2005-06-07 22:02:31+00:00,226.09,L7
2005-06-08 21:54:44+00:00,227.96,L5
2005-06-15 22:00:34+00:00,226.69,L5
2005-06-23 22:02:49+00:00,226.87,L7
2005-08-26 22:02:15+00:00,227.43,L7
2005-09-11 22:02:05+00:00,228.33,L7
2005-09-20 21:56:18+00:00,227.76,L7
2005-10-13 22:02:06+00:00,227.83,L7
2005-11-07 21:56:39+00:00,228.27,L7
2005-11-14 22:02:53+00:00,227.03,L7
2005-12-09 21:56:50+00:00,222.96,L7
2006-01-01 22:02:46+00:00,219.79,L7
2006-01-26 21:57:12+00:00,220.60,L7
2006-02-11 21:57:16+00:00,220.87,L7
2006-02-18 22:03:29+00:00,221.13,L7
2006-03-06 22:03:06+00:00,220.67,L7
2006-03-22 22:03:30+00:00,218.99,L7
2006-05-02 21:57:17+00:00,219.26,L7
2006-05-09 22:03:04+00:00,218.72,L7
2006-05-18 21:57:18+00:00,221.03,L7
2006-06-19 21:57:12+00:00,222.85,L7
2006-08-13 22:02:41+00:00,225.04,L7
2006-10-16 22:02:31+00:00,226.79,L7
2006-11-17 22:02:58+00:00,223.35,L7
2006-12-12 21:57:23+00:00,220.54,L7
2007-01-13 21:57:26+00:00,217.47,L7
2007-02-14 21:57:39+00:00,216.04,L7
2007-02-21 22:03:52+00:00,216.88,L7
2007-03-25 22:03:32+00:00,217.28,L7
2007-04-19 21:57:43+00:00,218.61,L7
2007-05-28 22:03:16+00:00,221.99,L7
2007-11-04 22:03:02+00:00,226.59,L7
2007-11-13 21:57:20+00:00,225.42,L7
2007-11-20 22:03:34+00:00,222.48,L7
2007-12-22 22:03:44+00:00,216.99,L7
2007-12-31 21:57:34+00:00,219.64,L7
2008-03-04 21:57:24+00:00,220.89,L7
2008-03-11 22:03:08+00:00,221.60,L7
2008-04-28 22:03:29+00:00,222.84,L7
2008-05-14 22:03:00+00:00,224.49,L7
2008-05-30 22:02:53+00:00,227.35,L7
2008-10-05 22:01:42+00:00,227.74,L7
2008-10-14 21:55:54+00:00,227.35,L7
2008-11-06 22:02:27+00:00,224.38,L7
2008-12-24 22:02:35+00:00,219.50,L7
2009-02-10 22:03:16+00:00,220.88,L7
2009-02-26 22:03:01+00:00,221.48,L7
2009-03-14 22:03:33+00:00,221.75,L7
2009-05-01 22:03:25+00:00,223.04,L7
2009-05-10 21:57:39+00:00,226.21,L7
2009-06-02 22:03:27+00:00,227.33,L7
2009-06-18 22:03:25+00:00,228.14,L7
2009-08-05 22:03:13+00:00,229.77,L7
2009-08-30 21:57:24+00:00,229.50,L7
2009-09-15 21:57:23+00:00,228.81,L7
2009-10-24 22:03:42+00:00,229.32,L7
2009-11-18 21:57:53+00:00,227.23,L7
2009-11-25 22:03:45+00:00,225.81,L7
2009-12-11 22:03:56+00:00,223.96,L7
2010-01-28 22:05:07+00:00,222.17,L7
2010-03-10 21:59:20+00:00,223.42,L7
2010-04-18 22:05:37+00:00,224.42,L7
2010-05-04 22:05:11+00:00,224.61,L7
2010-06-21 22:05:10+00:00,229.35,L7
2010-09-09 22:05:42+00:00,227.78,L7
2010-10-11 22:05:45+00:00,227.45,L7
2010-10-27 22:05:30+00:00,225.03,L7
2010-11-21 22:00:02+00:00,221.89,L7
2010-11-28 22:06:17+00:00,220.84,L7
2010-12-14 22:06:01+00:00,220.31,L7
2010-12-30 22:06:10+00:00,217.40,L7
2011-01-08 22:00:28+00:00,218.04,L7
2011-01-31 22:06:24+00:00,218.41,L7
2011-02-09 22:00:39+00:00,218.92,L7
2011-02-16 22:06:51+00:00,219.82,L7
2011-03-04 22:06:57+00:00,219.47,L7
2011-03-29 22:00:49+00:00,219.98,L7
2011-04-05 22:07:02+00:00,220.66,L7
2011-07-26 22:06:29+00:00,224.62,L7
2011-08-20 22:00:37+00:00,227.22,L7
2011-09-12 22:06:41+00:00,227.36,L7
2011-09-21 22:00:29+00:00,225.82,L7
2011-10-07 22:00:26+00:00,227.32,L7
2011-10-23 22:00:35+00:00,226.27,L7
2011-10-30 22:06:22+00:00,225.31,L7
2011-11-08 22:00:43+00:00,224.16,L7
2011-11-15 22:06:34+00:00,223.16,L7
2011-11-24 22:00:55+00:00,222.36,L7
2011-12-17 22:07:15+00:00,221.56,L7
2012-03-22 22:07:32+00:00,219.86,L7
2012-04-23 22:07:16+00:00,218.68,L7
2012-05-18 22:01:56+00:00,222.99,L7
2012-06-26 22:07:30+00:00,229.52,L7
2012-07-05 22:01:52+00:00,231.23,L7
2012-10-09 22:02:52+00:00,230.06,L7
2012-11-01 22:09:15+00:00,228.38,L7
2012-12-19 22:09:08+00:00,224.50,L7
2013-01-04 22:09:34+00:00,217.46,L7
2013-01-20 22:09:35+00:00,217.06,L7
2013-01-29 22:03:26+00:00,219.20,L7
2013-02-21 22:09:10+00:00,218.49,L7
2013-03-02 22:03:22+00:00,219.08,L7
2013-03-09 22:09:09+00:00,219.81,L7
2013-04-10 22:09:02+00:00,221.08,L7
2013-05-28 22:09:11+00:00,222.01,L7
2013-05-29 22:09:17+00:00,223.04,L8
2013-06-05 22:15:03+00:00,224.17,L8
2013-06-13 22:08:40+00:00,224.00,L7
2013-06-29 22:08:33+00:00,225.39,L7
2013-07-07 22:15:24+00:00,227.14,L8
2013-07-08 22:02:39+00:00,228.42,L7
2013-07-15 22:08:47+00:00,228.88,L7
2013-08-25 22:02:37+00:00,231.48,L7
2013-09-17 22:08:41+00:00,231.97,L7
2013-09-26 22:02:59+00:00,230.84,L7
2013-10-19 22:09:03+00:00,230.04,L7
2013-11-20 22:09:35+00:00,229.36,L7
2013-12-06 22:09:21+00:00,227.35,L7
2014-01-07 22:09:51+00:00,222.78,L7
2014-01-23 22:09:45+00:00,220.62,L7
2014-02-01 22:04:06+00:00,220.62,L7
2014-03-29 22:07:27+00:00,221.24,L8
2014-05-07 22:12:37+00:00,222.76,L8
2014-05-16 22:06:45+00:00,223.70,L8
2014-07-03 22:07:01+00:00,226.66,L8
2014-07-18 22:10:33+00:00,228.48,L7
2014-09-13 22:04:52+00:00,230.43,L7
2014-09-20 22:10:44+00:00,229.54,L7
2014-10-22 22:11:29+00:00,226.03,L7
2014-11-23 22:11:42+00:00,222.83,L7
2014-12-25 22:11:56+00:00,222.56,L7
2015-01-10 22:11:58+00:00,219.80,L7
2015-01-26 22:11:38+00:00,218.37,L7
2015-02-11 22:11:40+00:00,218.91,L7
2015-02-27 22:11:51+00:00,218.86,L7
2015-03-15 22:11:58+00:00,218.49,L7
2015-03-24 22:06:16+00:00,217.76,L7
2015-03-31 22:12:04+00:00,218.48,L7
2015-05-02 22:12:19+00:00,220.15,L7
2015-05-19 22:06:16+00:00,221.13,L8
2015-05-26 22:12:28+00:00,222.80,L8
2015-05-27 22:06:42+00:00,224.08,L7
2015-06-20 22:06:32+00:00,224.98,L8
2015-06-28 22:06:52+00:00,226.12,L7
2015-07-21 22:12:45+00:00,227.11,L7
2015-07-22 22:06:49+00:00,227.57,L8
2015-08-06 22:13:13+00:00,228.32,L7
2015-08-15 22:07:04+00:00,228.86,L7
2015-08-22 22:13:15+00:00,228.28,L7
2015-09-07 22:12:53+00:00,228.79,L7
2015-10-02 22:07:10+00:00,231.07,L7
2015-10-25 22:13:23+00:00,230.47,L7
2015-11-26 22:14:17+00:00,228.30,L7
2015-12-28 22:14:21+00:00,225.49,L7
2016-01-29 22:15:12+00:00,224.11,L7
2016-02-07 22:09:05+00:00,223.07,L7
2016-03-01 22:14:58+00:00,223.38,L7
2016-04-02 22:15:34+00:00,221.98,L7
2016-04-18 22:15:18+00:00,222.37,L7
2016-04-27 22:09:35+00:00,224.39,L7
2016-05-28 22:12:39+00:00,225.22,L8
2016-06-13 22:12:42+00:00,225.98,L8
2016-06-14 22:09:47+00:00,226.84,L7
2016-06-30 22:09:47+00:00,228.86,L7
2016-07-08 22:07:08+00:00,229.30,L8
2016-07-15 22:12:58+00:00,229.29,L8
2016-07-16 22:09:48+00:00,229.80,L7
2016-07-31 22:13:25+00:00,230.01,L8
2016-08-08 22:15:38+00:00,231.03,L7
2016-09-09 22:16:07+00:00,230.34,L7
2016-10-27 22:15:42+00:00,229.35,L7
2016-12-30 22:15:43+00:00,226.47,L7
2017-03-04 22:15:31+00:00,221.18,L7
2017-04-14 22:09:34+00:00,222.77,L7
2017-05-24 22:06:46+00:00,227.16,L8
2017-06-01 22:09:47+00:00,227.99,L7
2017-06-09 22:06:54+00:00,228.97,L8
2017-06-17 22:09:51+00:00,229.07,L7
2017-06-24 22:16:03+00:00,229.41,L7
2017-07-02 22:12:47+00:00,231.64,L8
2017-07-11 22:07:02+00:00,231.27,L8
2017-08-03 22:13:23+00:00,230.44,L8
2017-09-12 22:15:36+00:00,229.16,L7
2017-10-14 22:15:38+00:00,227.83,L7
2017-10-23 22:09:52+00:00,226.72,L7
2017-10-30 22:15:38+00:00,225.86,L7
2017-11-08 22:09:50+00:00,225.23,L7
2017-12-01 22:15:30+00:00,222.94,L7
2017-12-10 22:09:38+00:00,221.30,L7
2017-12-26 22:09:27+00:00,220.43,L7
2018-01-18 22:14:55+00:00,217.92,L7
2018-03-16 22:08:24+00:00,218.73,L7
2018-04-08 22:14:15+00:00,218.78,L7
2018-04-24 22:13:35+00:00,220.13,L7
2018-05-18 22:12:22+00:00,222.47,L8
2018-05-19 22:07:22+00:00,223.99,L7
2018-05-27 22:06:04+00:00,225.44,L8
2018-06-19 22:12:21+00:00,228.66,L8
2018-06-28 22:06:16+00:00,229.35,L8
2018-09-08 22:05:17+00:00,230.51,L7
2018-09-24 22:04:55+00:00,230.68,L7
2018-11-18 22:09:49+00:00,230.72,L7
2018-12-04 22:09:01+00:00,225.71,L7
2019-01-05 22:08:05+00:00,220.50,L7
2019-02-06 22:07:29+00:00,219.20,L7
2019-02-15 22:01:02+00:00,221.47,L7
2019-04-27 22:04:25+00:00,220.92,L7
2019-05-30 22:06:57+00:00,222.69,L8
2019-06-06 22:12:47+00:00,226.80,L8
2019-06-07 21:57:06+00:00,226.69,L7
2019-06-30 22:02:26+00:00,226.50,L7
2019-07-17 22:07:10+00:00,228.46,L8
2019-08-17 22:00:06+00:00,229.44,L7
2019-09-02 21:59:49+00:00,228.99,L7
2019-09-18 21:58:43+00:00,229.27,L7
2019-10-20 21:57:22+00:00,227.16,L7
2020-01-24 21:53:06+00:00,221.87,L7
2020-02-09 21:51:54+00:00,223.80,L7
2020-02-25 21:51:04+00:00,223.37,L7
2020-03-12 21:50:36+00:00,223.40,L7
2020-04-13 21:48:47+00:00,223.60,L7
2020-04-21 22:12:57+00:00,227.10,L8
2020-04-29 21:47:27+00:00,226.76,L7
2020-05-15 21:46:52+00:00,227.65,L7
2020-05-16 22:06:39+00:00,228.43,L8
2020-06-01 22:06:44+00:00,228.92,L8
2020-06-08 22:12:35+00:00,229.36,L8
2020-07-02 21:43:37+00:00,230.32,L7
2020-07-10 22:12:51+00:00,230.60,L8
2020-07-19 22:07:07+00:00,230.82,L8
2020-07-26 22:12:56+00:00,232.06,L8
2020-09-20 21:38:56+00:00,233.28,L7
2020-10-22 21:36:28+00:00,232.74,L7
2020-11-15 22:13:18+00:00,229.90,L8
2020-12-25 21:32:19+00:00,227.49,L7
2021-02-11 21:28:29+00:00,219.86,L7
2021-04-16 21:23:23+00:00,218.15,L7
2021-05-02 21:22:25+00:00,222.36,L7
2021-05-19 22:06:52+00:00,228.44,L8
2021-06-03 21:19:19+00:00,229.27,L7
2021-06-27 22:13:18+00:00,230.95,L8
2021-07-06 22:07:08+00:00,230.42,L8
2021-07-13 22:13:19+00:00,230.85,L8
2021-07-22 22:07:12+00:00,230.47,L8
2021-08-06 21:14:18+00:00,229.57,L7
2021-08-22 21:12:30+00:00,228.91,L7
2021-10-09 21:08:16+00:00,229.21,L7
2021-12-28 21:00:42+00:00,225.40,L7
2022-02-14 20:55:57+00:00,222.31,L7
2022-03-02 20:54:49+00:00,224.60,L7
2022-03-18 20:52:49+00:00,225.06,L7
2022-04-03 20:51:17+00:00,227.13,L7
2022-05-06 22:07:05+00:00,226.41,L8
2022-05-21 22:12:31+00:00,226.69,L9
2022-05-22 22:07:10+00:00,227.32,L8
2022-05-23 20:45:10+00:00,230.83,L7
2022-06-07 22:07:19+00:00,230.41,L8
2022-06-14 22:13:11+00:00,230.50,L8
2022-06-22 22:13:14+00:00,230.62,L9
2022-07-16 22:13:14+00:00,231.82,L8
2022-09-02 20:37:42+00:00,233.58,L7
2022-11-09 20:30:04+00:00,232.40,L7
2023-01-16 20:19:09+00:00,225.63,L7
2023-02-07 20:20:06+00:00,224.44,L7
2023-04-26 20:09:32+00:00,230.63,L7
2023-05-16 22:12:16+00:00,235.03,L8
2023-05-24 22:12:53+00:00,234.32,L9
2023-06-09 22:12:24+00:00,234.07,L9
2023-06-10 22:06:39+00:00,233.58,L8
2023-06-26 22:06:46+00:00,233.09,L8
2023-07-11 22:13:00+00:00,232.91,L9
2023-07-27 22:12:38+00:00,232.98,L9
2023-07-28 22:07:02+00:00,231.77,L8
2023-08-12 22:12:47+00:00,230.21,L9
2023-09-29 22:13:02+00:00,229.13,L9
2023-12-10 19:42:37+00:00,222.57,L7
2024-05-10 22:13:00+00:00,226.40,L9
2024-05-11 22:06:27+00:00,228.33,L8
2024-05-26 22:12:24+00:00,229.26,L9
2024-06-03 22:12:05+00:00,229.35,L8
2024-06-11 22:12:42+00:00,231.60,L9
2024-06-20 22:06:18+00:00,238.41,L9
2024-06-27 22:12:04+00:00,237.67,L9
2024-06-28 22:06:31+00:00,236.86,L8
2024-07-05 22:12:45+00:00,236.64,L8
2024-07-06 22:06:32+00:00,236.74,L9
2025-04-11 22:13:17+00:00,229.62,L9
2025-04-12 22:06:48+00:00,230.00,L8
2025-05-05 22:12:48+00:00,228.05,L8
2025-05-06 22:06:54+00:00,229.60,L9
2025-05-21 22:12:27+00:00,230.09,L8
2025-05-22 22:06:43+00:00,229.20,L9
2025-05-29 22:12:27+00:00,229.46,L9
2025-05-30 22:06:42+00:00,229.52,L8
2025-06-06 22:12:30+00:00,229.50,L8
2025-06-07 22:06:40+00:00,229.59,L9
2025-06-14 22:12:35+00:00,229.90,L9
2025-06-15 22:06:52+00:00,230.06,L8
2025-06-23 22:06:54+00:00,230.39,L9
2025-06-30 22:12:43+00:00,230.63,L9
2025-07-17 22:07:04+00:00,230.72,L8
2025-08-01 22:13:18+00:00,230.21,L9
2025-08-02 22:07:09+00:00,230.35,L8
2025-08-09 22:13:01+00:00,230.38,L8
2025-08-10 22:07:16+00:00,230.62,L9
