dates,nzd0062-0000,nzd0062-0001,nzd0062-0002,nzd0062-0003,nzd0062-0004,nzd0062-0005,nzd0062-0006,nzd0062-0007,nzd0062-0008,nzd0062-0009,nzd0062-0010,nzd0062-0011,nzd0062-0012,nzd0062-0013,nzd0062-0014,nzd0062-0015,nzd0062-0016,nzd0062-0017,nzd0062-0018,nzd0062-0019,nzd0062-0020,nzd0062-0021,nzd0062-0022,nzd0062-0023,nzd0062-0024,nzd0062-0025,nzd0062-0026,nzd0062-0027,nzd0062-0028,nzd0062-0029,nzd0062-0030,nzd0062-0031,nzd0062-0032,nzd0062-0033,nzd0062-0034,nzd0062-0035,nzd0062-0036,nzd0062-0037,nzd0062-0038,nzd0062-0039,nzd0062-0040,nzd0062-0041,nzd0062-0042,nzd0062-0043,nzd0062-0044,nzd0062-0045,nzd0062-0046,nzd0062-0047,nzd0062-0048,nzd0062-0049,nzd0062-0050,nzd0062-0051,nzd0062-0052,nzd0062-0053,nzd0062-0054,nzd0062-0055,nzd0062-0056,nzd0062-0057,nzd0062-0058,nzd0062-0059,nzd0062-0060,nzd0062-0061,nzd0062-0062,nzd0062-0063,nzd0062-0064,nzd0062-0065,nzd0062-0066,nzd0062-0067,nzd0062-0068,nzd0062-0069,nzd0062-0070,nzd0062-0071,satname
2005-01-13 22:03:41+00:00,398.95,407.08,416.63,425.94,439.67,431.38,426.62,421.64,411.37,399.16,374.13,393.30,408.74,401.73,404.66,393.29,394.14,392.51,395.04,385.06,387.12,391.31,387.53,395.77,420.45,420.42,417.15,419.38,407.33,404.86,395.59,405.44,407.15,411.81,408.95,402.55,407.17,417.77,417.77,423.82,433.42,433.91,433.89,432.87,427.47,406.43,392.13,393.40,391.75,391.99,389.57,374.83,369.08,365.39,368.12,380.67,392.01,392.63,389.50,389.48,392.65,386.92,388.87,431.45,390.47,382.48,373.85,384.68,386.78,376.15,383.64,356.64,L5
2005-01-21 22:06:59+00:00,390.49,385.53,397.74,413.30,413.62,413.81,409.17,402.41,393.55,390.56,392.84,399.23,,,,392.05,390.46,389.00,383.21,374.50,368.01,367.02,374.67,392.36,407.46,407.81,410.54,402.21,394.37,394.40,379.11,,,,414.71,403.54,400.89,394.17,396.36,409.24,413.67,417.46,418.11,408.62,401.25,385.25,380.39,396.27,388.92,383.51,,,,367.77,380.82,382.17,376.24,375.14,369.02,382.60,385.31,382.94,384.17,411.72,381.47,375.18,379.63,382.34,393.19,375.15,,,L7
2005-03-02 22:04:24+00:00,386.50,389.14,408.07,405.37,408.08,411.46,404.20,396.91,395.72,397.51,396.69,408.14,418.51,397.36,388.53,383.18,393.73,415.93,411.12,374.44,359.27,362.61,374.93,393.13,408.56,412.30,398.01,386.31,379.21,379.63,373.36,402.57,424.10,424.82,423.68,410.13,394.55,393.98,392.59,409.66,408.15,404.95,408.82,415.68,408.05,390.37,381.81,395.76,408.56,406.92,401.98,397.64,390.55,371.92,366.47,372.72,370.13,362.14,370.67,390.76,392.34,377.91,381.49,421.85,384.64,375.29,382.84,386.71,404.09,377.47,382.12,358.86,L5
2005-03-18 22:04:34+00:00,383.34,384.22,403.70,412.82,404.26,401.63,400.86,404.48,408.62,411.32,412.98,416.20,401.82,387.60,384.58,379.32,384.68,402.91,413.91,386.25,364.64,359.17,371.96,388.46,400.16,403.02,393.59,387.78,384.50,378.38,381.96,409.40,424.61,422.60,419.28,409.02,403.74,398.94,382.12,400.50,398.58,403.57,405.50,409.63,410.31,407.51,389.88,396.09,394.44,398.77,398.84,385.32,388.86,381.25,365.49,367.38,366.62,359.95,366.24,384.76,389.89,375.58,375.61,411.84,372.57,369.45,374.69,389.58,402.05,379.09,382.02,356.38,L5
2005-04-03 22:04:40+00:00,376.10,381.70,412.47,411.07,405.85,401.53,398.52,414.37,432.56,424.47,399.63,405.80,388.48,372.89,374.90,376.79,393.19,405.86,405.73,387.41,371.14,365.17,379.40,398.12,397.68,396.46,396.45,382.15,372.33,372.50,368.34,395.69,410.04,422.46,415.33,403.68,404.18,411.15,387.13,396.25,398.46,409.93,417.04,422.49,414.40,405.09,395.00,387.38,383.08,375.61,383.40,386.27,392.61,378.43,371.35,361.10,362.12,363.31,373.84,391.95,401.66,389.76,384.19,387.68,388.76,384.09,381.45,378.02,386.48,368.52,373.07,340.67,L5
2005-06-14 22:07:02+00:00,,,,,,,,,,,,373.52,404.09,395.21,402.83,407.62,411.29,412.10,395.08,379.83,389.74,394.52,398.93,396.41,375.46,374.30,,,,,394.67,404.46,403.84,411.74,415.18,418.23,392.64,402.62,363.26,374.93,397.05,394.52,406.41,389.39,382.46,389.42,,,380.11,371.07,370.35,369.56,383.87,,,,,,,,,,,,,,,,,,,,L7
2005-08-25 22:05:41+00:00,362.16,357.07,359.56,381.38,392.04,387.30,388.14,381.69,369.59,358.85,359.40,337.24,358.01,358.66,354.00,367.76,379.04,376.89,367.50,372.33,360.83,349.25,358.75,368.97,384.49,389.91,393.14,388.46,371.40,363.05,350.48,,,376.57,387.44,393.71,395.37,385.30,367.21,372.14,380.57,387.96,379.72,380.94,373.15,359.85,358.78,373.85,378.17,367.48,366.73,352.45,350.65,361.05,365.12,385.80,374.63,361.37,342.59,341.60,350.96,357.50,374.48,414.96,363.23,358.79,355.17,356.51,355.16,353.18,370.61,304.13,L5
2005-09-02 22:06:46+00:00,379.91,375.02,364.15,403.89,390.95,396.18,397.88,390.21,380.52,383.60,381.26,,,,,370.78,358.30,359.80,375.73,382.55,367.17,356.06,358.33,378.11,390.43,404.80,403.04,384.43,363.86,367.06,374.66,,,,401.30,405.55,413.77,395.12,371.49,379.99,401.72,400.47,396.24,391.89,386.92,359.15,363.62,372.80,360.75,352.50,,,,364.06,371.14,377.18,376.10,369.47,348.18,349.11,350.60,357.62,371.73,393.44,363.30,361.23,362.07,355.48,360.04,349.09,,,L7
2005-11-05 22:06:59+00:00,383.80,386.35,391.64,406.15,394.26,,,,381.87,382.90,365.60,367.64,373.61,379.99,379.52,380.96,380.30,382.95,377.38,372.98,363.75,361.60,364.23,,,,,380.12,367.77,362.33,376.93,360.12,385.37,385.86,384.27,391.68,404.38,399.68,379.83,379.58,392.91,385.51,,,,365.05,362.15,359.77,357.15,354.38,356.11,364.77,374.59,373.38,367.81,364.89,361.09,359.86,345.98,341.94,348.03,348.70,,,,364.03,356.97,352.66,354.04,351.62,364.98,327.20,L7
2006-01-08 22:07:25+00:00,383.46,392.11,411.22,416.72,413.36,391.40,377.01,377.77,388.38,404.91,393.90,,,,384.28,390.19,384.57,383.62,374.39,386.21,407.67,423.45,417.49,396.17,,,,,,,,,,,393.01,393.96,398.66,395.07,404.69,399.46,408.88,415.05,408.42,393.59,390.14,382.95,379.28,395.23,390.91,,,,388.74,388.81,385.30,387.85,375.77,359.02,347.83,359.28,366.50,375.23,,431.24,,376.21,,,,,,,L7
2006-02-09 22:07:38+00:00,,,,,,,,,,,,,375.45,364.63,363.88,348.77,349.10,342.73,,,,,387.87,386.25,370.87,364.45,369.58,362.20,349.57,368.33,400.56,375.72,381.92,386.26,386.49,385.63,385.78,,,,,407.07,393.03,390.59,387.82,369.19,368.45,363.36,366.91,342.98,349.08,358.04,370.75,374.29,375.60,377.30,362.05,,,,356.04,365.18,379.15,399.04,364.12,356.82,358.18,353.78,369.89,368.26,379.58,341.40,L7
2006-02-17 22:08:11+00:00,385.39,384.44,390.85,404.98,403.36,400.16,392.56,386.66,383.58,386.26,377.25,395.90,394.63,382.15,386.17,366.59,360.50,367.44,376.52,384.58,391.49,390.39,396.12,390.41,380.23,374.04,369.58,372.60,371.50,390.69,413.77,393.28,397.77,394.50,384.78,386.29,405.27,406.42,384.66,398.45,417.66,413.37,412.23,401.47,391.03,372.06,376.95,375.10,375.59,371.58,368.71,376.06,378.59,369.99,369.18,379.05,372.50,370.21,354.81,353.68,362.21,370.75,388.61,405.12,381.29,365.57,358.73,361.08,370.26,367.66,384.11,362.78,L5
2006-04-06 22:09:08+00:00,381.79,384.01,396.50,,409.62,397.02,385.27,380.96,387.91,,377.40,388.30,386.58,391.89,392.40,394.37,375.41,368.06,366.66,370.36,381.16,396.35,404.29,392.34,378.04,358.90,353.77,368.64,374.18,384.42,400.78,393.88,,392.88,391.93,389.00,391.99,399.10,381.94,389.86,393.45,404.90,398.11,389.45,385.18,378.61,391.20,388.25,378.20,364.18,365.29,370.75,389.35,386.35,364.58,365.18,369.03,361.58,340.53,351.87,358.34,368.75,376.00,390.87,373.12,364.88,353.44,350.42,365.10,369.39,377.33,341.41,L5
2006-04-30 22:07:38+00:00,384.43,400.75,407.89,420.58,409.22,404.81,403.83,398.65,391.45,398.29,377.37,395.80,,,,387.76,382.19,375.59,375.61,373.71,394.10,402.74,392.91,379.30,366.10,378.73,403.15,396.37,386.97,388.23,396.49,,,,394.80,424.86,435.33,424.97,399.26,405.62,420.01,415.86,420.24,406.66,405.16,384.84,378.96,385.22,381.47,376.14,,,,367.20,370.71,380.25,379.71,367.89,355.65,356.58,364.39,372.21,382.92,406.90,373.77,362.52,360.10,,373.36,367.43,,,L7
2006-06-01 22:07:38+00:00,,,,418.30,410.08,396.54,384.47,388.66,401.22,399.40,373.13,387.28,388.57,405.68,396.52,390.17,391.61,380.80,,,,,390.49,368.70,362.07,378.41,391.54,394.30,390.72,395.86,391.57,392.14,398.13,402.93,421.53,421.21,407.86,,,,403.73,407.95,415.79,417.61,407.63,393.20,394.54,391.71,391.28,395.37,379.37,373.78,383.35,385.38,364.52,361.82,374.25,,,,368.61,382.28,,,,,,,,,,,L7
2006-07-27 22:10:47+00:00,386.01,387.18,397.01,400.41,396.80,387.66,389.74,396.48,392.00,390.51,377.97,355.88,380.15,377.13,375.12,372.76,375.19,381.53,382.54,387.79,390.96,392.49,394.38,381.75,364.50,367.62,380.77,382.25,380.16,384.79,387.81,369.39,386.69,384.79,380.79,395.90,428.82,430.45,401.65,406.63,423.51,413.39,412.77,404.25,400.75,371.54,378.97,386.09,381.20,371.33,369.50,372.55,374.88,367.01,355.22,362.82,375.06,368.01,359.57,357.45,371.00,376.25,381.85,406.08,376.27,352.03,351.85,357.31,371.95,367.05,380.14,346.21,L5
2006-08-28 22:11:11+00:00,389.06,386.63,392.73,399.53,394.48,393.21,396.68,390.13,405.33,393.24,374.33,371.49,376.52,379.63,390.39,395.16,384.83,381.84,387.03,388.51,394.89,395.21,395.44,398.71,,387.57,372.54,374.12,373.14,374.79,379.30,389.63,393.79,386.71,386.87,390.60,411.61,430.15,408.19,413.45,425.71,427.41,425.53,407.93,397.58,382.12,382.85,397.87,386.30,364.13,362.19,376.18,387.08,371.36,361.38,376.70,386.62,383.27,359.27,350.88,358.79,369.17,380.56,,377.87,365.07,368.06,377.74,377.07,366.67,378.71,,L5
2006-09-05 22:07:11+00:00,370.14,366.44,361.09,375.95,379.69,359.54,,,,344.81,327.78,328.68,355.60,358.29,359.04,339.78,353.17,352.16,358.66,364.65,365.96,365.73,371.49,382.44,368.04,,,343.63,334.92,357.77,350.37,359.45,364.79,378.87,381.63,386.29,399.09,398.11,374.72,385.96,402.65,405.30,395.02,373.26,,,360.90,375.66,368.95,349.29,355.12,359.36,364.58,363.96,354.23,356.37,355.41,359.11,336.04,341.84,349.65,358.23,371.75,370.81,,,,349.09,355.22,345.59,364.18,322.54,L7
2006-09-13 22:11:23+00:00,371.37,363.87,364.90,363.36,373.44,371.59,372.09,370.60,367.18,364.63,354.91,350.99,344.70,345.38,354.06,360.06,365.91,359.37,358.36,358.98,364.70,369.58,377.28,381.86,378.47,374.21,366.57,359.90,353.64,355.24,345.42,368.52,372.06,379.15,385.69,382.06,390.59,394.04,382.90,385.53,397.67,398.96,390.19,382.70,374.73,378.03,376.40,370.90,366.35,358.47,349.18,355.87,365.31,374.60,368.63,362.58,362.42,362.03,340.26,340.66,344.01,352.70,376.68,397.06,364.75,349.94,363.49,363.07,376.25,357.25,362.74,302.01,L5
2006-09-29 22:11:34+00:00,380.95,375.61,373.03,384.76,,,,,,,,,,,,,,,,,,,,,,,,385.89,385.52,387.12,387.56,373.21,393.18,395.68,386.08,385.66,401.38,405.21,400.28,402.81,408.49,417.53,412.35,417.81,397.42,388.32,388.07,400.48,403.73,398.77,382.17,384.85,393.94,393.47,379.93,368.89,365.16,367.21,356.57,355.65,358.17,376.19,395.77,434.03,389.69,,390.42,382.72,393.86,392.48,389.60,353.80,L5
2006-11-08 22:07:27+00:00,360.78,353.35,345.55,373.43,381.23,378.37,378.42,378.99,367.50,,,332.59,350.79,352.34,350.93,347.94,351.97,356.47,368.33,375.34,371.51,364.41,359.50,355.44,356.63,371.42,372.96,,,,374.65,358.57,377.59,371.50,363.57,371.07,396.45,388.23,364.45,368.27,403.43,405.86,395.61,374.60,376.56,350.13,,,,,341.17,354.42,356.73,354.50,354.16,357.28,353.83,347.22,335.55,343.57,347.96,355.61,363.35,385.23,352.11,350.80,346.48,,,,364.69,317.45,L7
2006-11-24 22:07:37+00:00,375.95,368.96,377.55,401.82,406.54,415.38,412.19,409.73,399.76,397.84,374.35,,,,,386.13,383.62,385.68,391.87,392.32,389.42,385.64,371.62,359.65,380.42,398.88,401.69,395.76,392.15,402.05,411.63,,,,376.23,393.82,415.93,413.06,396.23,404.44,422.51,429.42,422.43,413.33,412.32,391.21,393.28,402.27,396.87,386.46,,,,372.79,374.94,389.16,380.59,368.04,355.79,359.20,366.96,374.95,386.79,416.74,387.70,377.74,384.31,384.67,396.38,373.49,,,L7
2006-12-10 22:07:44+00:00,375.89,369.34,376.91,391.55,404.43,,,,,376.62,364.69,380.43,385.81,393.10,396.16,387.87,380.50,383.30,383.85,387.99,384.43,380.68,369.34,357.59,,,,,386.74,392.93,383.38,388.39,384.31,378.79,382.90,395.26,401.29,401.01,379.33,393.71,415.99,414.52,404.78,,,,,399.41,392.12,379.13,372.95,377.30,374.15,367.91,374.63,383.90,377.86,366.97,354.25,356.10,358.39,369.28,357.63,421.57,,,,373.33,382.50,368.85,383.33,,L7
