,dates,mex0246-0000,mex0246-0001,mex0246-0002,mex0246-0003,mex0246-0004,mex0246-0005,mex0246-0006,mex0246-0007,mex0246-0008,mex0246-0009
158,2003-11-14 17:07:07+00:00,,241.36461709421556,256.31277053114496,242.41461769500555,242.49396417389391,230.03891794953395,228.90390789671338,239.6259739941862,242.09682759947458,
159,2003-11-30 17:07:13+00:00,,234.62426511041653,244.98003862724607,234.8770965987271,238.20902710171868,227.41636190052552,229.3267146038397,,,233.81029660059357
160,2003-12-16 17:07:20+00:00,221.97518156962786,242.91241075187486,251.78956440845045,238.08129543646788,239.91460043694963,230.52366239071984,233.86319993527906,248.1895947570875,,
161,2004-01-17 17:07:31+00:00,215.17315129844923,236.11460851455197,231.99571714809008,226.1386647095343,230.3100246545285,228.01031828308336,225.30640076940753,,,239.59415970630948
162,2004-02-02 17:07:38+00:00,227.6506221179322,235.8236958114027,,,236.38757255595328,227.5556212202453,230.1651517556138,237.35538294264006,261.7908000968319,249.77847793887418
163,2004-02-18 17:07:39+00:00,,,,235.88295561220758,240.21987808128685,229.24618243800043,230.4157513080109,253.6430376683783,263.5126429670163,250.05935708278471
164,2004-04-22 17:07:40+00:00,218.6093410542801,233.30014990500678,237.48779740528315,235.3839830203903,239.92300974467224,235.03146675573458,,,260.9618053180868,252.42181204295895
165,2004-05-08 17:07:44+00:00,,,238.33667046676956,234.1435264685234,236.55126416098574,230.8521049836621,228.34427288564416,239.5973051915932,243.11691872309592,238.22254159502594
166,2004-08-12 17:07:21+00:00,,,243.04197654165154,247.03138273799112,244.1263804882818,240.16104955065828,239.80346387677406,240.0293760401431,243.78801518395593,246.26156570236532
167,2004-09-13 17:07:11+00:00,225.36469461813996,225.478034127711,232.45859221322172,225.1869831543413,,,223.92103725187715,220.31046368234288,227.69837051906734,222.6969874216619
168,2004-09-29 17:07:08+00:00,,,242.6906446049307,236.6010288609729,242.3947957856555,234.46002776244134,229.8660104783796,227.74317449104603,233.84547188148474,234.35947101677306
169,2004-10-31 17:07:24+00:00,212.05263089415922,239.2199186499804,239.43321299807909,235.562268104131,233.9325515757426,225.45936969629648,229.82746878606005,,,227.3429695006768
170,2004-11-16 17:07:29+00:00,226.24695238061577,246.67844443330316,244.08333086079332,237.64078256029381,241.38411924113439,233.0918704655676,,,247.08931172742683,244.44133863677598
171,2004-12-02 17:07:40+00:00,224.25089910066959,243.48074745143876,243.13794941114213,,,228.76539410982951,224.44782753954578,246.26398440226157,245.81899287759109,237.69813534085165
172,2004-12-18 17:07:47+00:00,,235.61626816614702,232.44911146637287,227.94681536410724,225.60368938813323,224.83848980318857,225.56521735404013,234.71186929728765,241.08499692458832,
173,2005-01-03 17:07:54+00:00,,,,236.6059902119537,238.02649370118226,231.04838221236034,231.97177498939962,248.79777110932145,257.48946327332493,249.19554729251706
174,2005-01-19 17:07:57+00:00,221.07458243229783,243.00124003386398,,,233.58349288644055,229.28815752206808,231.35225870641858,249.69126379072057,257.53003607461864,240.8127644924973
175,2005-02-20 17:08:11+00:00,226.47646259785392,243.71961104682396,239.8977815019672,236.5013503208366,234.92661354544003,,,245.88323749999114,265.8662224515733,250.57934844761303
176,2005-03-08 17:08:15+00:00,211.76443714069092,243.375751642596,245.9032615470192,241.45670044574265,240.88700817218728,238.1790335874918,,,,251.0231870877042
177,2005-03-24 17:08:14+00:00,209.6430872732375,238.97577394958483,238.59649307005742,233.87597890488036,230.7395266624798,226.57647347827447,222.49954036942125,240.92139205613373,,
178,2005-04-25 17:08:06+00:00,211.48048323204563,233.75095180503357,238.47362714135136,238.24497766072517,238.37186119131638,230.70456056468956,229.71364258402815,238.67440519607982,,
179,2005-05-11 17:08:10+00:00,208.13205608119824,238.57568356458214,237.20739806125638,235.9210182764964,233.5322759542607,,,236.69463466444407,243.38267065236553,244.89294062253472
180,2005-07-14 17:07:58+00:00,183.39828769297782,230.54643595942093,234.28282443797164,240.52316036939928,245.44124397423275,236.4457586471626,235.80395244054984,234.72493532550678,,
181,2005-09-16 17:07:36+00:00,158.14605953977784,218.3310434356783,,,224.93521161349142,221.31022217560601,222.68802190153187,216.6786752022878,217.96883033427955,220.93862497494732
182,2005-11-03 17:07:55+00:00,,,,237.33968245117163,238.6537249057437,227.93578188586832,234.86359903118282,235.3047357531631,236.061877351359,233.28144538935797
183,2005-11-19 17:08:04+00:00,,,,,235.18214029063049,234.09986325953122,229.72167267417413,234.05764447345072,236.29117283980247,234.36968045521456
184,2006-01-06 17:08:21+00:00,,230.2176559464557,230.22372446462595,229.67674653767926,230.26581031241267,,,223.33135327285294,233.31195070411715,230.2875416366979
185,2006-02-07 17:08:34+00:00,,,234.77615023362068,233.19584507228942,234.7740371385305,224.1057746605333,231.73880842045764,242.8576712138663,259.45156722005595,242.9234923690155
186,2006-02-23 17:08:38+00:00,,245.70186617511345,236.12570865601393,230.87387658166716,234.39238371714424,230.646060599356,233.2822970069868,246.96474202440913,262.05556806270766,
187,2006-03-27 17:08:38+00:00,223.57404946038363,241.99703665414208,238.64143280219656,238.92413805873775,,,229.95018567650155,256.38577519437644,266.93816547407846,255.57668392206588
188,2006-04-12 17:08:34+00:00,213.03162146249286,236.1201923808068,236.8889388361146,237.34514951823886,237.57509698797173,232.47254848712893,229.39426326893332,,,
189,2006-04-28 17:08:35+00:00,211.50716446262877,239.9431327935761,243.4328381075116,241.65038445679505,,,237.61443355925297,254.77175432136488,273.71461400721836,261.5783089122468
190,2006-05-14 17:08:37+00:00,208.67051046729276,231.95228750707585,235.26556138955036,234.35295672212834,,,224.2677962540025,232.09719854639698,247.2586347154782,240.7098768073361
191,2006-05-30 17:08:36+00:00,202.8180254504411,218.9345692188478,212.69524716209128,210.92142964710357,212.07713469321794,,,219.2438157309667,227.13970878906332,223.55774264526406
192,2006-06-15 17:08:32+00:00,,214.869495150964,213.3998236894793,208.26665539687923,213.32060650227265,212.58879812707863,217.14188224021885,214.8863781753125,218.24553976615942,
193,2006-09-03 17:08:09+00:00,188.45887917514503,228.35967060200463,231.53899024598113,,249.53462442766664,,,227.41089631352543,233.75071085813093,232.1431071482564
194,2006-10-05 17:07:51+00:00,249.32292302069928,250.55406784041793,257.3215853389713,242.27585065832662,247.7417291793536,240.41964779498724,,,248.48458036941557,245.63663570051594
195,2006-12-08 17:08:41+00:00,230.61284706545797,247.95150792757966,247.87173883131695,240.01759851302714,,,,247.27916802735575,256.00124642297806,247.78216456110587
196,2006-12-24 17:08:45+00:00,226.39212963850812,247.37684223338653,,,241.44216623208376,231.88503447566558,231.5250917196974,257.47775687807973,262.33204261078123,256.6020969410214
197,2007-01-09 17:08:46+00:00,225.26081499514592,239.8985613280638,237.9765585917593,232.103969939088,227.62370434616787,224.13436359465803,224.9121230466852,,,
198,2007-02-10 17:08:57+00:00,220.50470254593012,243.10190229387172,,,224.8802144575239,223.96143443602227,224.2816741635253,258.875096039441,270.04355566216276,253.5918736628895
199,2007-03-14 17:09:04+00:00,,,,233.35658205936303,232.11786415933145,230.3063839946072,,,,262.19974722852646
200,2007-08-05 17:08:38+00:00,212.30252145895423,243.8448364360588,242.7130098540715,238.31833436106493,236.49656798319373,,,240.58225794152955,251.8546296405373,253.4838729675274
201,2007-08-21 17:08:32+00:00,211.04779959491253,236.69033762691973,237.1417124958122,238.5196187367697,,,,229.9914346950248,230.09396916302398,235.70969677193588
202,2007-09-06 17:08:25+00:00,208.80090988450723,240.63552244378357,238.20484245630396,,,226.89362854378473,228.44717806693316,231.00490699092217,240.4930849404098,248.67667063030248
203,2007-09-14 17:11:38+00:00,224.86111266378114,247.61742280214108,243.45291246982856,235.13736813599283,239.86174679382225,232.69552412644936,227.82473232404672,238.2212738899357,247.98843555682217,247.41260117853858
204,2007-09-22 17:08:19+00:00,,,,,,,,,,
205,2007-10-08 17:08:14+00:00,229.69282233935968,245.93736522676645,245.93585909760702,238.01713911833582,,233.4731725636511,235.40534343575433,239.72419732347274,249.56931877573365,250.76953844210848
206,2007-11-25 17:08:45+00:00,212.13542990709252,242.56451256534456,240.46039910061782,239.44010435099355,236.001706333065,233.26311404353777,230.8794019678427,,,
207,2007-12-27 17:08:53+00:00,194.674250038634,230.2719116455987,,,221.65504825219432,208.47047518964357,213.69366327168126,232.6109344865462,237.77815439541268,230.74882817253763
208,2008-01-12 17:08:54+00:00,,,,235.17233140188029,227.15251210919436,225.1962547782765,228.75018740729172,248.38122453034995,247.91789007447593,239.81529005980926
209,2008-01-28 17:08:53+00:00,208.22647444291275,238.46726545824373,235.5603827279787,233.84529360254643,234.18755249071975,229.55925873987698,229.32328451339623,,,
210,2008-02-29 17:08:45+00:00,220.56062890441694,245.83175000432445,237.3873999696391,232.40633831328108,238.48189047537528,,,240.21773899547608,246.31166583631472,245.5314142854936
211,2008-03-16 17:08:41+00:00,203.1764939507038,241.70266015837967,239.75106368479507,235.40215779690058,235.98635315399963,,,247.08156014095417,245.47603883377744,242.54674929767134
212,2008-04-01 17:08:41+00:00,216.72759297831453,240.97328043140183,239.40239260074816,232.75712771030808,234.23011860621511,,,247.74636733841677,241.34345000122144,241.33609968719733
213,2008-04-17 17:08:40+00:00,207.737976853314,251.44659956691092,250.91277095992663,244.59044589368182,245.47512191331614,,,250.72178474592698,246.54963183973138,245.52830859650388
214,2008-05-03 17:08:36+00:00,211.9401457310846,242.17700550691194,241.7764742444831,240.19695348159433,238.9803107519569,,,,236.2262853967837,236.66578809831162
215,2008-05-19 17:08:30+00:00,225.35184226379383,253.36789937965784,250.87519044217598,250.8729378006475,247.53555400108408,240.48213263607386,,,,247.7317544656524
216,2008-06-04 17:08:23+00:00,213.1483129019804,237.00684287196916,229.81203492435847,224.92582977782178,221.51596712823633,218.01198723313865,,,,234.71609206748454
217,2008-06-12 17:06:18+00:00,206.2145758747534,242.23180450239792,234.00817243914832,226.8335814880547,225.04735149481277,220.27039092419363,218.33218967042973,234.27101893233555,246.38594330428018,239.85430999266646
218,2008-11-11 17:07:39+00:00,237.83108800675754,244.11121964784766,242.0843123579979,,,223.3098039169761,228.75560666691536,243.51615268521178,241.9009690888846,241.98930497881457
219,2008-11-27 17:07:51+00:00,228.9242517009202,234.4922246733668,229.9768089827397,223.63972908878742,221.61342099679268,226.48922811809922,231.45933366103844,248.56937833269498,256.09266861917547,
220,2009-01-30 17:08:19+00:00,218.39016152854933,241.7516328152955,241.7446941816414,236.55850923240862,,,238.8917165884208,259.5014541147089,264.3336594121701,255.59330702064793
221,2009-02-15 17:08:27+00:00,218.55476779777518,243.895877685103,237.91001766523925,230.46588275099117,229.40745687796,224.75920850186978,,,266.511478050057,251.77647871371448
222,2009-03-03 17:08:36+00:00,225.9097009443389,242.38625422824546,233.91742679479884,233.16738213239725,236.10539830579438,228.56593651603131,233.16231322783656,252.83048794980488,,
223,2009-03-19 17:08:44+00:00,217.6220659558835,244.8113311791609,238.95712335461002,233.92093294477013,,,234.6356415213857,248.75876605065582,260.2524199688673,251.86226977274123
224,2009-04-04 17:08:50+00:00,225.21639856617455,243.2699296213478,240.49191951349283,233.2986463187875,236.30734763901054,227.72797388117345,,,259.7538706805813,246.5120401950675
225,2009-04-20 17:08:55+00:00,218.46645519138508,241.49960128485105,235.93201932706415,236.56685875942918,,,241.05416072869195,251.38409895531746,258.12528652364153,252.74456442754334
226,2009-05-06 17:08:58+00:00,225.19277928298268,251.28165900802787,247.6835019496293,241.05976561343064,238.92176183884197,,,245.32467829938042,245.9623288732646,242.41594845533484
227,2009-07-09 17:08:54+00:00,,224.49769786639482,218.20994632576108,213.43832202538638,,,211.63008846428858,209.90822318491698,213.3812360657365,219.54777168511194
228,2009-10-13 17:08:39+00:00,210.30838257003103,237.14397657769584,239.00977230875154,233.55836501231875,235.15473442045007,228.26368966716032,,,239.60625479241182,242.94608605973016
229,2009-11-14 17:09:09+00:00,219.36933035534463,242.09660699744376,238.29099251592118,231.17098501797517,234.49328003942884,,,,246.9115865921979,242.6873862744013
230,2009-11-30 17:09:20+00:00,209.31332498543526,240.0982801391897,,,234.04118612870144,225.4079177774952,226.34351778837828,248.64117259800184,244.29140091957603,235.77156809940485
231,2010-01-17 17:10:06+00:00,195.97741246706335,238.42742190285978,235.88168260113744,228.01794652613725,225.1733287274132,216.9948766734104,220.0452813729531,,,
232,2010-02-10 17:09:27+00:00,187.94675774295646,233.2281760988026,230.82265728446004,230.40617186848215,225.43513711727573,224.47924719799687,227.9562335777427,224.9622785010525,233.47167112198736,239.15197728715074
233,2010-03-22 17:10:43+00:00,195.46280986300337,231.5584637097275,236.3449705783445,229.02490942447415,233.8354512965539,224.4451601047056,,,247.71762087772203,247.48733741157406
234,2010-04-07 17:10:45+00:00,,,236.97611895045523,228.51926124457924,226.60288680960858,222.49337865588132,222.4820992122376,226.394033340758,245.78962135130573,244.58652417633135
235,2010-05-09 17:10:41+00:00,205.41486649238814,245.39140287765503,239.4251080152325,,,224.87578085267825,222.73486585572576,236.05863565339482,243.99282313073334,239.8894300361078
236,2010-06-10 17:10:41+00:00,,,240.93392361757597,234.3431371155082,233.14636149464678,223.56252017667563,220.65166947845003,229.47658316598142,244.34201497570518,244.0329924610172
237,2010-09-30 17:10:45+00:00,,,245.8009224115754,240.4700772382903,231.87149672918093,224.86893442149898,223.17115859962772,229.6731146720161,238.72344710379122,237.53481803974393
238,2010-10-16 17:10:56+00:00,226.74749270276118,252.72444552046625,254.68821287439278,254.3022298482747,250.23506339330294,238.5697062530181,232.682112386908,,,
239,2010-11-01 17:11:04+00:00,,,252.26244897541847,248.1104572983204,249.74343212127772,245.3648292199017,238.71761764008858,250.01338857844834,250.36967841725127,239.1235266535035
240,2010-11-17 17:11:18+00:00,233.76166467872005,254.34247567909935,256.92441496641374,245.8960395013765,,,238.79048521325024,252.8599576515375,244.5154002042882,244.3767242162954
241,2010-12-03 17:11:28+00:00,211.84498754895765,241.9240760945617,242.13294215350973,233.95433155994976,,,231.4881039036105,254.64396235123326,249.08804668365974,239.3629095640389
