,dates,aus0249-0000,aus0249-0001,aus0249-0002,aus0249-0003,aus0249-0004,aus0249-0005,aus0249-0006,aus0249-0007,aus0249-0008,aus0249-0009,aus0249-0010,aus0249-0011,aus0249-0012,aus0249-0013,aus0249-0014,aus0249-0015,aus0249-0016,aus0249-0017,aus0249-0018
483,2011-04-14 23:37:43+00:00,169.41120306004848,195.68441346957513,198.42968128785282,,,,193.98236086998745,199.6502248448336,203.53173528390016,202.93964204894885,220.06744706891908,234.8231737679582,240.53141246472316,,,,230.0812663010134,210.8603458311639,223.21502409693997
484,2011-04-30 23:37:44+00:00,168.91875714465962,189.25099074546392,185.97000946985764,185.46184861751863,186.37030457759857,187.8028895754834,186.83562195356254,,,200.98780552895124,216.50521196979835,229.76835548396244,241.43124896559286,236.43902049387808,227.33650840886,230.81247755588643,,,
485,2011-05-07 23:43:54+00:00,166.59651276691412,193.00673575954275,193.13375859691246,188.38238248513107,,,,,,213.64955792783093,212.90392784518127,227.70281180795357,246.3510850794762,246.1973248903803,,,,,
486,2011-06-08 23:43:53+00:00,150.91878029002245,178.736592822151,174.09017328124395,,,,,189.85073774349559,197.98060636331684,207.62633320243015,217.27760989257902,223.18745097609448,,,,,,,221.02154630220113
487,2011-06-17 23:37:41+00:00,137.86309896877032,177.51978150737193,168.94004263232662,164.07363237345123,164.0366903798643,,,,191.09875995034176,198.7431306766408,213.84064257900857,210.0655755921376,219.5599156896483,240.11656719601368,232.1587734739804,,,,219.87687475636346
488,2011-06-24 23:43:50+00:00,,,,,180.9835793097922,182.12754845545834,184.68477861126155,188.1320068590703,198.86535964994903,206.87511179233104,,,,,254.24900682834024,238.42464590300668,230.79451093497076,219.43018374120211,230.07447485744183
489,2011-07-10 23:43:49+00:00,148.73516508902395,184.8123090915506,,,,,,186.48017319144287,191.5373227676595,204.0774088934722,209.66313533118415,205.83475705554508,,,,,,200.60025502733407,214.86998459980916
490,2011-07-26 23:43:47+00:00,141.78726243396136,171.8558822827616,162.93908494954343,157.00320738408212,154.2071336116257,153.98297127249037,,,,,,,,,,246.21618982788806,,,
491,2011-08-04 23:37:33+00:00,159.5535353606188,179.12090600003435,175.99955752105183,173.88843021145135,177.39879004826756,175.2094386111712,,,,195.89606844653173,213.53585979900578,217.61161416467482,238.70792395479802,243.51977799434064,234.8020727172763,232.24959978842926,,,
492,2011-08-27 23:43:40+00:00,,,149.09285726255277,147.5050498066978,156.94696005896023,149.11332995604164,156.66437435133727,147.9266081402567,,,,,226.45125628652625,234.0893161781276,230.4250167282451,227.23697231951678,203.16696358305802,,
493,2011-09-12 23:43:34+00:00,,,,167.57588239930496,170.5339053841432,164.27524699409233,166.88898649003008,162.4441978751959,,,,,,236.59263716904834,234.73466499150263,223.67020314673474,214.85091917402065,185.95534877992964,209.26330284257187
494,2011-09-13 23:32:38+00:00,157.27932340120446,158.4544927504866,156.95089108804348,161.98263835326114,163.36748331897755,165.5490762385781,169.7607406124005,172.03076376548668,179.89208887893997,188.5532688069341,200.6548083388772,216.21020239168752,221.5530786124975,229.60606966198827,229.19983969757544,225.26531879968735,219.5582535462073,205.42340905390392,219.06675469912352
