,dates,aus0142-0000,aus0142-0001,aus0142-0002,aus0142-0003,aus0142-0004,aus0142-0005,aus0142-0006,aus0142-0007,aus0142-0008,aus0142-0009,aus0142-0010
248,2001-05-13 23:27:02+00:00,195.36942510863204,153.19716862843876,159.44667434617247,159.01337985488703,166.48328949784585,159.81669825718672,185.5956830461866,220.54319036575694,232.7168939527163,206.70529716029966,222.75064925349096
249,2001-05-29 23:26:54+00:00,178.8044047566037,136.02925902990626,145.32564209821388,143.91156955170732,144.14055396359115,142.82121716286002,168.7724046290947,,218.23336928129643,193.63410742172366,206.68379290948934
250,2001-06-21 23:32:46+00:00,165.45426572464606,167.50365161208546,169.57888116495172,166.91958603856705,166.4540404811412,170.084273111048,194.75307315089728,234.84772959840782,221.1615083012224,216.35883451332094,228.96673744685137
251,2001-07-07 23:32:41+00:00,157.84575154360806,,131.25675810706278,,133.6673788357189,140.16518626848367,172.20435266933023,207.63154297886715,206.33229967768997,201.83486644569913,208.22975707352236
252,2001-07-16 23:26:28+00:00,175.21531436797332,156.16500574506483,154.3995335835619,149.77538971104178,158.3773523251392,161.53449031326608,179.81525279466422,,,206.6961702905106,213.70074869412448
253,2001-07-23 23:32:35+00:00,177.80955337250924,138.6277315929195,141.58818511490256,141.7282661657057,147.3499240454821,149.3449389830334,176.17407838553888,204.56485052705762,205.0183791044143,202.92187708135035,210.85857453860274
254,2001-08-08 23:32:18+00:00,206.5872417660188,157.6627361482384,168.9642828727067,161.69959104157897,152.36477684181833,153.63249210280415,180.1818894929363,,211.91735728058313,211.35300170117821,217.8522473107464
255,2001-08-17 23:25:57+00:00,205.71199765877114,158.62465682413492,165.61928699716603,162.77111492169686,154.51895262531403,155.42336093067436,177.41282498274242,212.74006821286625,209.9516724127131,204.71123225602724,209.54223741412463
256,2001-08-24 23:32:05+00:00,166.6370058510104,153.1849335479719,149.59084006988996,145.3610815403352,140.18854930189283,147.17121569996797,165.9125911254812,204.1124274805065,200.30934206210105,196.297021480779,199.83885289245447
257,2001-09-09 23:31:53+00:00,190.91106934103112,175.40644870200515,184.0055715172826,176.27971386344964,163.9747783271949,161.3147974895406,184.14604024546654,,240.15877333639924,206.9923252045871,217.60819448700403
258,2001-09-18 23:25:34+00:00,210.42131133595763,176.2647307121989,187.23509232358995,178.52687295666829,165.96308076744262,161.67582389268006,183.18555765739373,224.84620558048144,236.00070093056166,215.39999255854534,226.53311781108363
259,2001-10-11 23:31:27+00:00,190.31243000968848,172.47025198042238,160.08315354050575,157.87821516765885,155.8143085314451,155.87643699635026,174.45663993103827,,227.69766078049906,202.88720434686974,221.32598982767547
260,2001-10-27 23:31:37+00:00,188.60615220691093,178.43265762402376,159.7202708440884,160.03974484009368,158.37041381652756,159.2657058947533,175.18363393762607,,234.35395371832078,202.09999147669487,214.72380156195362
261,2001-11-12 23:31:47+00:00,190.39954796306154,185.16232244211702,162.84934307355215,158.9805788055162,158.0231142487908,162.8964160770142,174.37599941672843,,236.7413698470573,204.87998969144655,213.44184149389093
262,2001-11-28 23:31:52+00:00,198.18836067172148,161.2763747363398,163.72175860976628,149.43502190429044,147.32545523631796,146.81188741938672,165.76618363436626,,208.0038831035207,201.05894841801518,205.96716339993733
263,2001-12-23 23:25:49+00:00,208.81946660344107,176.4590136773658,167.5483654768491,158.47834439629491,154.5437091786364,158.27478135515025,172.91160022784507,,227.80423280401462,202.6114334988956,209.4578223499236
264,2002-01-08 23:25:53+00:00,190.23399207695866,175.36335906432805,170.22559933195353,160.20410925030976,158.21982005613071,160.143020404665,175.31713024395364,,232.40992507554748,206.01748720349218,207.37710799070368
265,2002-04-05 23:32:06+00:00,198.22564631751771,169.73923865290962,163.46897708148234,156.4624109615577,161.86271869831648,161.89645770159962,180.69578276781175,218.35678789356956,224.65218050880682,200.22640812238114,217.29293043420154
266,2002-04-14 23:25:55+00:00,181.22243580433704,189.0122269416564,184.715680256695,175.33357678630946,175.20786556816802,177.12703082484148,193.60655451876022,223.51297996659534,224.84724014709403,211.62134874016644,221.03377128231608
267,2002-04-21 23:32:05+00:00,184.46820755970265,173.1791443859213,173.49586192095526,,,,,,,,
268,2002-04-30 23:25:58+00:00,182.2196898499074,175.45563803801855,174.79381439805508,172.1220924103858,171.23170554756976,169.49323896132321,187.0843346812116,215.57523795088056,205.47049701574815,205.92904819688908,215.4390216300897
269,2002-05-07 23:32:08+00:00,198.98223307318318,187.26746812733367,190.76270199361733,175.13888798551352,182.78694138021996,181.67235889324698,202.40077707801595,,,,
270,2002-06-08 23:31:52+00:00,183.84735478874447,183.41716872141342,181.84075365871757,173.70705621311916,168.88225481251087,166.049713816061,187.67530449677517,,230.07286038981746,214.7345293509983,217.9253194899297
271,2002-07-03 23:25:34+00:00,187.02099445583286,174.3992046233958,179.06191960647547,167.2914861087372,146.0684681095051,152.02894906893258,188.51167408826169,,244.58713653216617,215.6764087604406,219.86678349073227
272,2002-07-10 23:31:42+00:00,161.3155994051738,157.21810630973678,159.99282005917112,144.71486630625688,140.24557407584538,141.3027238397905,164.99545505781148,216.07688599735073,203.11955757565897,201.87296265178827,210.11903681451608
273,2002-08-11 23:31:29+00:00,178.9236222164306,173.89423425344017,171.9182743118729,155.31867615105193,151.4509751563537,149.18166046239878,174.9827774039831,,216.11246990019413,205.96457725695598,219.608858788761
274,2002-08-20 23:25:15+00:00,189.20367027593832,175.83430239821652,172.44790707708378,162.75398921613174,153.7627013375098,153.04448485997656,182.09257569587146,224.67436468260544,235.49351325554085,205.732644479666,217.1571757351027
275,2002-08-27 23:31:17+00:00,183.11449176935136,175.34952388276747,168.41477506901762,160.34972598800346,151.0615996893227,151.2786188042321,178.31363314427412,219.70631864922217,215.2951002516606,211.33326152951972,218.431002237827
276,2002-09-12 23:31:12+00:00,184.4771878923576,176.02021070208542,164.3186759389809,159.305307177229,152.13425163486914,149.6699932632967,180.5517439666116,,202.21404775888638,208.35517864136375,216.79397913106044
277,2002-09-21 23:24:54+00:00,187.3791050339704,183.15883855535432,169.25511563479978,155.6406384724034,152.56556294293526,147.46562329697832,172.15931629492079,222.77057384731978,216.28086779136788,205.97159427253317,221.14562698893005
278,2002-09-28 23:31:03+00:00,192.20516591489599,192.9812309589756,181.10278741489063,162.9533133383559,161.66673646799865,160.7660894541526,185.0873154171215,,238.28212272647107,208.8403505478506,223.06217896074097
279,2002-10-14 23:31:01+00:00,210.12191585448218,184.43200749609764,177.62694946399813,163.5083844949494,166.1443509446757,179.9379986332808,187.84022553296708,,241.32697862870415,207.85531976930028,226.82566172696633
280,2002-10-23 23:24:56+00:00,,,,,,,,,,,
281,2002-10-30 23:31:06+00:00,196.8355016566433,183.85783762485346,169.99480785744967,158.04088503212975,161.4611474847894,176.2820941446187,185.74690753600575,212.99941413677146,228.16668642052406,201.47877614678677,215.52203738788438
282,2002-11-15 23:31:17+00:00,177.20937642011782,175.2327214405985,163.3550666871571,147.35195677341252,150.31210668520546,164.4949239451234,175.9472475033637,203.964369503046,210.10946872158198,200.56099613406337,206.4710210993691
283,2002-12-01 23:31:34+00:00,175.83160777066382,162.07549220408617,161.83373441652174,146.00679636092525,149.46833600692028,158.24585509817618,177.32550596348977,212.47435186441552,198.85397540377846,201.121298772157,207.10842933674763
284,2003-03-07 23:32:03+00:00,164.59380879560186,161.10939867633164,163.2438685338088,159.21103642309012,168.17305908144817,166.8307626301618,195.5226844464565,220.3856135998597,214.74326199129464,217.81622666371598,216.21467124241292
285,2003-03-16 23:25:51+00:00,195.62435337278427,165.85075125903964,174.11086064271726,173.39815802540193,172.0186272180706,171.6096831278086,193.82038499389608,219.30289284570938,221.30485912125494,200.59532837893263,207.43673163990078
286,2003-03-23 23:31:57+00:00,189.1780425544744,163.43354579159404,177.86733223483373,166.14467218546284,162.56877855880015,163.8760851692887,187.434289555347,219.8293876312017,229.02817352514143,197.6197967387979,214.6395411792
287,2003-04-01 23:25:51+00:00,193.57045452291658,182.31706447102232,193.17325787747308,174.75720975193715,,,,,,215.15726276034127,222.33598984431734
288,2003-04-08 23:32:04+00:00,189.1653217410365,181.69641727673815,186.45452254189684,180.28820327792295,178.9868819660987,183.78252943389174,199.29245292376214,218.76051336790985,236.54531090261486,210.30805373827533,218.904143821731
289,2003-05-10 23:32:03+00:00,186.3675452781267,169.0331556668022,174.45170034435802,173.15145036141902,172.24000964124193,160.60722323198007,179.35951302414495,,225.17548099904678,208.18075241744117,219.86214138521015
290,2003-07-05 23:19:34+00:00,166.15998910520318,157.94304527358494,157.3726128860846,149.9422726310272,145.95470936068017,155.4804565905089,177.433292152862,219.76213552257985,225.59969790141702,217.8153651064173,221.36230821435208
291,2003-07-21 23:19:51+00:00,186.94941406839916,178.40715123013547,176.8079634754725,174.77956320000004,168.5068831525324,163.76317002960087,184.24972919251672,,235.4572453006193,217.82677061434737,227.18659056242876
292,2003-07-29 23:31:46+00:00,178.79426798303354,175.94318506891932,174.5483215605032,165.81692951121804,162.03040431843868,,,,,,
293,2003-09-16 23:14:40+00:00,193.3057618717503,180.73728516920553,178.65248719116312,171.2725301731006,165.5372546877293,161.3320367414309,183.2736979601741,,242.59097288291719,227.34327131175385,222.4410965924585
294,2003-09-23 23:20:56+00:00,189.6278699381429,174.23061233205567,174.61508002638547,159.05740696153595,154.01047755422346,155.69697977040624,177.58717705473424,211.53749361375637,200.8472625739543,202.149888471515,203.12492041749567
295,2003-09-24 23:25:19+00:00,,,,,158.07544835785302,164.222126850997,181.15228133271103,,210.68644536963285,211.18618358761722,213.60470724057885
296,2003-10-17 23:31:32+00:00,,182.58415776638182,178.06832376555923,167.0526746483952,171.06324029751542,168.71138705168315,188.56302302047806,,,,
297,2003-11-02 23:31:43+00:00,200.0981293904823,181.9490779441101,173.1143664362331,165.03200519856725,,,,,,203.81391328660234,215.32706734229328
298,2003-11-10 23:21:29+00:00,194.35599562775212,190.89266478487983,179.83248918733548,167.07403308205713,158.93889004162787,165.95260809941934,174.5642005164353,207.60570917745457,220.10045020994804,206.66996413157509,212.27688425330163
299,2003-11-11 23:25:39+00:00,192.18697408377102,,,,,,188.72535038515466,,224.9432901902076,220.84346251036627,219.9517080210338
300,2003-11-26 23:21:48+00:00,204.56478445768187,154.8118032255038,147.41128961471276,134.5453648104957,136.65284788357158,142.3831468095949,168.9396341051048,211.89739543342503,222.01586303964208,202.99206040823265,207.93514468728418
301,2003-12-12 23:21:51+00:00,197.03409131297119,183.24344082131904,179.05186385868885,163.30612547569706,153.75227547456012,154.4159766866179,170.55866827856931,196.55113899173244,212.79975913786117,197.90240319413513,204.75527037585536
302,2004-01-05 23:32:14+00:00,192.8126656982202,165.9238617385561,158.32674653149678,,,,,200.9448947653833,207.40365253328724,199.07411620485314,203.71906722158062
303,2004-01-21 23:32:20+00:00,199.3976727426101,176.0867182568355,,,,170.15845492627116,177.77328546079647,208.27771693374154,226.5618403506319,203.24976858415368,213.18777699079834
304,2004-01-29 23:22:10+00:00,234.44188918025804,181.49376518825923,171.38441609038594,162.16358680450557,167.79092381027445,170.3827068231756,192.58055333537243,222.31691125780347,,204.60229979426074,210.7136536359972
305,2004-01-30 23:26:13+00:00,204.3418466226593,,,,,,188.68563568746393,221.2133175579108,,208.03998735251915,208.27997183884634
306,2004-02-06 23:32:25+00:00,210.01816635026307,,,,,177.06266187394252,189.87054567051283,219.3961699529529,232.76316345708372,209.98338526772935,216.89692218221558
307,2004-02-15 23:26:15+00:00,192.88328408555432,180.17514360959606,,,,,,214.86924374943663,228.68433816205126,200.0887303983953,207.28923607742638
308,2004-03-18 23:26:24+00:00,214.27783418116343,164.54191321256368,170.92019988008764,163.4553614901633,157.89710504685704,169.40384367054216,,,,,
309,2004-03-25 23:32:36+00:00,,,144.28478227615008,132.8031311085169,140.66712509708762,146.7597897683025,168.9516665258731,,,196.94849998785463,
310,2004-04-10 23:32:31+00:00,194.72788393081484,,,,,165.111740199179,184.1930688423763,220.03508535393874,238.04229867167098,213.50627794645243,224.72108352383998
311,2004-04-26 23:32:27+00:00,168.20747285002375,162.16770479379582,155.97719516440114,151.3029889314765,162.59849164481952,167.69400862902785,184.3286434775287,,,,
312,2004-05-04 23:23:33+00:00,189.17713164958192,167.6654318882156,165.75541127101914,156.98992415560227,164.35486050415187,170.76319432753075,189.7387238804451,223.40037139040402,220.06897045610157,215.34381455609025,223.39083637223416
313,2004-05-12 23:32:30+00:00,,,,,154.30765319343888,158.87107721462684,180.03865721093078,214.2693278559958,217.95203123644717,203.87914001602394,208.85181413306543
314,2004-05-20 23:24:01+00:00,166.29800092914138,175.34663342489392,166.99000874625233,165.0240865959288,172.65607727909804,175.7883920268165,195.23976836320543,234.8238219388801,244.94402510510128,218.71287512387494,219.5536384565645
315,2004-05-28 23:32:28+00:00,,162.73418677505765,156.6883697840421,155.5245833157237,165.08197070088772,171.38787696578146,182.25630748969786,215.32968507223603,218.9387040625191,,
316,2004-06-21 23:24:58+00:00,180.27288587550035,167.42464905864597,165.5558001135123,164.3203311166184,165.17504308767715,173.92364162620706,190.01096087053492,218.3169097763488,210.1543309171192,216.5282077477436,218.15497770394862
317,2004-06-22 23:26:09+00:00,,,,155.2519966218891,153.8111656963542,163.72597122724554,182.57885908901673,222.10139391126592,206.6987998305964,210.2905817844272,219.2485794933831
318,2004-06-29 23:32:20+00:00,187.7889658692312,177.17960792157473,,,,,184.8435575693425,220.00308269521477,223.99782988813618,214.20418613286967,221.99652499420887
319,2004-07-07 23:25:26+00:00,182.40360419517285,176.40884524044827,173.66816540820443,166.1547550022746,165.51585586121394,165.04909767433634,186.46404903478674,220.80266436702124,197.72090778900846,205.5990489425353,218.14076409351964
320,2004-07-15 23:32:17+00:00,180.02576047308784,169.88498336098542,163.90905670171952,157.57593779250018,163.34796926664518,165.55419797531766,,,,,
321,2004-07-23 23:25:50+00:00,173.3869256660654,161.5385327355487,162.19764121832546,158.41446413447386,148.95768829967156,152.9513614449558,182.54676303203777,223.21462983336838,238.62312266593875,223.076779638334,220.1190913116243
322,2004-07-31 23:32:09+00:00,,174.84366329330572,177.8156060288859,172.61418873270168,162.23540629102862,169.34578821140667,190.73461784116387,234.26296240720072,226.25844528959595,,
323,2004-08-08 23:26:08+00:00,184.70640684458488,169.47873517285052,166.80475222104772,167.30633921586508,149.51365331817496,155.31911869665146,180.94349807494078,219.06975102976128,226.52825761993267,207.7806784427378,219.70585471772813
324,2004-08-09 23:25:56+00:00,192.02142016932376,178.62983973504518,177.08878693456413,,,,,,238.57185920663147,210.1813067078971,222.63449021465053
325,2004-08-16 23:32:07+00:00,,,,,145.33523656190732,155.61172120802826,168.08044512486165,213.0173088345111,220.3561387812241,214.8730876547804,218.94541414374007
326,2004-08-24 23:26:35+00:00,190.1571001342937,171.57486682791796,165.8632634323606,164.46813408885055,162.00586793107306,157.16189214103275,177.09997098056905,,227.05469407664518,208.28259509707868,219.72166437934783
327,2004-08-25 23:25:54+00:00,,,,161.1951658715956,161.8870147031396,156.62705575044095,178.39801593736792,211.51831311230623,221.99975453480457,202.13375229397957,
328,2004-09-09 23:27:01+00:00,203.13217347259902,179.82890083275038,172.01247640572186,162.22542501559272,163.9321126828503,160.15079635279795,184.45305474431046,221.43640601505723,234.7494898553316,203.69942795299124,223.65796407190902
329,2004-09-17 23:31:56+00:00,,,,159.8593741993227,159.57512735400738,163.66275327219685,179.37804339849936,,228.4103779222898,212.2137749028613,225.3712495087449
330,2004-09-25 23:27:24+00:00,191.41702156656308,176.75640529994297,174.99452253300677,156.84373092664248,152.30301364853656,155.70384413449588,174.43743236603999,209.77587205004002,220.49017486231736,215.77781012931115,212.61733562021337
331,2004-09-26 23:25:44+00:00,190.25219459756383,179.6355851818076,,,,,179.23717287121684,,225.30846276045895,207.82615567042453,211.84101508638378
