dates,satname,nzd0580-0000,nzd0580-0001,nzd0580-0002,nzd0580-0003,nzd0580-0004,nzd0580-0005,nzd0580-0006,nzd0580-0007,nzd0580-0008,nzd0580-0009
2004-08-08 21:50:26+00:00,L5,718.73,655.53,185.97,199.49,207.90,231.43,231.05,190.67,683.31,795.33
2004-09-01 21:56:21+00:00,L7,649.54,660.38,177.36,195.10,200.98,213.08,173.95,198.50,674.37,771.01
2004-09-08 22:02:29+00:00,L7,653.38,664.01,182.20,205.03,200.77,218.00,177.09,207.77,675.79,769.07
2004-09-09 21:51:19+00:00,L5,484.41,620.88,430.85,436.44,493.45,397.01,526.23,320.50,634.51,598.83
2004-09-24 22:02:24+00:00,L7,,198.03,212.16,191.91,185.82,211.21,169.74,,651.54,
2004-09-25 21:51:43+00:00,L5,650.67,655.24,221.67,206.69,199.92,228.90,204.68,252.11,642.44,792.26
2004-10-10 22:02:20+00:00,L7,207.51,216.18,242.07,226.72,216.46,234.00,194.98,206.72,667.28,772.49
2004-10-18 21:58:23+00:00,L5,658.35,673.32,210.31,196.04,184.53,210.77,172.84,178.76,650.30,792.52
2004-10-19 21:56:19+00:00,L7,645.35,662.42,,,,,,,202.69,199.68
2004-10-27 21:52:23+00:00,L5,645.93,638.37,241.47,232.23,221.94,234.24,244.58,274.37,622.54,790.48
2004-11-03 21:58:42+00:00,L5,657.02,668.28,207.29,199.36,200.76,215.69,178.63,192.60,651.00,791.59
2004-11-04 21:56:31+00:00,L7,649.56,662.64,222.53,214.67,213.10,223.50,184.43,200.28,652.98,767.83
2004-11-12 21:52:39+00:00,L5,632.22,621.81,249.33,232.28,226.52,247.74,263.47,293.92,620.67,649.59
2004-11-20 21:56:37+00:00,L7,654.87,666.79,222.64,224.05,213.75,229.66,187.42,199.29,645.56,766.98
2005-01-14 22:03:12+00:00,L7,664.41,672.68,219.52,209.83,200.21,215.79,171.35,181.00,650.27,768.47
2005-01-22 22:00:02+00:00,L5,659.85,670.31,257.00,226.76,205.79,234.26,225.95,250.70,627.68,792.18
2005-01-23 21:57:01+00:00,L7,645.63,656.04,,,,,,242.03,257.47,767.75
2005-02-07 22:00:14+00:00,L5,643.29,634.12,238.20,226.56,230.08,264.73,275.06,310.85,631.84,790.17
2005-02-23 22:00:31+00:00,L5,652.85,659.17,254.32,225.19,209.26,235.16,217.41,251.39,630.07,790.62
2005-03-03 22:03:29+00:00,L7,,,152.54,138.88,170.67,,149.97,,673.22,
2005-03-04 21:54:27+00:00,L5,654.54,663.31,212.10,202.27,199.51,220.26,177.90,199.57,651.37,791.15
2005-03-27 22:00:51+00:00,L5,650.58,662.25,192.08,186.00,199.44,216.51,179.82,202.34,656.52,793.90
2005-04-04 22:03:26+00:00,L7,202.75,452.67,190.71,177.44,294.44,213.56,175.97,200.90,681.63,770.68
2005-04-05 21:54:42+00:00,L5,649.11,649.14,219.55,196.93,196.03,217.66,184.47,231.99,650.69,793.74
2005-04-13 21:57:12+00:00,L7,643.99,656.76,188.33,186.43,199.43,209.13,169.45,188.31,682.72,771.25
2005-04-20 22:03:20+00:00,L7,638.25,657.73,,,,,,205.57,208.44,203.10
2005-04-21 21:54:46+00:00,L5,655.91,647.35,173.23,178.17,199.95,207.58,176.85,222.97,712.84,795.24
2005-05-06 22:03:25+00:00,L7,201.66,620.41,165.12,191.70,187.90,207.80,159.25,303.77,784.29,772.80
2005-05-22 22:03:24+00:00,L7,,,,,,,,,,
2005-05-23 21:55:00+00:00,L5,788.75,619.04,,,122.41,199.40,116.69,310.67,260.96,232.93
2005-05-30 22:01:15+00:00,L5,811.70,661.91,160.45,163.18,149.26,216.86,144.07,174.98,803.90,201.57
2005-05-31 21:57:11+00:00,L7,727.08,785.49,,,,,,176.05,209.07,207.54
2005-06-08 21:55:08+00:00,L5,808.29,785.88,160.22,161.42,,,102.10,162.58,805.03,222.80
2005-06-23 22:03:13+00:00,L7,,173.19,160.51,179.54,132.89,202.50,131.63,218.59,745.27,737.27
2005-06-24 21:55:13+00:00,L5,752.32,789.45,163.47,166.95,,,141.46,182.93,218.43,226.69
2005-07-01 22:01:25+00:00,L5,829.14,656.28,213.83,199.20,208.01,199.16,134.66,185.69,697.52,793.10
2005-07-09 22:03:14+00:00,L7,,,,,,,,,,
2005-07-10 21:55:19+00:00,L5,804.48,644.40,,,,,132.38,226.95,222.15,217.01
2005-07-25 22:03:13+00:00,L7,,,154.14,153.60,124.39,139.70,125.37,,,
2005-08-27 21:55:43+00:00,L5,643.38,650.65,185.47,186.16,191.58,212.45,174.09,184.23,694.02,795.36
2005-09-11 22:02:53+00:00,L7,671.10,586.64,,387.50,376.37,,,374.16,402.93,550.71
2005-09-20 21:56:42+00:00,L7,647.83,656.98,197.66,183.00,211.95,209.95,185.18,209.52,668.23,771.53
2005-10-05 22:01:53+00:00,L5,658.41,670.04,216.08,202.42,199.66,218.65,183.30,194.85,650.86,792.38
2005-10-06 21:56:37+00:00,L7,646.35,662.53,209.66,208.57,200.74,215.07,184.23,204.80,657.82,768.73
