dates,nzd0014-0000,nzd0014-0001,satname
2023-03-01 20:19:07+00:00,371.21,355.26,L7
2023-03-04 22:17:37+00:00,371.28,357.43,L8
2023-03-20 22:17:28+00:00,370.79,360.82,L8
2023-03-28 22:17:33+00:00,371.09,365.60,L9
2023-04-13 22:17:27+00:00,370.82,365.26,L9
2023-05-15 22:17:12+00:00,371.97,365.26,L9
2023-06-16 22:16:54+00:00,372.49,365.10,L9
2023-06-24 22:17:06+00:00,373.21,369.35,L8
2023-07-02 22:17:05+00:00,373.77,369.35,L9
2023-07-26 22:17:23+00:00,375.36,369.90,L8
2023-09-12 22:17:38+00:00,377.39,381.98,L8
2023-09-20 22:17:40+00:00,378.65,391.88,L9
2023-10-14 22:17:45+00:00,379.98,404.72,L8
2023-10-22 22:17:50+00:00,379.99,404.72,L9
2023-11-07 22:17:46+00:00,380.17,404.72,L9
2023-11-15 22:17:47+00:00,378.52,404.72,L8
2024-01-10 22:17:52+00:00,376.52,412.34,L9
2024-02-11 22:17:53+00:00,376.19,412.34,L9
2024-02-19 22:17:39+00:00,376.68,412.34,L8
2024-03-30 22:17:36+00:00,376.91,398.81,L9
2024-04-07 22:17:11+00:00,375.01,384.95,L8
2024-04-15 22:17:28+00:00,375.51,374.93,L9
2024-04-23 22:17:03+00:00,375.49,384.00,L8
2024-05-01 22:17:11+00:00,375.96,381.85,L9
2024-05-09 22:16:51+00:00,374.62,381.85,L8
2024-05-25 22:16:38+00:00,376.43,381.85,L8
2024-07-12 22:17:00+00:00,377.43,381.31,L8
2024-08-13 22:17:14+00:00,376.65,381.31,L8
2024-08-21 22:17:19+00:00,377.03,381.31,L9
2024-08-29 22:17:21+00:00,375.82,381.31,L8
2024-11-01 22:17:31+00:00,376.46,401.52,L8
2024-11-17 22:17:38+00:00,374.73,417.83,L8
2025-01-12 22:17:45+00:00,372.39,435.41,L9
2025-03-09 22:17:26+00:00,370.65,435.41,L8
2025-03-17 22:17:32+00:00,365.74,434.58,L9
2025-04-18 22:17:25+00:00,364.01,428.03,L9
2025-05-04 22:17:17+00:00,361.71,415.64,L9
2025-05-20 22:17:06+00:00,364.69,394.58,L9
2025-06-21 22:17:14+00:00,366.97,394.58,L9
2025-07-23 22:17:27+00:00,367.15,386.04,L9
2025-07-31 22:17:29+00:00,368.28,384.68,L8
2025-08-08 22:17:36+00:00,369.71,382.10,L9
2025-10-19 22:17:50+00:00,375.39,366.22,L8
2025-11-28 22:17:57+00:00,376.91,366.73,L9
