dates,nzd0268-0000,nzd0268-0001,nzd0268-0002,nzd0268-0003,nzd0268-0004,nzd0268-0005,nzd0268-0006,nzd0268-0007,nzd0268-0008,nzd0268-0009,nzd0268-0010,nzd0268-0011,nzd0268-0012,nzd0268-0013,nzd0268-0014,nzd0268-0015,nzd0268-0016,nzd0268-0017,nzd0268-0018,nzd0268-0019,nzd0268-0020,nzd0268-0021,nzd0268-0022,nzd0268-0023,nzd0268-0024,nzd0268-0025,nzd0268-0026,nzd0268-0027,nzd0268-0028,nzd0268-0029,nzd0268-0030,nzd0268-0031,nzd0268-0032,nzd0268-0033,nzd0268-0034,nzd0268-0035,nzd0268-0036,nzd0268-0037,nzd0268-0038,nzd0268-0039,nzd0268-0040,nzd0268-0041,nzd0268-0042,nzd0268-0043,nzd0268-0044,nzd0268-0045,satname
2004-05-30 21:43:12+00:00,131.93,,127.98,,,130.54,163.50,368.11,351.82,356.92,338.25,372.03,373.69,374.09,353.46,335.17,344.67,,,,353.91,352.13,358.39,,,,,,,,,,,,,,,,,,,362.10,356.16,,,,L7
2004-06-15 21:43:05+00:00,146.55,,,,,126.96,147.21,,,,,,,,,,,,,,,361.21,375.42,375.10,352.56,380.72,,,361.46,372.86,374.15,345.86,347.74,,363.18,367.81,368.89,363.09,361.49,,362.41,369.05,364.86,346.36,336.98,347.37,L7
2004-06-23 21:35:46+00:00,,,,,163.70,166.74,173.48,,,,,,,367.60,362.03,356.20,,356.56,351.94,354.42,354.80,348.21,349.86,352.97,349.50,360.96,352.17,351.54,343.64,364.44,358.07,344.42,345.02,367.77,367.66,363.88,369.77,368.81,361.68,358.73,350.78,359.04,361.13,342.18,335.45,347.51,L5
2004-07-25 21:36:37+00:00,,,,,150.54,157.36,168.95,,372.58,374.48,366.11,378.89,377.60,376.33,369.89,359.25,357.17,365.61,357.65,363.32,365.52,366.89,366.58,370.04,353.22,360.25,364.06,372.11,366.10,381.24,364.82,340.45,352.44,371.34,370.89,365.90,356.10,355.98,356.63,354.98,343.79,353.57,360.65,344.28,341.40,357.44,L5
2004-08-02 21:42:52+00:00,161.12,,113.23,,151.52,,168.77,,354.04,364.19,359.24,370.68,376.19,367.18,358.82,352.54,352.98,364.60,356.39,360.90,362.00,365.39,361.58,363.60,354.44,356.03,355.63,365.48,359.50,371.91,367.58,346.58,343.52,367.84,363.47,360.25,359.20,360.84,359.48,354.69,348.74,353.80,355.71,343.12,334.89,351.49,L7
2004-08-10 21:36:56+00:00,157.31,,97.24,,125.73,155.20,161.35,346.82,378.87,384.13,372.67,376.16,383.26,381.61,362.95,353.63,358.30,374.68,355.78,362.45,355.36,354.24,349.36,351.72,346.17,347.78,349.02,354.43,347.81,351.68,355.99,350.96,353.12,368.14,364.71,365.48,360.20,354.70,361.82,348.33,336.69,348.09,348.09,333.81,331.96,346.67,L5
2004-09-03 21:42:47+00:00,205.69,,126.62,,404.85,384.46,372.65,380.00,365.48,369.38,362.64,365.99,376.32,368.55,361.77,365.42,355.61,355.77,338.45,338.15,342.28,339.34,340.54,343.83,345.62,355.73,352.42,347.92,,,357.50,337.95,336.54,365.26,362.27,361.42,361.73,358.55,360.30,363.27,355.94,349.89,348.55,345.35,339.83,,L7
2004-09-19 21:42:41+00:00,,,340.61,368.80,408.10,387.53,378.18,,,,,,,,,,345.28,346.44,338.02,339.97,343.69,341.04,345.11,346.60,343.84,355.03,346.64,342.47,337.39,360.23,359.26,339.66,339.16,363.05,,,360.44,357.07,358.17,357.67,346.78,345.76,344.87,341.15,338.06,349.34,L7
2004-10-13 21:38:32+00:00,346.35,354.74,360.33,377.74,371.77,383.02,394.77,398.15,387.41,380.82,370.71,377.50,374.05,372.71,369.50,352.49,345.50,351.18,342.67,337.58,346.88,360.91,357.88,358.11,362.49,373.32,351.52,351.27,347.92,375.56,362.45,337.97,327.43,347.39,351.37,361.17,370.22,370.15,363.77,355.76,348.86,349.27,352.66,351.14,342.68,347.11,L5
2004-11-06 21:42:59+00:00,350.04,365.80,367.59,376.29,380.85,384.53,385.61,400.30,392.07,384.10,369.68,380.53,378.00,380.62,370.55,352.37,338.85,343.80,338.61,346.13,352.35,357.93,352.69,351.98,349.30,363.50,347.21,,,,384.33,356.56,338.36,355.17,358.71,366.32,370.14,372.73,370.24,368.77,350.99,350.43,356.74,348.43,339.55,,L7
