,dates,usa_CA_0236-0000,usa_CA_0236-0001,usa_CA_0236-0002
47,1990-04-24 18:12:05+00:00,272.40055047683177,207.83134318373527,199.14356565936123
48,1990-06-11 18:12:02+00:00,310.7707291672202,216.17235669615275,260.5719242150288
49,1990-06-27 18:12:01+00:00,348.36700052096785,219.99200455945592,267.94090369580385
50,1990-09-15 18:11:42+00:00,314.9197894896115,213.49980617608986,258.27133151154374
51,1990-10-17 18:11:24+00:00,279.1556105849145,215.41566384291923,219.78704530496162
52,1991-04-11 18:13:42+00:00,307.50549328074896,216.51674683510367,218.55533901131653
53,1991-04-27 18:13:58+00:00,289.94434829355055,217.96247762612876,209.18326655031026
54,1991-06-14 18:14:39+00:00,311.2975685767587,214.66234287293292,219.9841703948945
55,1991-06-30 18:15:00+00:00,322.61909311905816,220.04819772243027,221.1056690796284
56,1991-09-02 18:15:37+00:00,322.6854856078845,221.11793926603855,
57,1991-10-20 18:16:00+00:00,257.5129560621761,203.4599079576409,201.53585378938982
58,1992-03-21 18:09:51+00:00,,,
59,1992-03-28 18:15:56+00:00,275.72666650450026,205.21974546617585,233.8288935037538
60,1992-06-16 18:15:11+00:00,313.2126434156121,222.8905446314732,250.500123505852
61,1992-09-04 18:14:07+00:00,323.56239216627273,215.4258641952465,219.33691965878106
62,1992-10-06 18:13:26+00:00,291.03317936358235,215.1903041454842,224.77048647486902
63,1992-10-22 18:13:17+00:00,,201.53883590272056,199.3987935274148
64,1992-11-16 18:07:05+00:00,,,
65,1992-12-25 18:13:16+00:00,,,
66,1993-01-10 18:13:26+00:00,,207.3647374624913,211.26420986067563
67,1993-01-26 18:13:36+00:00,,217.37096425737042,258.4904997562455
68,1993-02-27 18:13:52+00:00,275.8810830186401,215.81280793354514,257.5505612841384
69,1993-09-23 18:14:08+00:00,308.77408928724316,220.6269398931621,224.28692504481376
70,1993-10-25 18:13:59+00:00,258.3345214016352,200.9308764405659,207.1344053882314
71,1993-11-26 18:13:46+00:00,258.86192292489585,215.73363222934728,218.675327528144
72,1994-01-29 18:13:05+00:00,221.469173762504,206.53743878372677,207.10932003346232
73,1994-02-14 18:12:54+00:00,215.5997218966312,208.1707562045105,210.09490481989
74,1994-03-02 18:12:40+00:00,247.26551278941704,209.88326781100042,222.219067576874
75,1994-04-03 18:12:09+00:00,279.6668912994267,229.84532733113656,259.8233820556981
76,1994-04-19 18:11:51+00:00,278.48190201504633,206.00253346856275,251.2178895544024
77,1994-05-21 18:11:15+00:00,325.2467045090822,213.108845210604,218.24603768995854
