dates,nzd0489-0000,nzd0489-0001,nzd0489-0002,nzd0489-0003,nzd0489-0004,nzd0489-0005,nzd0489-0006,nzd0489-0007,nzd0489-0008,nzd0489-0009,nzd0489-0010,nzd0489-0011,nzd0489-0012,nzd0489-0013,nzd0489-0014,nzd0489-0015,nzd0489-0016,nzd0489-0017,nzd0489-0018,nzd0489-0019,nzd0489-0020,nzd0489-0021,nzd0489-0022,nzd0489-0023,nzd0489-0024,nzd0489-0025,nzd0489-0026,nzd0489-0027,nzd0489-0028,nzd0489-0029,nzd0489-0030,nzd0489-0031,nzd0489-0032,nzd0489-0033,nzd0489-0034,nzd0489-0035,nzd0489-0036,nzd0489-0037,nzd0489-0038,nzd0489-0039,nzd0489-0040,nzd0489-0041,nzd0489-0042,nzd0489-0043,nzd0489-0044,nzd0489-0045,nzd0489-0046,nzd0489-0047,nzd0489-0048,nzd0489-0049,nzd0489-0050,nzd0489-0051,nzd0489-0052,nzd0489-0053,nzd0489-0054,nzd0489-0055,nzd0489-0056,nzd0489-0057,nzd0489-0058,nzd0489-0059,nzd0489-0060,nzd0489-0061,nzd0489-0062,nzd0489-0063,nzd0489-0064,nzd0489-0065,nzd0489-0066,nzd0489-0067,nzd0489-0068,nzd0489-0069,nzd0489-0070,nzd0489-0071,nzd0489-0072,nzd0489-0073,nzd0489-0074,nzd0489-0075,nzd0489-0076,nzd0489-0077,nzd0489-0078,nzd0489-0079,nzd0489-0080,nzd0489-0081,nzd0489-0082,nzd0489-0083,nzd0489-0084,nzd0489-0085,nzd0489-0086,satname
2002-05-30 22:03:13+00:00,,296.09,312.59,331.49,331.46,337.89,334.61,323.23,323.24,336.21,339.27,334.77,323.76,321.29,330.24,335.84,342.65,355.73,362.21,351.74,341.71,337.55,336.19,336.18,336.68,332.49,326.15,321.42,329.19,340.47,345.02,331.10,332.98,343.16,332.68,325.30,324.35,329.40,325.36,328.04,332.76,328.84,333.47,342.10,340.48,313.00,312.24,334.83,,,322.32,319.44,330.06,348.83,349.14,364.57,358.02,372.63,381.93,375.21,362.64,365.97,367.66,367.34,369.51,369.55,364.95,366.60,363.34,358.74,355.96,354.25,353.80,357.03,356.82,349.50,352.44,355.47,356.44,366.11,355.50,351.65,357.81,352.27,354.20,350.89,346.89,L7
2002-06-15 22:03:07+00:00,,306.13,320.25,329.53,328.91,333.75,327.23,325.02,327.54,341.89,347.74,340.66,318.34,,,,,,353.86,346.29,336.04,335.36,346.19,335.74,324.71,319.81,317.95,319.01,332.52,338.77,341.66,331.49,323.70,340.29,335.42,321.79,326.62,330.10,322.33,318.61,325.71,324.24,337.65,345.54,345.87,325.94,318.48,335.78,,,319.07,310.77,329.88,352.57,353.92,367.58,361.78,375.00,377.90,372.14,360.32,366.44,376.32,369.30,372.66,372.17,367.81,362.28,357.81,357.47,356.91,359.81,359.95,360.76,355.86,356.43,356.84,358.44,359.93,363.58,361.37,351.13,357.59,357.74,359.87,,356.47,L7
2002-08-18 22:02:45+00:00,326.26,308.39,321.89,330.58,332.71,337.84,335.19,329.24,324.89,332.18,330.90,325.07,323.97,319.27,332.51,336.28,335.27,342.96,341.12,339.53,338.56,340.10,340.66,336.87,334.83,335.24,322.14,323.95,330.17,333.17,338.18,326.20,320.58,334.39,323.71,315.95,309.04,321.07,311.68,314.43,321.93,320.48,330.02,340.04,335.10,332.73,317.45,329.76,328.25,,323.04,303.21,318.78,339.69,346.12,354.48,350.01,350.06,352.96,355.00,358.40,359.59,359.26,351.75,359.93,359.71,367.29,352.09,351.87,347.74,342.52,349.05,342.46,349.39,343.96,344.26,346.11,352.57,354.19,352.62,357.45,351.00,352.84,347.37,354.92,353.15,343.00,L7
2002-11-22 22:02:45+00:00,347.14,337.03,335.29,337.10,334.58,341.08,338.04,331.79,331.77,335.08,340.69,337.90,333.60,333.00,328.39,338.34,340.18,347.62,345.64,342.88,341.55,340.41,342.16,333.04,328.82,325.51,324.00,328.58,329.58,346.06,350.70,330.29,333.65,334.79,326.38,320.58,323.68,326.61,315.96,324.35,323.90,318.95,335.91,340.34,339.62,329.64,322.16,342.56,338.20,332.57,321.75,310.08,332.67,349.89,347.41,359.39,349.40,354.95,363.47,368.16,364.94,362.10,358.78,361.13,377.36,370.17,366.04,361.46,355.10,352.95,349.72,352.08,361.97,353.40,351.46,345.89,342.03,345.52,344.84,350.54,351.07,334.29,347.50,336.28,338.66,341.61,330.46,L7
2002-12-24 22:02:57+00:00,332.02,334.84,339.48,340.61,336.17,344.25,341.42,335.13,332.66,338.02,339.03,334.87,330.55,331.71,329.83,334.63,338.27,345.77,348.15,348.71,341.78,341.56,340.31,331.97,334.81,334.67,328.36,334.15,335.72,343.51,343.91,329.85,332.40,331.31,326.03,321.28,323.78,327.98,320.19,324.25,327.95,323.47,327.32,343.81,341.02,335.74,325.70,340.32,332.21,330.56,317.35,314.25,323.42,348.23,350.35,356.31,353.64,355.91,366.61,369.48,361.66,362.14,361.68,357.23,358.75,,,,,,,,,,,,,,,,,,,,,,,L7
2003-02-26 22:03:16+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354.40,354.83,362.51,356.99,349.93,356.88,354.66,353.30,353.63,353.32,355.17,356.98,356.77,348.69,349.00,343.48,352.80,352.09,344.10,L7
2003-08-05 22:02:59+00:00,,,,,,,,,,,,,,,340.90,342.16,,,,337.79,332.69,330.59,326.53,,,,,,340.76,348.70,350.47,333.90,307.46,,,,333.59,337.72,333.98,331.86,334.38,338.16,343.54,360.63,359.88,352.62,340.87,357.86,,,,333.61,344.33,361.19,368.94,371.50,373.14,370.25,382.72,387.86,382.99,382.99,386.16,387.69,,,378.05,367.95,376.72,369.71,372.83,374.04,364.44,370.93,369.45,366.21,370.59,366.28,,,372.50,367.41,371.90,368.99,370.75,374.67,367.16,L7
2003-08-13 21:51:08+00:00,,355.68,354.02,360.86,353.17,358.84,357.18,345.08,350.33,353.24,353.92,345.91,342.20,325.78,334.81,339.88,341.24,350.26,352.85,349.28,345.14,345.93,346.43,335.74,337.29,334.66,331.54,333.29,340.16,340.87,344.21,329.64,332.82,335.76,327.23,318.57,324.45,329.40,312.78,323.18,328.32,331.08,352.13,353.45,363.16,353.83,328.54,345.31,359.05,353.53,325.56,303.10,333.12,353.49,361.07,377.85,365.05,375.32,381.68,374.59,362.09,367.91,376.27,371.76,377.98,378.10,379.38,375.71,374.02,370.25,371.44,367.31,376.59,383.13,374.07,393.36,385.18,361.14,358.50,369.18,360.18,356.43,359.47,363.62,351.48,363.07,355.76,L5
2003-10-16 21:52:31+00:00,344.31,345.20,350.84,355.79,356.79,363.15,358.04,351.46,346.07,345.99,349.10,346.36,338.27,336.05,332.10,337.13,341.61,352.53,357.47,348.49,346.41,351.68,352.04,343.17,345.75,353.40,345.77,349.39,353.20,347.92,352.82,342.32,341.46,344.93,332.69,329.01,340.40,352.49,345.40,343.21,346.68,343.58,359.22,366.03,359.73,351.29,334.22,353.29,344.32,342.30,333.53,322.00,342.15,367.46,367.35,376.69,375.23,379.88,391.66,393.50,384.99,380.00,386.77,385.57,387.15,383.31,384.84,393.01,398.33,394.25,387.43,397.31,390.53,394.58,381.33,373.95,369.00,365.35,363.64,354.44,358.11,,,,,,,L5
2003-11-17 21:52:57+00:00,341.78,334.54,341.14,346.99,347.67,354.10,347.25,348.39,341.24,346.74,348.81,342.58,334.10,335.68,341.80,343.70,338.68,343.83,344.87,341.38,333.68,340.43,342.91,337.82,339.84,354.90,344.69,351.48,353.16,358.11,364.01,350.68,347.33,337.86,332.63,324.80,332.07,335.81,335.98,330.51,337.66,345.63,353.16,365.46,369.22,361.14,345.52,359.31,337.49,333.08,325.66,315.42,329.16,357.96,357.67,372.85,379.35,380.97,388.43,398.84,394.59,396.72,392.92,374.20,380.38,387.25,383.66,377.77,378.61,372.75,389.64,396.82,390.11,399.55,397.65,391.23,381.39,363.03,369.94,365.56,374.51,359.71,361.87,356.13,380.60,379.25,373.89,L5
