,dates,mex0149-0000,mex0149-0001,mex0149-0002,mex0149-0003,mex0149-0004,mex0149-0005,mex0149-0006,mex0149-0007,mex0149-0008,mex0149-0009,mex0149-0010,mex0149-0011,mex0149-0012,mex0149-0013,mex0149-0014,mex0149-0015,mex0149-0016,mex0149-0017,mex0149-0018,mex0149-0019,mex0149-0020,mex0149-0021,mex0149-0022,mex0149-0023,mex0149-0024
307,2014-05-14 17:06:08+00:00,207.73593375963657,221.173588402703,223.373976909014,229.49307605596408,224.40893455610802,218.68808939897008,222.81949893609516,219.79975952810452,217.33389416492196,222.3095038047769,222.5747817067329,219.64860361436342,219.44220246759505,221.74995782724966,222.63967930835037,219.26288018040168,224.90306004162562,225.6803976318738,228.77499308969368,226.79019080060556,229.4103457175871,234.62901143600354,221.8204535694751,224.2791221412126,227.0434958640475
308,2014-05-22 17:03:56+00:00,211.21428860546564,207.1254472193998,220.83241251007468,216.98484242866215,225.2950193554431,210.30161540356838,221.69294024801454,211.22624068477862,211.1378021659251,220.32095643529078,217.95501895171665,214.14584861213575,,,,,236.04226758223163,229.3209069907379,233.80636593680003,222.61914986940386,227.2232578484162,227.35491305932885,222.80654825789594,215.77903962843698,229.96764535440371
309,2014-06-15 17:06:17+00:00,224.68101828503114,207.41519584954142,220.1771831274749,224.92994453797127,226.63268415512547,217.70972052281743,217.89402326193644,215.5364263412336,219.71383305775964,218.00875337545537,227.29725191680953,224.06613257736558,229.68442592277106,236.26521131631503,232.32214282523523,229.93375142285672,222.14613199534972,232.46090377134522,234.69978847156014,232.08598133853792,235.87862227352332,223.85519968055226,228.2049161638209,228.36769559918878,236.33339204047167
310,2014-07-09 17:04:06+00:00,210.91208824173123,209.07448790296945,214.09123299073332,218.74767618459543,221.37339932236245,218.4902636794604,213.86013912826098,218.23750686436483,215.02414439982195,217.0081660827936,218.44461669142436,218.92464121980822,216.61739279244523,,,,,220.18049466232208,222.5373439623761,224.0075455349782,227.4675174112143,225.00585180850095,223.50961979683575,224.60084320500496,220.84282428079786
311,2014-08-02 17:06:34+00:00,207.3476135403182,207.02748271182048,215.44102693774983,219.0698757753172,222.97648437914404,217.00632044857804,211.6725590946612,211.44862094010824,206.23436261055068,214.68800413421175,219.0254237133397,217.01369895510118,221.22654820358161,223.82457140866074,227.1677365709129,230.0670975298755,222.22221790131837,231.16280283642726,230.22865960251602,224.35487779379386,227.33102335278147,233.0862775591144,225.67927230585485,226.27147170542847,233.67124324590947
312,2014-08-10 17:04:14+00:00,211.72654502887673,211.6646176508304,219.05074048397577,226.9219271664727,224.49563972243612,221.5074216664951,220.54248138045875,211.4216551238162,209.68561039318575,221.73801198547847,219.60154367433358,225.20970035501682,221.81757769407324,,,,,227.41524052339784,234.3424453654982,220.57749637683384,230.59692589411466,233.1205877246117,234.95751954616227,234.3407047514156,238.0458146578765
313,2014-08-26 17:04:11+00:00,200.2512171178107,199.8263322510304,208.8163059402143,217.3583159963057,206.10816842613298,205.9665886851613,213.69657620310082,206.22499871645834,194.84906252070664,202.03468404681115,213.67702705361665,223.21006286152289,217.83425653533436,212.79550202339237,222.20570559105892,213.2415786701723,212.42019106252334,219.40539064377606,224.6093299861449,,,,,,
314,2014-09-11 17:04:12+00:00,199.3336337301965,205.0629452272134,209.3897095934659,211.2551145641163,,,,,204.32947683866917,205.81365365141653,214.13788667057827,216.40914543475805,221.34301735559964,214.93142207677727,220.20379377951753,226.56442020034658,218.9545063240833,213.47510300188,226.09087035628028,232.0159936771429,227.2159720612951,225.30262742584011,230.1831937161744,227.15325318238007,222.96751975633862
315,2014-09-19 17:06:42+00:00,204.636795994908,201.24612012615515,202.30035445493536,210.39254358421232,213.7638912982435,197.8531911504521,193.8600698223168,203.09471497015352,202.25749831722504,205.00509363520976,206.50155042251086,207.95726742585688,206.61916408154443,203.01059758772857,211.36471286494367,206.56577048091964,202.73537983999532,214.97266545108377,214.12038546923287,213.20939253286454,213.5564348686922,209.26523749786566,208.41919858869042,206.253198516044,204.39774398152986
316,2014-10-05 17:06:46+00:00,200.30221430983443,203.8077985712817,206.18902720054413,217.37492970437427,209.19348153555273,201.91243733493246,201.18865949134607,204.56968957745,203.11200801800592,205.23936752353438,211.15331057815447,210.93254980013523,209.35623493769364,213.30785868992194,222.28703246287589,215.94400899644228,218.48627040081521,218.41648871766753,221.165106062865,217.14191070033723,214.98840488394052,215.73253665070916,210.67689936409477,213.52362048041186,226.06820263224182
317,2014-10-13 17:04:33+00:00,209.29027899953817,210.04901610299942,223.96447004350878,228.8206681578563,218.61642674409433,209.40205892787827,210.94937242229284,217.56439938472278,216.98608038285136,,,,,221.6586757350782,228.20775587178804,225.245076176756,224.12480244900064,227.92725539005585,229.97976949815603,232.20767736849064,227.29567949532742,237.5357847514498,223.0914792927606,221.59154926784777,235.2439470138509
318,2014-10-29 17:04:42+00:00,217.6481039250375,219.86913840115278,224.82247845649187,234.03736905508907,223.63000729146074,215.99681471244566,218.9712502228814,224.56264659025783,227.6733774759648,219.49951693333816,229.16729940743443,234.34588618609615,222.4291457460455,226.54338436326105,242.50055124954548,,,,,239.3501661079187,237.74636612931954,243.9131657598487,241.39187375011704,234.79011395679834,240.65472461419535
319,2014-11-06 17:06:48+00:00,219.9108196028081,216.23940414094264,227.27092591840835,240.18280113866322,229.96306286026396,211.73766089821572,227.0415619346022,219.53050828598316,228.903247383096,226.38775019162074,228.4115216484846,243.04087507112877,222.61793166363458,236.32867932748408,245.92466885443676,235.71376797860614,231.72425628351488,244.1167944122341,243.50819041830107,242.46635653353138,232.71485117116606,249.13571289513902,241.71713911015198,235.7235037158417,244.65339633110176
