,dates,nzd0266-0000,nzd0266-0001,nzd0266-0002,nzd0266-0003,nzd0266-0004,nzd0266-0005,nzd0266-0006,nzd0266-0007,nzd0266-0008,nzd0266-0009,nzd0266-0010,nzd0266-0011,nzd0266-0012,nzd0266-0013,nzd0266-0014,nzd0266-0015,nzd0266-0016,nzd0266-0017,nzd0266-0018,nzd0266-0019,nzd0266-0020,nzd0266-0021,nzd0266-0022,nzd0266-0023,nzd0266-0024,nzd0266-0025,nzd0266-0026,nzd0266-0027,nzd0266-0028,nzd0266-0029,nzd0266-0030
162,2016-03-26 22:08:35+00:00,158.3838326743253,162.01955983434954,163.80548306803183,163.01372184096934,180.01319281016978,185.23448858194106,175.21155572491705,,,,192.53875947790414,196.68029370615713,178.7787937932881,163.79265171544657,,169.395880084317,192.15337097431998,176.57673788296194,,,,182.6492940860213,181.1076644219013,183.18497715885889,193.42061729761565,188.8780604583142,187.13921688583736,189.68604962770632,,175.25349924487088,179.03165778303776
163,2016-04-03 22:06:04+00:00,164.16310248684564,166.98547506661544,163.16723167117033,164.86964863186603,177.42174930161298,188.83336231286012,181.1939106500133,,,186.41687503553385,196.6372125090033,196.7565864492955,,,174.51203276063225,178.63642438012548,186.40915481138606,190.14697769210485,,,192.64498312795715,184.49378842870152,187.29842948308772,188.12156376710587,197.84861437001098,183.73514645145136,182.77387452778163,186.5144618413779,,,179.34596962489118
164,2016-05-13 22:08:49+00:00,,,,,167.9281513514501,181.22674318376042,,,,,169.85346975529583,168.34174902803124,170.80663747060018,,118.49760535837851,130.4518746429965,133.1070620304852,163.97910776063156,,,165.32482270221453,,,,182.1757110315948,172.37090338917926,160.69120582860404,176.4267615859701,,,
165,2016-06-06 22:06:07+00:00,,177.76643873489832,174.8718953923258,,,193.13779181749842,171.6957680024364,180.12076014138506,,178.07365421433423,,189.16889043850455,169.23467703967384,174.96858396262144,,173.4882514743858,170.77753485153158,171.9976213094532,,,189.8019398972063,185.4327659773219,187.46547258331938,195.46649811383517,,184.9135965941322,184.44893623761467,200.0704338812139,,,
166,2016-06-30 22:08:59+00:00,,,,176.86536211978918,165.4419881864678,,,,,,,183.09202994957755,,,,121.55155096146672,128.3071250138997,,,,,,,,,,146.8755890010794,,,,
167,2016-08-01 22:09:02+00:00,,163.44394774023039,152.6156099787873,,164.2448017094675,176.61328120453692,163.52181249834666,,,,,180.7440676564908,144.69018753574525,135.09683991298536,156.37148685086714,148.42431156786185,158.40363287317354,150.52991371889271,165.4341541121859,170.43213731082363,,,,,,166.42632944542734,166.1597112208654,186.23717264063725,,,
168,2016-08-09 22:06:27+00:00,,,,179.94664626491385,,200.56485437607043,,,211.52629177587312,,,,,,,,,,,200.7778571002698,,,,,,,,,,,
169,2016-08-17 22:09:03+00:00,,,173.26003412228457,,188.52408432956486,194.37888849576666,170.5849926822897,176.571247505926,,180.5004239087345,195.5587964817797,183.7157197056502,,,159.80364999860922,162.67997731917674,172.29940013553784,161.36744875477206,,,182.36499575660096,172.43707871477028,175.9607553788019,189.81075268829866,,,,193.26066967821984,,,
170,2016-09-10 22:06:39+00:00,181.31122012741682,178.80613294774284,170.34013676475533,171.803060939264,203.88050868052773,193.47713833460662,190.6701066869275,,194.1330352898054,197.9427364510609,198.6075146815558,189.50176188197312,,,,,,,,202.82799758331794,,,,,,,,,,,
171,2016-10-12 22:06:45+00:00,161.81217442895712,159.81184507345685,,160.3248040286745,174.33176466750695,174.93167238732386,162.11688616728298,170.20613256317066,,,180.41985329977066,160.90794029459576,148.4425294212894,125.59997586422276,,141.35654101268665,156.56698351437112,155.93589238544348,162.56677895395006,,162.88798794162628,162.8234581526313,171.68188744155856,,,170.08959224479483,175.4636445315621,182.0106953171978,,,170.9523383688599
