,dates,usa_HI_0057-0000,usa_HI_0057-0001,usa_HI_0057-0002,usa_HI_0057-0003,usa_HI_0057-0004,usa_HI_0057-0005,usa_HI_0057-0006,usa_HI_0057-0007,usa_HI_0057-0008,usa_HI_0057-0009,usa_HI_0057-0010,usa_HI_0057-0011,usa_HI_0057-0012,usa_HI_0057-0013
27,2001-01-11 20:56:29+00:00,150.38711185196254,,199.64485528027922,199.79346098562223,,127.89070928057006,193.49880832686245,185.80116521478786,,132.32788230025946,,,237.55490051811478,209.88222968644445
28,2001-01-27 20:56:32+00:00,153.21653732783017,,205.61081466683322,185.04480906028337,,133.10565035424332,182.79979379956927,185.48261505104267,,132.38483405315546,128.694830458595,,219.84798254174237,212.5897228799161
29,2001-02-28 20:56:44+00:00,202.98219268168725,,194.42304042082225,189.1401772017254,177.00626873365363,,172.6569476476393,173.13654097214757,176.2965971390415,140.12433649759183,,,,
30,2001-03-25 20:50:25+00:00,233.12761722007565,215.64103140425675,205.56367975114927,200.52640738304444,210.45913299585678,184.80329811409317,188.52757006389714,187.50020768146027,186.89119657943212,166.61708154103886,191.1711830807678,,168.56634704909482,183.08384293522175
31,2001-06-13 20:49:50+00:00,206.77149388930667,197.42627665002055,200.4162962050492,203.6714583165719,208.98163754884115,200.2082558510243,,,,,,,,
32,2001-07-15 20:49:35+00:00,203.41434515775595,192.36005820897103,198.24909253579258,204.14601738228703,213.88067424782594,209.35349390586725,207.1952562597249,217.70351400235762,230.07878333701728,243.4632323809587,252.85614462111056,228.72056450243545,191.20286600294992,198.78777974323455
33,2001-07-31 20:49:23+00:00,177.55646637487445,176.45638928604978,175.60678176125546,188.9499937338704,188.55902954432565,178.57006379174797,187.68212597888476,202.09792888680127,215.2408303839581,227.25649620614922,239.21148165097335,210.5894439240159,181.4509812498021,180.77825509287604
34,2001-08-07 20:55:25+00:00,,,,167.27192077133,160.48540685934145,,195.58690107936008,204.31351915896494,216.26089036972456,230.4570201847592,244.0261906790448,219.0294904820397,186.0935552136069,187.18327340439131
35,2001-08-23 20:55:12+00:00,,,,,,,,198.82612455227292,,237.0715330162119,249.58658558850834,218.13986627878117,184.64257001697342,196.74328885011033
36,2001-09-08 20:55:00+00:00,,,166.99776403856177,185.14829005066642,189.45907415845346,174.3022775587272,190.16755252912554,210.51076857005245,218.67736734273169,234.6630019544689,245.02663565332801,226.23622598609512,204.79918241872696,218.34248006061
37,2001-10-19 20:48:32+00:00,156.2009108369057,,168.51064245503127,172.16449196828907,177.28037116065858,165.42798731386122,181.9255019944251,190.55359629101918,205.57342967673122,,,193.79285735572768,195.9113441425489,224.76080499332977
38,2001-10-26 20:54:43+00:00,137.26917298625622,,178.6815523080357,178.37469111851075,,160.32092900545229,189.02809230225873,197.73466824113174,197.46338057282844,,,200.8364370750516,191.16835233180774,222.5979626602272
39,2001-11-04 20:48:37+00:00,152.09937100481758,,154.02485836956558,161.70249278714743,164.52093109201297,140.58107726159625,169.1367681257403,182.43035068797334,182.39392691393542,143.05077763978574,,169.1832691030212,170.51891615198534,212.5256478102719
40,2001-11-11 20:54:53+00:00,155.76386172586098,,153.2135320242505,164.18707477173382,167.11206878554012,148.11688040081003,174.7460041751804,178.65678592820825,170.27150649863168,141.21298713238946,131.90672344974257,,196.48145596367291,235.41355665888145
41,2001-12-22 20:48:56+00:00,150.8345678216944,,188.09791179711002,186.63787414806927,,138.54929486882983,173.66023558743336,185.84911478730214,,133.5858065505381,127.54673713401763,,187.20291972109374,202.43409645756532
42,2002-01-07 20:48:58+00:00,150.36857474736092,,,,,158.31212228537234,124.4408893509457,,,138.6493395371798,128.26790676992331,155.85704996706778,153.30186028183346,
43,2002-01-14 20:54:47+00:00,153.6946582837759,,190.15048138203372,179.35271858181733,142.64317555569403,151.0662747247997,115.70888296443442,,,142.1598804518002,133.76200692157317,,193.58721923534497,183.15316590048724
44,2002-03-12 20:49:08+00:00,163.65354368797284,163.14417804001317,176.2977311018019,180.2084282609843,183.2980049461421,170.72052960995592,153.4969310866226,171.03517678457115,163.50185755241887,148.42621109433296,142.37398701872002,171.75162808796125,178.74783000648273,203.44737300289725
45,2002-03-28 20:49:03+00:00,166.6641971477373,187.06977576201845,188.025072146296,191.1231478218589,191.971712941639,175.6047040275002,190.12190071877046,190.83611104485215,191.4127420775598,190.28169116957042,188.44204336705135,186.84723967388675,184.06322805320121,197.2435081921866
46,2002-04-13 20:49:02+00:00,201.02100704236182,191.7833399347927,187.3395942136156,198.2518604210548,192.7280902605332,199.20709916012214,200.07701774176408,190.21188503689788,180.21335842390886,167.38376823016105,193.99400073293816,205.66695944133616,216.0992792181566,214.95426856918198
