dates,nzd0453-0000,nzd0453-0001,nzd0453-0002,nzd0453-0003,nzd0453-0004,nzd0453-0005,nzd0453-0006,nzd0453-0007,nzd0453-0008,nzd0453-0009,nzd0453-0010,nzd0453-0011,nzd0453-0012,nzd0453-0013,nzd0453-0014,nzd0453-0015,nzd0453-0016,nzd0453-0017,nzd0453-0018,nzd0453-0019,nzd0453-0020,nzd0453-0021,nzd0453-0022,nzd0453-0023,nzd0453-0024,nzd0453-0025,nzd0453-0026,nzd0453-0027,satname
2005-02-21 22:13:15+00:00,391.74,370.47,362.08,357.06,355.94,346.36,339.51,336.17,328.00,318.44,322.04,344.65,339.88,334.09,323.38,337.13,347.13,361.33,356.34,340.26,345.14,351.68,334.61,312.03,317.45,277.29,259.13,289.50,L5
2005-04-10 22:13:40+00:00,363.06,357.09,350.82,331.53,327.91,333.09,339.06,329.51,,,,,,,,,,,,,,,,,,,,,L5
2005-04-26 22:13:44+00:00,,,,,,,,,,,,,,,,333.23,339.69,342.52,338.03,336.57,344.27,347.11,336.61,317.90,,,252.30,265.19,L5
2005-05-04 22:16:10+00:00,366.81,356.25,345.82,342.98,339.66,338.36,332.77,336.02,334.94,339.30,347.73,345.33,327.00,317.02,326.19,358.71,360.28,358.23,357.20,332.42,347.42,344.61,340.15,315.42,,,244.40,276.07,L7
2005-06-05 22:16:05+00:00,382.35,361.74,340.50,335.65,341.35,333.86,329.13,346.97,349.73,341.32,336.70,318.59,330.23,349.71,364.21,358.35,353.39,339.35,336.31,334.36,357.01,360.64,330.21,,,217.93,223.05,264.89,L7
2005-06-21 22:15:59+00:00,396.53,397.48,351.25,342.71,342.66,335.19,327.69,340.62,346.10,,332.74,327.07,330.18,350.63,356.95,365.25,344.75,326.33,328.28,331.83,,354.68,,,,203.84,231.05,263.95,L7
2005-06-29 22:14:10+00:00,383.26,371.90,344.98,321.89,336.20,332.98,318.44,328.88,344.24,347.71,331.65,315.68,338.39,351.90,356.24,345.05,316.53,315.69,317.87,339.70,,331.99,,,,217.87,229.64,263.20,L5
2005-08-16 22:14:36+00:00,,,,,,,,,,,,,,,351.63,349.04,346.36,347.12,349.74,356.11,368.43,338.00,312.45,313.61,316.27,235.75,247.89,276.63,L5
2005-08-24 22:15:50+00:00,373.98,385.58,378.78,365.95,359.51,346.07,358.05,355.29,341.55,318.19,,,,,330.85,330.79,330.56,330.00,337.85,356.63,340.04,324.52,299.86,297.01,,206.55,236.42,258.40,L7
2005-09-17 22:14:42+00:00,387.90,381.02,378.88,366.80,359.35,370.08,370.50,351.02,332.76,323.00,312.88,336.10,343.06,350.65,340.22,347.25,347.52,357.54,371.59,365.71,352.37,331.19,332.08,346.43,345.21,226.72,264.26,288.47,L5
2005-09-25 22:15:38+00:00,377.12,375.05,373.10,362.07,376.94,383.60,373.50,346.07,319.31,305.65,316.70,347.76,362.97,363.01,361.64,362.45,368.04,362.14,358.28,366.08,339.96,322.39,322.88,334.95,332.39,316.99,251.55,286.96,L7
2005-11-28 22:16:08+00:00,378.93,359.31,359.23,365.34,362.27,354.49,333.40,321.25,305.13,318.35,327.37,338.89,338.53,342.50,337.01,339.00,350.00,363.32,369.29,358.65,364.72,365.86,322.41,306.60,305.04,316.79,,304.37,L7
2005-12-30 22:16:19+00:00,385.64,358.77,358.75,361.36,364.03,360.15,349.70,340.37,318.58,313.89,315.99,326.65,326.87,328.73,324.28,342.77,348.41,355.93,356.58,343.23,358.55,351.44,339.19,310.24,299.33,295.98,,300.40,L7
2006-01-31 22:16:34+00:00,386.42,363.20,341.60,334.13,332.08,326.79,322.29,318.13,319.04,310.28,307.71,311.08,313.25,313.76,323.47,326.60,334.52,329.81,329.29,337.31,345.97,342.99,315.15,306.15,300.39,291.15,254.71,275.08,L7
2006-02-08 22:16:57+00:00,386.37,359.91,339.85,323.91,327.53,327.06,324.75,326.11,323.31,313.65,313.00,316.51,314.56,319.28,318.96,330.21,334.20,332.66,,,,,311.92,289.85,281.44,,,,L5
2006-02-16 22:16:38+00:00,400.55,383.88,361.18,344.91,337.49,346.26,338.75,328.59,324.52,320.58,319.73,322.94,332.87,328.09,331.38,342.48,347.72,350.08,343.65,348.68,365.60,355.68,335.56,312.38,305.98,307.16,258.86,291.66,L7
2006-03-04 22:16:40+00:00,374.13,371.12,365.21,364.56,350.51,336.39,337.11,331.95,326.91,326.55,324.70,321.67,324.49,320.79,330.21,335.29,341.81,353.78,360.24,365.04,357.83,348.59,325.21,312.45,305.85,304.94,252.64,279.72,L7
2006-03-20 22:16:39+00:00,376.08,369.89,365.80,350.68,352.99,344.76,345.22,344.60,337.81,322.92,315.63,317.62,329.53,334.08,345.11,346.43,341.08,356.68,361.94,351.39,356.42,351.42,351.17,326.67,302.76,,244.98,275.66,L7
2006-04-13 22:18:14+00:00,378.23,356.85,338.83,329.20,333.23,339.35,337.06,324.95,321.57,318.89,315.98,315.70,311.33,315.72,303.11,323.44,339.60,329.09,328.04,330.60,349.56,344.16,332.29,312.85,,,244.86,277.19,L5
2006-05-15 22:18:42+00:00,359.94,,,,,,,,,,,,,,,,,,,,,,,,313.35,,,,L5
2006-05-23 22:16:38+00:00,383.43,370.20,356.13,352.55,350.39,348.49,346.46,334.90,318.25,312.79,306.10,323.24,338.97,349.95,341.94,336.80,328.91,329.43,332.36,334.91,351.01,349.26,320.41,,,,230.22,263.54,L7
2006-06-08 22:16:35+00:00,,,,,,,,,,,,,305.50,,,,,,,,,,,,,,,,L7
2006-06-16 22:19:10+00:00,386.02,360.16,354.07,352.22,344.02,355.76,353.96,318.48,309.70,303.82,323.25,340.23,339.79,333.24,336.78,327.30,322.24,308.48,308.20,324.72,,323.01,,,,,224.41,,L5
2006-07-26 22:16:15+00:00,,,,,,,,,,,358.73,,,,,,,,,,,,,,287.45,,,,L7
2006-08-03 22:19:51+00:00,376.16,349.15,339.98,328.46,331.76,329.57,317.42,318.16,312.60,308.38,308.18,303.56,330.57,318.77,317.58,326.43,342.88,350.67,,,,,,,,,,,L5
2006-09-12 22:16:07+00:00,354.10,349.51,341.71,344.78,338.24,334.00,332.82,317.49,301.12,307.85,334.50,351.80,343.51,320.64,328.10,326.75,347.48,362.15,356.84,340.66,320.72,312.11,303.99,305.22,306.52,,242.16,269.60,L7
2006-10-30 22:16:18+00:00,387.96,378.40,365.04,366.10,347.28,325.98,317.20,300.09,314.80,333.15,333.43,331.33,318.07,314.49,332.21,344.25,351.05,351.37,335.52,330.87,332.74,339.42,314.69,296.72,292.26,299.20,307.74,286.24,L7
2006-12-09 22:21:12+00:00,383.10,375.25,355.89,348.09,347.31,319.13,308.70,307.60,327.38,326.65,338.51,334.72,330.36,319.65,320.20,324.03,352.30,367.78,347.75,324.23,320.75,331.85,314.25,287.36,292.21,316.74,327.23,295.46,L5
