dates,satname,sar2320-0000,sar2320-0001,sar2320-0002
1992-09-26 09:21:25+00:00,L5,106.55,197.13,139.59
1992-10-12 09:21:04+00:00,L5,,,
1992-11-04 09:26:58+00:00,L5,,,
1992-12-06 09:26:58+00:00,L5,,210.03,94.31
1993-01-07 09:27:16+00:00,L5,261.62,203.47,216.03
1993-01-23 09:27:27+00:00,L5,258.96,206.76,217.36
1993-02-08 09:27:38+00:00,L5,,,
1993-02-24 09:27:41+00:00,L5,,,
1993-03-12 09:27:54+00:00,L5,92.57,199.37,109.70
1993-03-21 09:21:43+00:00,L5,122.18,190.38,152.01
1993-04-06 09:21:49+00:00,L5,,197.46,141.85
1993-04-13 09:28:04+00:00,L5,106.28,198.39,136.79
1993-04-22 09:21:58+00:00,L5,90.07,200.35,105.19
1993-05-08 09:22:01+00:00,L5,106.16,196.27,144.14
1993-05-15 09:28:13+00:00,L5,,,
1993-05-24 09:22:03+00:00,L5,,202.32,104.08
1993-05-31 09:28:16+00:00,L5,,,
1993-06-09 09:22:29+00:00,L5,,208.13,104.19
1993-06-16 09:28:14+00:00,L5,,205.24,110.53
1993-06-25 09:22:24+00:00,L5,,199.54,140.97
1993-07-18 09:28:08+00:00,L5,,,
1993-07-27 09:21:57+00:00,L5,80.65,205.67,110.76
1993-08-03 09:28:08+00:00,L5,106.88,200.67,138.31
1993-08-12 09:22:21+00:00,L5,121.63,189.20,154.16
1993-08-19 09:28:08+00:00,L5,,201.20,107.84
1993-10-06 09:27:59+00:00,L5,,198.04,142.12
1993-11-07 09:27:46+00:00,L5,,197.79,143.16
1993-12-02 09:21:27+00:00,L5,265.86,379.14,151.44
1994-01-03 09:21:32+00:00,L5,128.65,220.68,170.30
1994-01-26 09:26:59+00:00,L5,,,
1994-02-27 09:26:35+00:00,L5,106.07,196.83,140.48
1994-03-08 09:20:40+00:00,L5,106.13,196.90,142.67
1994-03-15 09:26:21+00:00,L5,263.36,204.27,218.65
1994-03-24 09:20:26+00:00,L5,266.74,206.65,223.71
1994-03-31 09:26:06+00:00,L5,,198.97,141.08
1994-04-25 09:19:27+00:00,L5,83.15,207.10,110.47
1994-05-02 09:25:29+00:00,L5,,,
1994-05-11 09:19:31+00:00,L5,105.62,196.04,148.06
1994-07-05 09:24:11+00:00,L5,,,
1994-07-14 09:17:44+00:00,L5,106.66,198.15,138.84
1994-07-21 09:23:43+00:00,L5,,,
1994-07-30 09:17:41+00:00,L5,,211.45,97.45
1994-08-22 09:22:53+00:00,L5,,,
1994-08-31 09:16:29+00:00,L5,,198.91,139.30
1994-09-07 09:22:29+00:00,L5,107.04,199.26,137.01
1994-10-18 09:15:07+00:00,L5,105.07,196.37,143.34
1994-11-03 09:14:33+00:00,L5,,,
1994-12-12 09:19:28+00:00,L5,116.21,194.83,162.92
1994-12-21 09:13:00+00:00,L5,,59.96,270.22
1995-01-06 09:12:27+00:00,L5,121.90,180.32,165.80
1995-02-14 09:17:07+00:00,L5,106.81,194.06,148.48
1995-03-18 09:15:50+00:00,L5,,205.45,112.11
1995-03-27 09:09:40+00:00,L5,,,
1995-04-12 09:08:37+00:00,L5,89.28,200.28,103.44
1995-05-05 09:13:47+00:00,L5,,,
1995-05-14 09:07:35+00:00,L5,,,
1995-05-21 09:13:04+00:00,L5,,,
1995-06-06 09:12:19+00:00,L5,,,
1995-06-15 09:05:44+00:00,L5,89.55,201.03,110.22
1995-06-22 09:11:37+00:00,L5,,,
1995-07-01 09:05:25+00:00,L5,106.85,196.37,148.00
1995-07-08 09:10:53+00:00,L5,,,
1995-07-17 09:04:40+00:00,L5,,209.31,103.44
1995-07-24 09:10:09+00:00,L5,,205.40,97.26
1995-08-09 09:09:25+00:00,L5,,,
1995-09-03 09:02:05+00:00,L5,,,
1995-09-10 09:07:55+00:00,L5,,196.70,147.89
1995-10-21 08:59:36+00:00,L5,105.91,197.00,138.83
1995-11-06 08:59:03+00:00,L5,157.77,207.26,207.18
1995-12-15 09:06:48+00:00,L5,106.26,199.76,138.73
1996-01-16 09:09:06+00:00,L5,257.88,205.98,223.08
1996-02-17 09:11:19+00:00,L5,263.18,204.03,222.55
1996-03-13 09:06:48+00:00,L5,268.14,207.17,217.70
1996-04-05 09:14:27+00:00,L5,106.34,199.69,111.72
1996-04-21 09:15:25+00:00,L5,,,
1996-05-16 09:11:06+00:00,L5,121.57,188.57,154.39
1996-05-23 09:17:17+00:00,L5,,198.94,134.92
1996-06-01 09:12:00+00:00,L5,255.46,210.76,208.81
1996-06-08 09:18:10+00:00,L5,254.26,208.87,215.54
1996-07-03 09:13:43+00:00,L5,,212.95,95.06
1996-07-10 09:19:52+00:00,L5,,,
1996-07-19 09:14:10+00:00,L5,,200.86,109.92
1996-08-04 09:15:24+00:00,L5,,208.27,98.79
1996-08-27 09:22:24+00:00,L5,,,
1996-09-05 09:17:07+00:00,L5,,211.10,100.28
1996-09-12 09:23:18+00:00,L5,,,
1996-09-21 09:18:00+00:00,L5,106.09,195.86,147.97
1996-10-23 09:19:16+00:00,L5,106.67,194.63,147.85
1996-10-30 09:25:47+00:00,L5,105.89,195.92,148.00
1996-11-15 09:26:32+00:00,L5,,204.81,104.31
1997-02-19 09:30:58+00:00,L5,125.41,178.31,171.84
1997-03-16 09:26:11+00:00,L5,90.94,200.02,138.86
1997-03-23 09:32:13+00:00,L5,106.76,199.92,139.62
1997-04-01 09:26:46+00:00,L5,107.83,198.69,134.92
1997-04-24 09:33:22+00:00,L5,,197.74,140.64
1997-05-03 09:27:54+00:00,L5,106.88,203.77,108.97
1997-05-10 09:33:55+00:00,L5,,200.21,98.71
1997-06-11 09:35:02+00:00,L5,,215.73,96.61
1997-06-20 09:29:33+00:00,L5,,,
1997-07-13 09:36:09+00:00,L5,,,
1997-07-22 09:30:40+00:00,L5,,201.50,137.08
1997-08-07 09:30:48+00:00,L5,,205.89,103.71
1997-08-14 09:37:12+00:00,L5,,,
1997-08-23 09:31:41+00:00,L5,,200.32,103.39
1997-09-08 09:31:46+00:00,L5,,202.38,103.99
1997-10-01 09:38:36+00:00,L5,,198.40,142.36
1997-10-17 09:39:02+00:00,L5,106.13,196.70,142.38
1997-10-26 09:33:30+00:00,L5,256.60,207.86,200.32
1997-11-02 09:39:28+00:00,L5,,,
1997-11-27 09:33:52+00:00,L5,149.08,207.17,210.68
1997-12-29 09:35:03+00:00,L5,263.46,203.98,216.24
1998-01-30 09:35:22+00:00,L5,259.73,203.71,220.05
1998-02-06 09:41:42+00:00,L5,120.56,186.78,158.36
1998-03-10 09:42:15+00:00,L5,,,
1998-03-19 09:36:13+00:00,L5,106.25,196.63,142.37
1998-03-26 09:42:29+00:00,L5,,,
1998-04-04 09:36:24+00:00,L5,,207.77,98.61
1998-05-06 09:37:15+00:00,L5,,211.01,94.57
1998-05-13 09:43:08+00:00,L5,105.49,196.19,148.13
1998-06-30 09:43:48+00:00,L5,,,
1998-07-16 09:44:00+00:00,L5,,,
1998-07-25 09:38:16+00:00,L5,,,
1998-08-01 09:44:05+00:00,L5,,,
1998-08-10 09:37:58+00:00,L5,,,
1998-08-17 09:44:12+00:00,L5,106.47,198.47,135.19
1998-08-26 09:38:09+00:00,L5,,207.88,103.82
1998-09-02 09:44:24+00:00,L5,,208.35,97.40
1998-09-18 09:44:32+00:00,L5,76.13,205.23,105.39
1998-10-29 09:38:26+00:00,L5,122.53,193.41,150.64
1998-12-23 09:44:47+00:00,L5,250.36,188.34,214.87
