dates,satname,sar1375-0000,sar1375-0001,sar1375-0002,sar1375-0003,sar1375-0004,sar1375-0005,sar1375-0006
1995-07-24 09:10:56+00:00,L5,174.00,147.54,139.68,140.97,138.11,133.23,144.88
1995-08-09 09:10:13+00:00,L5,167.50,139.71,139.66,139.46,134.23,141.29,140.61
1995-08-25 09:09:29+00:00,L5,,135.10,124.84,124.18,124.27,122.33,129.85
1995-09-10 09:08:43+00:00,L5,185.72,147.26,146.38,149.51,149.56,156.48,151.71
1996-03-04 09:13:10+00:00,L5,179.67,153.65,133.01,136.18,130.05,135.11,136.22
1996-04-05 09:15:14+00:00,L5,,,,,124.39,123.65,131.59
1996-05-07 09:17:10+00:00,L5,191.26,168.03,166.29,163.78,169.01,163.01,160.74
1996-05-23 09:18:04+00:00,L5,,145.78,145.82,130.44,144.82,142.96,139.37
1996-07-10 09:20:39+00:00,L5,,123.71,119.91,120.20,124.05,119.65,127.57
1996-07-26 09:21:31+00:00,L5,192.93,158.35,162.96,156.60,153.43,155.45,163.22
1996-08-11 09:22:21+00:00,L5,201.63,166.16,172.31,169.53,165.62,166.33,165.14
1996-08-27 09:23:11+00:00,L5,171.31,154.20,148.35,135.09,144.51,142.43,154.14
1996-09-12 09:24:05+00:00,L5,,131.32,125.77,126.08,127.93,124.97,129.00
1996-11-15 09:27:20+00:00,L5,170.76,147.78,139.55,125.42,135.49,136.54,139.61
1996-12-17 09:28:51+00:00,L5,192.89,159.59,161.91,144.22,126.96,141.10,148.45
1997-02-19 09:31:45+00:00,L5,156.34,134.95,119.01,117.26,116.27,123.03,
1997-03-23 09:33:01+00:00,L5,192.33,161.04,162.01,158.97,154.96,157.42,163.02
1997-04-08 09:33:36+00:00,L5,,151.90,156.18,144.97,148.39,145.87,146.88
1997-04-24 09:34:10+00:00,L5,189.85,164.29,154.41,150.77,158.94,156.30,153.14
1997-05-10 09:34:43+00:00,L5,188.75,159.11,153.33,150.35,153.97,151.43,158.10
1997-07-13 09:36:56+00:00,L5,,152.37,148.14,153.91,147.84,147.66,151.41
1997-07-29 09:37:29+00:00,L5,192.68,159.87,163.52,161.35,157.31,161.52,166.07
1997-08-14 09:37:59+00:00,L5,177.26,153.17,151.49,141.80,144.98,145.71,160.28
1997-08-30 09:38:29+00:00,L5,174.63,145.46,132.15,142.39,134.78,124.98,132.41
1997-10-01 09:39:24+00:00,L5,191.95,160.90,160.31,157.72,158.53,159.25,165.65
1997-11-18 09:40:37+00:00,L5,191.22,158.12,146.34,148.68,146.26,147.55,141.80
1998-03-10 09:43:03+00:00,L5,,127.02,110.35,108.00,117.45,122.99,
1998-03-26 09:43:17+00:00,L5,,145.76,130.35,140.14,139.45,134.09,145.09
1998-05-13 09:43:56+00:00,L5,183.52,159.52,161.95,163.51,153.83,157.24,158.42
1998-06-14 09:44:24+00:00,L5,172.23,141.99,133.76,132.00,140.74,140.96,141.14
1998-06-30 09:44:36+00:00,L5,,133.78,131.42,133.88,144.14,135.05,142.88
1998-08-01 09:44:52+00:00,L5,170.65,149.14,153.78,142.76,153.62,152.97,149.31
1998-08-17 09:45:00+00:00,L5,192.57,161.67,167.58,151.80,149.61,155.10,159.21
1998-09-02 09:45:12+00:00,L5,169.62,152.50,147.70,136.07,144.50,147.17,145.25
1998-09-18 09:45:20+00:00,L5,160.69,134.88,123.21,130.07,124.91,131.79,139.30
1998-10-04 09:45:22+00:00,L5,167.59,147.52,128.70,132.30,127.77,126.93,133.92
1998-11-21 09:45:34+00:00,L5,182.58,156.22,142.87,126.33,122.46,126.47,132.35
1998-12-07 09:45:29+00:00,L5,,123.32,110.38,107.90,101.99,107.78,105.59
1998-12-23 09:45:35+00:00,L5,183.32,153.21,135.59,141.32,123.41,127.17,126.72
1999-01-24 09:45:35+00:00,L5,,152.87,163.00,152.18,143.19,168.73,174.65
1999-02-25 09:45:46+00:00,L5,,163.84,168.44,159.63,156.98,156.03,167.42
1999-03-13 09:45:34+00:00,L5,,157.95,167.03,161.48,156.28,163.36,170.46
1999-04-14 09:45:15+00:00,L5,154.90,130.17,119.10,118.22,119.87,119.59,115.84
1999-04-30 09:45:13+00:00,L5,180.81,158.59,156.79,146.93,152.58,149.06,159.37
1999-06-17 09:44:29+00:00,L5,171.14,145.41,142.84,148.23,146.52,145.77,149.87
1999-07-03 09:44:19+00:00,L5,,147.65,157.05,140.69,144.28,144.74,155.47
1999-07-19 09:44:16+00:00,L5,169.06,150.40,159.84,144.20,147.59,147.17,152.62
1999-08-04 09:44:14+00:00,L5,178.38,148.47,153.45,145.93,147.66,144.64,142.62
1999-08-12 09:59:25+00:00,L7,176.26,139.47,139.43,141.45,134.22,133.72,141.22
1999-08-28 09:59:28+00:00,L7,182.22,156.31,157.21,146.63,154.91,146.46,148.98
1999-09-05 09:43:34+00:00,L5,186.71,166.20,168.53,158.71,156.10,159.50,164.73
1999-09-13 09:59:23+00:00,L7,198.29,159.31,162.44,156.83,157.00,161.58,162.93
1999-10-07 09:43:09+00:00,L5,,160.33,160.80,158.31,154.57,154.60,158.88
