dates,sar2319-0000,satname
2016-09-27 10:08:29+00:00,180.10500000000002,L7
2016-09-28 10:00:11+00:00,180.56,L8
2016-10-05 10:06:00+00:00,181.233,L8
2016-10-29 10:08:25+00:00,181.56,L7
2016-10-30 09:59:54+00:00,179.1925,L8
2016-11-30 10:08:15+00:00,178.75333333333333,L7
2016-12-01 09:59:53+00:00,179.64,L8
2016-12-08 10:06:02+00:00,180.02714285714288,L8
2016-12-09 10:02:02+00:00,179.266,L7
2017-01-09 10:05:55+00:00,177.50666666666666,L8
2017-02-19 09:59:28+00:00,180.85615384615386,L8
2017-03-15 10:02:07+00:00,180.54,L7
2017-03-30 10:05:19+00:00,183.7709090909091,L8
2017-04-08 09:59:28+00:00,183.54727272727274,L8
2017-04-16 10:01:54+00:00,181.01416666666668,L7
2017-06-11 09:59:38+00:00,179.7042857142857,L8
2017-06-19 10:02:35+00:00,178.34875,L7
2017-08-06 10:02:35+00:00,178.2125,L7
2017-08-22 10:02:34+00:00,172.9225,L7
2017-09-07 10:02:09+00:00,170.76333333333335,L7
2017-09-14 10:08:19+00:00,170.75777777777776,L7
2017-09-22 10:05:54+00:00,172.35,L8
2017-09-30 10:08:20+00:00,172.007,L7
2017-10-09 10:02:10+00:00,171.941,L7
2017-10-16 10:08:22+00:00,176.264,L7
2017-10-17 09:59:51+00:00,176.99909090909094,L8
2017-12-04 10:00:06+00:00,177.64916666666667,L8
2018-01-05 09:59:41+00:00,181.19454545454548,L8
2018-01-29 10:01:17+00:00,182.51916666666668,L7
2018-03-09 10:07:01+00:00,187.378,L7
2018-03-10 09:59:10+00:00,184.28,L8
2018-03-26 09:59:03+00:00,184.887,L8
2018-04-19 10:00:37+00:00,187.53857142857146,L7
2018-05-12 10:05:59+00:00,186.89875,L7
2018-06-14 09:58:26+00:00,187.39124999999999,L8
2018-06-22 09:59:07+00:00,187.06444444444443,L7
2018-07-08 09:58:48+00:00,185.75555555555556,L7
2018-07-15 10:04:51+00:00,185.66299999999998,L7
2018-08-09 09:58:14+00:00,182.783,L7
2018-10-03 10:03:13+00:00,185.40999999999997,L7
2018-10-12 09:56:49+00:00,181.83222222222219,L7
2018-10-27 10:05:38+00:00,178.1622222222222,L8
2018-11-05 09:59:29+00:00,179.795,L8
2018-12-23 09:59:26+00:00,178.6875,L8
2019-01-07 10:00:46+00:00,180.7875,L7
2019-01-15 10:05:34+00:00,176.84125,L8
2019-02-16 10:05:28+00:00,178.81625,L8
2019-02-17 09:53:43+00:00,183.09333333333336,L7
2019-03-12 09:58:46+00:00,183.532,L7
2019-03-20 10:05:19+00:00,183.62,L8
2019-03-29 09:59:30+00:00,183.70583333333335,L8
2019-04-14 09:59:25+00:00,183.56363636363636,L8
2019-04-29 09:57:05+00:00,182.11454545454546,L7
2019-04-30 09:59:22+00:00,182.835,L8
2019-07-11 09:48:10+00:00,179.375,L7
2019-09-04 09:52:05+00:00,177.98874999999998,L7
2019-09-12 10:05:59+00:00,177.65499999999997,L8
2019-12-26 10:00:12+00:00,181.48,L8
2020-01-02 10:05:57+00:00,182.748,L8
2020-01-11 09:59:44+00:00,185.974,L8
2020-01-27 09:59:40+00:00,187.415,L8
2020-02-04 09:39:08+00:00,182.48714285714283,L7
2020-02-11 09:44:33+00:00,178.84875,L7
2020-02-20 09:37:54+00:00,179.52333333333334,L7
2020-04-07 10:05:23+00:00,178.9,L8
2020-04-08 09:35:15+00:00,179.7877777777778,L7
2020-04-24 09:34:19+00:00,180.697,L7
2020-06-03 09:59:05+00:00,181.35909090909092,L8
2020-08-14 09:27:56+00:00,187.34666666666666,L7
2020-09-06 09:32:13+00:00,184.665,L7
2020-09-14 10:05:58+00:00,184.54285714285714,L8
2020-09-15 09:25:51+00:00,182.645,L7
2020-09-30 10:06:03+00:00,182.83777777777777,L8
2020-10-09 10:00:17+00:00,182.50875,L8
2020-11-01 10:06:03+00:00,181.90625,L8
2020-11-17 10:06:02+00:00,182.14555555555557,L8
2020-11-26 09:59:53+00:00,179.275,L8
2020-12-27 09:24:32+00:00,177.389,L7
2021-01-04 10:05:59+00:00,178.93,L8
2021-01-29 10:00:05+00:00,176.75833333333333,L8
2021-03-01 09:19:52+00:00,176.33,L7
2021-03-25 10:05:32+00:00,178.89299999999997,L8
2021-03-26 09:11:42+00:00,179.8272727272727,L7
2021-04-02 09:17:19+00:00,180.92818181818183,L7
2021-07-07 09:09:17+00:00,183.83,L7
2021-07-23 09:07:54+00:00,183.87285714285713,L7
2021-09-01 10:05:58+00:00,186.3033333333333,L8
2021-09-18 08:57:08+00:00,186.21285714285713,L7
2021-10-04 08:55:18+00:00,184.99,L7
2021-10-19 10:06:10+00:00,186.54999999999998,L8
2021-11-08 10:01:55+00:00,188.01571428571427,L9
2021-11-13 09:59:55+00:00,188.66375,L8
2021-11-13 10:04:47+00:00,189.20777777777778,L9
2021-11-20 10:06:04+00:00,189.028,L8
2021-12-06 10:06:06+00:00,185.71636363636364,L8
2021-12-14 10:06:02+00:00,185.9475,L9
2021-12-31 10:00:12+00:00,186.64538461538461,L8
2022-01-08 08:46:12+00:00,189.07,L7
2022-01-08 09:59:49+00:00,188.70785714285714,L9
2022-01-15 10:05:58+00:00,189.18333333333334,L9
2022-01-16 09:59:46+00:00,189.555625,L8
2022-01-23 10:05:54+00:00,189.895625,L8
2022-01-24 08:44:41+00:00,190.01941176470586,L7
2022-01-24 10:00:13+00:00,190.23777777777775,L9
2022-02-01 10:00:05+00:00,190.0621052631579,L8
2022-02-08 10:05:51+00:00,189.81599999999997,L8
2022-02-09 09:59:48+00:00,189.8542857142857,L9
2022-02-16 08:48:31+00:00,190.36499999999998,L7
2022-02-24 10:05:46+00:00,190.13391304347826,L8
2022-03-05 09:59:34+00:00,190.81608695652176,L8
2022-04-30 09:59:42+00:00,190.03857142857143,L9
2022-05-16 09:59:31+00:00,189.21947368421053,L9
2022-06-11 08:33:08+00:00,192.9461111111111,L7
2022-07-15 08:31:18+00:00,189.19214285714287,L7
2022-07-19 09:59:50+00:00,188.4157142857143,L9
2022-09-21 10:00:17+00:00,180.31500000000003,L9
2022-10-06 10:06:20+00:00,181.67000000000002,L8
2022-10-30 10:06:10+00:00,181.58571428571426,L9
2022-10-31 10:00:12+00:00,183.1025,L8
2022-11-08 10:00:24+00:00,184.40333333333334,L9
2022-12-18 10:00:00+00:00,179.76,L8
2022-12-25 10:06:08+00:00,180.2588888888889,L8
2022-12-26 09:59:58+00:00,181.201,L9
2023-01-02 10:06:11+00:00,181.54363636363635,L9
2023-02-03 10:06:13+00:00,185.919,L9
2023-02-04 10:00:20+00:00,185.78,L8
2023-02-11 10:06:03+00:00,185.79416666666665,L8
2023-02-12 10:00:03+00:00,186.8946153846154,L9
2023-02-19 10:06:07+00:00,187.61642857142857,L9
2023-02-20 09:59:43+00:00,187.66866666666664,L8
2023-03-07 10:05:55+00:00,187.44875,L9
2023-03-23 10:05:49+00:00,189.413125,L9
2023-03-24 09:59:23+00:00,189.14705882352942,L8
2023-04-06 07:59:39+00:00,190.81117647058824,L7
2023-04-09 09:59:33+00:00,188.73055555555553,L8
2023-04-17 09:59:24+00:00,188.50052631578947,L9
2023-05-27 09:59:16+00:00,187.85294117647058,L8
2023-09-08 09:59:35+00:00,180.34714285714287,L9
2023-09-24 09:59:59+00:00,180.53166666666667,L9
2023-10-10 09:59:43+00:00,179.25,L9
2023-11-26 10:05:59+00:00,177.235,L8
2023-12-20 10:06:04+00:00,178.658,L9
2023-12-29 09:59:52+00:00,180.28166666666667,L9
2024-01-21 10:05:58+00:00,180.86714285714285,L9
2024-01-22 09:59:37+00:00,181.7375,L8
2024-02-14 10:05:48+00:00,182.07777777777778,L8
2024-02-15 09:59:48+00:00,182.716,L9
2024-03-02 10:00:07+00:00,183.26909090909092,L9
2024-04-02 10:05:21+00:00,182.594,L8
2024-04-03 09:59:34+00:00,183.24636363636364,L9
2024-06-06 09:58:55+00:00,184.37,L9
2024-08-25 09:59:43+00:00,181.95999999999998,L9
2024-09-01 10:05:29+00:00,174.942,L9
2024-09-26 09:59:23+00:00,173.91166666666666,L9
2024-10-20 09:59:38+00:00,176.90800000000002,L8
2024-11-28 10:05:56+00:00,178.895,L8
2024-12-07 09:59:38+00:00,172.18999999999997,L8
2024-12-30 10:05:47+00:00,174.75857142857143,L8
2024-12-31 09:59:41+00:00,176.4175,L9
2025-01-08 09:59:38+00:00,177.83777777777777,L8
2025-01-15 10:05:49+00:00,178.501,L8
2025-01-24 09:59:32+00:00,179.7281818181818,L8
2025-02-09 09:59:35+00:00,180.08166666666668,L8
2025-02-16 10:05:43+00:00,181.11615384615382,L8
2025-02-25 09:59:25+00:00,182.00692307692304,L8
2025-03-13 09:59:22+00:00,184.38615384615383,L8
2025-04-06 09:59:24+00:00,185.82153846153844,L9
2025-04-22 09:59:19+00:00,185.91,L9
2025-04-30 09:59:22+00:00,186.5171428571429,L8
2025-05-24 09:59:03+00:00,187.056,L9
2025-06-01 09:59:01+00:00,186.88133333333334,L8
2025-07-03 09:59:43+00:00,189.40384615384616,L8
