dates,nzd0121-0000,nzd0121-0001,nzd0121-0002,nzd0121-0003,nzd0121-0004,nzd0121-0005,nzd0121-0006,nzd0121-0007,nzd0121-0008,nzd0121-0009,nzd0121-0010,nzd0121-0011,nzd0121-0012,nzd0121-0013,nzd0121-0014,nzd0121-0015,nzd0121-0016,nzd0121-0017,nzd0121-0018,nzd0121-0019,nzd0121-0020,nzd0121-0021,nzd0121-0022,nzd0121-0023,nzd0121-0024,nzd0121-0025,nzd0121-0026,nzd0121-0027,nzd0121-0028,nzd0121-0029,nzd0121-0030,nzd0121-0031,nzd0121-0032,nzd0121-0033,nzd0121-0034,nzd0121-0035,nzd0121-0036,nzd0121-0037,nzd0121-0038,nzd0121-0039,nzd0121-0040,nzd0121-0041,nzd0121-0042,nzd0121-0043,nzd0121-0044,nzd0121-0045,nzd0121-0046,nzd0121-0047,nzd0121-0048,nzd0121-0049,nzd0121-0050,nzd0121-0051,nzd0121-0052,nzd0121-0053,nzd0121-0054,nzd0121-0055,nzd0121-0056,nzd0121-0057,nzd0121-0058,nzd0121-0059,nzd0121-0060,nzd0121-0061,nzd0121-0062,nzd0121-0063,nzd0121-0064,nzd0121-0065,nzd0121-0066,nzd0121-0067,nzd0121-0068,nzd0121-0069,nzd0121-0070,nzd0121-0071,nzd0121-0072,nzd0121-0073,nzd0121-0074,nzd0121-0075,nzd0121-0076,nzd0121-0077,nzd0121-0078,nzd0121-0079,nzd0121-0080,nzd0121-0081,nzd0121-0082,nzd0121-0083,nzd0121-0084,nzd0121-0085,nzd0121-0086,nzd0121-0087,nzd0121-0088,nzd0121-0089,nzd0121-0090,nzd0121-0091,nzd0121-0092,nzd0121-0093,nzd0121-0094,nzd0121-0095,nzd0121-0096,nzd0121-0097,nzd0121-0098,nzd0121-0099,nzd0121-0100,nzd0121-0101,nzd0121-0102,nzd0121-0103,nzd0121-0104,nzd0121-0105,nzd0121-0106,nzd0121-0107,nzd0121-0108,nzd0121-0109,nzd0121-0110,nzd0121-0111,nzd0121-0112,nzd0121-0113,nzd0121-0114,nzd0121-0115,nzd0121-0116,nzd0121-0117,nzd0121-0118,nzd0121-0119,nzd0121-0120,nzd0121-0121,nzd0121-0122,nzd0121-0123,nzd0121-0124,nzd0121-0125,nzd0121-0126,nzd0121-0127,nzd0121-0128,nzd0121-0129,nzd0121-0130,nzd0121-0131,nzd0121-0132,nzd0121-0133,nzd0121-0134,nzd0121-0135,nzd0121-0136,nzd0121-0137,nzd0121-0138,nzd0121-0139,nzd0121-0140,nzd0121-0141,nzd0121-0142,nzd0121-0143,nzd0121-0144,nzd0121-0145,nzd0121-0146,nzd0121-0147,nzd0121-0148,nzd0121-0149,nzd0121-0150,nzd0121-0151,nzd0121-0152,nzd0121-0153,nzd0121-0154,nzd0121-0155,nzd0121-0156,nzd0121-0157,nzd0121-0158,nzd0121-0159,nzd0121-0160,nzd0121-0161,nzd0121-0162,nzd0121-0163,nzd0121-0164,nzd0121-0165,nzd0121-0166,nzd0121-0167,nzd0121-0168,nzd0121-0169,nzd0121-0170,nzd0121-0171,nzd0121-0172,nzd0121-0173,nzd0121-0174,nzd0121-0175,nzd0121-0176,nzd0121-0177,nzd0121-0178,nzd0121-0179
2002-03-11 22:00:43+00:00,177.88786626103158,140.9115401378039,115.36607224617858,96.30930928399657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.7666449093297,103.35502057407335,117.54264422327908,127.87072035997006,150.34555321365193,174.7640698916983,176.16314378811876,179.5603449819899,183.20113246295642,187.54242419343998,210.09045875313498,213.66145283793423,218.70063944423092,229.55934282140922,234.38000658193204,244.598375683454,244.6063616756443,248.8654691525633,230.20737313763306,238.2864080761157,231.4825400287092,227.62851706594608,209.73334786976255,202.4917277377353,190.63169667591723,187.14081514891927,183.1296086485175,178.33014975952202,173.6883402516311,172.51509645493417,154.86715602528125,150.36561420489542,148.97636900025446,147.3720463418807,139.93828497833496,140.82691015466852,137.33443185907163,125.7264941125524,106.88276311827252,104.33371141966214,105.1030231885393,111.28662750904684,104.60003555665163,101.92430279883641,90.95927052901456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-04-12 22:00:37+00:00,179.8890823394974,137.8235485414861,116.73948670278784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.65653039089887,115.19674372434562,133.95887836415696,130.86621215836604,152.08344244337366,152.32907154698844,144.5394810398978,171.49864008136902,178.2379266354219,194.45900857120802,190.6722511204783,219.7070335366684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-07-17 22:00:08+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.29851965340023,79.42375941858101,94.84438424144108,104.45909320557907,,,47.777243848513194,61.911952319406055,74.59872598043864,83.75090994243332,102.08250442816254,93.55983149765291,96.5195418517623,104.41246049098204,156.4720790923315,140.02941046544737,140.37590165533675,,209.57966508631563,,,,,,,213.8581229374246,202.82966485441372,213.60495669475935,,,,,,180.22860770274832,140.04229600978212,148.2768633920429,199.69356143460098,204.7441372399668,,,122.97690590042878,,,,118.38917342069216,133.9616732317748,104.50225226118168,141.5994589334232,128.20071395787164,69.96763724129758,,137.4107425207265,,,,,48.36253659929528,73.27837522463018,84.67106989888404,72.84569597189662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-08-02 22:00:01+00:00,,150.9324552695303,121.16136893726444,99.19476539355921,87.60316857782801,67.64707760234238,70.90027972790317,61.69248103117172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.26434560091215,67.99141188214568,79.72610602360352,86.934538203898,95.41474709658434,116.73178098703002,127.49306917136511,125.20596843385266,129.21710025505658,133.624516358034,177.5511781698002,168.57246592184984,176.6318436787194,206.73934240109628,195.30783731549784,192.4966887203601,195.22191058202006,231.0702260521855,224.07699062097703,240.37790079362026,,,,235.57521157297867,224.90305723297678,208.10776868245298,,218.5994010185179,188.5292695510155,214.17150726002603,180.1135633891958,179.83821257996797,186.91918829359696,183.0113412669241,153.86127376341827,160.1061207009245,160.17745839972764,152.57015098996393,154.9450525014692,148.93060308050033,147.9574395771637,146.53927206942942,122.89581420424177,134.3895659599346,131.55961062743927,109.60019073781488,115.63002133542903,117.91233177311057,,,,,,,,,,,,,,72.54853716082556,72.9200803208885,77.16416990217736,79.792587859042,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.903393760790685,59.32272208006824,66.52298659457534,67.3119232032178,79.44349089012854,76.23658956867351,64.48676315372373,,,,55.82986957583834,76.98980379465927,98.24660163586744,116.44189915938142,106.81203413769961,91.21085693684748,77.70999945201008,76.90298086589347,79.86869163179179
2002-10-21 21:59:36+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.39554376314618,120.68186870771598,121.25530840674014,115.70115411823582,121.19515951872489,120.45041578616832,119.7090346114324,133.82052897011036,134.5471332635931,130.13902708043526,124.88425795290806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-12-24 22:00:09+00:00,149.9617317579156,126.04354475130857,102.13881663010199,76.17147761149202,62.47666359161215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.01384833580443,78.29977589960868,82.95401254361562,90.1874011055865,95.40783836875997,100.80281169435123,109.99477852482742,115.67706953831615,141.39903334835796,145.42608409594027,137.7349577078615,147.19128722957748,144.64640189191834,146.33150875254367,163.7168270785558,172.9613899890377,191.71704665618716,196.6715911929565,205.96626724147205,194.98919353286863,196.00306763784837,190.19913063018686,177.74142875426628,156.7346047683946,153.23011305602813,138.33256533964519,147.74234298071863,163.5484985905678,166.23470235872335,151.24725276041755,139.6783048399787,136.91077376630034,129.53166405673835,123.0241549558371,102.55135419601805,93.35623032837103,76.31146149121535,79.51353708290287,83.40446232086059,82.40846110499429,81.85063904692898,79.18816708223966,77.14430378510575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.62933323413445,79.49564483356778
2003-01-25 22:00:18+00:00,116.70548549057364,96.7784376096105,80.93637793606548,60.59186971838956,42.68089320701833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.35766159414503,61.14993249178565,74.2809234056105,76.44500427356682,85.30054421928357,89.56977703198493,85.96476968127945,103.4228801596104,105.89692815487217,118.52611061408759,125.77406295683839,151.6273954602898,173.07581582635373,165.6383605414199,143.59905628035045,135.64300633072116,150.25346158746424,164.02995510358528,176.16529678411405,192.43516735729477,178.0672945922837,184.1647932831761,177.1644699070937,168.991962010932,129.35662996457197,132.29311883328717,123.30265403684554,134.82823002378558,141.56305699787328,144.49513094412674,139.6089030746009,129.57517079512047,120.48193599385641,104.0567750594268,107.82245647889026,103.19475549571784,106.44417296531853,90.21460306266177,83.23817736434223,71.65442474314285,70.84124164965988,77.78541438784215,72.72543348585248,64.6985850635076,51.863645610927406,52.725064727333276,50.59290840273535,50.561490437833626,53.885471999027544,57.366749552941044,49.11037452479577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.89562430459101,59.47353762932044,46.25636723764019,,,,,50.17821678200389,54.301784104722394,55.60213155014284,55.62943899705923,64.29995582249592,65.98595067249418
2003-08-05 22:00:11+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.77236481961094,71.7167789779868,74.26105841888271,89.193187881206,90.10015685371503,96.19239083673426,86.3750675117839,92.99678195405644,101.09924965999781,117.53443476496669,136.30329018890788,140.54246974480466,141.9797881705788,136.34100744936586,137.6072078708363,156.68111590713443,166.72996805558347,176.1782242221593,175.96464032332477,177.7294872161125,187.041536506952,185.11038988286634,204.8214652835668,194.8227973643218,194.01173084478216,182.04705098177843,194.25763092380527,169.41721199046896,165.5465323344579,154.8344874809354,176.37938672276584,152.12498487034873,143.43498705861725,147.81484461938328,127.41490695525874,110.47375238318023,98.81898606952703,113.44339145389314,125.250484630912,118.88766585444137,116.78693216010322,99.91719989784723,105.851481709358,108.83636688204197,131.1815256175476,133.82386020465785,98.74541433244835,74.06731620721095,73.65485722118659,76.67089005140473,89.97032764304168,92.74524843901726,78.72324507842842,74.69303598693853,73.44670103297103,58.452051555045415,,,,45.54430418815013,45.68913734161404,53.338782742761566,,,,,,,,,,,,,,,132.85123906057888,,,,,,,,,,,,,,,,,,,,,,,,54.379872185620115,,,,,,,,,,,
2004-04-25 21:51:47+00:00,207.3393730370261,182.56041535858355,155.54597072999033,141.44674478094552,126.74679348000184,99.23310414880692,91.43765052515322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.8329507120294,71.23608112365952,69.01570234193457,74.44422400233931,84.38354361186532,87.24352289802715,93.07716393735596,109.60365472819568,117.7143461077955,125.44837404652264,130.4496560604283,142.70351161675734,140.03557771382063,145.94787779703054,157.37981504731567,170.162129846981,170.66106711646964,182.16728629581692,193.20535575938842,207.84690730100323,220.73017064192763,227.29570570574052,227.79299201173023,218.29291877478073,211.37285160432978,209.89873739775103,196.35240778147448,189.6772985244752,172.23706022069624,167.30720750683653,165.65094057983012,163.9438872312932,158.04890616631715,149.84511823883471,144.57680248635006,133.64765230886366,131.29722314829533,141.51969539520044,140.5772747966298,121.70154989160821,121.23868451502213,123.38902442291212,124.42534290398987,124.88981804111964,120.95986187107685,110.98998950139912,103.33967117211859,99.3632165436396,94.66425621780002,90.03314680679634,89.93632208242347,88.71887588428278,90.81019704736131,77.71287897887802,75.56304935024015,78.60822492998173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-06-04 22:00:55+00:00,,,,,,,,,,,199.53290191652715,,,,198.77082753036422,,165.33832078122668,,,,,,,186.6463268252823,,,104.12387965692947,,,129.19677191451632,146.1216902046451,,,,,,,,,,,,,,,,,,,,,,,,193.57841427905902,,,,,,,,,,,,,193.9809473930101,217.05982458045645,,252.96158214055635,243.6989277275428,,,,273.60028141597866,256.5485829949117,,,,,212.17872056341344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.11468021007633,111.5614202167339,138.95239617992945,158.82356813174468,,,,,138.02268663539002,,,,,,,,,,,,,,,,,,,250.57869491149077
2004-07-14 21:54:07+00:00,174.44540872469662,157.60527726232928,146.09167677164803,118.5623919064007,91.64447971794173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.6130752633546,91.40662162529732,97.32036877024221,102.96194263346304,107.09517712489968,105.11162764422932,116.87722685433813,115.4633553343891,125.81643426859999,146.47063910579547,168.60257002030227,172.92016314903057,178.6283772761102,183.7802191138488,190.1479709892533,194.7035472759754,203.57823602128155,201.89049223199945,192.93751929147643,180.80840791663852,171.47774423885704,162.7864521144664,161.21452270331628,150.3689627283067,146.33682279528054,145.9800416479343,138.04417969980958,133.09826105571682,125.29823518989697,135.52549007599075,125.820078545799,126.7715079305186,121.81183986322787,117.10434660513911,111.60012870013708,107.49544135739191,99.43963083856215,94.01907273859739,87.92188084014481,87.92160187054887,94.6626896480654,92.55298257432943,91.97140642178032,92.60145498582992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-09-16 21:55:41+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.562152738554,112.65417976167417,108.49875076871535,130.95799358030126,153.7731318511603,159.14609500015482,156.34316139899883,172.15067118916897,175.07705479681135,177.83520824130008,195.76324629558204,185.21349191537206,178.052825284111,172.26097637189048,168.4079032511282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
