dates,nzd0190-0000,nzd0190-0001,nzd0190-0002,nzd0190-0003,nzd0190-0004,nzd0190-0005,nzd0190-0006,nzd0190-0007,nzd0190-0008,nzd0190-0009,nzd0190-0010,nzd0190-0011,nzd0190-0012,nzd0190-0013,nzd0190-0014,nzd0190-0015,nzd0190-0016,nzd0190-0017,nzd0190-0018,nzd0190-0019,nzd0190-0020,nzd0190-0021,nzd0190-0022,nzd0190-0023,nzd0190-0024,nzd0190-0025,nzd0190-0026,nzd0190-0027,nzd0190-0028,nzd0190-0029,nzd0190-0030,nzd0190-0031,nzd0190-0032,nzd0190-0033,nzd0190-0034,nzd0190-0035,nzd0190-0036,nzd0190-0037,nzd0190-0038,nzd0190-0039,nzd0190-0040,nzd0190-0041,nzd0190-0042,nzd0190-0043,nzd0190-0044,nzd0190-0045,nzd0190-0046,nzd0190-0047,nzd0190-0048,nzd0190-0049,nzd0190-0050,nzd0190-0051,nzd0190-0052,nzd0190-0053,nzd0190-0054,nzd0190-0055,nzd0190-0056,nzd0190-0057,nzd0190-0058,nzd0190-0059,nzd0190-0060,nzd0190-0061,nzd0190-0062,nzd0190-0063,nzd0190-0064,nzd0190-0065,nzd0190-0066,nzd0190-0067,nzd0190-0068,nzd0190-0069,nzd0190-0070,nzd0190-0071,nzd0190-0072,nzd0190-0073,nzd0190-0074,nzd0190-0075,nzd0190-0076,nzd0190-0077,nzd0190-0078,nzd0190-0079,nzd0190-0080,nzd0190-0081,nzd0190-0082,nzd0190-0083,nzd0190-0084,nzd0190-0085,nzd0190-0086,nzd0190-0087,nzd0190-0088,nzd0190-0089,nzd0190-0090,nzd0190-0091,nzd0190-0092,nzd0190-0093,nzd0190-0094,nzd0190-0095,nzd0190-0096,nzd0190-0097,nzd0190-0098,nzd0190-0099,nzd0190-0100,nzd0190-0101,nzd0190-0102,nzd0190-0103,nzd0190-0104,nzd0190-0105,nzd0190-0106,nzd0190-0107,nzd0190-0108,nzd0190-0109,nzd0190-0110,satname
2000-10-15 22:02:20+00:00,356.21,,341.91,301.82,269.57,,203.08,190.56,151.92,106.40,,,,,,,,,,,,,,,,,,,,98.97,130.22,179.28,205.20,222.97,221.01,,223.05,261.79,255.31,255.79,254.67,268.81,311.60,344.28,408.23,442.04,472.79,511.08,548.48,569.28,573.43,587.46,607.70,611.21,591.37,624.70,,,,,,,,,,,435.55,445.33,404.07,400.50,380.10,366.98,348.55,358.10,325.81,311.49,288.84,269.95,292.77,286.99,240.65,256.29,256.56,251.35,230.57,227.43,233.00,208.51,154.55,154.20,183.48,148.56,,153.94,154.98,176.40,187.77,167.32,217.36,173.79,162.56,173.58,167.92,149.35,148.76,174.81,182.20,231.96,226.07,251.64,257.25,L7
2000-11-25 21:56:23+00:00,331.45,,332.04,296.15,245.36,181.13,170.23,168.83,134.75,101.84,,,,,,,,,,,,,,,,,,,,,,,,,,209.90,189.47,231.73,226.85,244.51,244.57,237.87,286.10,320.85,394.56,,446.35,,546.47,571.26,561.77,591.26,604.94,612.93,598.90,633.64,561.65,560.89,546.73,552.19,534.76,525.29,503.97,477.50,477.61,501.49,426.08,448.48,396.82,379.53,359.92,,317.91,349.22,318.94,303.73,275.84,236.97,292.21,290.05,230.12,265.32,261.03,251.13,227.08,,,,,,,,,,,,,,211.16,171.66,153.97,165.17,172.08,134.61,143.50,179.70,176.78,232.55,228.05,246.40,250.27,L7
2000-12-02 22:02:33+00:00,339.96,,326.22,319.80,,,194.75,181.80,151.97,110.12,81.48,,,,,,,,,,,,,79.64,102.40,119.01,124.75,138.77,170.84,192.72,207.93,216.23,233.41,255.16,270.74,279.77,294.57,294.43,288.61,275.44,279.18,304.01,338.28,384.32,401.55,434.79,464.87,490.43,511.37,539.17,571.99,597.74,617.64,,631.91,596.08,606.90,598.65,585.11,564.46,550.96,518.58,507.72,483.64,467.70,437.64,466.53,448.61,436.17,421.21,408.84,391.30,381.16,353.87,371.37,345.81,323.58,317.88,296.41,293.86,301.72,270.52,250.16,241.45,243.79,234.69,226.60,228.51,222.32,183.93,159.36,179.61,189.29,182.89,188.47,203.31,229.31,239.16,224.03,181.59,170.29,184.34,189.67,188.37,206.64,192.58,215.45,202.77,237.48,254.63,301.32,L7
2001-02-04 22:02:38+00:00,355.20,359.94,358.97,315.14,,,170.35,159.33,127.24,90.63,,,,,,,,,,,,,,85.52,103.36,106.61,119.61,126.53,147.39,170.96,188.28,219.93,254.49,268.99,285.39,290.51,292.57,294.27,288.93,277.55,270.09,286.50,320.91,361.54,404.41,440.54,477.10,507.55,529.62,555.68,583.52,609.71,617.96,632.08,634.85,623.29,615.58,595.70,575.26,554.99,543.91,532.41,517.26,511.20,495.64,473.91,461.23,443.79,433.50,429.79,425.49,420.21,412.52,389.02,373.36,342.83,340.97,336.23,325.14,315.20,314.73,294.57,279.34,269.10,259.29,232.46,214.11,211.82,216.95,219.45,213.59,205.71,198.82,194.35,185.29,182.50,201.08,218.55,217.82,161.63,182.78,197.94,188.23,185.21,202.91,215.61,220.99,215.79,219.39,231.63,298.25,L7
2001-06-12 22:01:48+00:00,363.10,,269.58,231.69,185.90,,141.40,132.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,406.85,443.17,479.55,535.17,538.28,562.85,608.56,625.44,611.53,,625.88,603.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.50,,,,,,,,,,,223.32,,L7
2001-06-21 21:55:29+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329.48,301.00,271.44,270.11,280.57,310.11,339.16,417.12,,495.42,532.84,574.37,,593.92,614.50,618.13,618.62,603.84,648.35,579.21,590.89,565.87,562.19,554.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2001-08-08 21:55:01+00:00,292.22,,245.32,,,99.67,97.18,99.40,88.16,83.70,,,,,,,,,,,,,,,79.87,95.76,125.52,136.41,170.96,204.60,242.25,264.33,278.83,283.29,300.86,325.99,323.14,324.37,317.37,296.76,282.86,306.74,327.43,366.88,409.54,437.19,474.96,498.01,,562.90,585.27,589.31,583.81,586.43,600.29,617.21,594.15,582.57,571.84,558.22,533.60,513.72,506.85,502.26,497.56,497.36,477.17,449.64,438.92,408.24,412.00,402.95,376.74,371.64,355.07,349.69,339.35,324.46,305.03,302.05,293.47,295.61,293.49,285.13,266.29,244.72,249.73,238.92,227.75,215.93,222.90,209.45,208.62,200.78,196.42,194.35,191.98,,196.53,161.60,185.24,195.16,192.04,194.92,197.41,209.06,209.78,225.73,231.92,250.13,262.50,L7
2001-08-15 22:01:02+00:00,285.93,,233.92,196.58,148.31,,102.61,103.17,93.96,93.87,94.89,77.23,,,,,,,,,,,,,87.56,114.96,140.80,147.27,182.01,220.23,260.71,280.69,287.88,303.18,309.58,321.57,331.71,323.77,315.73,310.91,284.82,311.67,341.55,376.24,410.86,446.67,475.89,497.68,,551.12,587.56,591.32,583.22,580.28,593.72,598.32,604.46,585.00,573.70,549.47,529.49,511.36,502.38,507.95,491.48,471.80,471.95,460.35,442.45,432.14,415.49,406.49,388.70,367.75,361.37,339.20,342.79,335.87,322.14,302.88,299.41,296.75,291.04,295.04,279.69,264.76,240.44,222.06,228.49,231.01,214.57,213.16,193.30,196.43,202.41,199.00,195.47,,191.09,167.24,174.39,187.03,181.83,199.75,203.73,211.99,226.41,222.96,234.70,243.68,277.15,L7
2001-09-09 21:54:36+00:00,304.65,284.94,259.00,209.41,154.16,116.18,115.56,127.36,127.16,124.65,122.88,116.99,119.04,110.57,,,,69.26,,,,,,,,,,,,236.04,296.75,314.45,325.67,341.15,,352.39,367.28,341.74,337.81,326.74,,,,,438.24,457.58,487.14,498.62,,,600.07,589.57,589.61,589.81,606.88,,,,,,,,,,,,,,,450.91,435.34,400.60,,,,352.50,348.96,,,,320.23,286.38,291.50,296.50,283.01,285.70,269.04,,,259.35,238.76,253.37,,234.38,237.13,,,,,,,,,212.58,230.07,230.67,256.48,243.71,256.31,269.94,,L7
2002-01-06 22:00:55+00:00,256.65,247.11,237.46,191.11,140.21,,,,,,,,86.76,,,,,,,153.25,150.09,,,,,,,,,,,,335.71,348.80,,346.86,397.07,370.84,361.59,347.75,,,,,455.03,,,,594.62,572.47,574.14,583.68,,,621.02,586.14,600.62,610.20,,,572.35,525.72,505.51,498.92,,,,,,,,400.85,419.04,409.80,,,375.06,,,,,,301.29,,,,289.88,,260.44,229.22,180.47,217.21,,244.24,238.95,,,245.34,,,,,164.73,,230.89,254.80,,,,301.20,308.95,L7
2002-01-15 21:54:47+00:00,246.54,243.10,226.64,190.97,,100.18,96.86,105.78,118.06,111.33,100.05,,,,,,,,,,,,,,102.38,107.47,132.89,132.67,153.52,,237.13,269.68,289.57,298.81,306.01,317.98,293.06,314.80,299.01,282.74,285.39,307.82,333.15,360.29,418.93,452.97,483.23,526.75,560.52,576.74,560.15,572.96,592.64,597.20,580.00,603.00,562.15,562.78,556.05,559.11,532.98,511.15,500.67,475.72,490.61,510.42,462.41,464.79,425.57,407.47,380.02,371.87,362.03,373.93,356.81,340.98,,314.54,303.85,316.39,285.55,291.85,289.14,283.21,268.47,262.67,265.42,239.28,,179.53,202.68,182.93,180.97,201.54,187.51,195.69,198.64,,199.43,160.86,162.38,185.75,169.35,186.50,181.44,203.27,209.25,240.64,229.44,245.44,,L7
2002-02-16 21:54:54+00:00,257.71,244.02,239.97,199.30,159.40,130.74,128.24,148.05,173.60,168.43,140.29,105.46,76.27,,,,,,,,,,105.75,121.30,130.13,139.83,171.15,174.41,194.45,232.19,266.17,297.94,317.97,321.28,317.70,333.94,326.60,320.30,319.04,307.09,300.58,318.79,359.47,395.28,456.25,,543.32,560.18,563.51,555.00,561.50,593.47,621.46,618.39,600.46,599.74,592.65,587.91,588.67,571.29,554.22,524.49,504.96,494.52,495.65,501.48,493.28,483.57,460.86,429.87,409.28,389.35,369.67,383.37,389.07,,375.62,359.25,344.64,338.90,324.81,304.42,298.65,300.05,290.28,290.01,283.84,260.77,237.81,219.24,213.41,207.94,219.85,220.31,222.64,219.14,,,218.43,178.93,211.27,213.43,198.15,206.98,221.32,234.52,236.36,245.34,248.57,252.87,,L7
2002-03-11 22:01:07+00:00,241.95,,232.22,197.72,156.40,127.83,123.46,142.48,150.15,133.66,114.87,87.12,,,,,,,,,,,119.07,107.17,134.03,130.25,152.26,157.56,171.93,209.33,238.02,276.54,300.27,321.55,334.84,353.70,321.21,332.16,315.82,295.81,295.59,315.41,352.86,378.45,451.46,,537.31,559.17,577.98,572.14,567.94,595.78,619.12,614.81,594.64,605.34,569.26,582.98,568.73,564.96,552.34,533.70,517.74,493.14,504.60,530.90,479.82,483.26,450.89,428.11,407.10,395.03,372.93,391.38,379.97,,373.08,365.02,358.55,350.48,321.49,324.52,310.64,303.92,283.60,281.24,296.11,270.47,233.97,227.78,236.01,209.84,202.83,208.55,211.32,215.29,222.84,233.32,184.90,178.12,212.69,214.71,199.29,202.95,200.07,223.72,224.19,264.07,255.92,276.99,295.44,L7
2002-07-17 22:00:32+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,309.25,314.71,,331.21,,360.06,353.40,,,339.49,371.70,,435.73,,513.50,512.16,545.78,,595.89,597.20,,,583.38,,,,,,,,,,,,515.96,,,,359.39,381.57,350.53,386.79,,327.51,362.01,,,348.06,357.44,,321.42,331.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2002-08-27 21:54:00+00:00,266.68,250.90,218.76,188.21,156.38,127.13,123.36,129.36,127.18,130.64,126.42,122.70,113.22,99.71,,,,102.29,,119.79,141.46,,144.88,147.94,153.51,160.83,157.33,155.59,169.20,197.90,219.57,246.72,279.38,293.12,297.80,304.27,305.17,305.67,307.10,292.40,288.92,308.85,340.51,370.87,409.23,444.27,470.58,495.68,520.60,539.02,545.55,550.15,558.09,571.92,577.91,589.69,582.49,574.84,562.93,551.10,,,509.49,509.93,488.81,,,445.35,430.16,405.80,382.36,358.63,351.39,337.74,332.01,322.30,325.25,325.25,329.22,333.74,324.48,305.67,290.53,279.51,249.26,238.42,,,202.88,205.00,205.53,199.73,208.09,212.79,219.52,222.85,229.03,,196.65,194.65,208.44,211.51,205.97,207.05,202.46,216.50,226.23,233.21,240.39,258.06,295.08,L7
2002-10-05 21:59:55+00:00,237.99,235.90,227.91,,132.66,101.31,96.67,100.02,,,,,,,,,,,,,,,142.20,125.92,154.65,133.59,150.74,148.79,154.68,178.00,189.78,242.31,271.37,289.34,297.01,330.43,292.21,319.11,303.12,275.76,277.04,290.38,318.90,348.69,417.52,448.31,475.23,498.26,536.93,550.43,535.10,546.27,557.92,578.13,567.78,598.51,,539.84,524.67,534.65,530.81,525.97,512.28,490.52,495.19,527.87,,438.63,402.90,386.94,368.28,355.98,313.50,350.33,322.44,323.56,307.40,311.51,,,,,272.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2002-10-14 21:53:43+00:00,282.79,261.85,241.02,196.72,153.48,129.44,130.38,,155.05,159.23,176.36,160.86,146.51,,148.69,,,,205.53,,,,196.08,,202.05,,195.08,181.80,197.17,,,270.68,285.81,305.90,317.65,318.52,,324.00,327.13,,,,359.91,,421.82,446.08,485.99,503.68,512.60,524.75,546.14,547.96,566.59,587.66,603.88,587.68,600.68,583.29,573.19,563.75,563.02,566.39,,543.38,510.98,,497.44,477.84,,429.77,403.88,390.49,382.22,334.09,340.81,349.80,,328.48,339.82,333.08,328.51,310.59,296.40,301.94,280.57,252.77,,,240.13,214.89,191.86,201.65,202.96,213.95,239.68,,,255.10,245.64,,235.11,236.93,245.89,,,239.51,251.82,,,,,L7
2003-01-18 21:54:30+00:00,256.58,250.93,231.00,193.03,,96.25,95.92,102.23,,,,,,,,,,,,106.91,119.08,,171.39,149.98,173.28,148.94,160.06,153.47,164.00,180.09,185.95,231.47,257.35,283.87,296.43,329.34,293.35,315.55,295.21,271.80,276.94,281.37,330.05,342.54,407.21,436.03,474.80,509.51,535.86,544.73,520.64,539.66,564.04,572.83,561.07,598.63,540.80,546.89,540.39,551.65,539.38,528.49,527.48,505.79,509.35,518.42,,442.42,399.14,396.18,382.85,364.72,,,325.03,325.60,303.84,305.20,303.57,322.67,297.55,306.49,294.47,283.93,259.45,251.37,265.99,255.07,,190.69,222.84,187.89,184.19,202.21,204.52,204.48,220.35,230.30,208.99,173.03,202.13,221.26,221.88,211.60,192.70,211.01,,254.34,238.43,255.28,256.95,L7
2003-01-25 22:00:42+00:00,277.12,268.71,,190.18,160.14,,130.79,128.84,142.18,134.72,158.99,150.26,154.21,,170.86,,,,214.96,217.80,215.26,205.77,193.94,211.25,205.41,226.44,200.55,188.54,199.51,233.00,252.68,244.92,262.58,276.32,283.09,292.80,325.03,285.04,310.09,325.40,328.99,352.13,369.91,391.89,388.17,413.32,459.48,473.32,490.88,498.02,525.88,542.49,558.99,568.01,579.67,545.19,564.65,564.91,564.69,556.02,544.64,533.42,523.44,528.27,508.45,,500.14,435.66,423.81,415.04,395.97,378.04,362.59,336.48,353.46,335.78,348.14,314.31,305.20,287.87,294.05,302.01,271.04,279.84,269.84,270.42,237.94,225.22,261.08,226.24,,193.56,217.21,235.31,242.08,242.01,249.75,239.55,220.30,208.31,181.72,222.30,250.55,273.37,,,,222.71,224.39,234.31,,L7
2003-05-26 21:54:43+00:00,258.63,260.01,237.83,204.91,146.70,109.19,107.55,117.07,124.38,126.19,130.51,138.19,133.66,129.59,127.77,128.81,129.22,141.28,166.30,180.40,191.71,209.93,223.30,235.40,240.67,235.38,225.73,209.52,218.65,229.26,236.70,250.46,258.19,266.39,272.16,280.54,277.87,289.70,307.40,306.67,297.64,322.74,357.30,392.28,425.99,453.09,474.58,497.55,524.38,535.76,546.98,548.07,558.00,565.81,568.42,,,,,,,,,,,,,,,,,,360.84,368.76,368.07,357.29,351.33,337.13,331.24,318.66,,,,,,,,,,,,,,,230.48,,237.29,,190.82,,216.34,229.93,232.31,233.63,,246.32,247.29,,250.89,259.38,258.80,L7
2003-07-21 21:42:33+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240.07,232.79,,257.97,246.47,276.01,286.35,294.35,338.17,357.15,400.21,409.76,429.63,468.24,484.75,494.49,498.93,525.56,527.68,527.11,522.87,550.15,534.43,559.91,547.46,563.13,558.50,548.32,542.32,525.95,,,,,,,,,385.06,369.58,350.18,370.52,348.15,363.43,328.97,314.00,297.29,315.50,300.11,294.96,304.53,290.14,282.33,,,,,,,,,,,,,,,,,,,,,,,,,,L5
2003-08-06 21:42:51+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.94,233.35,228.47,236.53,,258.59,248.06,264.10,285.11,302.88,347.50,,401.04,408.86,421.52,463.12,474.56,483.80,509.40,539.49,535.84,529.25,532.65,559.42,538.78,574.30,555.91,543.07,538.26,542.74,537.15,514.13,531.72,514.84,484.29,,442.03,415.91,415.65,384.51,368.17,357.49,343.28,373.30,349.63,371.63,341.94,323.36,299.39,312.25,292.34,279.94,295.80,275.52,284.44,248.77,219.82,243.05,,185.15,226.01,248.59,246.01,268.75,263.49,260.92,,164.25,217.73,211.97,228.99,218.88,243.02,,215.47,237.08,204.51,219.52,231.69,261.21,L5
2003-08-13 21:49:09+00:00,273.22,269.56,238.58,194.07,149.16,119.21,112.12,120.46,119.68,127.38,124.88,119.03,117.46,111.14,116.64,108.70,120.06,134.24,145.20,162.23,185.09,215.04,244.28,232.82,247.81,219.17,228.23,218.52,222.35,226.08,215.21,241.45,246.24,247.12,245.81,269.09,241.23,282.63,285.35,277.54,290.34,312.10,346.24,374.22,429.17,456.84,483.73,504.92,,,529.93,535.74,540.11,553.88,538.94,,538.60,533.90,519.07,533.18,547.30,545.85,536.72,513.79,525.93,,465.10,457.86,422.98,407.52,392.88,382.01,359.00,,358.95,351.83,344.99,333.67,329.96,323.81,291.89,309.94,306.99,302.84,281.82,267.89,283.19,256.28,215.76,,235.87,216.54,225.19,240.86,242.39,240.77,247.29,,185.16,168.63,218.27,237.19,242.52,226.15,203.26,214.68,207.98,256.83,242.43,257.46,265.05,L5
2003-08-30 21:54:22+00:00,,,,,,,,,,,,118.21,105.32,103.31,,91.74,102.11,117.39,128.53,143.30,169.42,199.71,227.66,225.89,226.48,220.70,225.42,216.84,218.54,229.71,222.11,,,,,,,262.31,263.64,273.38,282.63,307.41,341.56,368.15,409.80,441.78,468.19,,,,,,521.17,529.50,525.18,542.07,539.00,524.39,513.51,526.39,,,,,,498.94,449.31,438.58,416.14,400.41,382.58,362.94,,,,,,321.63,313.39,320.71,290.28,293.05,293.55,291.06,268.77,,,,,,222.56,205.42,207.73,234.12,235.59,231.87,233.80,,,,,,,222.37,201.96,212.17,197.22,237.11,228.38,232.92,237.77,L7
