,dates,usa_CA_0298-0000,usa_CA_0298-0001,usa_CA_0298-0002,usa_CA_0298-0003,usa_CA_0298-0004,usa_CA_0298-0005,usa_CA_0298-0006,usa_CA_0298-0007,usa_CA_0298-0008,usa_CA_0298-0009,usa_CA_0298-0010,usa_CA_0298-0011,usa_CA_0298-0012,usa_CA_0298-0013,usa_CA_0298-0014,usa_CA_0298-0015,usa_CA_0298-0016,usa_CA_0298-0017,usa_CA_0298-0018,usa_CA_0298-0019,usa_CA_0298-0020,usa_CA_0298-0021,usa_CA_0298-0022
221,2009-01-13 18:42:15+00:00,219.2074991602961,236.82216918988175,249.3277986676115,246.11571183593566,237.06958511478985,221.22843928418146,,,,,,289.33248073787934,296.2286457867336,,300.87174873694164,296.2418044152257,290.3810874746986,284.34109422634845,277.00556120904685,266.2181593739937,262.010612797526,249.1216646119862,224.93026419010565
222,2009-01-29 18:42:42+00:00,,,246.34628363725852,242.54902953632563,242.12607299713764,231.60383011081603,237.98076786857337,,,,,277.4226460300006,285.6881915859062,,290.20993565560053,293.9438456557788,280.7698077336729,274.6924170128865,270.958076160733,261.28007926426443,268.69673285170484,246.66543770185075,222.41518572670955
223,2009-03-10 18:47:22+00:00,214.4243207817988,219.17182990769743,236.30023380175416,235.78721265557877,229.65317128349412,233.6334129681933,224.31962718151058,213.3229079080784,205.98012674298002,221.13117996510425,239.3214591237977,254.69203366375308,262.6264940796639,,272.2797828968129,273.6424663311945,274.0156701918337,266.2103073420681,271.67230902170473,271.24254890070875,248.20023760538947,236.58077781027723,219.65294897562052
224,2009-03-18 18:43:51+00:00,229.75060498210752,243.2481134705346,243.71562747997086,249.56326265649616,246.9520557604006,244.34281957653292,249.4771230880024,237.52225026695754,231.38466658767055,237.74704685437248,271.26036144819085,269.5199321728711,274.8956887973532,,,285.6238279535082,275.0293714184537,283.97515224911837,277.4264355213667,300.2201119520453,287.39786563228586,262.85212288188194,227.87433488569457
225,2009-03-26 18:47:28+00:00,213.25233111844827,225.57098639696855,236.90498755761047,240.25452920619603,241.13728065332546,235.4684944922982,221.37130037899442,207.57986549011247,223.3619087372859,236.2496776148019,258.7450641775604,261.71604408618754,270.0058231375524,,,271.3517637697561,263.52616342139754,261.162285734961,267.9577654585512,281.1351726167543,277.18870509840184,254.6000533170743,217.03489806303128
226,2009-04-03 18:44:12+00:00,226.73959629974615,239.97385390694103,249.5221199840548,263.2049354425718,252.4603916265957,245.34081048412662,229.38653134253533,223.8494458255243,246.25047563132978,259.85059041837394,274.280538044467,275.69865598653666,282.8511008817782,281.708286585162,281.91377353598716,278.9115994074233,272.9566589771396,277.38748908281303,282.3560851082592,300.68134282809444,288.26407010447224,260.5774154181804,230.74994979716314
227,2009-04-19 18:44:31+00:00,238.3463925453618,244.40488075593683,256.86180435948415,263.0950638430691,251.0480494582784,246.93793727089536,228.42633177777407,215.24972135180218,260.86200406227334,256.70729753478827,264.7864415222771,263.2940814458047,278.1512196317017,279.9223707572009,271.9538130192184,279.4351729405352,281.8037003105076,283.5847862628443,277.18696516877725,279.70012918515476,279.7542470016856,263.7768083914788,245.21407566060438
228,2009-06-22 18:45:42+00:00,239.21674858228235,243.64742203989815,242.86781757858722,241.55811405308512,232.69584158935515,223.70000909032925,213.8486931409448,224.839004391669,254.9313405730229,254.64596266211757,254.5024513907959,253.04778363068482,269.0845794186372,262.59995306023814,252.8972520074955,257.1200285767132,257.16658496132317,259.22785768826753,260.5654492887877,263.4329547064372,256.9910962335498,239.31898424156202,222.18743715193835
229,2009-07-08 18:45:58+00:00,244.70378530197237,261.5880255463473,265.9042351136116,243.90998686444445,241.5742241044912,238.65966892007137,228.87074108812956,241.12134633705125,285.30750566397086,264.02449899605097,266.93776349152023,271.3633910631022,283.9580693129828,279.5610005144277,266.41230177429736,272.43630947035354,268.7279369356073,268.0000179611558,268.5885358162032,270.1910124216335,265.5167441333157,254.29972144320956,231.94676866139997
230,2009-09-26 18:47:08+00:00,221.3896745872347,224.7170972007126,238.99137223178877,240.01011276446923,242.78811014333994,231.72979721928215,224.04776140144565,228.87273270702846,248.87562437445456,243.98416794989157,250.38111125104834,266.66292780167265,267.3551060358789,255.37886541251663,260.8233214139041,272.36952184654047,269.09005956956133,255.52168399880253,249.28195600579826,239.29435349172394,231.76863397661415,223.45313335355814,223.88197342108643
231,2009-10-20 18:47:28+00:00,215.553142956198,224.9134245033643,246.25040350832828,237.97010163152333,238.18416190894504,227.87063772173258,228.81541489595458,215.89246390248638,244.3037131013862,237.4367784569653,246.46259285429647,257.0631182284825,260.4052249624854,256.3293546578476,261.41407616954496,261.7235547881224,260.0032395937703,250.57938391509984,248.5437265559103,239.40232187131235,227.76309594233987,225.97918484461945,215.073714244193
232,2009-11-21 18:47:56+00:00,220.9295976880902,220.2159246046133,236.84694267465292,238.71470016640893,243.18673163466107,,,,,,,237.90906380597758,256.8328688477848,,,,244.86088119806166,244.34663664995088,244.6938875777447,238.95455992295686,233.8373613390115,224.36420632471902,213.6241274918964
233,2009-11-29 18:47:42+00:00,191.98900557117767,196.91449323897422,203.63632884135015,218.56447302157915,220.63047432763017,,,,,,,225.78202799301638,228.88580593046171,,233.5223888436753,227.67395409000102,231.4854666853552,235.78372048155902,230.73491285181174,224.01373956293855,214.02932276784642,197.06372293622545,201.97023346943234
234,2009-12-07 18:48:06+00:00,,,249.44574511849487,259.47581304564983,249.37629396239242,,,,,,,259.9458388215615,257.2522750794424,,,,258.97437053997044,,255.6295214633711,258.20575513313156,248.78124225166206,237.1167231774741,223.62364552066015
235,2009-12-23 18:48:23+00:00,,,250.32827960210457,271.80892714355355,274.5960199118448,,,,,,,248.08096062612142,247.63232878110307,,,,270.24419496485604,,273.09192467382,262.77948970523283,243.5635554325981,237.40881140102823,222.21840799831656
236,2010-02-09 18:49:05+00:00,218.80122402365726,,244.81189467444423,253.03571348543775,241.79023173699792,,,,,,,183.58055138078925,204.46859617399303,226.22350275556528,,242.12011746652695,248.52436721877615,,265.0357651272909,263.89687917337267,256.6001296534242,249.708316431184,234.9857752803048
237,2010-03-13 18:49:22+00:00,185.89976577814713,191.01781303490432,219.35037356767657,228.90687242471458,215.13764093142194,,,,,,,172.32265022837043,179.38456618514653,,,,,,244.26248994386592,230.49454464977268,229.5603130312122,220.66762772266702,206.40191579545473
238,2010-04-06 18:48:09+00:00,,,,,,,,,,,,,156.33198812402327,,,235.76839398878423,245.0843722136882,240.0714040936449,243.84032582631744,243.9153172629808,249.73146629432142,231.65314666774066,216.3325100601711
