dates,satname,sar1299-0000
1997-06-20 09:29:57+00:00,L5,
1997-07-06 09:30:31+00:00,L5,
1997-08-23 09:32:05+00:00,L5,
1997-09-24 09:33:01+00:00,L5,
1997-10-10 09:33:28+00:00,L5,
1997-10-26 09:33:54+00:00,L5,
1997-11-11 09:34:18+00:00,L5,
1997-11-27 09:34:40+00:00,L5,
1997-12-13 09:35:04+00:00,L5,
1998-02-15 09:36:29+00:00,L5,
1998-03-03 09:36:45+00:00,L5,
1998-03-19 09:37:01+00:00,L5,
1998-04-04 09:37:11+00:00,L5,
1998-05-06 09:37:39+00:00,L5,
1998-06-07 09:38:09+00:00,L5,
1998-07-25 09:38:40+00:00,L5,
1998-08-10 09:38:46+00:00,L5,
1998-08-26 09:38:57+00:00,L5,
1998-09-27 09:39:11+00:00,L5,
1998-10-29 09:39:14+00:00,L5,
1998-11-30 09:39:20+00:00,L5,
1998-12-16 09:39:17+00:00,L5,
1999-03-22 09:39:15+00:00,L5,
1999-04-07 09:39:02+00:00,L5,
1999-04-23 09:39:04+00:00,L5,
1999-06-26 09:38:12+00:00,L5,
1999-07-12 09:38:05+00:00,L5,
1999-08-21 09:53:13+00:00,L7,185.53
1999-08-29 09:37:39+00:00,L5,
1999-09-14 09:37:06+00:00,L5,
1999-09-22 09:53:17+00:00,L7,185.18
1999-09-30 09:36:52+00:00,L5,
1999-10-08 09:53:23+00:00,L7,173.46
1999-10-16 09:36:58+00:00,L5,
1999-11-01 09:36:34+00:00,L5,
1999-11-09 09:53:16+00:00,L7,173.47
1999-11-17 09:35:57+00:00,L5,
1999-11-25 09:53:07+00:00,L7,173.48
1999-12-11 09:53:17+00:00,L7,164.31
2000-01-20 09:35:06+00:00,L5,
2000-02-13 09:53:05+00:00,L7,186.35
2000-02-29 09:52:59+00:00,L7,188.40
2000-03-08 09:33:45+00:00,L5,
2000-03-16 09:52:55+00:00,L7,173.48
2000-04-01 09:52:52+00:00,L7,187.93
2000-05-03 09:52:36+00:00,L7,188.46
2000-05-19 09:52:25+00:00,L7,182.47
2000-06-04 09:52:13+00:00,L7,188.42
2000-06-12 09:36:39+00:00,L5,
2000-06-20 09:52:10+00:00,L7,178.66
2000-06-28 09:37:02+00:00,L5,
2000-07-06 09:51:56+00:00,L7,178.42
2000-07-14 09:37:22+00:00,L5,
2000-07-22 09:51:40+00:00,L7,183.41
