,dates,aus0199-0000,aus0199-0001,aus0199-0002,aus0199-0003,aus0199-0004,aus0199-0005
23,1989-11-19 23:07:42+00:00,217.91697077306836,210.12404955672895,215.32122980082565,219.52281566475014,219.46619871187315,207.4968888341896
24,1990-04-12 23:03:54+00:00,223.73552710215873,219.74666917903357,219.71490555843005,222.99950018660306,230.66729469488507,211.8032996037213
25,1990-06-15 23:03:52+00:00,215.78278047500973,208.99253988481257,218.34818836843897,215.93157777445657,221.88913469611754,219.90056035360539
26,1990-07-01 23:03:52+00:00,226.44731365822815,225.85804291746933,226.47981931881282,230.05983863009902,234.72402206010747,228.59883235445304
27,1990-09-03 23:03:33+00:00,222.06506934678754,212.65375119902535,207.7651669216041,211.93739189243897,213.11362504201608,200.1614499218698
28,1990-09-19 23:03:30+00:00,230.3801810743388,218.62159960834398,219.13447587563664,216.36070294800894,223.9169074982389,210.97062966519874
29,1990-11-06 23:03:11+00:00,220.8587817805373,210.59378358212496,211.46898983222334,210.61044614276548,224.87919385177935,214.9291036301592
30,1990-11-22 23:03:06+00:00,203.11102015286045,201.25893632002368,209.35986966290403,211.35230412740063,209.02884322637118,199.05643293888775
31,1991-01-09 23:03:46+00:00,215.77202038165245,213.79730434797852,219.98344548614094,224.02075758329414,219.41215396945103,214.75521734404612
32,1991-01-25 23:04:14+00:00,204.51649242778834,201.35079817064914,207.97111713568094,215.45830990696146,219.9853983546133,209.98845637563505
33,1991-03-14 23:05:04+00:00,215.73236644205957,210.7465296317463,216.1074597219506,228.4888955795866,218.72674941141017,209.8713593633887
34,1991-04-15 23:05:39+00:00,220.9015996210735,221.28034662375248,219.46943536354811,231.29997247436077,226.63355837626634,218.1995396679243
35,1991-05-17 23:06:10+00:00,236.87432229505748,230.36937212346731,217.70581637960555,220.65566768926809,219.83859420949182,207.78372466786342
36,1991-07-20 23:07:07+00:00,218.77104684188785,211.1973290686902,215.55372490093256,214.88904429403345,217.04261584516985,202.9796625862272
37,1991-08-05 23:07:13+00:00,219.70905992669307,243.67770224192358,222.33226659069578,220.37391274902922,225.4337753909282,207.08960665565886
38,1991-08-21 23:07:18+00:00,239.54999259511584,236.0514483597478,228.59698149120135,226.2157212563549,224.71154547364262,209.33793521470164
39,1991-09-06 23:07:32+00:00,247.655653854605,241.1539487907695,239.24828633165816,226.31952483900196,221.7948402473204,201.70472329052237
40,1991-09-22 23:07:40+00:00,238.5297305569601,231.11686914773009,225.0091936631273,227.3128849191869,225.6577231240478,218.70741792208952
41,1991-10-08 23:07:46+00:00,251.4437717193965,237.95430004519315,238.68993040080775,236.45906649937194,232.66314753118976,224.51467410363534
42,1991-10-24 23:07:49+00:00,248.87592674982156,239.97643955744036,234.22815030911298,235.34106256604477,235.19842431722145,226.32981216380324
43,1991-11-09 23:07:55+00:00,240.8803708974313,232.07773887067555,229.2900765692945,229.91971235672236,230.17077870087653,228.67710196738363
44,1992-01-12 23:07:58+00:00,231.3694773051393,218.32132610892336,228.8237389713902,223.97640458526857,234.9326646892166,221.53058013590635
45,1992-04-17 23:07:40+00:00,226.344454343067,220.25483213186683,221.17962785946702,229.70826336845565,232.27620676279412,223.31424449462028
46,1992-05-03 23:07:30+00:00,229.39267248746,226.61767713897626,232.51361472326084,237.60359221760106,241.86650807294592,233.95296570715502
