,dates,chi0111-0000,chi0111-0001,chi0111-0002,chi0111-0003,chi0111-0004,chi0111-0005,chi0111-0006,chi0111-0007,chi0111-0008,chi0111-0009,chi0111-0010,chi0111-0011,chi0111-0012,chi0111-0013,chi0111-0014
49,1990-05-06 13:57:14+00:00,,,186.91306570370685,177.0126690244932,176.77168948892077,182.469696980727,181.77323460228152,180.4937756523235,165.53197811089726,156.04280523988595,140.57415687452774,167.1328998190129,142.53719688192632,129.27596500051453,141.1525926566962
50,1990-09-18 14:03:02+00:00,234.23797102793003,191.09602413562996,195.60299034501477,171.68469303766975,176.98355291725926,178.76741687913972,176.19018041201673,174.54964774850646,157.42733706752475,162.08364208585922,154.15251478895976,171.20257506314698,158.24498660288168,146.65175614468242,143.46370705865016
51,1990-09-27 13:56:46+00:00,203.21105678936092,177.8376258170131,167.51030934541365,148.99793824464635,168.07088780190335,185.1404858192617,,,,,,168.07258867809355,159.77163168088975,,192.869573221435
52,1991-01-17 13:57:23+00:00,232.0676959000721,185.44108311893433,175.62030144888877,173.76137234652995,170.39055757274718,179.96670670804536,181.04167825871266,169.04925999599115,154.22419385933227,148.6001354741089,144.1257996468468,162.25320886547541,147.67516507612592,,214.94143077510253
53,1991-01-24 14:03:44+00:00,228.24621012545668,178.383254915334,174.56447961883129,172.75258639818887,173.3360758688632,172.69006625449146,169.14515774375195,166.78796409578646,156.2643669007485,146.22848315486382,140.87722495623822,156.25148142225584,143.66785990982274,,223.4678157751141
54,1991-02-02 13:57:36+00:00,232.02109579001413,181.30875396910068,172.66377954770974,164.8233640687502,165.60303986169677,170.4203819617799,175.82513314052648,172.21244601792677,152.14878818801208,143.66575770045398,138.9839942577642,164.1528639208127,144.45271301194282,138.34448451071995,200.1176498787768
55,1991-02-09 14:03:54+00:00,228.42132240478318,185.15096624754656,183.26336784565586,181.1027524374586,183.80585600342366,180.98242870286026,177.44807107728016,165.8635383461229,150.38710979709623,145.19286248276146,140.21923832697496,166.38003519025898,146.41226561412995,135.33697277004129,214.12464749716995
56,1991-03-06 13:58:14+00:00,229.72800803448752,180.58434476351857,176.18913448265522,169.74503838612307,176.04790151548826,172.79648198636855,172.8328407491049,168.7206621398103,151.16757587813768,146.44674738353424,137.2617139019485,155.24954327217114,136.3775009852439,127.83226878938775,130.65166355739183
57,1991-03-22 13:58:37+00:00,245.5973308383599,192.96645650695072,180.67647722014596,164.95317316307407,172.56553220343804,175.43692805742484,171.7316781683942,170.16142050332536,156.17881112860493,157.07576366981237,139.29850882221322,163.01290220874432,136.21532580858147,124.25778261193479,133.51518304465404
58,1991-03-29 14:04:48+00:00,259.04019891763323,197.8917555219783,189.55844132366337,178.71417916265776,182.26085348131022,181.0230874538994,175.8597363852605,173.69391131850657,164.10143989187293,155.8841038183545,145.77867348299208,164.38847075496545,156.26735141054786,133.95169347769593,140.28161160862643
59,1991-04-14 14:05:10+00:00,231.55156563103432,197.95450742870636,189.81616693551578,184.2662261171599,180.53078814540135,178.91993288098791,175.19817380777604,178.60266688633885,163.93463230928728,164.07145261302372,152.4765954146632,170.33405780226573,157.83008981665301,142.61182748658666,143.16609171097977
60,1991-05-09 13:59:24+00:00,229.79063569070112,183.97694678418222,179.26485920443744,176.53831735300676,182.40466305364856,189.15856582187345,182.47502713767796,180.41253681612878,170.93805079660203,162.8462656250456,133.31556574982548,161.10573445366236,144.61854056199786,120.4823459948412,133.87609408185486
61,1991-05-25 13:59:40+00:00,233.16975031290877,187.38633408821713,180.9628624267877,174.83276186703975,180.6432897003848,183.94503411566248,183.57706597204304,173.42071980192395,160.67739846879564,155.9734183299405,145.223597772564,165.08984266059556,149.547348026757,130.56222336261501,137.3291303578962
62,1991-06-01 14:05:57+00:00,222.69135330789615,185.43845011031755,181.08385142454387,178.85576371399426,184.60623907162685,185.93703092791597,180.44500874106294,175.73929117171375,159.09502783990555,157.96571473193737,140.53731908999097,166.56066057842227,147.6310433584649,129.5588585625508,131.36436460354486
63,1991-07-12 14:00:17+00:00,246.05361327334407,190.323702335905,190.23605795702102,173.34077458870388,179.8921534001411,184.0674324064474,181.2046203761206,180.23762202975314,162.14532411458697,157.97328405445535,148.40624893049994,167.87013005912272,151.2246388227843,141.7373135240258,146.6124358501722
64,1991-07-19 14:06:37+00:00,231.67899029607813,182.42478755621357,173.39548151762116,178.59654699181974,179.91494155124948,183.7696282418985,176.4703358848355,170.8778453250592,162.84869386092626,154.82823463429767,138.5422832397417,164.88492069188945,130.80828056401165,117.63748270212037,123.32002287567781
65,1991-09-05 14:07:02+00:00,221.49051972444707,182.441377618319,164.7395806460763,162.85070505647784,175.758795975231,182.93655222050378,148.82379469084006,133.5976076420691,138.44926777100056,156.78879383738038,148.68861352877178,174.7431831495324,146.48883555116228,134.16886567553615,136.50623085789502
66,1991-09-30 14:01:01+00:00,228.75486295671314,181.1382204806175,172.22660194114692,166.8214523102025,172.13259790232678,175.3592737888591,174.3809278253257,,,,,,,,
67,1991-11-08 14:07:25+00:00,227.33259357763012,184.21770854524217,178.88642667812,172.17251995389734,175.9429160390407,170.83306303282285,167.65963917436062,162.35780347715425,154.44752696481646,145.6997186651782,148.2032825837022,168.51715317691358,145.25970644488186,185.7652526771168,204.81481632786645
68,1991-11-17 14:01:16+00:00,242.66007791498868,178.33125906517142,176.6641262071697,169.77246154914323,177.3784727416888,173.7643614898785,168.6076020205387,161.30610696343055,143.3336890179858,141.36880286484936,132.8112077576017,,,,
69,1991-12-03 14:01:30+00:00,231.00457045778475,180.14203594345642,174.04600309792795,166.33511015109644,174.32550473588964,175.20641027874254,175.84922205882947,167.42074967686472,150.55580625294218,147.91431970120126,142.8476573526276,169.2814256433342,148.10976323622637,181.65960743907644,205.66704213337806
70,1991-12-26 14:07:34+00:00,227.4104549550231,182.80671330387128,178.0925837332499,176.1183930456903,176.96836580832348,176.51778975539898,175.49435076927466,168.94206375157913,155.56115408445362,149.7816917157953,145.3473734844106,168.2175315415589,138.51133145956044,182.219125154764,199.0511204389866
