,dates,jap0025-0000,jap0025-0001,jap0025-0002,jap0025-0003,jap0025-0004,jap0025-0005,jap0025-0006,jap0025-0007,jap0025-0008,jap0025-0009,jap0025-0010,jap0025-0011,jap0025-0012,jap0025-0013,jap0025-0014,jap0025-0015,jap0025-0016,jap0025-0017,jap0025-0018,jap0025-0019,jap0025-0020,jap0025-0021,jap0025-0022,jap0025-0023,jap0025-0024,jap0025-0025,jap0025-0026,jap0025-0027,jap0025-0028,jap0025-0029,jap0025-0030,jap0025-0031,jap0025-0032,jap0025-0033
264,2014-10-24 01:01:41+00:00,187.85161247646292,,192.83888389651707,189.25823214260723,179.70980997519808,182.8279289826227,191.7226834510335,190.60052224560562,192.34075345363306,174.7029208561164,,,,,164.6529119616551,,,,,173.10251879888875,170.87606179956623,165.0445826935122,,,157.9120851830699,142.85525311173575,163.08316986057594,,174.66290610525047,160.92039608184808,160.43336906780857,180.35527669550865,191.8668860943406,187.47921358493107
265,2014-11-09 01:01:42+00:00,196.2955687249237,198.1441567696775,194.78260717018057,186.51463438628446,177.9200234375211,175.35590841629025,,182.9848119725094,181.73033006795674,164.34011055007093,,,,,156.25612326471324,,151.18386603757017,,,158.41120355961928,167.64316907410276,,,,172.35187311303244,166.32284960350157,163.4005081868122,173.4944545735457,172.7996724524755,166.5525005157092,170.82754500521926,179.41236076604287,192.99357534338407,179.24899823975616
266,2014-12-04 00:55:28+00:00,183.37817119082618,190.6677244695735,186.82591986204451,183.92164309381891,177.06508059344037,170.36723655459193,181.55101855790105,178.95397394062394,175.6630449293174,159.12528340795686,,,,,,,,,,152.4962608868666,,150.97439511504834,,163.05755766247947,163.3175863962916,158.18973539647797,,156.05138334554826,163.98677470547761,157.31969865663373,165.42894657283784,169.5820686773557,182.86335803599923,171.19574579872395
267,2015-03-26 00:54:48+00:00,,191.384881141862,195.29828403995145,192.3202733822146,183.44679927110678,183.28337867512917,187.80472894835108,179.9580643641213,177.431024293434,160.62658739646753,,,,,156.6687861111363,,,,,173.5890758940319,174.7394648621575,168.6096094043518,,186.58021148603635,173.2816555199294,166.2184092653376,164.9196357190535,,175.49130865089822,167.77952259767181,,188.59147760001554,196.5912906250688,186.82733349833538
268,2015-04-27 00:54:35+00:00,180.8263383999449,181.65885490310447,185.58295243987496,179.62104027304358,169.30642113048285,166.7677286637937,170.32329510294304,165.0175423894988,160.94853948441715,142.63633872344144,,,,,138.58716722956876,,,,,150.26592491130504,156.1154548541506,150.66833969485168,,165.58463207889426,161.85458627573948,150.3654226631321,,,157.58777535438486,152.91586181205219,160.52909272319297,173.29348388962896,184.695873383171,172.27917294315228
269,2015-10-04 00:55:19+00:00,177.9182055184333,181.2977542992544,178.92782077966993,176.2156712036885,172.13438912627885,189.98832883866012,201.4785876744557,193.58476375255768,174.3832139139624,155.71061238160163,149.27376059405705,,,,,,,,153.49731050582622,150.83956580416364,,150.8880117411639,,160.89617625123265,161.8038804730224,151.69045683511595,144.9328799891426,,155.4901087676112,146.80931941857202,158.13036412043766,166.1883580443046,183.07172985235877,167.3537406949179
270,2015-10-27 01:01:34+00:00,191.25131950988907,195.23855190279212,194.15889787448688,182.6623726217366,172.1159785344257,172.52869995810036,191.84629748538583,187.29205824644706,178.3589146259959,159.84802162287005,,,,,147.35589269326715,,,154.08466523362443,,,164.4523959761288,168.3053860132393,173.36290274307567,169.5342328280928,168.68958710377538,159.30330769818087,,,166.06685214167456,159.89274103573752,167.23944996129794,184.47798355748432,192.56076693495376,179.74527335250224
271,2015-11-05 00:55:24+00:00,179.0150057248738,178.3551492284663,185.67148064110117,180.86643572363718,173.68806447836482,174.6077841879157,188.77241793797037,181.59519083572548,181.95893177190874,159.65535698025846,,148.88901180381887,,,137.68260472097498,126.86646430169704,,,,,,151.83365517184563,,165.61341994286607,161.8377072162848,145.61559727229047,,,155.3734326268157,145.97150464565465,153.64999203978618,169.51639745888167,178.68775698943836,171.8225529377796
272,2015-11-12 01:01:34+00:00,,,183.85502194513055,,,,182.2103204275731,176.01367319842882,,114.85022812011454,127.2851963571023,,,,,,,,,155.5248749002466,161.20676190855596,167.21633911850674,,,170.0516320476796,156.47483006467047,,134.56561073004383,,140.35770808837808,,178.88926680144033,186.62198867916678,174.27526394659955
273,2015-12-14 01:01:36+00:00,178.3255023023971,181.49295084166582,176.90228172608042,173.26619897588782,167.21744750293345,172.13568496348873,187.70534720782484,182.71288462967559,173.64396132877232,149.9593946513786,,,,,133.96420585848415,,,,147.30560552759732,147.6546470484073,153.50714749517033,151.74340436459977,,167.30597425386628,161.36422677985973,147.1170185041333,143.4791275436177,,157.33323915750637,145.8025910662623,155.31473232954363,167.2928806934464,167.76480096919443,150.76251095687206
