,dates,per0242-0000,per0242-0001,per0242-0002,per0242-0003,per0242-0004,per0242-0005,per0242-0006,per0242-0007,per0242-0008,per0242-0009,per0242-0010,per0242-0011
101,2000-05-16 14:34:09+00:00,186.03017371983938,184.49312051685445,179.09530683360214,196.16885613813938,210.8152149436337,201.0223519183301,185.26678434095246,172.0812953638036,179.81790204365126,177.66623408314754,172.68331623912536,160.7657465063456
102,2000-05-23 14:39:47+00:00,193.6366641351016,191.85888865688628,185.47542957576735,196.16317552699314,203.0350244899651,197.57681870631188,183.0634682882902,158.42510868764617,171.58268110787554,175.2373041681523,162.0906951815755,157.01396334887093
103,2000-05-24 14:17:55+00:00,191.29593275971837,220.9271143614655,185.62824462817167,191.96768235311382,229.27994515813867,204.89978921318107,192.98668064734022,174.48323715248858,179.4556968018075,182.1862634035749,163.81658619315567,163.82912617439302
104,2000-08-11 14:38:54+00:00,,,,,225.56360857411556,204.11819402421168,180.85526450452716,158.32189327331196,165.17830264002257,164.13927898847078,160.86959914757958,151.04454844436736
105,2000-09-28 14:38:16+00:00,,,,,,,,,,,,
106,2001-01-11 14:32:31+00:00,202.8645581355529,219.12384451601724,198.80003910760365,200.5617418653777,235.7720655904286,212.85763778546107,181.19713065043942,173.04347252740922,176.2724646704232,177.98475528875332,185.5462961159102,180.86224843091094
107,2001-01-27 14:32:33+00:00,204.54140336530503,220.5850711986296,199.75260513225007,200.99764165085787,231.56335493726866,212.50904788722747,185.40110895029395,176.28630847442093,185.13134324334555,189.94923347638678,194.18389578023266,194.58579594007443
108,2001-02-04 14:22:03+00:00,219.42892355359726,240.8730081305621,213.55321980133192,224.1205949446994,247.34668413168168,224.16663756852188,192.86022735806898,179.88135752281147,182.18967194474152,198.77168051466242,206.2710142343762,201.41697761013896
109,2001-02-20 14:22:06+00:00,204.24575021299728,226.09917555473183,195.837092528776,213.68469330172303,237.84797645629152,218.12569715368065,189.44965830157037,175.09661947733628,179.68960529639816,190.58077862192278,193.17301992345807,195.19338461301035
110,2001-03-08 14:22:10+00:00,,,,,,,,,,,,
111,2001-03-23 14:38:00+00:00,,,,,,,191.4309343659478,183.60797765910155,174.70659350365398,184.43390810578325,185.37816017459835,195.55269193465097
112,2001-04-01 14:32:09+00:00,189.36717261686934,193.22095061183597,186.64650066524987,197.51171301746382,211.7876803132836,207.4526381259576,188.48465884786083,175.75401105164215,174.03151888103275,180.06577415254574,181.41921836482254,186.91174525762938
113,2001-04-08 14:37:53+00:00,189.5215189479342,196.49452643832342,187.51649397587965,211.57829945257174,231.3145565376626,218.1116529012989,198.00890218095645,170.0436942168394,180.0156896248796,179.3372855835519,184.17984658661743,184.5222574639571
114,2001-04-25 14:22:09+00:00,180.7835253607984,178.52099049784374,175.95612092853983,190.53397747428508,202.1963661128533,199.04856657227714,177.20644605747535,151.6529880286621,166.8258263654111,167.15750805823825,172.69057129707969,171.78055990782678
115,2001-06-27 14:37:33+00:00,182.04236568104213,194.14944151800685,190.8835353104708,199.36427835292054,217.48440027207738,201.85200196310888,185.2134008192001,167.24784545172724,167.03208618152428,169.93476633027655,179.96009862812386,176.5786100116567
116,2001-07-06 14:31:24+00:00,,,160.84054818310176,180.6340108005463,185.54299124249795,175.53274882203678,,,,,,
117,2001-07-22 14:31:19+00:00,175.25404337281043,176.5468844806374,176.60587996051171,192.340175808425,196.06216796596914,191.2044632722374,174.97707216064293,155.98797729605025,165.94019680348484,165.43917845801025,169.54073771515868,159.52642676728956
118,2001-07-30 14:22:21+00:00,197.58009140562248,,207.81015861433775,227.17894589495114,241.1689049586991,220.32548053627858,205.89346456150332,181.33764079201347,178.36321498925895,188.8283108479496,189.5335582873488,184.16411876493106
119,2001-09-24 14:30:30+00:00,202.2346636016822,,185.33628347361613,201.34337144382206,238.5107533124082,218.04869917556334,199.47038557099393,173.7599675373894,172.7346476225619,177.87090286716625,186.6629778181921,186.95226051307276
120,2002-01-06 14:21:03+00:00,221.04685183580372,,185.60779209273335,212.8840487921624,252.73035968786877,240.87978461347635,209.56566017199805,184.1304815396468,183.48928125116245,203.1769354339912,201.36036233296036,201.04635857501435
121,2002-01-14 14:30:48+00:00,203.0286315770918,203.40101099752079,172.45653358782707,195.525219944078,219.140226943656,212.15530333596183,188.37351015520193,164.36178237066704,175.90399666314198,182.61704975517506,187.08389656980307,187.66305417362668
122,2002-01-22 14:21:02+00:00,,,,,,,,,,,,
123,2002-01-30 14:30:49+00:00,205.7218405192991,201.5321421887367,172.0027530674922,188.75023141540547,221.18471991429533,218.48102641497633,193.40411067592294,176.0773091613009,174.86911744279135,182.77278352052116,186.76380615892407,184.97151106778375
124,2002-02-15 14:30:56+00:00,209.00009500752267,,177.12350296677783,201.14898393277588,236.5096521372324,229.4136293274577,202.70136731354359,191.04689387128624,181.5275451362153,192.35472966819484,187.68594350846635,193.15264254939333
125,2002-03-03 14:30:59+00:00,207.44324554518178,210.1685144389025,174.39869147054105,184.51904883520712,226.31494631934743,219.014595226948,198.4127212035134,182.43168075065478,178.4739119036683,187.38030928224543,183.07250517828064,183.88231004554848
