dates,satname,sar1742-0000,sar1742-0001,sar1742-0002,sar1742-0003,sar1742-0004,sar1742-0005,sar1742-0006,sar1742-0007
1989-07-16 09:27:19+00:00,L5,159.22,175.37,220.82,192.93,171.29,146.68,177.18,189.48
1989-07-23 09:32:57+00:00,L5,155.29,163.20,219.75,189.49,166.18,143.42,163.29,179.46
1989-08-01 09:26:59+00:00,L5,151.25,163.43,209.97,192.90,168.19,146.42,181.65,187.28
1989-08-24 09:32:15+00:00,L5,153.76,165.73,212.97,189.93,164.19,145.13,178.81,192.63
1989-09-02 09:25:53+00:00,L5,152.82,166.22,213.46,192.41,169.74,150.42,184.85,189.64
1989-09-18 09:25:44+00:00,L5,157.22,162.49,210.94,187.61,165.22,142.48,163.49,194.88
1989-09-25 09:31:28+00:00,L5,157.34,175.55,221.73,195.35,169.59,147.81,181.80,194.33
1989-10-04 09:25:36+00:00,L5,158.27,168.12,206.15,189.06,171.36,151.96,180.36,187.35
1989-10-11 09:31:06+00:00,L5,158.43,177.87,225.14,199.37,170.08,148.59,175.34,187.58
1989-10-27 09:30:27+00:00,L5,166.79,181.95,222.02,204.69,178.72,162.90,180.26,191.87
1989-11-12 09:30:07+00:00,L5,159.31,174.33,212.28,196.62,172.65,158.66,181.33,197.00
1989-11-28 09:29:40+00:00,L5,154.32,165.68,210.72,194.13,175.28,151.18,183.54,192.20
1989-12-14 09:29:14+00:00,L5,159.93,177.77,220.89,199.37,171.12,147.95,180.64,187.34
1989-12-23 09:23:10+00:00,L5,158.79,166.38,209.59,191.71,176.25,151.15,187.70,189.13
1990-01-31 09:27:43+00:00,L5,155.97,166.26,215.78,192.86,171.78,148.88,184.62,195.12
1990-02-16 09:27:12+00:00,L5,158.30,172.83,219.74,203.36,173.14,149.45,175.73,178.87
1990-02-25 09:20:45+00:00,L5,,,,,,,359.09,
1990-03-04 09:27:02+00:00,L5,146.93,162.42,202.35,177.62,165.47,146.97,178.94,188.73
1990-04-14 09:19:47+00:00,L5,160.99,169.25,215.63,197.99,178.21,162.13,194.99,200.65
1990-04-30 09:19:38+00:00,L5,,,351.42,110.72,,,413.06,416.28
1990-05-07 09:25:55+00:00,L5,161.49,170.96,209.94,196.20,183.33,162.58,197.24,201.01
1990-05-16 09:19:49+00:00,L5,171.09,185.43,229.05,208.18,182.99,151.88,179.52,186.50
1990-06-01 09:19:44+00:00,L5,171.41,181.55,217.61,203.53,190.45,164.63,193.14,194.76
1990-06-17 09:20:06+00:00,L5,168.20,179.98,227.54,203.90,,160.83,176.81,187.31
1990-06-24 09:25:54+00:00,L5,139.32,153.51,204.95,175.89,156.65,140.16,179.23,183.41
1990-07-03 09:20:06+00:00,L5,161.58,174.17,225.94,199.56,,158.56,174.98,183.19
1990-07-10 09:25:52+00:00,L5,149.23,163.59,218.44,191.67,167.16,149.09,171.72,184.56
1990-07-19 09:20:01+00:00,L5,160.50,173.04,226.76,195.69,,157.48,183.28,189.58
1990-07-26 09:25:48+00:00,L5,159.33,174.01,214.59,192.65,170.75,143.73,175.00,180.10
1990-08-04 09:19:56+00:00,L5,161.06,170.82,211.10,197.93,177.93,155.96,178.61,190.52
1990-08-11 09:25:43+00:00,L5,158.97,167.85,214.73,194.50,160.44,142.95,176.64,187.90
1990-08-20 09:19:30+00:00,L5,163.34,180.75,216.90,203.24,171.96,155.05,181.66,198.30
1990-09-05 09:19:46+00:00,L5,153.75,166.24,206.03,193.45,175.49,157.86,176.97,189.41
1990-09-12 09:25:35+00:00,L5,141.62,159.72,196.38,170.87,150.93,151.25,184.96,201.07
1990-10-30 09:25:11+00:00,L5,164.21,179.93,234.22,209.39,,153.55,168.46,175.83
1990-11-15 09:25:13+00:00,L5,153.53,167.28,215.12,194.64,164.47,150.95,176.09,193.96
