,dates,usa_HI_0012-0000,usa_HI_0012-0001,usa_HI_0012-0002,usa_HI_0012-0003,usa_HI_0012-0004,usa_HI_0012-0005,usa_HI_0012-0006,usa_HI_0012-0007,usa_HI_0012-0008,usa_HI_0012-0009
10,2000-09-23 20:44:31+00:00,187.36812981732973,186.0834425388722,179.94466858739239,175.62978048355075,180.77023484003877,182.61335326729798,193.34318173594397,187.9284414608401,193.6352719464567,189.94746038551503
11,2000-12-28 20:44:30+00:00,197.0501860104197,195.47265859804,186.6473698788513,180.8057750407461,183.25252879756945,192.2794664738391,192.31609081751566,197.13633471451647,193.22847016880297,199.28177384922063
12,2001-01-13 20:44:32+00:00,178.98719462837823,173.59416486798278,167.46883197142537,160.1472446689474,,,,,,
13,2001-03-02 20:44:23+00:00,184.57746996910979,192.3986219724729,177.0568600346797,171.86395667823786,165.2317802923283,178.68690229571334,172.6446217116094,189.9481522792454,184.16509204446928,188.83583317833887
14,2001-05-21 20:43:54+00:00,188.75498142001203,188.45056517955334,178.1292723688457,175.49068190909415,177.3496223430402,179.94390545798774,192.71621440182577,,,
15,2001-09-10 20:42:38+00:00,181.8070457919284,179.20349211397172,172.01808188127504,168.330181725531,172.0880337574672,178.11465606257872,180.79208407399528,181.51614537145835,176.28655854167332,185.28072412729105
16,2001-11-29 20:42:36+00:00,191.60359176423344,191.25861892566013,181.05500957318966,175.93850588847116,176.54571876967142,179.8229747512664,191.43458720896922,187.70985593099454,194.80816495631018,193.65269253295799
17,2002-01-16 20:42:50+00:00,194.53877054133915,190.7385247888594,184.0045705793005,175.87546319636454,175.9315249347225,180.8836831213459,183.58675767098399,190.9174552994361,188.90490721811946,197.84213863809327
18,2002-05-24 20:42:43+00:00,193.44899704852358,189.4309542830268,181.2597597494332,176.75965068142006,183.0400750612132,186.44137932832177,194.0673865859251,186.8863595520902,182.21084656508526,187.91078262700282
19,2002-06-09 20:42:36+00:00,184.7658492141559,184.4439338547844,174.117612574887,175.13856219256303,176.42251424481066,176.04020656295245,184.57035674538545,178.78556692516634,182.1615011806173,
20,2002-06-25 20:42:29+00:00,,,,,,,,,,181.93014488558106
21,2002-07-27 20:42:18+00:00,193.8177115730899,190.90743799705194,179.69799210184797,176.91730486827896,179.12958305402213,184.16834166246917,191.76580775479027,182.83600273467889,186.05751143526524,184.23715767035947
22,2002-09-29 20:41:47+00:00,179.37358038858162,181.4189960070832,171.54970104161887,168.8717589884452,170.08897396787543,175.41717000947403,176.72962089905582,179.8422481693628,175.66958626411667,181.27466698073042
23,2002-10-31 20:41:52+00:00,181.66240919872033,183.15781357476345,176.69928861755693,170.94345341481707,175.5324929333773,170.85430463387465,169.32195236624244,178.17145926739852,,
24,2002-11-16 20:42:04+00:00,190.40252906858885,190.01800345478964,186.47279087039274,176.0819966015571,178.3227210988352,184.21205161825318,179.88403925820893,173.35262477860377,170.98299367998675,178.7904433881427
25,2003-01-03 20:42:23+00:00,187.62448999567667,181.7699508567112,181.3312097129942,171.69896835246803,173.8104169026713,,,,,
26,2003-02-04 20:42:40+00:00,194.58856474021906,194.1526010077022,191.54422499914722,178.9481128774259,183.43154184137896,179.60392465393107,186.92246338793885,183.17823400822178,191.71769285937702,187.24316335652637
27,2003-03-24 20:42:41+00:00,190.84160084791955,189.32555554170585,185.7318644025492,178.71701669440571,179.32487384628968,185.2375022398713,189.38655350482802,184.85153579141019,184.77169720380672,187.62586643615242
28,2003-05-11 20:42:47+00:00,,,,,,,,,172.72633636840172,175.16809045354972
29,2003-07-30 20:42:30+00:00,,,,169.08720339358499,171.41256800201597,177.43660197056502,177.73735019910586,178.98383533369943,173.35241870969713,182.8788296100337
30,2003-08-31 20:42:24+00:00,,,,,,,174.52258790049544,,,
31,2004-02-07 20:43:10+00:00,,,,186.53733094073917,187.32253794118353,193.35503291607205,196.46878208141592,199.47048865535407,193.92703003136702,201.6609267083818
32,2004-04-27 20:43:12+00:00,,,,177.91165249845014,176.82204250369796,184.23149622551196,184.8920867169132,188.12456472531775,183.82999722551855,190.14033366447342
33,2004-05-29 20:43:12+00:00,186.51781566939545,,,,,176.25598140705182,177.03908220430407,181.04837933015722,177.42984199957357,184.88801435299663
34,2004-08-01 20:42:53+00:00,176.91173296488495,176.17223155962392,172.53829212017172,172.50440608534413,173.57246678621223,181.73012368731418,178.38973862831557,,,
