,dates,usa_CA_0278-0000,usa_CA_0278-0001,usa_CA_0278-0002,usa_CA_0278-0003,usa_CA_0278-0004,usa_CA_0278-0005,usa_CA_0278-0006,usa_CA_0278-0007,usa_CA_0278-0008,usa_CA_0278-0009,usa_CA_0278-0010,usa_CA_0278-0011,usa_CA_0278-0012,usa_CA_0278-0013,usa_CA_0278-0014,usa_CA_0278-0015,usa_CA_0278-0016,usa_CA_0278-0017,usa_CA_0278-0018,usa_CA_0278-0019
1016,2019-11-25 18:57:57+00:00,194.0031705206788,200.67229989395747,200.01670389206402,213.69345013542727,206.81653893306878,210.6924286740402,209.6655821522258,207.26127564590706,214.31105702262428,207.31918755413076,196.99470226188552,207.75167914277176,215.68036702326836,211.2467258165849,224.55270047216803,216.76891375665255,214.76753010265216,195.349529843067,188.80187432189305,220.69720920994882
1017,2019-12-03 18:39:58+00:00,,,,,,,,,225.70158740433936,201.20753857206896,197.6636056065858,201.22609624034197,209.64778424451396,201.62253000815596,227.72211387598614,217.5368759411013,221.31428280464513,167.0465993435573,,
1018,2019-12-28 18:32:31+00:00,174.46431486101633,188.0021567860633,203.56049126855558,208.16479617977828,209.3459729741456,,,,,,193.90813622804876,205.69790289917748,217.69764984950362,216.54982047883104,230.32366243978154,218.08056542339204,209.3073771733789,180.19787939579345,,
1019,2020-01-04 18:38:20+00:00,,,,,,,,,184.20603077803457,188.9632987148686,191.81051585929845,196.7658716564546,,,,,,177.94294576432003,157.12825632796586,208.5795925901067
1020,2020-01-05 18:51:39+00:00,200.10763840150983,,,,,,215.03930802981992,202.39903017191327,201.95082982744105,201.50769333764532,179.5960115520617,183.2452348538157,195.6352964375242,,,196.8126517789696,200.82980190022013,,,
1021,2020-01-20 18:37:33+00:00,162.26248105035768,182.9167154692895,191.50082143404694,198.1727140381856,198.4870631703267,,,,200.0879322814568,193.13480054401282,185.03641671364565,194.94368127093276,200.58595343079415,200.41715733651426,211.47264534517092,192.62536990202977,190.09028708385912,158.8419795017946,,
1022,2020-02-05 18:36:44+00:00,202.63026088875546,209.6003737547666,204.81214909455227,213.9180069616583,219.7828172034724,213.37019758323416,,,,,203.51279168947607,204.00574930695737,203.51777883952093,202.07202674739008,208.88133614361223,198.0093134873819,197.81009085941164,167.74560756763984,155.657839542854,
1023,2020-02-06 18:51:31+00:00,205.3220995893353,203.87983949873703,203.34871593597356,220.0277203662333,220.13868624400183,216.24114188578216,211.6156649536852,212.40915620399434,214.05426654840218,210.78833400679977,207.86535783924708,208.17621537321986,209.8554693027292,210.3249696555307,219.56019682608533,206.24119132115064,204.30575382913617,173.98508748757416,166.99958350426763,215.4943413611376
1024,2020-02-13 18:57:40+00:00,202.40834814059693,214.66230882387185,221.58388562540168,221.68309423996504,221.48421910329043,214.96550216034512,212.12893022660737,210.16793570054534,216.95375831964836,218.82256736974742,204.25280363199022,204.33259451402185,205.4740930112703,199.86117565607685,213.15054667143053,202.86433463015885,202.6462520199595,185.55938864112247,174.8804946489419,212.92718833200806
1025,2020-02-21 18:35:55+00:00,193.2566430993842,199.24067292457582,,,,,210.73706915887226,197.0911628849942,205.61171142960504,198.7221869078602,188.67481423027536,188.81127985833848,195.2378913394212,199.07074359349738,209.4365273004338,,,,,210.84685874516282
1026,2020-02-22 18:51:27+00:00,206.4339111964758,205.4098577179916,207.2753049840391,219.5420369551796,215.29034793303688,209.46099021512958,203.66321322506923,202.4715359868165,206.87491424908697,203.47497393640273,193.2495528882629,195.9276666570649,203.4250880937675,198.5071026547804,214.34219412827954,207.3715103799813,202.6192284142413,178.44069559455193,169.8626691062755,213.918369006043
1027,2020-03-01 18:29:15+00:00,,,215.44028822822648,210.43830820244932,201.3883849639212,199.3660703328872,193.79363795936288,193.97332093900843,,,,,,190.76019559092137,204.3068021146787,192.3183812704383,192.85316074361958,153.38559946488635,146.10372427428672,197.57146836847664
1028,2020-03-09 18:51:21+00:00,227.74808616455056,228.4288984765029,229.75170282555408,229.02008379735918,221.0443157304728,217.85766295888183,209.4735214705651,210.18202611101103,206.21962755211138,199.6392689727048,190.73689053986234,188.83573745283067,200.3239828742976,197.69389166522998,212.14624435533378,206.5353174465288,201.895169660843,181.3817169572677,175.75401403119696,214.7586659950942
1029,2020-03-16 18:57:29+00:00,231.91952393262108,234.4071108031721,229.6765492013823,232.66067921190538,217.41703984345196,202.18145154131932,205.4804526578597,191.42680289503093,199.94234389857704,190.05324539639517,183.2810141635374,190.45069676980773,187.47138296219126,189.9396270057759,201.81268003568294,192.45430923618062,191.65875203357288,167.68484421344002,164.4635045648357,202.3057128126815
1030,2020-04-01 18:57:19+00:00,228.53467954708765,235.286194841293,237.35261276440144,236.6596708338683,221.29655105497628,206.469640756064,196.5238805346027,190.62418840899073,194.00833452391157,193.03742281080906,190.26546469231798,190.35831027465895,195.1697227470302,189.99571455216528,198.6473650878911,197.95382691746022,198.94272707168895,175.86569877847523,170.85415642437943,206.39976050099125
1031,2020-04-02 18:27:29+00:00,238.79402555048827,241.31937742335046,248.32065264001844,242.7816119729015,,,,,,190.48560274647016,187.73163887496858,195.2956887859823,199.95484812321925,200.93664930830147,207.43544801238107,203.1088812540562,204.89201872475587,,,
1032,2020-04-10 18:51:05+00:00,237.70403115486786,238.6928750204989,236.30430049826586,239.137214044298,227.78876587247785,213.34855277893695,209.1045641874003,204.52476918689965,205.45156776141528,197.1429315403111,191.14977684188727,189.3563927803052,199.4829709255309,198.43047926383667,204.59130544555563,196.78391682604726,195.44346454560073,178.4551609488699,167.63553524553512,201.60497411380706
1033,2020-05-03 18:57:04+00:00,213.48013468922028,217.37563919474286,216.46130565503358,214.45535544359575,216.8730972940565,205.96670070149472,201.96740879761182,198.0135690652798,196.09035639287978,190.55759529253754,182.96751056506034,191.0429183240712,186.41319855955925,182.20369236481955,196.01671010699985,190.48589593785402,183.0319799154816,163.9179355397861,156.06834750985612,197.38579000006735
1034,2020-05-04 18:25:36+00:00,213.2618292732782,211.65941334223547,216.38994913894297,,,,,185.858260710082,192.1754675548471,190.032541993608,188.1400720272113,184.31790981076017,182.07481761210144,182.2496708271929,187.54012522517056,,,,,
1035,2020-05-20 18:24:37+00:00,,218.72308840451822,224.12185993257683,226.6980887062133,226.3207940417934,213.71995153107224,202.7576790804381,,,,,,197.9350456590024,183.11362001322541,197.92878989814122,199.30600753174696,196.5219115618453,187.0896789022712,175.9674759348997,
1036,2020-05-27 18:30:22+00:00,,,,221.64250879163853,218.1974824951672,217.95052250786185,196.70667021292388,194.00079121237997,192.03770312396557,188.886397370509,186.29449058327663,,,,,206.99437769486107,203.65899670389965,189.19286531089176,175.52626059034685,200.14639620879998
1037,2020-05-28 18:51:19+00:00,229.52996924470557,216.90694748905014,226.37718006954913,231.72450537872825,218.54859583886602,213.30377244491737,205.51193954419304,206.3074229535332,203.36825020261887,195.7774515097216,194.16435745665507,200.0760375281367,200.96341925901484,200.7579044129235,211.36094760397444,214.3323099574834,210.10475848853665,186.12567187546148,176.66663384791647,208.8682459338968
1038,2020-06-04 18:57:10+00:00,213.38685921974252,208.63756811826136,214.95784837734809,216.81941798352753,214.17642243606198,210.8015559183672,198.21388900945246,198.54431262416588,197.09471191069858,193.27213879413185,187.2697010508446,200.9182330218703,201.49803979094693,192.01943392403226,204.28948175419745,201.76463043756533,194.84421829297582,175.24342582258961,162.76470671429027,194.66753107220362
1039,2020-06-05 18:23:40+00:00,,,208.16178771605553,208.01734879147202,208.03494301803124,200.39519854716065,184.9534539949277,187.14831875062916,195.03048612895725,,,,,,,193.00254337587887,188.4020932453,176.9354209518503,166.8024629984707,194.50152970698016
1040,2020-06-21 18:22:44+00:00,232.79131668104048,230.61965737793682,219.4392182048284,223.71620285260124,,,,,198.5593920726217,189.2953398519996,180.25332575799135,186.0797514785201,197.54744258070278,194.33077995359642,204.48632129618986,200.77708717429738,199.40769481972063,,,
1041,2020-06-28 18:28:30+00:00,219.9969198436205,,,,209.07559517203092,192.49498626909866,189.2570053822983,194.3732569416276,185.62655343457544,178.66979974732152,169.47774761132183,180.19991670552272,,,,,,179.87716746379778,169.51627575203744,200.92183046508245
1042,2020-06-29 18:51:13+00:00,237.08157688732345,227.17960941062407,224.76807895470046,214.2083009899106,208.26613147145073,194.68625652254556,192.89438656770153,194.17990842935635,191.93266370897047,180.10551930181316,176.6085696772698,190.85896199530683,192.66684538953865,189.71059758780197,202.1311367186604,198.8526281879236,199.44504408830514,183.09870039559604,170.38731217326213,205.8247985468968
1043,2020-07-06 18:57:27+00:00,245.43545747615184,235.45353811027633,231.4327202503175,227.24498825597425,221.35609017223976,213.11392424780178,206.77779328514475,201.21394967343832,199.32964896983205,195.60778628958383,189.2906574202836,198.0305174328264,199.1136588980189,199.82007124930774,208.75829270988362,206.01071574833497,208.24907370760474,189.31245232182965,181.14638381367843,203.29894022250315
1044,2020-07-07 18:21:47+00:00,249.73792190718834,243.77369792317725,,,,,204.45321484712704,197.4321959239631,196.4788934664929,191.7508007890799,192.29348629739724,200.51889296283116,200.82977506745434,200.92391310840816,,,,,,207.39665581759954
1045,2020-07-14 18:27:32+00:00,243.01634437980786,232.6648616674795,224.05088882436152,215.87279531041787,209.51406439004083,202.86834585705725,,,,,179.71717425294258,193.00956206650818,197.47559359707478,193.49267624808232,200.29262459003826,198.38860380983692,199.66469846058305,180.26368908154436,166.34981700562233,
1046,2020-08-07 18:57:36+00:00,253.37791952697057,242.8829274818055,230.55361388372367,232.55613994913793,213.99639837432343,204.19369294695272,198.07259234591444,197.12559711253525,195.47355122455838,188.83030280526654,186.76226451837726,192.9583917723396,199.08581832420842,197.22460189250506,204.60758830741918,206.5978510399793,203.71620475995493,180.90808882237053,178.18254407684114,200.3459368144712
1047,2020-08-08 18:19:48+00:00,,,227.327417127992,226.96428775487092,214.46895240796226,207.36423172871156,192.1096992914095,195.75464603900832,,,,,,,201.74287337354602,201.45230113283458,203.86287668985355,187.44487916311553,173.0036147088186,209.48964922941977
1048,2020-08-15 18:25:32+00:00,,,,,222.58817769293594,213.92558289065528,206.25212191396903,198.62257812984456,204.37542202917692,193.4494871233802,182.85535522613475,,,,,,204.22383805080545,191.82036536283783,177.87075851054567,212.16977475012195
1049,2020-08-16 18:51:53+00:00,246.73078646896002,238.95341769087284,229.1530226141616,230.98958940074974,217.13464265244156,210.04512275142545,198.77007796216563,201.59495395817993,203.06506075192016,194.87822303890718,192.62614680209168,195.63319181065648,197.39909164780784,198.3159219484719,206.4213901201879,195.57486540155298,198.355129325224,181.92701147068001,173.26120663909398,206.33411420924656
1050,2020-09-16 18:23:26+00:00,251.55929644364903,248.53497820706946,238.69065768648548,233.90105409649917,221.46008591145818,209.5773477374733,201.3373458138275,,,,,203.83407036326452,206.555122210952,199.96935655323037,214.28433208068824,212.09743440658815,208.66874447316638,179.23232312839474,180.51517866578402,208.35279181325203
1051,2020-09-17 18:51:43+00:00,245.76391408235014,239.69093041913874,239.29880200593266,231.8297539499755,219.89856922766907,207.25400297722686,201.41447788584014,204.4846339476116,206.32539013231377,196.2529840014007,192.5676887692426,191.42748672450884,198.6434368675572,199.82273508899934,209.51789028919453,207.61151012591023,204.8444587954888,178.48819734919067,182.36003750527476,209.36137992089215
