,dates,jap0010-0000,jap0010-0001,jap0010-0002,jap0010-0003,jap0010-0004,jap0010-0005,jap0010-0006,jap0010-0007,jap0010-0008,jap0010-0009,jap0010-0010,jap0010-0011,jap0010-0012,jap0010-0013,jap0010-0014,jap0010-0015,jap0010-0016,jap0010-0017,jap0010-0018,jap0010-0019
26,1992-08-26 00:11:06+00:00,56.64028019990728,,,,,,,,,83.45784698520808,111.054448486254,,71.90000408676349,,,119.54293886735914,119.94019884628784,104.5981250675588,126.18938232831168,141.42401067980842
27,1992-10-13 00:10:13+00:00,113.37234989338083,108.91402939051738,108.5462385497033,110.82877964770258,110.9839389525465,117.64757447272109,112.66508398412846,119.6656218846673,116.70373746986441,118.63711855679185,112.04543953977688,108.97881444953595,106.65712286202766,111.6020862310594,126.49077772204731,142.92738951398672,145.82825374531595,137.649743528219,143.27546345585822,140.40133003299604
28,1992-10-29 00:10:04+00:00,104.70896466543297,103.17853415029856,99.85486398452394,97.54605848132098,97.62710919398546,96.26094002651456,98.31231895005816,104.23296942830873,111.7935093348853,107.85628937162787,102.47779528050778,105.39209408649018,102.89227802813153,105.71895444703478,107.22950590938622,114.67548413809666,123.56194263168331,122.76320788343722,128.04368244234408,135.20626237552386
29,1994-10-26 00:10:12+00:00,104.33901166505683,101.9787360827051,101.27871207825893,109.9021418538279,118.07847229838225,114.42869009688165,122.78412414170056,126.86276553001927,125.50390314965526,130.1966711654869,124.55529230527931,126.26302602222817,128.17832401837603,121.57944880882721,130.2901445465537,132.35489059621935,136.6988026019361,137.26830787471332,142.4255825621864,146.95267738628738
30,1997-07-14 00:25:19+00:00,,95.20762403633336,89.48094450053145,97.4238182951155,100.06851093956885,101.79234085316354,113.55296888194525,112.14052090303858,113.12953549818226,112.51009582826528,114.37633462623727,115.856463103934,120.0916823220829,115.3945300543812,119.35155275742592,110.66113920169579,124.183021316885,123.0549110557609,133.51896512843,128.00532885249476
31,1998-01-06 00:30:10+00:00,,,,,,,,,,,,,,,,,,,,
32,1998-01-22 00:30:30+00:00,,,,,,,,,,,,,,,,,,,,
33,1999-06-18 00:32:50+00:00,100.93207905775392,100.4154758665508,110.0856378705502,123.58629920904791,132.26303662435046,138.52481791798573,135.63988922363257,131.11189018982378,118.68712858466901,112.82110188169702,114.00070519110216,117.23092627944756,113.57968952341703,108.12966705693887,120.86061752787631,124.43845431654593,133.3728027891169,135.58107483566397,141.7483952525572,144.42973630531884
34,1999-09-07 00:41:38+00:00,131.79557211913277,140.1578304957402,143.055464581286,150.06447159279116,153.92858282441372,,,,,,,,,,,,,,,
35,1999-11-17 00:47:46+00:00,,,,,,,,,137.1955975098547,,,,,,109.88980006918551,103.07593577026594,,,,
36,1999-12-19 00:47:50+00:00,,,,,,,,,,,,,,,,,,,,
37,2000-03-01 00:41:21+00:00,,,144.36840704768667,,,,,,,,,,,,,,,,,
38,2000-05-27 00:46:51+00:00,93.60031570930047,88.76736803875593,91.44421497606325,96.75177555712871,103.17545118541582,110.62914740409742,109.08097282396308,106.97368558158534,105.9173843297302,102.55609981775305,103.44438070445523,107.20431839249432,114.40341606494582,117.33565738458594,116.80259142654447,111.96246727916586,124.37449592456277,124.24039340081443,140.0662048113544,142.7243759649104
