,dates,usa_CA_0269-0000,usa_CA_0269-0001,usa_CA_0269-0002,usa_CA_0269-0003
35,1986-11-23 18:10:01+00:00,173.05633290976272,175.4215714330293,197.25087027937167,194.77016351169664
36,1986-11-30 18:16:00+00:00,169.06514589513097,177.50303957470317,187.78982889141074,187.73765428160434
37,1986-12-16 18:16:28+00:00,162.70377586335357,170.32581999584613,196.01533132361348,190.2705757960146
38,1987-01-10 18:11:02+00:00,149.27288444992763,159.6807941496247,172.35776547200197,180.28368821151824
39,1987-01-17 18:17:25+00:00,166.4931447311192,179.9996244629266,193.41795452617959,199.2121560911036
40,1987-01-26 18:11:29+00:00,153.12237152019785,162.034008758888,174.47896436011268,176.99623655404457
41,1987-02-27 18:12:44+00:00,181.13949377353796,193.4203180513292,203.9603971788717,204.53614523641082
42,1987-03-31 18:14:18+00:00,,196.7536993399256,201.8138270110938,211.01161677127985
43,1987-06-10 18:22:06+00:00,185.86085991778617,186.16089866923707,193.5108075121402,194.32260962488823
44,1987-07-05 18:16:50+00:00,198.78823174072105,192.0821711479393,203.85586805938632,214.0449108656247
45,1987-07-28 18:23:09+00:00,,215.24311092135875,225.3878109818299,225.6894389351554
46,1987-08-06 18:17:39+00:00,,202.56421303627425,213.4852843379775,210.5715513520128
47,1987-09-14 18:24:28+00:00,,,,
48,1988-03-17 18:21:48+00:00,203.34549057311784,199.27696881322407,207.09838401386506,207.18794424599528
49,1988-03-24 18:27:39+00:00,183.47052445779238,176.43102032110875,194.58693785370264,194.83357712553268
50,1988-04-09 18:27:44+00:00,208.00523811647295,199.67374638967962,220.14115144937438,217.8522583228566
51,1988-05-04 18:21:44+00:00,198.95133062184323,187.31854359383593,201.79853622156583,211.33905390696384
52,1988-05-20 18:21:52+00:00,205.72666186018014,201.1538469583392,212.9951751235624,220.99737361920313
53,1988-06-28 18:28:17+00:00,206.4482278347454,203.48578815122895,211.85842343771668,213.03224466192395
54,1988-07-14 18:28:20+00:00,198.19800942835457,189.51232163843724,209.56700818153587,206.15524697899428
55,1988-08-15 18:28:22+00:00,,224.7240640446945,230.4854111251983,227.52790214198103
56,1988-08-24 18:22:14+00:00,,220.6870739510234,228.79068527663438,226.5623996855306
57,1988-09-16 18:28:22+00:00,,217.884743928611,228.08795656191745,223.2518115067638
58,1988-10-11 18:22:01+00:00,203.12049213114054,221.9034537300045,225.69454362236965,
59,1988-10-18 18:28:11+00:00,220.8620538918466,214.87545338065175,226.7724992401885,233.20941445326804
60,1988-12-14 18:21:49+00:00,174.8770297093387,178.38539484811344,195.77475515196764,195.28402700837862
61,1989-02-16 18:21:26+00:00,193.36691116813353,196.89286645752767,209.280616067862,208.27866908240685
62,1989-04-05 18:20:35+00:00,194.01193716013077,189.02152766244362,208.24120295966344,210.28442710386372
63,1989-04-28 18:26:26+00:00,,,,221.58513050061828
64,1989-06-08 18:19:59+00:00,,,,228.37559468091496
65,1989-07-01 18:25:18+00:00,202.52347008997702,189.27942276145183,204.35797684445427,211.67688775955187
