dates,satname,sar2181-0000,sar2181-0001,sar2181-0002,sar2181-0003,sar2181-0004
1987-12-25 09:34:25+00:00,L5,241.74,201.18,178.53,198.27,236.20
1988-01-10 09:34:42+00:00,L5,360.62,196.64,177.81,196.42,247.06
1988-01-19 09:29:05+00:00,L5,221.26,196.96,173.87,191.99,222.54
1988-01-26 09:35:22+00:00,L5,,,,,
1988-02-11 09:35:41+00:00,L5,280.63,196.50,172.59,208.02,249.33
1988-03-14 09:36:03+00:00,L5,268.09,191.48,167.48,195.97,249.41
1988-04-15 09:35:50+00:00,L5,300.26,213.42,176.15,192.19,238.26
1988-05-01 09:35:57+00:00,L5,272.14,196.39,172.72,196.78,247.99
1988-05-17 09:36:32+00:00,L5,285.33,204.87,179.83,193.25,245.33
1988-06-02 09:36:38+00:00,L5,238.77,206.59,182.15,202.19,237.21
1988-06-11 09:30:29+00:00,L5,236.92,198.64,179.27,196.17,237.53
1988-06-18 09:36:19+00:00,L5,275.87,217.48,179.79,194.21,241.55
1988-07-04 09:36:48+00:00,L5,228.62,194.28,159.68,191.38,230.00
1988-07-13 09:30:39+00:00,L5,298.46,201.42,169.02,191.84,242.66
1988-07-20 09:36:51+00:00,L5,233.21,183.40,158.59,186.41,244.57
1988-07-29 09:30:42+00:00,L5,264.18,196.58,157.68,174.30,230.93
1988-08-05 09:36:28+00:00,L5,272.09,205.58,177.15,195.03,247.40
1988-08-14 09:30:40+00:00,L5,271.13,202.26,175.87,199.60,239.72
1988-09-06 09:36:55+00:00,L5,260.82,211.58,178.95,193.71,230.78
1988-09-22 09:36:50+00:00,L5,245.53,214.91,179.01,183.09,230.07
1988-10-08 09:36:21+00:00,L5,256.00,208.23,190.93,196.30,233.03
1988-12-11 09:36:33+00:00,L5,274.43,200.29,178.78,210.88,240.12
1988-12-27 09:36:03+00:00,L5,233.44,191.24,176.67,207.49,241.82
1989-01-28 09:35:43+00:00,L5,273.28,205.15,180.96,195.80,235.20
1989-02-06 09:29:59+00:00,L5,260.77,199.67,173.28,195.15,238.95
1989-02-22 09:29:52+00:00,L5,269.98,211.13,352.61,41.93,67.05
1989-03-17 09:35:16+00:00,L5,231.42,199.87,173.85,196.35,236.88
1989-03-26 09:28:53+00:00,L5,281.32,213.73,178.30,193.52,235.71
1989-04-02 09:34:48+00:00,L5,268.25,201.97,179.70,210.96,242.00
1989-04-27 09:28:45+00:00,L5,237.51,196.45,166.76,189.95,233.96
1989-05-20 09:34:09+00:00,L5,231.19,190.74,168.57,195.55,248.02
1989-05-29 09:28:17+00:00,L5,239.60,205.99,179.15,198.40,233.03
1989-06-14 09:27:46+00:00,L5,263.02,212.92,177.97,188.45,229.39
1989-06-21 09:33:31+00:00,L5,269.21,208.77,179.75,192.70,248.02
1989-06-30 09:27:39+00:00,L5,245.43,199.72,164.31,195.76,241.75
1989-07-16 09:27:19+00:00,L5,212.28,181.36,178.51,198.40,243.80
1989-07-23 09:33:21+00:00,L5,234.40,203.30,159.07,177.43,229.73
1989-08-24 09:32:15+00:00,L5,243.44,187.75,160.61,188.59,246.59
1989-09-18 09:25:44+00:00,L5,246.42,206.73,173.01,190.95,235.65
1989-09-25 09:31:28+00:00,L5,243.35,196.72,173.38,204.31,245.75
1989-10-04 09:25:36+00:00,L5,274.31,211.72,181.63,192.20,238.03
1989-10-11 09:31:29+00:00,L5,273.97,204.25,178.46,207.24,245.06
1989-10-20 09:24:51+00:00,L5,234.10,206.78,190.86,194.80,233.19
1989-10-27 09:30:27+00:00,L5,235.16,199.73,173.51,192.12,239.13
1989-11-12 09:30:07+00:00,L5,240.01,189.07,164.26,195.79,246.71
1989-11-28 09:29:40+00:00,L5,268.00,192.65,160.30,181.33,251.99
1989-12-14 09:29:14+00:00,L5,268.33,199.12,180.54,208.80,239.46
1989-12-30 09:29:08+00:00,L5,,,,,
1990-01-15 09:28:33+00:00,L5,246.09,196.53,176.49,194.45,243.10
1990-01-31 09:27:43+00:00,L5,258.01,193.65,175.36,210.73,243.15
1990-02-09 09:21:38+00:00,L5,270.37,202.00,175.20,194.06,239.67
1990-02-16 09:27:12+00:00,L5,232.12,202.10,169.48,195.96,230.91
1990-03-04 09:27:02+00:00,L5,276.02,214.70,174.98,202.27,240.91
1990-04-14 09:20:11+00:00,L5,259.62,190.06,167.32,199.42,245.69
1990-04-21 09:26:22+00:00,L5,280.05,205.17,178.91,207.94,239.73
1990-05-16 09:20:13+00:00,L5,245.93,212.47,189.20,192.56,234.47
1990-06-01 09:20:08+00:00,L5,294.91,201.84,168.75,193.47,248.91
1990-06-08 09:26:19+00:00,L5,223.70,197.08,167.80,188.85,236.63
1990-06-17 09:20:06+00:00,L5,274.47,217.58,190.21,191.58,228.84
1990-06-24 09:25:54+00:00,L5,233.87,202.77,166.26,191.67,234.68
1990-07-03 09:20:06+00:00,L5,265.41,215.02,177.28,189.94,229.89
1990-07-10 09:25:52+00:00,L5,231.03,193.25,173.79,196.27,243.18
1990-07-19 09:20:01+00:00,L5,272.32,207.24,175.11,193.07,234.51
1990-07-26 09:25:48+00:00,L5,241.94,200.68,179.68,193.19,235.08
1990-08-04 09:19:56+00:00,L5,247.18,192.50,165.02,192.37,238.48
1990-08-11 09:25:43+00:00,L5,240.79,202.79,176.11,195.55,234.51
1990-08-20 09:19:54+00:00,L5,250.93,205.39,180.97,192.65,237.07
1990-09-05 09:19:46+00:00,L5,239.90,202.57,181.63,194.42,230.17
1990-09-12 09:25:35+00:00,L5,240.91,191.48,176.29,194.27,249.16
1990-09-21 09:19:43+00:00,L5,231.57,211.50,179.24,190.87,229.15
1990-09-28 09:25:50+00:00,L5,257.81,202.35,165.80,190.45,243.77
1990-10-30 09:25:35+00:00,L5,276.07,196.73,175.93,191.83,244.98
1990-11-15 09:25:13+00:00,L5,280.03,211.76,174.19,185.46,229.32
1990-12-26 09:19:37+00:00,L5,291.48,211.39,181.43,180.34,221.54
1991-01-02 09:26:01+00:00,L5,267.68,209.15,180.34,195.97,238.96
1991-01-11 09:20:03+00:00,L5,253.05,211.40,190.98,207.58,224.08
1991-01-27 09:20:30+00:00,L5,333.80,286.64,179.10,191.22,256.44
1991-04-01 09:21:34+00:00,L5,243.03,197.75,170.16,195.97,242.41
1991-04-08 09:27:30+00:00,L5,273.59,207.65,177.99,192.83,238.00
1991-05-26 09:28:46+00:00,L5,245.24,206.30,166.61,193.10,239.51
1991-06-04 09:22:42+00:00,L5,237.44,204.49,177.77,190.12,221.68
1991-06-20 09:22:54+00:00,L5,261.11,213.51,182.14,190.37,225.59
1991-06-27 09:29:13+00:00,L5,237.07,199.13,159.91,173.31,232.85
1991-07-06 09:23:10+00:00,L5,252.08,202.72,173.53,190.32,233.29
1991-07-13 09:29:21+00:00,L5,228.47,198.97,159.59,173.43,219.26
1991-07-22 09:23:22+00:00,L5,242.66,197.24,162.80,193.41,238.51
1991-07-29 09:29:13+00:00,L5,268.23,204.01,174.13,192.78,231.55
1991-08-07 09:23:28+00:00,L5,247.42,211.72,179.43,195.92,234.77
1991-08-14 09:29:39+00:00,L5,248.89,211.66,180.22,188.41,230.50
1991-08-23 09:23:34+00:00,L5,247.13,203.95,174.49,181.00,234.82
1991-09-24 09:23:55+00:00,L5,288.45,211.78,178.46,190.90,237.14
1991-10-17 09:30:18+00:00,L5,295.69,209.25,179.40,192.52,234.63
1991-11-11 09:24:09+00:00,L5,244.32,198.38,172.14,192.37,234.79
1992-01-05 09:29:59+00:00,L5,245.47,206.06,172.83,191.27,233.02
1992-01-14 09:24:13+00:00,L5,231.01,191.92,173.58,196.45,235.98
1992-01-30 09:24:18+00:00,L5,278.43,209.42,180.44,189.37,231.41
1992-02-06 09:29:56+00:00,L5,268.32,196.82,178.90,199.24,240.25
1992-02-15 09:24:02+00:00,L5,251.40,211.68,174.90,191.56,227.93
1992-04-10 09:29:42+00:00,L5,315.66,16.15,34.76,331.67,255.70
1992-04-19 09:23:54+00:00,L5,230.15,196.43,169.64,197.03,241.97
1992-04-26 09:29:34+00:00,L5,241.98,200.27,164.45,192.58,237.88
1992-05-12 09:29:27+00:00,L5,241.06,203.70,181.42,193.26,229.75
1992-05-28 09:29:18+00:00,L5,229.65,207.35,177.42,186.82,230.78
1992-06-06 09:23:26+00:00,L5,246.57,203.63,179.97,195.45,236.72
1992-06-13 09:29:31+00:00,L5,228.69,183.36,158.28,191.69,242.11
1992-06-29 09:28:56+00:00,L5,230.56,192.90,167.99,193.94,238.26
1992-07-08 09:23:02+00:00,L5,,,,,
1992-07-15 09:29:08+00:00,L5,234.95,197.40,167.46,190.79,236.28
1992-07-31 09:28:56+00:00,L5,242.56,200.79,173.15,188.53,235.87
1992-08-09 09:22:38+00:00,L5,230.76,199.21,173.85,195.78,235.39
1992-08-16 09:28:17+00:00,L5,226.42,205.95,180.22,196.99,228.45
1992-09-01 09:28:26+00:00,L5,231.58,184.45,164.07,195.70,234.80
1992-09-10 09:22:08+00:00,L5,233.83,201.07,172.08,195.24,231.93
1992-09-17 09:27:48+00:00,L5,225.34,196.60,176.45,194.96,238.64
1992-09-26 09:21:49+00:00,L5,237.91,196.53,177.13,191.86,232.68
1992-12-06 09:27:22+00:00,L5,256.78,197.71,170.43,195.39,233.68
1992-12-15 09:21:16+00:00,L5,275.60,195.19,181.69,203.56,234.93
1992-12-22 09:27:31+00:00,L5,235.10,324.16,163.03,160.91,213.35
