dates,nzd0375-0000,nzd0375-0001,nzd0375-0002,nzd0375-0003,satname
2009-03-07 21:57:19+00:00,,325.20384615384614,321.7933333333333,327.89,L7
2009-04-08 21:57:32+00:00,323.3292307692308,312.8292307692308,316.2488888888889,323.56333333333333,L7
2009-05-03 21:51:27+00:00,,,,329.6633333333333,L7
2009-05-10 21:57:39+00:00,308.10538461538465,298.12538461538463,307.37555555555554,318.4033333333333,L7
2009-06-04 21:51:29+00:00,,,312.45444444444445,327.0266666666667,L7
2009-07-13 21:57:33+00:00,314.46846153846155,305.13846153846157,314.25444444444446,,L7
2009-12-04 21:58:04+00:00,328.8523076923077,321.7323076923077,320.94222222222226,326.7233333333333,L7
2009-12-12 21:57:49+00:00,324.81384615384616,318.8038461538461,320.29777777777775,329.2166666666667,L5
2009-12-20 21:58:19+00:00,320.14461538461535,313.38461538461536,313.2733333333333,332.49,L7
2010-01-29 21:58:05+00:00,325.53230769230765,314.8223076923077,324.5811111111111,323.24666666666667,L5
2010-03-26 21:59:25+00:00,,302.06538461538463,310.4866666666667,315.03,L7
2010-06-30 21:59:25+00:00,318.58846153846156,317.38846153846157,,,L7
2010-09-02 21:59:30+00:00,324.1769230769231,314.5369230769231,312.5611111111111,329.94666666666666,L7
2010-09-18 21:59:31+00:00,333.8107692307692,326.3107692307692,323.72,334.13,L7
2010-10-04 21:59:29+00:00,335.85538461538465,326.0753846153846,322.38111111111107,330.6666666666667,L7
2010-10-12 21:57:13+00:00,341.85,324.75,322.9766666666667,337.97,L5
2010-11-21 22:00:02+00:00,331.3253846153846,326.03538461538466,331.00666666666666,329.76,L7
2010-12-23 22:00:19+00:00,337.82846153846157,,,323.5766666666667,L7
2011-02-09 22:00:39+00:00,346.22,338.7,335.5777777777778,,L7
2011-03-13 22:00:47+00:00,315.54,314.21,311.8388888888889,326.3233333333333,L7
2011-03-29 22:00:49+00:00,334.7630769230769,321.89307692307693,327.1133333333333,335.58,L7
2011-05-16 22:00:47+00:00,307.1292307692308,294.60923076923075,301.38444444444445,316.6566666666667,L7
2011-06-01 22:00:50+00:00,288.0176923076923,293.91769230769233,304.9844444444445,319.3966666666667,L7
2011-07-03 22:00:45+00:00,306.7407692307692,301.3107692307692,310.40444444444444,321.56666666666666,L7
2011-07-19 22:00:44+00:00,312.3369230769231,315.7669230769231,314.26111111111106,331.50666666666666,L7
2011-08-20 22:00:37+00:00,317.5153846153846,310.47538461538466,316.13222222222225,326.5433333333333,L7
2011-09-05 22:00:33+00:00,330.50384615384615,321.7238461538461,315.42888888888893,334.5233333333333,L7
2011-09-13 21:55:45+00:00,308.23615384615385,299.99615384615385,299.99,323.69,L5
2011-09-21 22:00:29+00:00,340.06384615384616,327.96384615384613,326.5444444444445,,L7
2011-10-23 22:00:35+00:00,331.5069230769231,323.5369230769231,,,L7
2011-11-24 22:00:55+00:00,,,,322.74333333333334,L7
2011-12-26 22:01:11+00:00,328.26461538461535,318.58461538461535,316.46555555555557,333.5933333333333,L7
2012-01-27 22:01:14+00:00,332.58923076923077,331.9292307692308,329.8533333333333,345.64,L7
2012-04-25 21:55:22+00:00,341.2507692307692,,,,L7
2012-05-02 22:01:43+00:00,302.31384615384616,300.9738461538461,305.84777777777776,320.6066666666667,L7
2012-05-18 22:01:56+00:00,315.0753846153846,314.61538461538464,,,L7
2012-06-03 22:01:35+00:00,280.4376923076923,286.8176923076923,,,L7
2012-06-19 22:01:41+00:00,314.5707692307692,308.10076923076923,306.07111111111107,329.7866666666667,L7
2012-07-05 22:01:52+00:00,309.93461538461537,310.70461538461535,,351.62666666666667,L7
2012-08-22 22:02:26+00:00,336.0507692307692,328.0007692307692,328.4811111111111,348.3866666666667,L7
2012-09-23 22:02:45+00:00,323.7530769230769,312.5630769230769,316.78444444444443,330.99666666666667,L7
2012-10-09 22:02:52+00:00,335.8530769230769,330.8530769230769,,,L7
2012-12-12 22:03:17+00:00,331.5792307692308,318.4292307692308,326.30444444444447,327.9766666666667,L7
2013-02-14 22:03:25+00:00,330.97846153846154,330.88846153846157,337.4088888888889,347.4133333333333,L7
2013-04-11 22:09:26+00:00,335.7269230769231,327.7569230769231,330.94444444444446,338.6666666666667,L8
2013-05-29 22:09:17+00:00,331.0753846153846,322.27538461538467,323.00666666666666,334.6,L8
2013-06-06 22:02:55+00:00,314.51384615384615,306.4738461538461,311.86888888888893,325.8833333333333,L7
2013-06-30 22:09:11+00:00,321.06,322.51,321.2077777777778,341.9866666666667,L8
2013-07-24 22:02:32+00:00,310.83461538461535,308.94461538461536,313.7711111111111,325.6466666666667,L7
2013-08-25 22:02:37+00:00,334.0076923076923,330.4576923076923,,,L7
2013-09-02 22:09:16+00:00,334.6030769230769,324.2530769230769,322.86888888888893,328.0133333333333,L8
2013-09-26 22:02:59+00:00,334.06461538461537,328.1046153846154,325.4477777777778,341.06666666666666,L7
2013-10-12 22:03:12+00:00,,,325.79,341.81,L7
2013-10-28 22:03:18+00:00,,326.53461538461534,324.56444444444446,338.9066666666667,L7
2013-11-13 22:03:24+00:00,328.7930769230769,314.7430769230769,314.6633333333333,326.7,L7
2014-01-08 22:08:30+00:00,331.5792307692308,328.60923076923075,324.9033333333333,343.38,L8
2014-01-24 22:08:21+00:00,336.63461538461536,330.28461538461534,323.1733333333333,339.99,L8
2014-02-01 22:04:06+00:00,,327.9730769230769,333.28222222222223,339.00333333333333,L7
2014-03-13 22:07:45+00:00,344.7346153846154,,,,L8
2014-03-21 22:04:08+00:00,,326.84923076923076,325.8933333333333,342.39,L7
2014-04-06 22:04:12+00:00,322.27076923076925,311.29076923076923,315.6122222222222,,L7
