,dates,per0120-0000,per0120-0001,per0120-0002,per0120-0003,per0120-0004,per0120-0005,per0120-0006,per0120-0007
72,2005-03-29 15:04:11+00:00,173.16891368009988,163.18456690696536,171.2047977343508,180.34538151194994,182.5479122218482,193.09162856408318,198.75911173268673,202.63410093959843
73,2005-04-14 15:04:14+00:00,172.2634752470931,165.75662321766393,169.21047528734965,174.44693626706194,173.26342478498134,181.41053709633098,190.60621518625157,194.15896060201987
74,2005-04-22 15:06:40+00:00,177.7974955166478,,172.54032837435733,183.8321437657762,184.18710755098672,188.55003164379264,195.67351541108638,
75,2005-04-30 15:04:20+00:00,168.73080761773707,158.99571865889595,168.82530710213035,178.25546983429905,178.28190080406765,182.52260743362666,193.35334281278926,188.39902339228473
76,2005-10-31 15:06:28+00:00,142.01384599093763,,138.6814416995458,141.58947597135378,147.20768283575694,177.01709170772435,198.18372964328458,201.46636351135464
77,2006-01-27 15:07:14+00:00,169.86748378066912,162.07598804014066,174.20404541693875,185.1579738408359,184.7071987164521,196.35385670719614,203.31854761630157,203.62255172704116
78,2006-02-28 15:07:57+00:00,180.65685093066602,176.7945274409439,180.07159962322618,192.59796196200966,197.2012684938529,200.95466178929973,206.94570110414907,207.5495908785358
79,2006-04-01 15:08:34+00:00,160.88104825332618,151.5112888464769,151.53881024995832,159.7861382366791,157.26526303165883,165.65137389658975,,
80,2006-04-25 15:07:09+00:00,180.13431202253543,173.8758654454167,181.02701480537417,188.8604386422993,187.3619317882976,,,193.6769968395643
81,2006-05-03 15:09:05+00:00,153.31518957718663,145.21741007036468,,,,151.16817129185665,,
82,2006-05-19 15:09:17+00:00,162.13428342335015,150.00058916122904,142.71148351515723,168.9387490989136,168.8148563897131,173.4536647461111,183.59755221299582,182.19186281598348
83,2007-01-14 15:12:01+00:00,176.6805828915796,170.4001524601316,175.37244410805425,186.29135408029123,184.2072506058753,182.24341963122163,204.6409355820718,204.6794733737147
84,2007-01-30 15:12:05+00:00,189.04863373400156,187.31637324766348,193.98858702309087,194.10733805156553,194.91309083021403,196.55861802357435,199.850435549316,200.86416279028293
85,2007-03-03 15:12:06+00:00,176.19528252720312,173.47972505205374,176.59408028114458,190.51514775858942,187.3240699877975,192.44998851008316,205.45604797500616,205.6880501288283
