dates,satname,nzd0519-0000,nzd0519-0001,nzd0519-0002,nzd0519-0003,nzd0519-0004,nzd0519-0005,nzd0519-0006,nzd0519-0007,nzd0519-0008,nzd0519-0009,nzd0519-0010,nzd0519-0011,nzd0519-0012,nzd0519-0013,nzd0519-0014,nzd0519-0015,nzd0519-0016,nzd0519-0017,nzd0519-0018,nzd0519-0019,nzd0519-0020,nzd0519-0021,nzd0519-0022,nzd0519-0023,nzd0519-0024,nzd0519-0025,nzd0519-0026,nzd0519-0027,nzd0519-0028,nzd0519-0029,nzd0519-0030,nzd0519-0031,nzd0519-0032,nzd0519-0033,nzd0519-0034,nzd0519-0035,nzd0519-0036,nzd0519-0037,nzd0519-0038,nzd0519-0039,nzd0519-0040,nzd0519-0041,nzd0519-0042,nzd0519-0043,nzd0519-0044,nzd0519-0045,nzd0519-0046,nzd0519-0047,nzd0519-0048,nzd0519-0049,nzd0519-0050,nzd0519-0051,nzd0519-0052,nzd0519-0053,nzd0519-0054,nzd0519-0055,nzd0519-0056,nzd0519-0057,nzd0519-0058,nzd0519-0059,nzd0519-0060,nzd0519-0061,nzd0519-0062,nzd0519-0063,nzd0519-0064,nzd0519-0065,nzd0519-0066,nzd0519-0067,nzd0519-0068,nzd0519-0069,nzd0519-0070,nzd0519-0071,nzd0519-0072,nzd0519-0073,nzd0519-0074,nzd0519-0075,nzd0519-0076,nzd0519-0077,nzd0519-0078,nzd0519-0079
2001-01-03 22:05:00+00:00,L7,318.84,323.25,340.37,336.16,346.40,349.59,345.94,354.65,356.37,351.68,356.37,358.19,355.41,353.59,357.40,363.68,363.03,360.36,358.52,343.98,339.30,320.69,323.07,339.70,329.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-02-20 22:05:00+00:00,L7,,,,,,,,,,,,378.53,368.53,360.36,361.76,366.28,365.52,368.54,370.38,355.01,350.29,332.83,337.54,350.66,340.30,335.02,348.11,343.71,350.10,342.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-04-16 22:10:54+00:00,L7,327.21,338.17,351.02,351.44,354.13,357.94,356.00,359.96,364.92,357.94,358.44,359.79,355.97,360.24,371.40,371.70,363.95,353.94,349.01,337.59,339.51,322.95,330.22,344.96,333.62,323.34,337.06,333.38,332.79,327.02,340.19,342.16,337.45,339.42,335.26,335.42,334.79,342.43,328.94,326.44,330.36,331.45,324.88,331.21,327.24,333.57,331.50,329.01,324.65,325.91,333.98,331.68,331.48,329.96,330.06,324.84,321.77,323.60,308.95,315.13,311.26,317.15,319.06,321.90,318.70,306.84,298.45,304.48,308.85,311.61,309.77,311.70,315.31,316.58,321.74,318.61,324.21,335.72,348.09,348.11
2001-06-19 22:10:17+00:00,L7,320.02,327.16,,345.44,350.11,,346.74,351.95,354.00,358.68,,,,355.05,367.92,367.88,367.15,363.27,350.34,336.40,337.21,318.47,323.00,330.79,320.30,317.13,333.78,332.96,333.95,328.57,335.68,336.43,336.00,334.95,330.79,,,334.46,325.51,325.53,333.82,333.62,323.01,324.68,319.33,329.96,328.76,317.12,323.18,321.18,329.88,328.02,327.75,326.67,326.36,320.01,324.00,322.92,311.38,318.58,308.44,312.20,316.04,310.18,298.16,311.70,315.38,311.45,306.64,308.96,306.02,307.13,302.21,305.45,310.21,308.76,321.95,332.37,342.80,341.91
2001-07-14 22:03:57+00:00,L7,308.02,310.59,,330.33,341.93,340.60,343.80,347.79,350.31,342.39,353.25,,,348.91,354.25,,,344.16,337.64,322.75,323.98,302.28,305.09,325.82,314.13,309.18,318.59,317.59,327.43,321.11,328.78,331.27,320.56,318.37,312.13,328.43,329.37,325.68,314.45,314.63,320.95,314.43,309.15,316.67,312.22,317.55,320.27,309.51,315.08,314.78,321.17,315.16,317.95,315.91,317.04,315.74,314.04,313.49,304.05,308.92,308.48,313.61,318.23,313.71,310.98,303.13,298.89,298.73,306.20,312.10,307.09,301.95,302.33,299.38,304.73,,,,,
2001-08-15 22:03:26+00:00,L7,317.39,320.66,337.67,337.97,348.82,352.21,348.46,356.29,360.14,359.73,363.47,363.36,356.04,355.58,357.65,356.78,352.57,350.77,348.38,336.06,330.17,315.07,313.42,329.59,325.64,318.35,326.65,322.47,330.84,323.43,327.20,327.94,316.53,330.80,332.59,328.36,331.57,333.76,318.82,321.11,333.74,329.62,318.90,323.50,312.75,317.35,318.28,315.87,323.84,327.70,333.02,324.10,323.11,325.77,332.69,325.26,313.62,311.39,307.93,311.72,319.71,327.65,331.58,315.61,305.27,299.31,296.58,301.16,301.38,308.85,315.19,315.91,323.31,323.51,318.05,315.08,313.94,313.10,321.58,316.83
2002-03-11 22:03:31+00:00,L7,326.42,330.78,330.37,315.20,320.57,326.19,331.46,335.14,337.66,341.40,349.82,347.52,345.21,345.91,351.40,354.28,355.95,356.36,352.25,338.74,338.18,326.03,335.84,351.31,341.40,333.90,352.84,347.64,353.26,340.93,352.48,350.50,341.39,342.89,338.57,334.52,334.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-03-18 22:09:33+00:00,L7,329.72,327.27,344.81,332.36,325.31,331.75,333.53,343.72,337.67,335.51,344.52,349.43,342.66,335.92,343.61,347.04,348.78,354.62,356.70,337.59,332.59,320.63,332.67,346.63,337.18,326.19,340.43,343.39,351.94,338.71,341.19,339.90,333.63,335.46,331.98,330.62,339.22,342.05,330.10,328.06,335.72,331.72,326.16,329.99,324.46,332.65,332.99,324.47,326.61,327.21,334.49,331.05,334.90,331.37,332.87,328.73,328.03,332.97,324.18,329.26,325.20,332.69,338.52,339.46,338.18,334.17,327.80,327.61,332.33,340.12,,,,,,,,,,
2002-04-12 22:03:25+00:00,L7,327.56,345.01,341.43,332.44,335.91,340.04,342.59,344.47,349.91,347.50,353.75,356.05,348.44,346.62,353.63,359.97,358.21,361.74,355.39,340.52,338.78,323.61,332.69,343.64,335.20,330.65,347.13,347.83,355.07,348.29,350.02,350.07,343.96,342.67,344.94,344.11,340.79,347.00,332.06,329.56,340.82,336.11,326.33,329.14,326.64,333.94,337.16,333.00,334.84,336.87,340.08,335.92,341.66,331.46,336.20,325.25,328.05,329.60,322.91,327.61,325.86,332.10,335.79,335.46,335.88,335.41,335.47,341.27,347.90,358.22,356.11,359.39,359.09,358.25,355.64,354.97,353.97,359.33,364.87,361.25
2002-05-05 22:09:37+00:00,L7,309.42,310.22,315.12,317.38,325.86,327.70,328.10,331.77,332.57,328.27,332.21,336.00,330.53,325.93,330.28,334.61,336.16,328.27,325.82,310.41,300.45,292.59,299.76,312.15,302.54,297.21,313.69,315.78,328.66,318.98,326.12,326.04,320.44,324.83,321.79,313.41,319.95,320.68,310.02,309.46,320.82,314.34,302.73,306.84,304.44,303.25,305.22,293.28,296.47,294.39,300.62,303.07,308.69,308.56,305.07,292.87,294.87,299.44,293.42,289.18,285.52,301.72,309.73,307.08,297.17,287.45,285.14,291.14,300.86,315.73,315.57,319.91,316.73,306.70,300.74,295.94,307.52,310.39,323.13,324.49
2002-05-14 22:03:19+00:00,L7,326.61,344.62,348.61,347.53,351.69,355.65,355.88,361.80,363.95,360.19,363.84,365.32,355.64,350.29,361.52,368.22,359.56,356.07,350.28,340.87,342.04,336.32,333.60,346.16,332.92,324.81,341.03,345.08,353.78,352.77,356.54,358.17,352.74,346.80,349.30,349.93,336.25,350.36,340.34,343.66,349.70,345.82,340.83,339.96,333.80,337.85,338.73,327.14,326.47,323.07,330.88,337.16,338.15,329.34,328.89,326.94,328.99,336.83,327.41,331.92,329.45,340.83,343.48,339.32,335.07,330.27,324.90,340.15,354.13,359.78,354.58,348.14,349.04,343.99,339.88,337.75,342.20,351.60,381.68,373.33
2002-06-15 22:03:07+00:00,L7,298.84,318.05,,330.58,336.42,338.43,337.68,340.28,341.15,342.41,346.48,,,,341.99,,,,321.77,313.88,315.38,299.96,304.38,318.47,312.61,310.26,319.89,316.72,326.85,324.77,336.39,330.53,318.06,323.95,331.02,,,330.53,319.30,325.49,332.06,330.88,322.25,319.68,310.44,314.94,314.24,306.77,310.94,321.40,330.37,312.17,308.97,311.36,,325.72,316.70,315.64,311.49,327.51,316.72,313.26,310.65,295.89,298.42,,,323.27,321.64,322.48,311.79,309.90,312.11,,319.85,323.39,328.23,347.39,357.87,352.81
2002-07-01 22:03:02+00:00,L7,,,,304.26,315.12,,320.69,330.29,336.09,336.35,346.33,,,339.58,344.06,343.55,336.18,334.91,327.40,321.47,316.37,304.63,315.30,330.99,320.14,307.22,323.97,327.00,329.10,326.02,340.64,339.69,327.66,331.48,328.97,332.26,334.67,330.21,322.13,321.76,327.07,330.34,321.61,321.31,313.61,320.55,322.33,307.95,320.23,317.90,326.66,315.23,316.78,320.39,322.32,312.81,315.94,329.30,315.31,309.57,298.60,313.45,313.14,313.97,315.04,319.39,311.74,314.11,317.10,318.11,308.97,308.43,314.28,316.69,315.76,319.02,322.93,329.79,336.82,334.60
2002-07-08 22:09:12+00:00,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,345.66,345.34,339.37,344.21,346.68,333.13,331.92,,,,,,,,,,,,,,,,,,,,
2002-08-09 22:08:57+00:00,L7,325.13,341.46,322.66,312.94,323.12,329.92,339.67,344.13,344.69,353.26,360.82,365.78,365.34,362.76,363.31,363.52,365.12,364.17,358.88,345.66,348.72,335.44,338.60,350.80,341.68,334.34,345.65,347.98,353.23,351.68,358.48,357.05,350.67,350.59,350.94,351.45,341.49,357.50,346.49,350.47,354.18,351.61,342.24,347.38,339.04,346.43,349.72,339.96,340.05,341.96,342.79,340.02,339.65,337.81,340.10,339.53,340.77,347.61,345.07,346.55,340.65,347.70,346.24,337.66,335.25,325.47,320.20,327.84,332.54,341.74,337.63,344.06,355.97,366.71,357.30,354.27,356.71,358.27,364.07,368.63
2002-09-10 22:08:43+00:00,L7,324.20,336.30,328.64,324.30,331.50,339.13,344.83,352.01,356.47,354.90,361.77,364.35,357.13,356.82,363.02,359.18,358.17,361.09,359.57,351.29,349.20,336.73,340.90,353.81,343.08,329.31,344.65,342.44,345.22,340.67,358.96,352.03,345.65,338.31,341.95,330.52,336.88,347.86,334.56,337.20,346.03,338.34,331.92,334.02,324.35,335.57,333.74,327.52,328.97,334.60,338.04,327.09,332.09,328.26,327.69,328.39,332.96,336.15,329.38,328.21,326.04,336.01,337.01,331.66,327.31,322.97,319.49,321.92,326.60,331.45,331.34,338.39,351.16,358.74,367.01,371.24,358.97,353.79,352.57,343.57
2002-11-29 22:09:01+00:00,L7,319.15,321.24,325.90,315.68,322.72,328.66,335.85,338.82,344.17,347.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-02-01 22:09:21+00:00,L7,332.85,345.73,359.23,348.24,346.55,351.05,356.51,362.35,363.07,356.69,362.81,367.68,365.12,365.50,369.12,364.21,367.02,368.71,361.02,346.62,351.55,331.42,338.63,356.51,342.15,334.51,355.64,355.36,357.90,347.69,347.94,348.66,344.42,342.80,341.68,338.24,344.07,347.14,337.51,339.99,351.54,350.24,344.93,351.65,345.03,345.05,343.15,336.98,342.34,345.48,344.82,341.01,347.50,341.84,343.47,341.84,348.29,346.04,332.09,334.41,333.70,340.45,342.51,330.59,336.81,345.43,341.89,343.80,347.61,349.42,353.26,361.40,362.47,362.18,357.96,352.16,347.96,347.30,361.80,358.84
2003-05-01 22:03:22+00:00,L7,325.85,342.92,344.95,340.38,350.02,351.48,350.27,357.65,358.47,355.26,357.22,,,,,,,,306.90,330.75,334.07,324.49,336.86,357.58,346.64,340.04,353.98,347.25,349.50,345.10,353.16,337.54,338.07,336.08,338.07,335.26,331.54,346.92,343.17,342.47,341.46,337.36,340.87,344.75,338.22,353.99,350.60,343.61,344.01,341.30,348.16,347.94,353.35,340.67,338.75,341.41,344.41,349.63,332.47,333.06,340.20,344.36,342.32,332.59,340.60,337.95,331.67,330.22,335.27,345.64,345.22,355.47,362.44,,,,,,,
2003-05-17 22:03:18+00:00,L7,,,,,,,,,,,,,,,,,,,,,,,,367.37,358.87,351.52,358.24,350.04,355.02,346.49,356.73,359.48,350.58,353.97,336.33,345.74,351.57,357.80,347.46,349.92,359.24,349.24,350.32,361.63,355.98,359.78,355.25,345.27,350.12,348.76,355.47,353.79,355.43,354.84,355.18,354.69,346.78,351.78,339.64,344.61,346.39,352.80,352.97,346.31,338.81,333.32,315.21,315.92,,,,,,,,,,,,
2003-08-05 22:02:59+00:00,L7,,,,,345.29,351.76,349.58,348.68,353.70,352.43,356.89,357.85,353.25,347.16,352.03,356.27,353.30,346.02,344.46,,,,,,,324.10,332.36,328.70,327.23,321.95,326.70,328.71,326.02,321.92,322.14,325.82,326.27,326.81,318.31,319.61,,,,,,,325.10,320.25,323.19,323.86,329.66,333.49,335.88,330.09,328.79,324.39,325.86,326.08,314.27,317.61,,,,,,,302.51,309.24,316.18,330.35,327.34,321.94,311.30,312.54,317.52,321.81,330.33,331.28,,
2003-08-13 21:51:32+00:00,L5,335.83,354.59,354.21,355.82,367.12,372.29,375.55,379.11,382.85,379.78,386.06,388.21,380.17,376.69,387.97,391.82,389.73,387.36,385.11,375.30,369.70,356.10,361.26,373.00,362.96,359.23,363.04,362.65,368.21,355.39,358.57,358.23,355.69,354.58,352.01,356.86,341.03,358.43,348.37,346.84,362.67,361.23,353.18,361.21,355.77,365.27,365.35,353.82,360.51,358.52,362.37,364.25,364.70,362.33,363.65,359.05,357.83,361.63,348.88,349.31,347.38,352.87,351.79,349.35,345.61,344.37,348.39,360.64,367.91,368.77,356.29,347.11,345.67,350.53,354.81,361.71,367.55,374.65,379.69,386.54
2003-08-29 21:51:49+00:00,L5,333.38,356.40,346.45,325.52,342.40,349.55,355.48,366.75,367.09,362.10,372.81,375.04,372.62,372.25,376.64,380.81,384.17,383.04,381.65,372.12,367.23,356.47,361.18,375.87,365.43,360.73,373.95,369.40,374.27,368.02,369.12,371.80,354.48,349.82,354.58,346.31,338.88,355.84,349.73,349.50,357.13,355.59,348.60,359.05,352.99,357.82,357.41,351.60,356.89,358.34,352.99,356.43,366.06,354.98,355.78,356.08,354.95,353.68,348.06,347.65,339.55,346.70,345.87,347.45,349.37,339.41,345.32,355.88,365.89,361.13,356.14,351.52,346.81,355.00,359.16,361.28,368.02,371.44,374.46,376.62
2003-10-07 21:58:35+00:00,L5,344.76,352.11,353.47,348.02,351.07,356.55,352.14,352.82,359.50,354.61,370.80,376.24,365.03,359.29,367.01,368.63,369.88,373.19,371.59,367.08,365.30,351.26,362.07,376.58,366.70,353.75,367.92,363.95,366.20,357.10,363.98,366.11,360.89,357.67,353.64,349.07,346.41,356.01,345.72,342.89,353.71,350.15,339.36,346.96,338.10,353.79,348.79,343.85,340.43,331.03,344.77,337.74,349.59,348.61,350.81,337.75,339.55,341.81,335.44,340.14,338.41,345.99,350.10,349.91,345.34,340.31,331.44,338.30,339.39,345.42,347.18,351.02,358.51,362.04,364.35,366.60,369.78,364.28,366.32,352.88
2003-10-15 22:08:58+00:00,L7,333.41,327.91,342.64,328.55,332.40,336.38,336.66,345.79,351.40,349.04,355.36,359.36,,,,,,,,352.13,347.94,336.40,341.93,362.02,356.57,344.52,355.05,352.59,359.47,350.29,359.12,358.68,351.84,,,,,,,,,,,,,,,,,,,,,343.00,,,,,,,,,,,,,,,,,,,,,,,,,,350.43
2003-10-16 21:52:31+00:00,L5,328.63,330.69,339.46,330.82,333.30,339.09,341.76,350.45,348.45,349.39,362.72,361.49,358.97,358.79,365.91,368.87,363.39,367.65,366.13,358.34,356.49,345.80,355.84,369.00,362.34,348.39,356.75,350.55,353.72,346.36,352.64,354.69,348.50,343.64,338.14,336.78,340.21,342.99,331.58,333.45,343.21,340.56,334.73,339.50,334.37,344.09,343.27,336.63,326.20,322.19,334.72,332.83,342.62,337.21,338.42,328.60,328.00,339.53,328.86,332.91,328.63,335.80,339.01,337.49,339.15,331.15,318.04,316.47,322.36,331.71,335.87,345.24,358.40,363.17,361.95,356.87,356.55,357.49,,
2003-11-17 21:52:57+00:00,L5,325.05,319.81,334.65,328.31,330.80,329.65,331.66,337.41,344.91,344.21,348.63,349.51,346.96,339.15,344.84,345.43,343.58,341.56,345.77,339.67,339.10,325.32,331.64,353.30,345.96,337.40,347.09,345.41,351.20,343.83,354.85,355.35,345.70,344.33,328.69,328.67,336.76,340.90,329.92,327.75,337.27,334.44,326.40,324.18,320.45,335.14,341.86,332.08,333.07,326.05,332.96,325.24,332.00,331.50,326.51,327.58,319.97,319.51,311.18,313.14,306.87,316.17,322.82,323.60,331.07,325.39,316.41,,,,,,,,,,,,,
2003-12-26 21:59:30+00:00,L5,338.17,352.09,360.66,353.59,356.64,366.04,362.99,351.87,359.32,356.42,365.23,369.76,361.81,345.59,351.13,362.90,360.74,368.23,371.35,356.71,349.86,339.64,342.02,356.31,350.19,346.86,353.99,353.56,335.68,325.43,344.70,355.71,349.15,346.20,342.19,342.82,338.43,342.01,332.32,340.11,356.14,349.61,342.64,352.66,343.80,351.08,351.54,339.94,340.33,322.18,334.66,331.06,339.12,335.66,333.77,330.86,336.73,341.13,337.17,338.90,326.66,329.64,324.45,319.83,317.25,315.20,323.62,344.02,342.58,336.69,328.33,327.61,,,,,,,,
2004-01-04 21:53:21+00:00,L5,332.98,343.84,358.72,354.82,357.89,361.35,362.56,365.82,361.60,360.14,365.31,367.71,359.69,353.28,357.31,364.07,361.32,360.43,360.42,352.13,353.84,337.04,340.61,358.07,352.17,347.89,355.83,349.79,349.23,335.64,351.64,359.89,348.34,345.39,345.50,343.56,347.34,349.41,337.37,341.85,355.24,352.53,345.49,350.34,340.44,352.57,351.65,345.49,349.27,337.42,341.50,339.47,346.31,342.57,339.84,335.18,337.36,338.69,336.90,342.88,332.52,333.14,329.43,328.93,327.01,322.51,333.06,355.12,355.76,344.73,335.57,338.98,341.90,341.94,344.14,339.61,329.90,349.49,365.18,368.34
