dates,nzd0066-0000,nzd0066-0001,nzd0066-0002,nzd0066-0003,nzd0066-0004,nzd0066-0005,nzd0066-0006,nzd0066-0007,nzd0066-0008,nzd0066-0009,nzd0066-0010,nzd0066-0011,nzd0066-0012,nzd0066-0013
2006-05-09 22:01:52+00:00,175.50701038913508,158.78107878135197,163.82056316077188,171.95503232327434,,,,,,,227.7687481937053,206.64624908672724,217.79304315678735,208.41366923533806
2006-05-17 22:03:57+00:00,180.5145142664849,167.8993603258195,168.62125706396705,175.4365789165943,201.80222430478864,201.9615890581972,198.0988412248632,206.66279647808113,210.1061579887808,204.71426709370422,214.4846715180401,210.06441784100357,213.4035481512019,218.73684299655616
2006-06-10 22:01:49+00:00,180.50595007444258,165.03313057827918,162.62303192301624,,,,202.11289171076845,204.06065827113048,211.1985563892053,209.5680933130094,203.3498870421028,208.43194706794458,207.31695178441905,202.0660898613121
2006-06-26 22:01:44+00:00,183.52742118992555,164.71476959920048,160.5455831323716,174.29354355846004,198.67975700871312,198.10176685123383,200.61286336456823,201.86230032249037,209.3187561400384,,,,,
2006-07-04 22:04:41+00:00,178.0390855060013,161.135002690598,159.21279813916033,170.47827387630807,196.68886046844244,183.9836816488888,189.72424458701929,189.2551847522423,189.45141675329265,194.5895560444277,233.24559657087408,219.8810930871122,200.80037824909144,192.4413126049828
2006-07-28 22:01:30+00:00,191.94446670655742,170.4885284173084,167.144029958288,178.70849937101835,,,,,,205.46754149905968,205.27296227855064,203.65305297647768,208.89280116462137,207.87097246645806
2006-08-21 22:05:19+00:00,176.56051627452422,163.76706269460442,159.92882828262276,167.55298601204134,194.11192156261703,199.30200366349465,191.6217381626604,192.8785814061946,201.69872056026676,202.57306135248749,202.48198507154007,197.15619347654908,197.9351535258515,200.17112530990207
2006-09-14 22:01:21+00:00,181.1043969888045,164.2262678988453,164.63245742568316,173.02733778579787,195.62513086499317,195.8811410079553,191.50719731905943,202.65244118867219,205.61824947946184,205.69878251976235,206.124492514154,195.70191191354954,201.94406778292316,199.9070159528712
2006-10-16 22:01:19+00:00,176.71137514399658,168.96434229413435,162.5231635196154,167.69529912133285,191.85379482807065,195.07165906119883,193.7375518051386,200.74579788757347,,,,,,
2006-12-11 22:06:28+00:00,,,,85.02876335333922,125.11734681069328,137.87429789683367,154.01828428653545,169.6086512715892,185.79438831234208,191.97672733470898,191.77425979569878,198.76208711790522,213.73496600566352,229.76530540107066
