,dates,chi0486-0000,chi0486-0001,chi0486-0002,chi0486-0003,chi0486-0004,chi0486-0005,chi0486-0006,chi0486-0007,chi0486-0008,chi0486-0009,chi0486-0010,chi0486-0011,chi0486-0012,chi0486-0013,chi0486-0014,chi0486-0015,chi0486-0016,chi0486-0017,chi0486-0018,chi0486-0019,chi0486-0020
36,2000-02-03 14:34:13+00:00,217.34854090029427,202.18223350697065,191.51205541569087,173.43342889058152,160.1331073349746,154.28215400302653,148.73769590373968,154.68204462819637,185.11884314965891,204.70749075873886,172.18502340262773,166.09969540263148,184.56788810274614,200.97822082111531,176.45925633348276,151.11553384754464,131.35755197799637,144.30803848616165,180.51443143393854,191.93532017945893,203.50532231969106
37,2000-02-19 14:34:06+00:00,223.90985655354663,205.93340238475568,202.27016485880057,194.4293718730477,179.41888631595802,165.14281776797026,145.77880069107988,161.86885175210298,211.56276299104744,219.37102819712055,178.03200492181443,171.8230348900682,209.73688206068243,218.06468394042486,183.3859571352109,148.84959261079567,137.11084142070985,162.22755353046733,187.80478371803335,208.5331983049913,213.11183354338573
38,2000-03-06 14:34:02+00:00,235.63689971227242,221.58267539290247,199.56246086775693,199.7891006761076,182.80288494261345,168.22620754429846,147.96257229408005,160.54846019736445,210.6955294700739,213.33730983564132,193.22808672458473,169.37934594226135,196.9282715810261,222.19984863218212,186.54988954177657,138.14088716095796,140.39765069782302,174.60181909027588,206.7215457535347,220.15395681115427,210.07450999875815
39,2000-03-31 14:28:11+00:00,211.9161508560438,203.54294195052125,198.80585809476491,189.86881019534619,187.58361485912866,177.224371906962,143.8549237296359,154.0039886126952,174.67152754588423,201.808831284238,199.42875777359353,171.75115921287193,185.10016478082866,207.8636812559417,168.48957796883786,,136.60694428947664,176.54851715256692,198.12155840910637,200.7599421887458,191.95428293984943
40,2000-04-16 14:27:57+00:00,227.09686623783563,216.4880453247958,201.7382741319933,189.3667562187894,192.8223736139277,192.13471068553082,183.40301501463787,148.16231206228835,157.47898757886776,187.87551270037403,216.9233031686262,180.36777238547305,167.23141521315713,183.29160387281456,187.89445634908228,131.88184393543978,135.2926078864773,176.99408211166278,199.74626123507622,213.52303495762976,196.85968669005038
41,2000-05-09 14:33:34+00:00,221.04637380143336,220.3593054102446,219.1520070100406,208.1858959474349,200.065896008648,194.13473896261607,,172.83903051268297,154.0717053218779,159.21376296869684,202.3539158417226,201.80225060199476,172.11227260994067,171.169324154761,179.90150081376635,,,191.25090745314645,218.38422585034127,228.11485531589105,
42,2000-07-12 14:32:55+00:00,193.7239910558641,,,,172.41165937061214,179.10879449189594,,,130.5784006673486,129.08645018080134,140.43512682213708,156.0435481391512,142.17684441654393,146.54301423923204,,,,141.38551592133533,,,
43,2000-07-28 14:32:38+00:00,189.2196231748571,181.09532311599156,157.99461482173774,,180.46029448016063,174.30126970984833,,,128.9488049838602,140.24877352473828,162.7007307817949,165.34656289389773,160.2923010869041,167.58246559111495,,,,,,,
44,2000-09-07 14:26:24+00:00,217.59723861224876,208.88352488289382,180.56153873017595,184.8005984932421,204.96465400213566,193.53243627844762,148.0917932072574,135.58261014639012,148.60733084770865,189.9293842524866,191.08369425551498,176.18935100203927,182.48277455426177,181.7712840698976,178.74745461256418,175.3120851558609,163.88367911282194,149.59063746312353,167.20956058478907,178.1141460507984,
45,2000-09-23 14:25:43+00:00,228.77631713470512,201.67693752916387,185.2113740300875,176.59020354872771,192.2291004169367,196.85630088901738,144.58178196982814,122.69244049956282,141.40776220108938,172.98560570122677,180.20191734634,183.00746486096656,178.3286483492125,171.64174917073996,174.04197087925243,176.48239035552064,164.2290053646908,160.81918709533898,165.23401300952077,169.74002004877897,165.0511422494428
46,2000-10-01 14:13:43+00:00,216.11328446850032,190.54409860154834,165.9618523294598,171.04202464531363,183.61902494009502,172.43769179961916,130.54843339031098,117.0619328725703,146.33427586798442,178.8095842235768,179.39002685103844,164.29270848569954,175.2967280854717,178.17523737261178,171.57258264122342,166.32156400546472,161.26614152968764,156.22089507816207,160.9480349498723,169.80805603033568,160.64233033023757
47,2000-10-16 14:31:35+00:00,214.11266465844716,196.87642046650947,179.67691259934963,176.87808537364856,188.58120638391506,168.24191950106268,137.11048459375016,132.3395086476587,153.9553585398416,174.39977131444948,207.41156871762905,180.78656734397538,169.6307157353809,168.96908680958578,172.82860242279168,175.87967933230874,172.05215888335908,172.79081459806062,178.2038218135135,188.5396205084155,179.7504896283122
48,2000-11-01 14:31:49+00:00,220.1064042721201,210.66067051494394,185.16239346011844,174.81587969312926,172.87966104505523,180.88103012908346,150.39158267597014,144.53727604014415,150.9056831005612,174.4894141344573,215.0598595414242,,163.88104323635997,153.69678123302322,175.53725007968092,180.31422594448094,178.29136663573502,188.80502404295373,192.93737084173975,184.16022460231903,171.98593367728918
49,2000-11-02 14:14:27+00:00,235.14906837507277,212.89871826397493,191.9509996193221,172.09120728012473,174.1058196963856,188.32481518662627,154.15778953954526,149.56178868906343,155.33754571505602,178.5035611987525,212.44162714474513,196.72653773861407,149.03481421001064,,,,170.51213755951835,182.79638463605357,192.01826089332005,172.62711638054165,174.95991316819766
50,2000-12-03 14:31:47+00:00,224.0687885452533,228.26815519506397,200.44402894784122,176.3567093173589,178.13087645787496,186.82579134717489,178.678421981278,160.44419294281897,151.56844049659102,161.46966741870708,195.33567891907276,221.96867363148687,192.9357787269791,159.4570929787675,172.71139424121907,181.0309084611345,176.47764590207146,183.31755707725267,205.22041015742545,199.35655153225662,189.79295141119735
51,2000-12-19 14:31:52+00:00,234.95941958242167,240.3726323246363,223.70237969189876,197.36092942279055,181.1103958308883,182.728847153331,199.9187148014772,186.15043996147165,165.33163563816066,176.11522307993897,196.90447146726467,222.05110083487588,213.88788605177965,186.18438394955612,171.91978322651616,185.53103454112627,202.7100736449757,200.08331515838853,208.0318726724605,219.36927713269256,213.25872686243196
52,2001-01-13 14:26:09+00:00,,,,,,,,177.87578684170649,153.4027862435317,156.28306437618056,183.85568970421147,215.19370770824383,193.32129562356806,152.46762486009408,150.47751749132036,155.69237381969162,168.78053791795202,,181.306809549593,192.15555435379457,191.1649115459174
53,2001-01-28 14:21:23+00:00,233.4086984262257,207.83493732158712,197.20152460300477,191.2539824562319,163.49958000738164,172.41832784593976,182.2081496434227,188.6135647428635,163.26317479706458,154.65796141236322,176.13159073277893,210.73109858413827,169.67671888766813,146.51811980529405,162.24765040177317,186.48066935250245,170.83421921280365,177.7845917896865,190.33890949217908,198.3458237463647,191.43351612850842
54,2001-02-13 14:21:27+00:00,235.64221360449525,206.3414252422315,193.24539110643207,184.90610679463478,176.99089715088203,181.25997917776928,184.82377609041052,189.1359738335834,162.04898950973356,152.89207899721987,181.88793625844357,208.6515856019543,159.72519690054492,146.2409103709856,174.87568918618265,188.16597131465576,169.32819507831,174.40584830441293,197.55415652181105,203.0915075695172,194.49112563548698
55,2001-02-14 14:25:41+00:00,231.18510028040805,217.0043504961735,200.66324312564132,190.20331294326076,183.24110975066665,182.6948710408504,192.43594299010456,200.96353455917006,173.37231319553592,166.39859842756024,186.09784480926496,215.74607102339388,174.45014835258868,158.6846805799778,176.71050960014045,199.60622025110564,174.90853765557625,184.5202001404864,205.60807760882528,209.85919393838606,199.4416462852591
56,2001-03-01 14:21:35+00:00,211.2237962141613,199.2452482078743,178.71688637909733,161.1386554260024,166.09732764897888,170.63385323165332,175.53342732866295,167.43685754090833,166.38663238976292,156.23807870301908,172.96057327140528,197.61465696281581,162.15428912332462,132.94678879104566,149.68218389902825,185.29279974386577,169.23421323487497,158.18415842061927,179.76299263700176,195.69723376799814,181.263308576698
57,2001-03-10 14:15:46+00:00,217.31331287986393,219.2114508716252,192.78266987137965,183.77689479828214,169.53625420171363,159.4928506340432,175.39212863491161,167.17889113951196,169.45918786698252,151.98885254350552,172.2486579536289,200.4065271433475,169.36260382808797,137.09696826843674,144.59838566188654,177.6278614169701,165.65459939480698,157.65370082494942,177.93784134039942,204.8821724326306,190.4364232664695
58,2001-03-18 14:25:30+00:00,227.7677449207116,223.05558027228827,203.63218768832945,189.7127851636895,179.79270300286848,165.4674987645353,182.11044585413185,173.926317253222,184.6526983635296,177.6589148099923,171.19170834445325,196.80845140668654,180.07260621422478,156.07272906347433,163.56076048824724,183.72552692164146,171.96953926635874,164.01963848772374,190.6067781089296,218.56752530190334,203.42216822752712
59,2001-03-25 14:31:37+00:00,216.1832196902824,211.93680394528025,184.138870426386,184.42442809843484,178.11318750255302,167.8780256057982,163.7707339969882,168.28937773394688,155.22519656835874,159.4592934291885,171.01300240263703,194.60189952414828,182.6924408173154,146.8962039213427,152.58242107322212,172.45666965856296,168.2901127956607,160.9017367352257,187.79173125067683,216.78271536611095,209.24994153917407
60,2001-04-03 14:25:43+00:00,216.3010306568499,224.24142257343823,201.67444719933894,192.4292967242067,182.6513520613588,168.27027450370613,169.5789856893407,179.65939871776683,175.40349504076036,170.12200644502556,174.28413497680305,187.68899072853617,209.62311614245579,170.95015279665935,153.9292304718515,170.6139942924939,167.8973768266527,170.16565897361096,201.9343167940507,214.62820938859625,207.94204853370292
