,dates,chi0496-0000,chi0496-0001,chi0496-0002,chi0496-0003,chi0496-0004,chi0496-0005,chi0496-0006,chi0496-0007,chi0496-0008,chi0496-0009,chi0496-0010,chi0496-0011,chi0496-0012,chi0496-0013,chi0496-0014,chi0496-0015
421,2015-11-03 14:41:58+00:00,68.46097125319727,,164.6267731608854,182.9927409269438,176.13631432084097,173.87471279214253,178.07310441354034,169.02974595954464,184.9095768460445,174.51286770083507,166.87244043413304,171.9708698605647,156.66550333426585,172.72728696886122,181.71589027867427,183.9885781104776
422,2015-11-04 14:36:10+00:00,,,156.51900369137965,171.90262899324972,166.119768617697,156.36300770888099,158.41293626387863,156.0337060548689,,,,162.03154898722187,147.78401317081534,168.91643398435866,167.02704781330488,170.0759779587643
423,2015-11-11 14:42:29+00:00,88.25271399184584,95.43460404076144,,,147.40392586473152,150.20137827939186,147.80485092752136,168.02956576272373,174.81988511541383,174.02190164175798,,,,,149.2619953604538,153.51871076998677
424,2015-11-27 14:42:43+00:00,,,,135.89363755070536,130.295099152624,153.8008585197979,156.86132380958614,150.42937656907478,166.41312318622923,,,,128.28255371936328,134.08866459868452,147.82269014211448,152.02829274616448
425,2015-12-05 14:41:59+00:00,,137.4346519913225,165.82907847181912,164.0989366686248,166.39381564757278,178.19603229450047,179.64913552536427,185.7025195867958,191.71026066863493,180.64751546678076,169.4492115881118,163.63998460696823,161.12042939752126,168.69348946195262,200.35639765693278,186.55844811674012
426,2015-12-14 14:35:47+00:00,65.58651185515104,142.10778733209636,164.6104283287054,170.85827710065666,170.1515377840457,175.93292022510357,170.86486246166282,175.22782058627027,192.87279871782223,192.12670571491438,176.68531356740496,163.53759680525462,162.72561645992354,168.62952722036448,172.91652429706969,188.49076478064143
427,2015-12-29 14:43:12+00:00,135.21427045575473,153.9363754059939,150.85582217718445,164.85310603071548,,,,164.3405854109412,178.75557652162678,174.43894644503393,177.28115245283942,169.28868104528925,169.39502863364638,164.76173134577604,,
428,2015-12-30 14:35:47+00:00,177.71098608122878,165.1460787530812,166.55498202952035,180.65519948988862,165.5337237293621,185.4752535878356,178.95138804203418,185.2105226053227,202.77435830314403,206.6956812420059,187.079085659682,174.48064698019527,179.09963079309367,181.68842951211553,199.79350697435262,204.97108654767848
429,2016-01-06 14:41:55+00:00,169.60497856200104,185.46759359271593,173.67936793617366,183.82028083029158,163.15445300252114,193.29918386848996,182.16101304104328,185.12687274649744,203.97773458355456,203.39144879541027,186.20364693484328,166.2153625339373,172.04304154070257,177.43516132903613,197.75583399532152,202.30690790288133
430,2016-01-07 14:37:11+00:00,151.47720800181335,170.48881610549762,154.89439773131258,,,,,158.20629033717526,181.21497763597847,179.47431720500185,166.30818801264192,155.29656596788496,153.8112287559921,,,
431,2016-01-22 14:41:56+00:00,169.34653928895094,195.93495901177843,182.91355457097427,187.65807654007705,164.41727357783336,188.4961321105921,168.59800405605586,195.56536774111956,191.99434876300404,206.59798324968082,190.94667819416875,184.5949894349955,188.93123100662518,195.90127724124608,201.12423231076204,195.72713825830013
432,2016-01-23 14:37:24+00:00,,,,170.4294187198624,151.31775016321492,170.30923867783048,159.69771725462505,177.0820009272368,171.19905281821536,181.99584654088326,,,,180.9705557079164,188.02870429528915,178.03911189189333
433,2016-01-30 14:43:38+00:00,178.18395980642484,188.33073336966345,187.1734770507477,,,,171.47556220244797,189.10312293209964,191.76672180473128,201.56377034405415,196.77096588671768,194.52815754237437,,,,183.04592048521792
434,2016-01-31 14:35:43+00:00,167.05366178106456,185.02415872894557,180.2107947528162,176.70088460478496,166.15105262398004,177.8687670515561,168.00150326849695,202.54684202590607,192.59947055475442,195.85817185867992,198.95469497286174,193.02167855904952,192.65876257460457,191.2891248419842,188.3586481622142,193.42043391090283
435,2016-02-07 14:41:51+00:00,174.76462117573777,193.95304001224233,187.99094378670787,181.57300696770713,167.48799775120227,173.63924465301346,184.49765794399497,190.04853961308544,195.79570737293872,189.07803580564482,179.08748227102714,184.1479522405019,188.85430727352227,185.08298693770854,192.5745277949762,191.40890703364568
436,2016-02-15 14:43:43+00:00,152.83410003108017,181.27091527198112,180.12606549089008,,,,168.72734319224304,171.863573717243,197.61292988310817,194.87513014442482,170.5370458596722,177.6631053920089,180.05869994424185,,,
437,2016-02-23 14:41:44+00:00,171.91790245043154,188.8492510847,187.4683125683965,191.75915029937465,167.10985190824846,163.5632356806394,173.28987684325702,186.06627883661386,190.08668792877805,187.7547155347146,182.94722377691124,181.09007518848534,182.05407493462928,186.92037666559654,178.0965643483201,176.26707210187686
438,2016-02-24 14:37:33+00:00,160.5538988724251,184.2839244511228,183.41256711863667,182.914585365198,170.5898942156778,155.5931778253878,,,,,,,,,,174.62197705132928
439,2016-03-03 14:35:33+00:00,169.9905751872094,190.74764656981353,197.51559780232395,194.84952202285209,191.15726506680795,176.52044255781502,171.76441129326054,188.8957508181037,199.0245951638095,205.29281514753345,189.7323375271219,181.47734679898502,177.936618188565,179.10554642904097,185.40019721152453,184.67598865125436
440,2016-03-10 14:41:42+00:00,187.73034291832064,207.89176204893144,192.9653726293536,190.70395098983718,192.6640114453827,194.87102845543836,182.82486481919653,177.99635921045447,188.76745875985208,205.78253026642548,202.56827273507758,185.37787979332498,197.5045351177494,196.35355270019284,176.838473805967,188.46555525695453
441,2016-03-11 14:37:44+00:00,175.95210545722685,197.06299431409528,184.64141186946156,180.10729078502663,,,,172.88539860844236,179.08025878906534,193.57194552189767,187.65549976336612,178.21174851425445,184.73361125125837,,,
442,2016-03-19 14:35:27+00:00,192.29966279103323,216.6307312859153,209.01840385533163,199.42414252170357,198.19799007200822,194.75323588848494,193.91285387233074,191.624345831342,193.0261702902551,213.51742150421597,205.55461211457953,194.91051460818295,197.04365715770348,197.3879951641554,201.51729810737226,183.3995431753204
443,2016-03-26 14:41:34+00:00,185.3620918094703,207.8730222157824,203.09309691413037,197.74197299873458,188.2003245557182,193.39681650605186,198.91790847119952,186.54739074462267,184.15077972563404,188.6954960893809,191.17917023178657,190.62584955268568,195.06279849498642,190.0455230343432,193.20875020130654,187.19163577124496
444,2016-04-03 14:44:01+00:00,188.4050971255076,202.6237450414,,,,182.54995206321792,181.39884767738283,188.89508582592003,190.69225732785924,184.86763319677507,168.73478067963725,180.50604830923024,,,,186.39116953873233
445,2016-04-11 14:41:27+00:00,178.76641452732505,199.14356149956575,198.24835474170268,203.13652646994163,192.26031042523877,190.8799690036647,190.19676348157023,193.54448099692473,199.399084512485,195.52659150440286,188.59926965336257,180.67553476251092,189.14410507031252,190.88853853452414,195.12448138750972,190.4673150712042
446,2016-05-06 14:35:16+00:00,197.00136052442397,212.26590046761265,197.2372257850607,202.67980430171266,187.21738058577128,185.99503990206097,182.1663920562833,187.3937266496344,198.6209350167891,189.1377643527289,182.57680254464356,179.58294225609293,186.86184739948015,184.4940533998565,185.39058545486645,183.63045126029928
447,2016-05-21 14:44:16+00:00,,,,203.25989216784512,187.22051850959775,183.15374692946315,188.77506983658986,194.0597253208436,209.4012783248464,203.71459394680383,,,,173.88593744170035,182.00623383727518,173.09378503414456
448,2016-05-22 14:35:16+00:00,190.7093929213893,220.5949806420612,206.72543259800602,204.4785325397229,187.79652952364725,184.15888780369968,184.60112070378975,191.16538176554738,206.0956594167969,200.0384115289405,192.00771387473492,186.88003227330944,189.75186170670975,183.22077965569804,196.42682937329965,181.55792273938462
449,2016-06-07 14:35:21+00:00,210.5218280348761,214.52225314927676,203.91998142762273,204.7870057669815,193.0500147090311,194.47184472547144,188.42673374294964,208.29471993971566,198.92185961961616,211.77840522153096,196.24166958510398,190.84989811175552,181.19565401999884,181.79472300843878,179.0062273319223,171.88877483744017
450,2016-06-14 14:41:32+00:00,,,,,,,,198.3827166308876,199.07558633102076,203.42417996464505,194.7386796468101,183.0818799746772,182.77736904905825,189.54735720795557,184.67517652903285,181.2249302558417
451,2016-06-30 14:41:41+00:00,,,,,,,,184.06134062736785,188.61029371375474,199.31864172542407,185.56920640372127,183.8230187899501,173.7979817549078,169.24770044701776,174.83929276378768,168.9381902942403
452,2016-08-01 14:41:52+00:00,166.21153835409638,186.12498264685163,175.3946420467097,170.0611264875797,147.02432313144027,151.01364777294592,156.7913731552685,159.1080749178238,166.71813032881798,174.589678685458,156.18591784958267,159.95320031314964,165.57575751008756,157.70613389653732,157.69659234575678,
453,2016-08-26 14:35:49+00:00,123.22024280943315,167.78853564767545,181.61889554915874,187.31350320464932,170.37387287264215,155.21431317381783,155.07243949344752,169.41346173329194,181.48551552126526,182.7670673095183,182.59428415997888,175.7284095262977,166.21002076485348,156.48695564622517,160.7550632587894,167.91838061579554
454,2016-09-02 14:42:02+00:00,142.0936672468074,195.64864932117314,205.2380536329803,200.15841210874157,180.61315422103357,163.41105450040854,165.1827881534978,181.86218741268567,187.29736924253498,183.98909148669358,186.60344344488064,185.1001629705493,184.67173228417442,161.95470635099684,156.59297878650128,169.82679985350313
455,2016-09-03 14:38:22+00:00,138.23431545945596,187.00860245136167,200.2057218813638,200.54646498981978,184.23544204612676,163.53079397883545,158.41664333668456,,,,182.789138601638,183.43036098371263,184.2860431866594,160.25659376295596,153.05207531453462,179.04070668849707
456,2016-09-18 14:42:05+00:00,,206.74934586934808,202.17843962927853,201.0595992056768,187.6530984478945,169.249358428235,162.7242418072455,166.08194740213654,175.7410653073467,180.5303592396608,192.83291892887408,190.44148053591158,186.58299329090147,159.27033633979735,154.0687168520433,169.91835481107753
457,2016-10-04 14:42:07+00:00,,173.3582804431388,179.9652414586227,196.12687341890032,189.80644745428407,176.01186290848528,165.16607995302672,152.26871692283538,154.31066593361004,164.68086262081775,192.16678228407937,183.63156236877037,174.48922258255496,162.19476623616595,160.04770788836532,166.77256366496434
458,2016-10-13 14:35:59+00:00,,182.73619807113366,190.29180783326424,195.50648927936854,189.63004726722528,189.4599142356765,175.05699456742096,173.43916463906555,156.7332599465206,166.0925418680941,191.64588637339432,193.9796584820469,182.75659320157826,175.5196916106571,166.76121531261543,162.1745503562397
459,2016-10-20 14:42:11+00:00,131.95471932580364,162.11659337519987,193.5550490103779,203.7707488632207,200.00238164380724,196.3771179929019,189.23543985320993,175.57690296600862,170.62013846604688,181.48414083886075,194.3443278200552,192.72396866274977,182.2119674051935,190.74837019667243,198.20928311753937,183.8243750753692
460,2016-11-06 14:38:17+00:00,,153.5578793048171,,,,177.91665430649488,174.34923468336152,168.22970094319493,159.3626496292044,150.80089657906342,150.2970527178457,,,,,154.8179272526523
461,2016-11-21 14:42:11+00:00,161.78024623808034,182.6776370508573,195.27256388848065,203.75647575399913,198.80735848565368,206.50630760729197,207.60908975214002,204.56047535084113,197.45206521151633,178.11433874570628,165.7446152934813,194.4745151293652,197.71860355390075,184.03693742744585,199.46848640881726,184.61230466188647
462,2016-11-22 14:38:11+00:00,123.28859105275188,167.93078285870496,167.96750687911685,,,,175.3778007485063,175.7892948139836,173.9001482878474,158.98678221362562,148.33662529451354,164.66426960800752,171.64710319423074,,,
463,2016-11-29 14:44:21+00:00,,,182.2516159630554,185.06238688834844,189.793786781477,193.64782254218136,193.22576348241722,187.59946639529264,179.99242859909018,,,,175.44100010129776,158.56317368210756,170.51285454202514,165.23838483542553
464,2016-11-30 14:36:00+00:00,166.93849805129645,194.28169100146735,200.7514816682326,202.74229786282754,214.2181603370314,213.74149275181296,206.6788022185797,203.67812379031963,189.24283450792157,185.21627191151612,175.89786324104028,198.65219842167232,204.4073216563323,168.8655291476981,203.326907544686,186.002285758834
465,2016-12-07 14:42:09+00:00,151.7857670402872,170.04129624248816,178.02886864879383,185.80506488115407,184.47928737339979,190.72860621181235,191.81593221722858,184.64256054508914,169.62093763010594,176.4690638578226,154.61123461621892,172.82006218233386,177.52652338037723,160.11839077457364,171.2670635772086,170.61715037268402
466,2016-12-08 14:38:08+00:00,152.5004485458264,172.2159166016141,185.34124212754094,193.73530323990994,188.89089442788165,,,,,187.7468535798923,163.08043323375344,182.22489070245376,195.08012112513998,181.26038404568163,186.70240877676565,
467,2016-12-15 14:44:17+00:00,177.0170782014381,,,,189.79671697920114,184.88676018592182,188.3325810204365,195.83431020348192,187.769456094475,179.18521797590589,169.93396304855997,,,,161.8318122593502,172.4438221625161
468,2017-01-17 14:35:49+00:00,183.87377183628763,188.6951883788804,184.8776380694627,201.08499678871937,200.3203197556435,214.40197094254353,199.08685345966833,208.92382927813904,213.6588197902208,217.03380504390566,206.1210403896002,182.44307963829394,182.15170973115525,207.28303210701046,191.31105545591615,184.16507738382865
469,2017-01-25 14:37:41+00:00,189.60436535739925,200.00977090704458,178.33179913581216,188.99254637312416,,,,203.9631271989403,207.37272258086801,200.33887689134255,192.78551235450777,169.1418327875369,168.67157678327007,,,
470,2017-02-01 14:43:51+00:00,,,164.70136258892688,175.16089762800794,168.5433362062672,186.66182352199206,189.10721314772798,201.84582815355884,192.69088633842767,,,,147.93628146312977,169.03757389874377,170.26049316200266,159.90087425783426
471,2017-02-02 14:35:42+00:00,174.43426338141992,,,,,,,,,210.70705071424314,195.32438706928212,185.87890756445762,151.69022636357784,163.55432706254976,153.3223296648526,185.2582042884678
472,2017-02-10 14:37:34+00:00,,,197.33061449125876,188.31717935612338,183.88820702231277,195.75038736541092,195.23856516872252,200.87964650948663,203.68419331646123,,,,172.65473343334125,180.00515286262768,183.82539562944623,176.82089805562632
473,2017-02-25 14:41:43+00:00,194.17379826674306,204.8873764735719,190.13039124680031,187.06644520021118,190.8346135677173,198.177180807699,203.38035670009114,208.30407571783653,221.05225306798872,209.59709914913827,192.79576949316828,202.52159235431722,182.36255268608676,195.75772842216068,192.23555377050909,180.26014501731837
474,2017-03-06 14:35:28+00:00,177.58635208681443,194.68683419991072,186.979611867197,200.8391837370567,199.94237458352964,195.95410490236907,207.3359065221269,216.87237064970603,212.2204664223855,218.82559843717377,204.89131579670357,202.62026377138884,205.87055255150057,202.64536681949073,201.11538514945278,184.05915798002448
475,2017-03-14 14:37:50+00:00,,,,,172.14045994915676,172.7884045074709,172.35551392209865,198.03004995942604,190.04318732157984,198.80473382708743,,,,,176.4311773978188,170.727226058673
476,2017-03-21 14:44:03+00:00,165.36806141699972,179.33260028740403,173.65374924992128,,,,172.48308968955098,187.23893632132186,200.78492296134408,196.867956228076,189.94249295957405,185.37149295497727,184.0351184323144,,,
477,2017-03-22 14:35:18+00:00,180.0466379842659,185.63632432534038,187.64968883320523,183.99384913796348,198.54753145569944,193.8653296291086,184.3739346605894,204.00522388530342,215.5079128409827,204.11072225649366,200.57431566823294,196.96117109327093,194.0423090259855,195.99278873579905,201.48868073082312,179.47612653758205
478,2017-03-29 14:41:26+00:00,181.06868509213294,191.7269181328194,183.41465465505993,187.04997684847726,183.11496858814237,192.7084200333978,195.7874732589267,182.09393837654702,209.62562213459583,204.66964177473614,182.20818137722907,185.7364875478817,198.83151488526676,188.43638662976255,196.12343681253492,176.9666829240062
479,2017-03-30 14:37:54+00:00,177.10389277710635,192.4244428296302,195.63920505413526,186.75164595562077,195.11222339623794,,,,,190.71090954845323,181.19837850778367,178.81966448408667,197.47637151075378,,,
480,2017-04-14 14:41:18+00:00,181.54806646595026,201.62989793216042,191.4205246066433,195.95306622868503,194.24892649933327,197.47541299233885,200.43115793799564,196.4767404344233,211.41701076581575,206.58523687514622,204.9752891400759,197.16682663156087,198.45397698155898,191.88229925262482,195.02096713450135,191.7070013786575
481,2017-04-15 14:38:01+00:00,188.10252695183112,202.88827257393189,192.02995959365575,197.24835319249746,192.96761903098965,,,,215.3900541492972,217.87391532805754,211.36674009696722,199.2403814545095,194.82933854321232,192.62331989787606,,
482,2017-04-22 14:44:14+00:00,173.06399631278578,176.89750224614716,169.69500095125892,,,164.06197212405579,170.1375437778658,157.46882583852744,191.47563010921573,194.64515879733048,179.9466373921343,173.68292241538728,,,,160.5996376919392
483,2017-05-09 14:35:02+00:00,189.8282911062663,197.92814020360544,191.4485692153919,184.70345833919023,179.33499191132117,179.45593644981926,201.08566459568965,197.61004316973182,204.01485152531032,208.08159022033524,197.44426964611773,199.4716102655644,199.27216172678408,188.20053667375404,202.91951852186082,194.13017317805145
484,2017-05-24 14:44:21+00:00,,,,,,165.1531627822599,174.0732502211801,174.56166780206541,182.91544204623136,180.93904362295535,176.62325763705073,,,170.24501242589693,165.9556265287589,143.1855010933958
485,2017-05-25 14:35:13+00:00,,179.6592809205929,161.67695787665428,178.843015678932,170.51805141143237,174.46609550210195,167.79124428468378,177.4260482323963,186.9461511576852,190.04968262088082,176.96055519238266,172.7071891813436,173.86856355559576,185.1688599883675,172.33339345325862,153.5339036541507
486,2017-06-18 14:38:17+00:00,153.18633780240992,174.28987591981505,137.41849457094514,142.10448268748874,,,,156.51511125043777,168.13914077838447,181.91067880171613,157.3451629697054,152.77018393324167,154.68391399274734,169.1198795941974,,
487,2017-07-04 14:38:19+00:00,,,133.64757216202463,149.59778369079018,129.17727229449434,153.1809056163645,137.3482176985529,168.2575452721749,163.27707556985004,,,,139.18032066059237,158.74300375951177,158.12756709418093,
488,2017-08-04 14:41:50+00:00,65.64679911329607,143.6536999940121,151.13900593571555,159.34777309673245,144.47046304937544,152.88850473171397,146.4790819160575,165.02631334478193,176.67103179768768,156.16451466986572,158.68350720504202,169.32845425692423,179.29712132033097,161.15853950757895,158.85837239804536,155.8154022841564
489,2017-08-28 14:44:27+00:00,,52.585570322448405,121.9893559863445,128.7084070565862,129.6136532937763,144.0457375361996,156.83419755847828,150.6325873758723,,,147.4390597302874,137.74353208124666,130.68019062031811,145.72626348538768,146.17228291602575,137.96798842196
490,2017-10-15 14:44:29+00:00,,,120.57846891396215,134.66270723936393,138.73313642453456,152.94550445847912,151.52067214043075,156.77884540657718,172.79427763122703,,,,135.47605300552843,147.53537463630155,137.18396204329122,157.27906028071982
