,dates,aus0036-0000,aus0036-0001,aus0036-0002,aus0036-0003,aus0036-0004,aus0036-0005,aus0036-0006,aus0036-0007,aus0036-0008,aus0036-0009,aus0036-0010,aus0036-0011,aus0036-0012,aus0036-0013
12,1988-12-02 23:12:39+00:00,150.706706452619,145.27119555424073,141.49714283094528,151.5095183292027,167.9627645225954,185.9320977255588,180.7132063826963,206.0583706390699,184.7197310767501,177.6547424372989,177.16226537913974,189.94509280742443,184.5035474881697,174.0185166644283
13,1989-02-20 23:12:03+00:00,132.8921720421295,103.47245315735431,91.19463427723201,114.1195202450274,132.88436798052243,152.02892487683903,145.200355957101,153.66764882843614,157.84230122537792,141.60812695666272,147.9179682987887,161.43989234862832,154.98523568320175,151.67302502693119
14,1989-03-08 23:11:39+00:00,143.40186321224866,119.0552747329958,112.25687308823845,124.14731617934065,148.54689765862915,171.79494981842697,163.58045859296067,187.99807581012286,182.41831404350177,159.4970752374458,169.88847704587263,179.9468263338736,177.01234948652606,174.42282836712067
15,1989-05-27 23:10:28+00:00,142.85798761211603,107.26677510145518,87.4459272418591,109.45521105965607,152.8346865083677,179.90890937969212,162.76787809000342,198.8699630454309,175.10337586106544,157.51975930199825,174.72021242752845,189.18683753752475,185.907008997316,168.8752089676679
16,1989-06-12 23:10:05+00:00,139.22704377151754,104.01885893530215,90.59389312620188,108.85364827402319,151.60937357398674,173.55547372582183,170.7445392346836,200.80604628923342,163.31924048352485,148.35258495091045,168.74584987869636,181.43693480236107,172.77214509693067,161.4054253483509
17,1989-07-14 23:09:29+00:00,141.84029501459094,113.94468980445984,94.71208410852327,114.63699522741025,152.30019490732255,170.94738020221575,165.04817392121123,202.40225532375615,167.63858877458122,166.08445987883084,180.55939352111787,175.439332355324,171.1609256413002,167.1157526297141
18,1989-07-30 23:09:11+00:00,147.45099190415164,117.66253095425262,97.18624362728241,119.4125331509757,161.65667224125306,182.75101015338674,169.67963450246512,202.07425461947255,176.43833013165596,176.0323868888902,185.29671560967884,184.5685763058615,178.0951883484185,172.63468941604532
19,1989-08-15 23:08:48+00:00,147.68304059982884,111.46561967717237,92.84637788395509,114.79327551324941,149.81109105131787,169.7323482207013,168.21382984322847,185.67440872930482,164.8928213209816,155.7595040813583,161.22599191561545,165.05655240127138,170.51126385956113,156.09619431950475
20,1989-08-31 23:08:29+00:00,142.76488555708508,112.22099857700343,112.40913391657872,129.51802316016494,154.5442009038769,174.02302047682159,170.818653535842,200.03243513671768,182.4356324231689,160.88504698339796,167.24355146506142,188.0917220744141,184.39960407824762,165.3178487194337
21,1989-09-16 23:07:56+00:00,151.4797282595456,117.0407898429811,110.77303074025644,130.02555712146224,157.02719953160164,177.6578527038287,169.8782996913305,194.02842307519123,174.71958992790016,164.51500751570032,170.0380235287145,183.55565556026085,180.0555274637992,166.2562441721079
22,1989-10-02 23:07:47+00:00,162.6936940630158,139.78261233735816,127.6079151727442,141.21245119598746,148.7438785626934,182.6241313743526,174.37717814255183,206.88270155967948,180.8985014919202,164.51131375565373,,,,
23,1989-10-18 23:07:04+00:00,,,,,,,173.74257217464734,200.46405219109488,178.2750778349569,179.96415990531088,178.75199980991192,198.05352002362608,204.4294428877671,189.68916802400102
