,dates,mex0222-0000,mex0222-0001,mex0222-0002,mex0222-0003,mex0222-0004,mex0222-0005,mex0222-0006,mex0222-0007,mex0222-0008,mex0222-0009,mex0222-0010,mex0222-0011,mex0222-0012
41,1994-12-15 16:32:11+00:00,216.17571021794365,217.65189882684615,223.2095085255758,227.1382374549719,228.29869611587208,226.05325793588545,226.37212514783297,222.99458030376454,218.76493837629403,228.58007787367617,232.91656719593723,225.13153198081224,232.83535932147265
42,1994-12-31 16:31:39+00:00,221.42348587447123,223.2015005995723,229.59507530106578,233.7554786688469,231.2795766576182,233.945125768706,228.94908706492288,228.23037828224557,224.71797544763282,232.5295042545432,229.99743687251774,235.30463819061484,238.0390783376661
43,1995-01-16 16:31:04+00:00,219.20414065457715,228.10016215053773,230.28632899850396,232.42394194876414,234.19388626836283,232.37039165506224,232.10465607180117,240.55004821698896,239.56366352148436,245.35039981619954,241.1902633791561,235.17752131748992,239.35427519611608
44,1995-02-01 16:30:27+00:00,207.59817650456338,215.18712676417175,227.7569588731601,230.18021062252805,228.37205687305834,228.28247109943658,221.96275079920093,220.47993666770486,224.03233081978448,231.0518340381891,221.92315466314514,211.8078365229689,224.0292566440597
45,1995-02-17 16:29:48+00:00,216.8069615726203,226.7260232206323,231.8123076411366,233.83597527440153,237.71197311880078,235.00344606934488,228.33504456322436,226.08056696242335,232.25136082199077,230.91627882659816,228.38814340957722,233.30614993898539,237.91356680450107
46,1995-03-05 16:29:10+00:00,219.02203092721905,220.85109338185745,225.82764286961992,226.14768389121886,228.92404245518313,236.20018246239695,234.74608855312744,233.63810211777263,230.95996934293964,234.180017781032,231.00515018817785,232.97600967030687,235.5757972042013
47,1995-03-21 16:28:30+00:00,218.06353240733858,226.41413727255818,230.86227189033386,229.9103610818712,226.41282926404898,236.82529493111866,239.2771532951983,231.67079861694137,231.09237252383755,235.56957290523516,231.65322830680535,227.6845311782176,226.63904074980087
48,1995-04-06 16:27:51+00:00,224.09679712982427,226.9717007013598,228.5499325630197,232.51208176441264,240.4272389006472,240.60669573517973,235.94921730080455,230.93611410801242,236.00649566827445,238.86420550775384,232.39620976254966,221.02505784298972,222.5579150250316
49,1995-04-22 16:27:10+00:00,230.1757347867496,231.45218933291227,237.3471495616145,236.51083791801656,235.24324899947132,232.49658693751613,238.95084742239746,234.60120566419792,230.25053559028265,232.23445187349236,234.06473255547482,220.75624908105448,225.35560731590377
50,1995-05-24 16:25:44+00:00,231.95344567077976,241.2064443068762,250.81532905773767,252.86821698448932,256.12848174373937,250.78992888455548,249.9898552218277,247.72208194127714,251.10370162283823,252.5549115486171,248.69942308966375,238.24328627571893,237.4680588099315
51,1995-06-25 16:24:16+00:00,218.985314910946,226.4774352027527,233.10061341210883,240.05741469816834,240.52722670675317,245.17699675521447,244.90555007008493,238.8380476779479,240.05343571173555,237.04658412868233,246.00166765379458,236.94567777277243,229.97662574360322
