dates,nzd0006-0000,nzd0006-0001,nzd0006-0002,nzd0006-0003,nzd0006-0004,nzd0006-0005,nzd0006-0006,nzd0006-0007,nzd0006-0008,nzd0006-0009,nzd0006-0010,nzd0006-0011,nzd0006-0012,nzd0006-0013,satname
2008-11-21 22:01:05+00:00,355.50,349.32,333.20,335.05,335.66,345.83,334.36,344.27,360.18,375.06,389.90,378.91,368.54,391.68,L5
2008-11-29 22:06:55+00:00,348.79,339.34,324.18,320.34,322.95,336.11,337.98,335.24,344.30,355.70,363.65,367.96,372.00,377.35,L7
2009-03-21 22:07:47+00:00,368.13,360.63,352.47,343.35,346.96,340.88,334.35,341.91,352.42,355.56,362.16,365.75,374.81,380.44,L7
2009-06-09 22:08:01+00:00,,,,,,,,,,,,344.80,345.97,,L7
2009-10-15 22:07:44+00:00,365.27,374.68,365.31,371.67,359.80,354.09,343.22,337.29,346.69,352.40,360.32,364.22,363.18,365.53,L7
2010-01-27 22:08:26+00:00,388.81,378.10,366.61,355.41,347.63,332.47,333.38,338.27,343.79,353.57,365.88,366.00,359.66,356.80,L5
2010-02-04 22:09:23+00:00,367.70,356.48,341.59,333.11,329.67,323.95,314.82,309.16,321.55,332.84,344.00,345.19,347.26,341.15,L7
2010-02-12 22:08:30+00:00,384.43,374.30,362.35,355.80,346.30,346.71,351.53,347.76,338.47,363.51,371.29,,,,L5
2010-03-08 22:09:41+00:00,347.61,336.37,332.29,323.97,311.77,303.40,305.86,316.86,326.98,332.80,344.84,349.28,352.55,338.58,L7
2010-03-24 22:09:46+00:00,377.74,375.16,357.95,350.55,349.57,333.99,341.99,336.46,348.78,356.95,361.30,371.16,370.29,369.18,L7
2010-06-12 22:09:43+00:00,369.36,362.99,349.68,350.62,343.25,331.95,342.28,338.23,346.88,352.03,353.56,367.92,367.93,378.65,L7
2010-07-30 22:09:48+00:00,367.96,366.09,340.93,346.41,344.21,345.07,340.23,339.49,346.51,353.24,354.89,362.73,368.18,370.75,L7
2010-08-31 22:09:52+00:00,359.42,357.86,340.66,343.10,342.83,327.88,331.09,325.97,332.18,341.24,351.51,356.83,369.66,369.45,L7
2010-11-27 22:07:24+00:00,372.54,359.14,340.62,344.06,335.99,342.39,329.58,324.20,332.94,338.89,344.81,356.44,367.66,372.10,L5
2010-12-05 22:10:32+00:00,360.96,351.38,335.78,335.53,320.57,324.47,321.93,316.95,329.16,336.27,345.91,353.71,355.47,357.26,L7
2011-01-06 22:10:49+00:00,359.83,351.78,328.68,329.17,323.82,327.71,326.11,313.84,328.83,341.49,341.78,355.38,356.79,369.06,L7
2011-02-15 22:07:34+00:00,359.23,350.88,336.70,333.02,330.43,321.73,326.93,329.21,329.99,339.95,347.67,354.81,358.12,371.58,L5
2011-02-23 22:11:05+00:00,360.70,339.66,328.13,323.48,315.77,311.44,313.36,,,,,,,,L7
2011-03-11 22:11:09+00:00,361.72,359.63,344.26,350.18,342.31,337.02,327.33,329.37,335.82,347.50,352.81,360.89,364.66,,L7
2011-05-14 22:11:10+00:00,333.69,332.95,314.84,318.40,311.47,300.22,291.64,293.79,310.02,317.89,328.64,331.35,340.19,345.74,L7
2011-05-30 22:11:11+00:00,352.98,348.04,337.46,337.66,330.35,339.27,324.72,327.58,339.62,346.98,338.18,343.16,353.44,364.52,L7
2011-08-18 22:10:59+00:00,345.54,335.38,319.20,318.17,322.69,326.25,313.88,306.82,314.55,323.23,334.37,335.98,339.25,333.47,L7
2011-10-21 22:10:56+00:00,378.68,,350.77,359.36,359.66,367.10,356.95,361.56,358.00,364.34,365.58,371.56,376.50,402.51,L7
2011-11-06 22:11:03+00:00,355.62,359.52,339.10,335.72,334.42,343.34,347.66,347.94,345.66,343.35,350.08,352.98,357.14,363.61,L7
2011-11-22 22:11:15+00:00,381.55,,364.20,,,372.67,358.95,368.91,372.52,372.17,375.24,,,,L7
2012-01-09 22:11:37+00:00,343.21,335.71,327.28,326.79,324.06,323.49,314.93,315.34,334.93,350.43,359.08,362.74,350.37,360.03,L7
2012-02-10 22:11:42+00:00,352.77,,333.62,325.12,325.89,328.70,328.04,322.88,338.93,351.72,353.66,356.33,361.02,365.21,L7
2012-03-13 22:11:42+00:00,345.42,333.27,320.63,318.96,317.13,324.71,327.37,327.74,329.54,338.66,340.47,353.37,,,L7
2012-06-01 22:11:59+00:00,,,,,,,,,323.07,308.24,306.70,,316.13,,L7
2012-11-08 22:13:27+00:00,351.67,342.78,328.42,340.38,342.79,332.89,334.57,339.98,339.87,338.67,344.21,343.63,349.70,359.72,L7
2012-12-10 22:13:38+00:00,365.62,348.53,343.34,349.65,335.78,327.53,337.85,336.47,348.19,353.55,339.88,353.38,367.05,366.87,L7
2013-01-11 22:13:44+00:00,359.29,347.55,338.20,337.70,337.61,338.31,338.49,342.89,345.03,349.91,354.17,356.45,349.05,375.01,L7
2013-05-03 22:13:30+00:00,,,,,322.11,305.41,,,,,,,,326.44,L7
2013-05-19 22:13:27+00:00,355.06,373.86,363.78,365.50,357.48,343.56,330.71,331.30,330.85,350.51,337.86,355.93,372.22,359.92,L7
2013-06-04 22:13:16+00:00,,,,,,,,,,,318.96,,,,L7
2013-06-20 22:13:13+00:00,,,382.47,377.44,377.67,,355.68,,325.14,327.62,,381.31,337.85,342.29,L7
2013-06-28 22:19:33+00:00,359.00,332.46,332.94,324.30,314.39,327.47,332.16,330.42,331.38,326.94,332.22,335.38,328.69,340.72,L8
2013-07-14 22:19:34+00:00,362.50,355.13,338.90,338.12,325.94,325.08,330.75,328.72,331.85,333.19,340.48,341.39,343.51,333.70,L8
2013-08-31 22:19:38+00:00,339.27,324.16,324.43,316.44,316.72,318.09,305.89,306.48,313.51,321.92,317.82,310.58,310.98,309.12,L8
2013-10-02 22:19:28+00:00,,,,,355.89,330.34,318.44,321.86,350.31,357.75,341.09,347.87,359.09,360.67,L8
2013-10-18 22:19:25+00:00,350.17,362.86,356.95,348.69,346.46,342.86,324.54,327.33,338.51,347.34,339.10,348.23,357.82,349.80,L8
2013-12-05 22:19:13+00:00,352.47,337.21,326.88,328.80,327.68,335.06,331.46,327.69,322.21,327.59,340.36,343.15,327.84,312.21,L8
2014-02-23 22:18:20+00:00,358.54,356.40,350.47,340.61,329.80,316.88,321.81,326.79,330.55,334.90,348.60,346.14,349.47,351.44,L8
2014-03-27 22:17:50+00:00,353.29,356.85,334.84,330.65,323.07,345.12,323.70,315.30,338.16,323.74,323.32,329.41,340.93,328.88,L8
2014-04-12 22:17:37+00:00,350.88,360.73,354.21,329.39,326.62,321.49,316.44,317.14,320.87,326.11,325.37,327.49,342.36,330.23,L8
2014-04-28 22:17:22+00:00,356.81,357.64,360.45,340.75,336.49,330.06,320.05,317.90,330.89,328.88,329.32,331.54,340.39,332.78,L8
2014-05-14 22:17:08+00:00,,,,,,,,,,,334.81,337.45,341.67,341.13,L8
2014-05-30 22:17:11+00:00,345.56,322.68,308.28,312.84,307.40,295.50,303.52,305.95,290.03,305.15,310.65,331.41,328.97,,L8
2014-07-01 22:17:22+00:00,367.01,365.68,342.75,342.53,330.52,329.25,327.61,326.56,324.82,332.24,334.02,341.52,345.96,340.54,L8
2014-07-17 22:17:28+00:00,,,,,,,,,,297.19,308.06,309.97,312.84,,L8
2015-01-09 22:17:38+00:00,359.00,343.17,339.18,343.28,326.40,331.62,326.26,317.93,330.95,340.17,334.32,341.15,347.91,348.73,L8
2015-06-02 22:16:44+00:00,360.58,348.90,332.92,333.86,339.82,327.97,320.09,316.37,320.28,335.55,343.49,332.81,343.81,348.96,L8
2015-07-04 22:17:02+00:00,,,,,,,,,,,347.67,353.05,359.73,366.40,L8
2015-08-05 22:17:13+00:00,,,,,,,,328.47,326.91,342.92,338.24,336.94,344.21,349.52,L8
2015-10-24 22:17:40+00:00,378.10,370.78,360.95,347.55,348.18,335.21,329.83,335.71,338.83,330.37,345.44,361.58,366.63,363.43,L8
2015-12-11 22:17:42+00:00,368.38,367.35,355.22,351.46,350.87,349.95,350.56,335.59,349.50,353.05,357.79,367.67,373.72,374.11,L8
2015-12-27 22:17:43+00:00,372.58,365.79,351.08,354.67,351.81,348.95,345.37,338.50,352.06,359.20,358.81,367.37,368.98,372.95,L8
2016-08-07 22:17:37+00:00,357.48,352.20,341.65,336.29,335.49,340.25,333.31,336.43,345.08,354.24,358.19,366.84,371.19,354.43,L8
2016-10-10 22:17:54+00:00,356.55,371.15,354.95,360.91,378.63,356.89,357.88,355.85,346.05,362.10,352.81,350.29,355.63,346.80,L8
2016-12-29 22:17:49+00:00,375.43,374.32,363.34,367.39,,,,,,,,,,,L8
2017-03-03 22:17:25+00:00,371.83,369.15,352.87,353.75,357.57,361.21,361.41,358.29,364.08,365.98,376.31,387.97,380.21,376.53,L8
2017-03-19 22:17:15+00:00,360.87,358.56,362.93,356.83,354.16,352.80,351.07,355.80,362.73,370.96,377.06,380.62,374.85,364.33,L8
2017-06-07 22:17:15+00:00,376.23,361.48,351.99,352.02,355.12,363.40,347.06,343.80,344.12,359.38,371.67,375.47,368.06,367.34,L8
2017-08-10 22:17:37+00:00,366.22,367.48,353.99,346.52,351.36,360.21,349.99,342.78,348.43,357.96,366.47,373.86,379.57,380.18,L8
2017-09-27 22:17:48+00:00,370.44,362.52,359.88,349.29,332.02,331.97,340.01,344.07,342.63,345.33,362.76,381.58,390.79,398.16,L8
2018-02-02 22:17:27+00:00,326.87,,,297.69,279.33,319.93,324.28,319.57,324.67,315.50,328.70,348.13,345.84,333.02,L8
2018-04-07 22:16:59+00:00,351.00,331.59,329.19,320.61,314.34,317.82,316.91,321.21,329.81,330.57,331.20,345.75,343.95,336.49,L8
2018-06-10 22:16:26+00:00,336.35,325.01,319.04,320.12,317.37,305.94,304.75,311.45,312.55,320.53,332.71,334.47,337.23,338.05,L8
2018-06-26 22:16:36+00:00,,,,,336.58,326.43,323.25,325.70,320.48,336.24,345.66,339.11,339.50,349.15,L8
2018-08-29 22:17:08+00:00,345.26,345.73,334.81,,,,,,,,,,350.15,354.70,L8
2018-11-17 22:17:31+00:00,367.20,368.43,361.25,352.31,331.89,337.42,343.09,349.47,352.50,355.66,354.67,364.90,374.61,378.14,L8
2019-01-04 22:17:27+00:00,363.38,370.84,359.98,344.15,339.10,340.07,349.24,347.73,357.04,347.75,355.80,363.10,374.05,376.85,L8
2019-01-20 22:17:24+00:00,383.33,373.86,365.31,350.73,342.80,349.21,354.06,353.02,359.60,367.57,373.91,377.81,390.92,395.86,L8
2019-02-05 22:17:21+00:00,367.34,364.77,355.41,352.58,340.10,343.29,353.17,342.69,350.83,361.98,364.35,373.44,381.56,393.03,L8
2019-04-26 22:16:59+00:00,356.98,357.40,359.39,364.00,355.99,352.97,348.81,359.25,368.74,371.02,370.84,372.00,377.46,386.30,L8
2019-05-12 22:17:08+00:00,357.34,352.02,351.85,360.42,356.07,337.62,345.92,359.16,360.91,362.86,363.63,350.65,361.62,380.65,L8
2019-05-28 22:17:17+00:00,,,,,,,,,,382.95,374.42,369.05,378.48,394.22,L8
2019-11-04 22:17:58+00:00,361.02,366.18,361.11,360.48,347.89,358.35,352.16,349.23,354.59,360.93,365.18,370.63,371.33,377.54,L8
2019-11-20 22:17:54+00:00,,,,,380.89,374.77,375.15,377.12,373.44,364.60,371.44,389.01,406.75,403.65,L8
2019-12-22 22:17:51+00:00,339.85,335.91,345.21,339.00,338.41,339.10,339.49,339.08,337.91,332.73,341.34,344.49,348.87,347.48,L8
2020-01-23 22:17:43+00:00,,,,347.31,346.94,350.74,351.77,352.23,342.65,343.36,354.27,358.91,361.20,366.46,L8
2020-02-08 22:17:38+00:00,362.64,364.51,363.40,357.71,354.10,355.33,353.71,356.10,356.81,353.55,359.02,365.57,367.50,370.42,L8
2020-03-11 22:17:28+00:00,367.41,359.98,361.81,359.60,361.63,367.53,364.02,350.62,353.26,366.62,361.19,360.07,376.16,382.37,L8
