dates,satname,nzd0414-0000,nzd0414-0001,nzd0414-0002,nzd0414-0003,nzd0414-0004,nzd0414-0005,nzd0414-0006,nzd0414-0007,nzd0414-0008,nzd0414-0009,nzd0414-0010,nzd0414-0011,nzd0414-0012,nzd0414-0013,nzd0414-0014,nzd0414-0015,nzd0414-0016,nzd0414-0017,nzd0414-0018,nzd0414-0019,nzd0414-0020,nzd0414-0021,nzd0414-0022,nzd0414-0023,nzd0414-0024,nzd0414-0025,nzd0414-0026,nzd0414-0027,nzd0414-0028,nzd0414-0029,nzd0414-0030,nzd0414-0031,nzd0414-0032,nzd0414-0033,nzd0414-0034,nzd0414-0035,nzd0414-0036,nzd0414-0037,nzd0414-0038,nzd0414-0039,nzd0414-0040,nzd0414-0041,nzd0414-0042,nzd0414-0043,nzd0414-0044,nzd0414-0045,nzd0414-0046,nzd0414-0047,nzd0414-0048,nzd0414-0049,nzd0414-0050,nzd0414-0051,nzd0414-0052,nzd0414-0053,nzd0414-0054
2001-10-25 22:08:17+00:00,L7,405.48,397.13,366.60,389.14,399.14,,281.02,275.68,276.96,264.06,277.68,307.48,300.40,315.30,321.02,298.09,303.98,309.31,315.86,322.41,291.22,292.62,299.05,314.10,321.48,329.86,344.35,335.35,335.51,340.72,341.93,345.32,345.65,350.67,357.92,363.35,376.68,386.05,402.73,403.54,406.11,403.87,400.69,400.34,399.76,404.50,406.11,403.31,399.55,397.36,398.72,399.21,618.52,455.47,595.20
2002-04-03 22:08:45+00:00,L7,417.92,416.78,415.07,421.36,436.09,449.99,443.14,429.15,392.04,341.54,341.71,338.13,344.62,360.08,344.86,307.16,289.76,288.36,287.66,286.06,293.74,306.91,328.28,349.70,367.97,381.84,380.88,383.56,384.96,386.01,398.82,402.73,408.99,415.25,416.75,405.02,407.81,408.69,423.23,441.72,453.84,469.23,471.18,,416.68,417.70,414.27,407.35,408.20,405.26,405.40,408.45,405.67,408.25,410.56
2002-06-06 22:08:34+00:00,L7,,,,,,,,,,,330.93,346.38,332.15,319.36,316.76,310.13,302.68,298.22,299.78,,,306.53,311.54,324.61,,354.30,372.96,366.41,,465.52,571.08,,334.45,349.85,363.11,400.85,391.64,,,,,426.99,422.10,430.17,423.96,,506.42,547.84,,,,599.94,559.06,627.33,572.11
2002-07-24 22:08:14+00:00,L7,,,,,,,,,,,328.94,329.80,336.94,335.69,347.52,321.03,307.12,305.49,290.00,292.79,277.07,292.94,304.19,310.72,322.69,336.70,351.89,357.54,360.41,349.79,346.05,339.21,344.14,338.79,356.07,364.82,365.23,375.66,386.27,403.27,406.71,407.79,,,,,,,,,,,,,
2002-08-25 22:08:00+00:00,L7,,,,,,,,,,,,,,,322.83,313.00,311.55,304.49,307.23,307.57,294.32,283.96,291.01,309.60,317.26,331.46,344.50,346.27,350.06,348.21,341.56,347.03,342.78,341.56,352.88,355.57,370.13,382.20,394.14,403.24,402.29,404.59,406.51,401.06,399.27,403.02,408.23,395.82,386.13,378.96,383.54,389.07,397.36,398.79,399.17
2002-10-12 22:07:38+00:00,L7,449.75,461.19,447.54,398.08,404.01,417.45,444.77,448.71,461.55,465.86,447.57,402.62,376.21,346.29,,282.72,278.77,276.20,292.11,305.15,311.82,307.09,316.34,325.83,328.50,333.32,361.10,368.66,369.53,364.75,349.59,340.42,336.07,336.02,338.79,355.06,372.06,385.54,399.63,408.68,416.58,410.99,409.70,412.67,410.16,406.51,400.13,395.97,391.79,394.59,398.16,399.49,398.60,401.60,409.91
2002-10-28 22:07:46+00:00,L7,427.53,,,451.57,434.65,420.15,370.89,383.29,407.27,429.56,434.59,417.93,406.92,393.32,373.14,,277.64,273.84,281.12,285.78,294.53,298.31,303.16,314.38,316.35,340.25,338.99,344.01,345.33,350.07,358.99,349.02,333.30,340.93,346.18,350.12,357.37,367.66,382.63,389.76,399.39,400.16,404.14,399.68,385.37,381.02,382.92,389.38,384.79,385.04,386.64,384.46,385.85,390.95,398.37
2002-11-29 22:08:13+00:00,L7,399.56,408.16,424.48,431.09,434.45,435.27,416.25,413.69,,353.78,345.19,368.24,389.00,395.40,398.62,367.16,347.00,321.60,269.32,258.44,264.57,276.74,299.29,311.24,320.33,325.26,333.25,324.74,319.59,318.23,320.09,335.92,340.34,340.11,345.50,359.58,371.14,368.65,361.50,374.08,375.21,379.91,391.57,394.84,387.42,383.96,380.31,373.76,375.93,376.66,375.46,378.97,372.16,369.94,377.61
2002-12-31 22:08:20+00:00,L7,426.42,423.66,395.44,404.21,413.88,407.15,401.23,384.00,372.87,341.82,337.88,342.30,339.69,348.07,374.67,368.30,344.39,302.58,260.20,247.19,253.35,266.03,272.79,283.19,296.89,308.04,319.33,310.66,311.05,310.42,310.83,314.42,320.95,329.42,335.35,336.92,342.11,343.34,351.85,357.19,369.11,370.74,365.39,369.42,363.82,363.79,363.47,348.11,360.22,358.57,359.94,360.89,364.50,359.42,366.69
2003-02-01 22:08:33+00:00,L7,429.86,430.29,409.65,389.62,384.12,410.69,423.44,411.70,364.19,353.86,355.72,355.26,347.02,343.67,342.16,336.32,343.74,334.93,313.99,287.82,269.47,259.32,265.76,277.93,296.97,310.98,319.59,306.15,298.36,289.61,292.39,296.10,301.89,316.92,317.56,318.79,322.52,340.40,352.07,356.29,364.56,366.58,364.05,357.86,356.40,349.18,346.09,346.42,351.61,346.17,351.95,354.24,350.86,354.82,360.42
